"","HuAgeGBsplit_02....QGBCbyPGBC__"
"123","AC067930.5"
"124","AC068057.1"
"125","AC068279.1"
"126","AC068338.3"
"127","AC068389.2"
"128","AC068870.1"
"129","AC068888.1"
"130","AC069154.1"
"131","AC069209.1"
"132","AC069222.1"
"133","AC069503.3"
"134","AC073073.1"
"135","AC073195.1"
"136","AC073210.1"
"137","AC073255.1"
"138","AC073335.1"
"139","AC073349.2"
"140","AC073389.3"
"141","AC073610.1"
"142","AC073878.2"
"143","AC074138.1"
"144","AC078909.2"
"145","AC079089.1"
"146","AC079089.2"
"147","AC079922.2"
"148","AC083843.2"
"149","AC087627.1"
"150","AC090844.2"
"151","AC091917.2"
"152","AC091932.1"
"153","AC092117.1"
"154","AC092119.2"
"155","AC092295.1"
"156","AC092295.2"
"157","AC092653.1"
"158","AC092681.3"
"159","AC092803.2"
"160","AC093106.1"
"161","AC093162.2"
"162","AC093278.1"
"163","AC093582.1"
"164","AC093591.2"
"165","AC093734.1"
"166","AC097359.1"
"167","AC097359.3"
"168","AC097376.2"
"169","AC098479.1"
"170","AC099398.1"
"171","AC099518.6"
"172","AC099552.4"
"173","AC100803.2"
"174","AC100812.1"
"175","AC104058.1"
"176","AC104532.1"
"177","AC104590.1"
"178","AC104653.2"
"179","AC104825.1"
"180","AC104836.1"
"181","AC105285.1"
"182","AC105339.1"
"183","AC105339.3"
"184","AC105339.5"
"185","AC105345.1"
"186","AC105383.1"
"187","AC106782.5"
"188","AC106820.2"
"189","AC106872.2"
"190","AC106897.1"
"191","AC108134.1"
"192","AC108673.3"
"193","AC109454.1"
"194","AC110079.2"
"195","AC110285.1"
"196","AC110285.2"
"197","AC110771.1"
"198","AC112907.2"
"199","AC115284.2"
"200","AC115522.1"
"201","AC117394.1"
"202","AC117532.1"
"203","AC118553.1"
"204","AC118757.1"
"205","AC122683.1"
"206","AC125494.2"
"207","AC126283.2"
"208","AC126335.2"
"209","AC127537.1"
"210","AC132008.2"
"211","AC133552.4"
"212","AC134878.2"
"213","AC135050.3"
"214","AC135178.3"
"215","AC135506.1"
"216","AC136475.1"
"217","AC136475.3"
"218","AC136475.6"
"219","AC136475.9"
"220","AC136944.2"
"221","AC138150.1"
"222","AC138207.5"
"223","AC138466.3"
"224","AC138894.3"
"225","AC142472.1"
"226","AC145207.9"
"227","AC145343.1"
"228","AC233263.6"
"229","AC233280.1"
"230","AC234582.1"
"231","AC239600.1"
"232","AC239803.4"
"233","AC243830.2"
"234","AC244394.2"
"235","AC245008.1"
"236","AC245060.2"
"237","AC245060.5"
"238","AC245884.8"
"239","ACER2"
"240","ACHE"
"241","ACOT7"
"242","ACSL1"
"243","ACTG1P15"
"244","ACTG1P17"
"245","ADHFE1"
"246","AF038458.3"
"247","AF186996.2"
"248","AF213884.3"
"249","AHCYL2"
"250","AHSA2P"
"251","AK4P3"
"252","AL008723.3"
"253","AL022069.1"
"254","AL022069.2"
"255","AL022341.1"
"256","AL023284.4"
"257","AL023583.1"
"258","AL031432.5"
"259","AL035252.3"
"260","AL049836.1"
"261","AL078595.1"
"262","AL078599.1"
"263","AL096803.3"
"264","AL109936.2"
"265","AL117344.1"
"266","AL118505.1"
"267","AL121809.2"
"268","AL121950.1"
"269","AL133215.3"
"270","AL133325.3"
"271","AL133410.1"
"272","AL135818.2"
"273","AL136317.2"
"274","AL136380.1"
"275","AL138690.1"
"276","AL157770.1"
"277","AL158042.1"
"278","AL158063.1"
"279","AL158206.1"
"280","AL158211.1"
"281","AL160291.1"
"282","AL161670.2"
"283","AL161935.3"
"284","AL162231.2"
"285","AL162595.1"
"286","AL162725.2"
"287","AL162741.1"
"288","AL353622.2"
"289","AL353708.3"
"290","AL353807.4"
"291","AL355432.1"
"292","AL357078.3"
"293","AL358072.1"
"294","AL359504.2"
"295","AL359510.2"
"296","AL359541.1"
"297","AL359715.2"
"298","AL359771.1"
"299","AL359852.1"
"300","AL359955.1"
"301","AL360181.4"
"302","AL365181.4"
"303","AL390195.1"
"304","AL390195.2"
"305","AL391069.4"
"306","AL391244.2"
"307","AL391262.1"
"308","AL391807.1"
"309","AL445483.1"
"310","AL445665.1"
"311","AL450306.1"
"312","AL512310.1"
"313","AL512430.3"
"314","AL512604.2"
"315","AL513217.1"
"316","AL513320.1"
"317","AL583810.2"
"318","AL583856.2"
"319","AL590004.3"
"320","AL590617.2"
"321","AL590623.1"
"322","AL590666.1"
"323","AL591379.1"
"324","AL603832.2"
"325","AL606763.1"
"326","AL645608.1"
"327","AL645608.7"
"328","AL645929.1"
"329","AL645939.1"
"330","AL645940.1"
"331","AL662907.1"
"332","AL670729.3"
"333","AL683813.2"
"334","AL732292.2"
"335","AL845321.1"
"336","ALDOB"
"337","AMH"
"338","AMIGO1"
"339","ANKK1"
"340","ANKRD20A6P"
"341","ANXA9"
"342","AOC3"
"343","AP000542.2"
"344","AP000811.1"
"345","AP000845.1"
"346","AP001264.1"
"347","AP001453.4"
"348","AP001476.3"
"349","AP001628.1"
"350","AP002840.1"
"351","AP003068.4"
"352","AP003108.1"
"353","AP003119.3"
"354","AP003392.6"
"355","AP003717.2"
"356","AP004371.1"
"357","AP005436.2"
"358","AP1G2"
"359","AP4B1"
"360","APBA2"
"361","APBA3"
"362","APC2"
"363","APCDD1"
"364","APOD"
"365","ARF4P2"
"366","ARID5A"
"367","ARIH2OS"
"368","ASAP3"
"369","ASCL5"
"370","ASIC3"
"371","ASIC4"
"372","ASNSP3"
"373","ASPRV1"
"374","ATAD3C"
"375","ATOH1"
"376","ATP7B"
"377","ATXN7L2"
"378","AZGP1"
"379","B3GNT7"
"380","BAALC-AS2"
"381","BAIAP2L2"
"382","BAIAP3"
"383","BATF3"
"384","BBS2"
"385","BCDIN3D"
"386","BCL6"
"387","BET1"
"388","BEX2"
"389","BEX4"
"390","BMS1P10"
"391","BNIP3P4"
"392","BOC"
"393","BOLA2P3"
"394","BRSK1"
"395","BSN-AS2"
"396","BX005266.3"
"397","BX284632.1"
"398","BX323043.1"
"399","C10orf90"
"400","C12orf66"
"401","C17orf97"
"402","C19orf18"
"403","C2CD4B"
"404","C9orf106"
"405","CA12"
"406","CABP7"
"407","CACNA1C"
"408","CACTIN"
"409","CAMK2A"
"410","CAMK2D"
"411","CAMK2N1"
"412","CAMKK1"
"413","CAPN10-AS1"
"414","CAPN7"
"415","CASKIN1"
"416","CBARP"
"417","CBS"
"418","CBWD1"
"419","CBX3P2"
"420","CCDC27"
"421","CCDC62"
"422","CCER2"
"423","CCNO"
"424","CD22"
"425","CD24"
"426","CD27-AS1"
"427","CD72"
"428","CDKN1B"
"429","CEBPG"
"430","CEPT1"
"431","CES3"
"432","CETN4P"
"433","CFAP58-AS1"
"434","CGREF1"
"435","CHAC1"
"436","CHI3L1"
"437","CHKA"
"438","CHKB-CPT1B"
"439","CHRM4"
"440","CHRNA9"
"441","CIC"
"442","CKS1BP6"
"443","CLDN9"
"444","CLMN"
"445","CLSTN3"
"446","CNN2P9"
"447","CNOT6LP1"
"448","CNR1"
"449","CNTD2"
"450","CNTNAP3B"
"451","COLGALT2"
"452","CPNE5"
"453","CPSF1P1"
"454","CR382287.2"
"455","CR769776.2"
"456","CR848007.3"
"457","CREG2"
"458","CSF1R"
"459","CSPG4P11"
"460","CTTNBP2"
"461","CYP1A1"
"462","CYP21A2"
"463","CYP4V2"
"464","DCST1"
"465","DDB2"
"466","DDN"
"467","DEF8"
"468","DENND2D"
"469","DGKA"
"470","DGKQ"
"471","DHCR7"
"472","DHDH"
"473","DLL1"
"474","DNASE1L1"
"475","DNM1P41"
"476","DOC2GP"
"477","DQX1"
"478","DRAM2"
"479","DRAXIN"
"480","DUSP5P1"
"481","DUSP7"
"482","DVL3"
"483","DYRK3"
"484","ECH1"
"485","ECI2"
"486","EDEM1"
"487","EEF1A2"
"488","EFCAB13"
"489","EFNB3"
"490","EGF"
"491","EGFL7"
"492","EID2B"
"493","EIF1P3"
"494","EIF2AK3"
"495","EML2"
"496","EN1"
"497","ENO2"
"498","EPHA5"
"499","EPHA5-AS1"
"500","ERVH48-1"
"501","EXOC3L1"
"502","FAM149A"
"503","FAM166A"
"504","FAM167B"
"505","FAM187B2P"
"506","FAM213A"
"507","FAM43B"
"508","FAM69C"
"509","FAM84A"
"510","FAM98C"
"511","FAN1"
"512","FBXL16"
"513","FBXL2"
"514","FGF9"
"515","FGFBP2"
"516","FNDC8"
"517","FP325317.1"
"518","FSCN2"
"519","FUK"
"520","FUT3"
"521","FXYD7"
"522","G6PD"
"523","GABPB1-AS1"
"524","GAPDHP22"
"525","GATA2"
"526","GDF9"
"527","GEMIN8"
"528","GGN"
"529","GGT8P"
"530","GIPR"
"531","GJA3"
"532","GLI3"
"533","GLUL"
"534","GMIP"
"535","GNB3"
"536","GNRH1"
"537","GOLGA3"
"538","GOLGA4"
"539","GOLGA6L4"
"540","GOLGA8B"
"541","GOLGA8R"
"542","GP1BA"
"543","GPR61"
"544","GPR62"
"545","GRASP"
"546","GRIA2"
"547","GSDMB"
"548","GSTM5"
"549","GSTO2"
"550","GXYLT1P4"
"551","HCG15"
"552","HDAC5"
"553","HEMK1"
"554","HES4"
"555","HES7"
"556","HEY2"
"557","HIGD1AP18"
"558","HIPK1-AS1"
"559","HIST1H2APS3"
"560","HIST3H3"
"561","HKR1"
"562","HLA-F-AS1"
"563","HLA-K"
"564","HLA-T"
"565","HLA-W"
"566","HMGN1P17"
"567","HNRNPA1P1"
"568","HNRNPKP5"
"569","HOOK2"
"570","HOTAIRM1"
"571","HOTTIP"
"572","HOXA1"
"573","HOXA11"
"574","HOXA11-AS"
"575","HOXA13"
"576","HOXA2"
"577","HOXD12"
"578","HPD"
"579","HRASLS"
"580","HSD17B6"
"581","HSD17B7"
"582","HSD3BP2"
"583","HSPA2"
"584","HSPA4L"
"585","HYI-AS1"
"586","ICAM5"
"587","IFITM5"
"588","IGKV1OR-2"
"589","IGLL3P"
"590","IL11RA"
"591","IL23A"
"592","INHBB"
"593","INO80B-WBP1"
"594","IRGQ"
"595","ISL2"
"596","ITPR1-AS1"
"597","IVNS1ABP"
"598","JPH4"
"599","KAZN"
"600","KCNA2"
"601","KCNH3"
"602","KCNJ14"
"603","KCNJ2-AS1"
"604","KCNK7"
"605","KDM4B"
"606","KIAA0355"
"607","KIAA1024"
"608","KIAA1324L"
"609","KIF3C"
"610","KLF15"
"611","KLHL24"
"612","KLHL7-AS1"
"613","KLK14"
"614","KMT2E-AS1"
"615","KRBA1"
"616","KRT17P8"
"617","KRT8P7"
"618","KRTAP5-10"
"619","KRTCAP3"
"620","LAMTOR5-AS1"
"621","LCMT1-AS1"
"622","LDHBP1"
"623","LENG8-AS1"
"624","LINC00427"
"625","LINC00443"
"626","LINC00601"
"627","LINC00638"
"628","LINC00706"
"629","LINC00846"
"630","LINC00898"
"631","LINC01126"
"632","LINC01254"
"633","LINC01268"
"634","LINC01287"
"635","LINC01300"
"636","LINC01534"
"637","LINC01549"
"638","LINC01569"
"639","LINC01770"
"640","LINC01786"
"641","LINC01918"
"642","LINC01970"
"643","LINC02175"
"644","LINC02199"
"645","LINC02340"
"646","LINC02363"
"647","LINC02461"
"648","LINC02560"
"649","LMF1"
"650","LMTK3"
"651","LOH12CR2"
"652","LPAR2"
"653","LPCAT4"
"654","LPIN3"
"655","LRIG2"
"656","LRP10"
"657","LRP2BP"
"658","LRP4-AS1"
"659","LSMEM2"
"660","LTA"
"661","LTB4R"
"662","LTBP3"
"663","LTBP4"
"664","LTC4S"
"665","MAEL"
"666","MANBA"
"667","MAP3K10"
"668","MAPK8IP2"
"669","MAST1"
"670","MATN1-AS1"
"671","MC1R"
"672","MCF2L2"
"673","MEIS3"
"674","MFAP3L"
"675","MIB2"
"676","MIR1303"
"677","MIR193A"
"678","MIR193BHG"
"679","MIR24-2"
"680","MIR320D1"
"681","MIR345"
"682","MIR450A1"
"683","MIR450B"
"684","MIR4665"
"685","MIR4678"
"686","MIR4682"
"687","MIR563"
"688","MIRLET7BHG"
"689","MITF"
"690","MLN"
"691","MNT"
"692","MROH6"
"693","MRPS36P5"
"694","MT-CO1"
"695","MT1XP1"
"696","MT3"
"697","MTERF2"
"698","MTHFR"
"699","MTMR10"
"700","MUC20-OT1"
"701","MUC20P1"
"702","MYBPH"
"703","MYO6"
"704","MYPOP"
"705","NACAP1"
"706","NAT16"
"707","NBPF12"
"708","NBPF2P"
"709","NCKAP5L"
"710","NDST1-AS1"
"711","NDUFA3P4"
"712","NDUFA5P6"
"713","NEIL1"
"714","NFASC"
"715","NFE2L3P1"
"716","NMNAT3"
"717","NOA1"
"718","NOTCH2"
"719","NOVA2"
"720","NPAS1"
"721","NPM1P47"
"722","NPNT"
"723","NPPC"
"724","NPRL2"
"725","NPTX1"
"726","NPY"
"727","NR1H3"
"728","NRP2"
"729","NSUN5"
"730","NTN3"
"731","NUMBL"
"732","OAF"
"733","ODAPH"
"734","OR7E25P"
"735","OSTCP1"
"736","OVGP1"
"737","P2RX7"
"738","P3H2"
"739","PDCL3P4"
"740","PDE4A"
"741","PDK4"
"742","PDLIM3"
"743","PDPK2P"
"744","PDPN"
"745","PDPR"
"746","PDZD2"
"747","PDZD4"
"748","PFN1P2"
"749","PGBD4"
"750","PGGHG"
"751","PGPEP1"
"752","PHF7"
"753","PHYHD1"
"754","PIANP"
"755","PITPNM2"
"756","PLA2G5"
"757","PLCD1"
"758","PLD1"
"759","PLD3"
"760","PLEKHG5"
"761","PLIN2"
"762","PLK5"
"763","PNCK"
"764","PNPLA6"
"765","POLRMT"
"766","POM121B"
"767","PPFIA3"
"768","PPIAP32"
"769","PPM1B"
"770","PPM1N"
"771","PPP1R16B"
"772","PPP1R3F"
"773","PRELID3A"
"774","PRKCQ"
"775","PRKD2"
"776","PRR25"
"777","PSD"
"778","PSORS1C1"
"779","PSPN"
"780","PTCH2"
"781","RAB26"
"782","RAB39A"
"783","RAB3IL1"
"784","RAD51-AS1"
"785","RAD52"
"786","RANP4"
"787","RAPGEF3"
"788","RARG"
"789","RBM20"
"790","RBSN"
"791","RDH10"
"792","RF00432"
"793","RGS10"
"794","RGS6"
"795","RHBDF1"
"796","RHBDF2"
"797","RHBDL1"
"798","RHOU"
"799","RINL"
"800","RN7SKP106"
"801","RN7SKP129"
"802","RN7SKP55"
"803","RN7SL131P"
"804","RN7SL198P"
"805","RN7SL525P"
"806","RN7SL581P"
"807","RN7SL592P"
"808","RN7SL664P"
"809","RN7SL73P"
"810","RN7SL790P"
"811","RN7SL799P"
"812","RN7SL845P"
"813","RNA5SP18"
"814","RNA5SP228"
"815","RNA5SP52"
"816","RNA5SP64"
"817","RNASEH2B-AS1"
"818","RNF39"
"819","RNPC3"
"820","RNU12-2P"
"821","RNU2-17P"
"822","RNU2-19P"
"823","RNU2-62P"
"824","RNU4-39P"
"825","RNU4-84P"
"826","RNU6-247P"
"827","RNU6-304P"
"828","RNU6-3P"
"829","RNU6-45P"
"830","RNU6-483P"
"831","RNU6-598P"
"832","RNU6-705P"
"833","RNU6-907P"
"834","RNU6-947P"
"835","RNU6ATAC17P"
"836","RNU7-160P"
"837","RNU7-179P"
"838","RNU7-54P"
"839","RNY1"
"840","RPL12P50"
"841","RPL22P19"
"842","RPL34P34"
"843","RPL37AP8"
"844","RPL3P7"
"845","RPL7P8"
"846","RPS10P3"
"847","RPS26P49"
"848","RPS2P4"
"849","RPS4XP22"
"850","RSBN1"
"851","RSG1"
"852","RUBCNL"
"853","RUNDC3A"
"854","SAFB2"
"855","SASH1"
"856","SCARB1"
"857","SCML2P2"
"858","SCNN1D"
"859","SELENON"
"860","SEMA3B-AS1"
"861","SEPT14P4"
"862","SERPING1"
"863","SETD5"
"864","SEZ6L2"
"865","SH2D5"
"866","SKAP2"
"867","SKOR1"
"868","SLC16A8"
"869","SLC25A23"
"870","SLC25A27"
"871","SLC25A34"
"872","SLC25A41"
"873","SLC27A5"
"874","SLC29A4"
"875","SLC30A3"
"876","SLC31A2"
"877","SLC4A4"
"878","SLC8B1"
"879","SLCO1C1"
"880","SNRNP70"
"881","SNX18P4"
"882","SOBP"
"883","SOX6"
"884","SPATA20"
"885","SPATA6"
"886","SPTSSB"
"887","SRP14-AS1"
"888","SRRM1"
"889","SSPO"
"890","SSSCA1-AS1"
"891","ST6GALNAC4P1"
"892","STAC2"
"893","STAG3"
"894","STARD7-AS1"
"895","STEAP2"
"896","STK19B"
"897","STK40"
"898","STRIP1"
"899","STX11"
"900","STX1B"
"901","SUGT1P1"
"902","SYTL2"
"903","TAS1R3"
"904","TAS2R6P"
"905","TAZ"
"906","TCEAL7"
"907","TEKT4P2"
"908","TEX44"
"909","TFAP4"
"910","THBS3"
"911","TLE6"
"912","TLR2"
"913","TM7SF3"
"914","TMCC2"
"915","TMEM131L"
"916","TMEM167B"
"917","TMEM198B"
"918","TMEM38A"
"919","TMEM44-AS1"
"920","TMEM63A"
"921","TMPRSS3"
"922","TNFRSF14-AS1"
"923","TNFRSF25"
"924","TNK2"
"925","TNS2"
"926","TPCN1"
"927","TPTE2P1"
"928","TRAJ11"
"929","TRAJ13"
"930","TRAJ17"
"931","TRAJ3"
"932","TRAJ38"
"933","TRAJ8"
"934","TRIM45"
"935","TRIM54"
"936","TRIM73"
"937","TRIM74"
"938","TRIP10"
"939","TSPAN7"
"940","TTC21A"
"941","TTLL3"
"942","TTYH2"
"943","TXNRD3"
"944","TXNRD3NB"
"945","U2AF1"
"946","U62317.2"
"947","U73166.1"
"948","U91328.1"
"949","UBE2FP3"
"950","UBE2Q2P1"
"951","UBQLN4P1"
"952","UCN"
"953","UNC13D"
"954","UNC80"
"955","UPK3B"
"956","UQCRHL"
"957","VAT1"
"958","VN1R110P"
"959","VPS13C"
"960","VPS13D"
"961","VSTM2B"
"962","VTI1BP2"
"963","WAS"
"964","WDR88"
"965","WFIKKN1"
"966","WNK1"
"967","WNK4"
"968","WNT8B"
"969","WTIP"
"970","YJEFN3"
"971","YPEL3"
"972","Z69733.1"
"973","Z73417.1"
"974","Z84492.2"
"975","ZBTB1"
"976","ZDHHC20P1"
"977","ZFP14"
"978","ZFP36L2"
"979","ZGLP1"
"980","ZMAT3"
"981","ZNF155"
"982","ZNF221"
"983","ZNF224"
"984","ZNF226"
"985","ZNF234"
"986","ZNF283"
"987","ZNF30"
"988","ZNF311"
"989","ZNF330"
"990","ZNF358"
"991","ZNF37CP"
"992","ZNF382"
"993","ZNF383"
"994","ZNF404"
"995","ZNF444"
"996","ZNF460-AS1"
"997","ZNF461"
"998","ZNF471"
"999","ZNF528-AS1"
"1000","ZNF529"
"1001","ZNF540"
"1002","ZNF546"
"1003","ZNF580"
"1004","ZNF582-AS1"
"1005","ZNF608"
"1006","ZNF667"
"1007","ZNF701"
"1008","ZNF790"
"1009","ZNF805"
"1010","ZNF808"
"1011","ZNF90P3"
