"","HuAgeGBsplit_01....QNPbyTAP__"
"655","TNFRSF12A"
"656","TNFRSF21"
"657","TNRC6A"
"658","TOMM40"
"659","TPBG"
"660","TPCN2"
"661","TPGS1"
"662","TPM1"
"663","TRAF7"
"664","TRAP1"
"665","TRAPPC1"
"666","TRAPPC2L"
"667","TRIB1"
"668","TRIB2"
"669","TSC2"
"670","TSPYL2"
"671","TSR1"
"672","TSR3"
"673","TTC9B"
"674","TUBA4A"
"675","TUFM"
"676","TXNDC11"
"677","TXNDC17"
"678","UBALD1"
"679","UBC"
"680","UBE2G1"
"681","UBFD1"
"682","UBN1"
"683","ULK1"
"684","ULK2"
"685","UNC5B"
"686","UNKL"
"687","UQCRB"
"688","UQCRC2"
"689","URI1"
"690","UROD"
"691","USP22"
"692","USP7"
"693","UVRAG"
"694","VASP"
"695","VAT1L"
"696","VGLL3"
"697","VIM"
"698","VPS35L"
"699","VPS53"
"700","VRK3"
"701","WDR24"
"702","WDR45B"
"703","WDR73"
"704","WDR90"
"705","WHAMM"
"706","WRAP53"
"707","WSB1"
"708","WSCD1"
"709","XRCC1"
"710","YWHAE"
"711","ZBTB22"
"712","ZBTB4"
"713","ZBTB7A"
"714","ZC3H7A"
"715","ZCCHC14"
"716","ZDHHC5"
"717","ZFAND6"
"718","ZKSCAN2"
"719","ZNF180"
"720","ZNF213"
"721","ZNF263"
"722","ZNF496"
"723","ZNF513"
"724","ZNF592"
"725","ZNF598"
"726","ZNF629"
"727","ZNF641"
"728","ZNF672"
"729","ZNF688"
"730","ZNF692"
"731","ZNF703"
"732","ZNF768"
"733","ZNF771"
"734","ZZEF1"
