"","blue....QSVZbyPSVZ__"
"586","MFSD8"
"587","MGAT5B"
"588","MGST1"
"589","MICAL1"
"590","MIER1"
"591","MLEC"
"592","MMD"
"593","MMGT1"
"594","MMP16"
"595","MMP17"
"596","MOBP"
"597","MOCOS"
"598","MPEG1"
"599","MPHOSPH9"
"600","MPPE1"
"601","MR1"
"602","MRO"
"603","MRPL3"
"604","MRPL35"
"605","MSMO1"
"606","MSTO1"
"607","MT2A"
"608","MT3"
"609","MTHFD2L"
"610","MTHFSD"
"611","MTM1"
"612","MTMR1"
"613","MTMR14"
"614","MTOR"
"615","MTX1"
"616","MVD"
"617","MYC"
"618","MYLK"
"619","MYO6"
"620","MYPOP"
"621","MYRF"
"622","N4BP2"
"623","NAF1"
"624","NAP1L3"
"625","NAPB"
"626","NCDN"
"627","NCK1"
"628","NCKIPSD"
"629","NCLN"
"630","NDEL1"
"631","NDUFAF3"
"632","NDUFAF7"
"633","NDUFC1"
"634","NDUFS1"
"635","NECAP2"
"636","NEIL1"
"637","NEO1"
"638","NEU3"
"639","NFASC"
"640","NFAT5"
"641","NFATC1"
"642","NFE2L2"
"643","NFIC"
"644","NFKBIB"
"645","NGLY1"
"646","NINJ2"
"647","NIPA1"
"648","NIPA2"
"649","NISCH"
"650","NKIRAS1"
"651","NKX2-2"
"652","NLRX1"
"653","NMD3"
"654","NME6"
"655","NOTCH2"
"656","NPAS2"
"657","NPPC"
"658","NPRL2"
"659","NPY"
"660","NR1H3"
"661","NR2E1"
"662","NR3C2"
"663","NRGN"
"664","NRP1"
"665","NSDHL"
"666","NSUN7"
"667","NT5DC3"
"668","NTN3"
"669","NUDT11"
"670","NUDT19"
"671","NUDT6"
"672","NUDT9"
"673","NUPR1"
"674","NXPE3"
"675","NXPE4"
"676","OAF"
"677","OCIAD2"
"678","OLFM1"
"679","OLFML2B"
"680","OLIG1"
"681","OPALIN"
"682","OPTC"
"683","OSBPL1A"
"684","OSGEPL1"
"685","OSGIN2"
"686","OSMR"
"687","OSTM1"
"688","OTUD3"
"689","OTUD7A"
"690","OXSM"
"691","P2RX7"
"692","P4HTM"
"693","PACRGL"
"694","PADI2"
"695","PALLD"
"696","PAMR1"
"697","PCCB"
"698","PCDH10"
"699","PCDH7"
"700","PCDH9"
"701","PCOLCE2"
"702","PCSK1N"
"703","PDE4A"
"704","PDE4B"
"705","PDE4DIP"
"706","PDE8A"
"707","PDE9A"
"708","PDGFC"
"709","PDHA1"
"710","PDK4"
"711","PDLIM5"
"712","PDP2"
"713","PDPN"
"714","PDZD2"
"715","PEPD"
"716","PERM1"
"717","PEX10"
"718","PEX13"
"719","PEX6"
"720","PFKM"
"721","PFN2"
"722","PGBD1"
"723","PGBD5"
"724","PHACTR4"
"725","PHC3"
"726","PHGDH"
"727","PHKA1"
"728","PHLDA3"
"729","PHLDB1"
"730","PHLDB2"
"731","PHLPP1"
"732","PHYHIPL"
"733","PIANP"
"734","PIGV"
"735","PIK3R4"
"736","PIP4K2A"
"737","PITHD1"
"738","PITPNM2"
"739","PJA1"
"740","PKD2"
"741","PLA2G12A"
"742","PLA2G5"
"743","PLCD1"
"744","PLCL2"
"745","PLD1"
"746","PLD3"
"747","PLEKHF1"
"748","PLEKHF2"
"749","PLEKHG1"
"750","PLIN2"
"751","PLLP"
"752","PLOD2"
"753","PLXNA3"
"754","PLXNB1"
"755","PLXND1"
"756","PMVK"
"757","PNKD"
"758","PNPLA6"
"759","PNRC2"
"760","POLRMT"
"761","PORCN"
"762","PPFIBP2"
"763","PPM1M"
"764","PPP1R16B"
"765","PPP2R3A"
"766","PPP2R5A"
"767","PPP3CA"
"768","PRDM8"
"769","PRDX6"
"770","PRKAR2B"
"771","PRKCQ"
"772","PRKDC"
"773","PRKX"
"774","PROM1"
"775","PROS1"
"776","PRRT4"
"777","PRSS35"
"778","PRSS36"
"779","PSKH1"
"780","PSMD4"
"781","PSME4"
"782","PTCH1"
"783","PTPDC1"
"784","PTPN13"
"785","PTPRF"
