"","HuAgeGBsplit_01....NPCbyNSC__"
"497","LIN7B"
"498","LIPT2"
"499","LMBR1L"
"500","LMBRD1"
"501","LMNA"
"502","LONP2"
"503","LRP11"
"504","LRP8"
"505","LRPAP1"
"506","LRRC10B"
"507","LRRC23"
"508","LRRC28"
"509","LRRC32"
"510","LRRC39"
"511","LRRC49"
"512","LRRC4B"
"513","LRRC8D"
"514","LUM"
"515","LYRM2"
"516","M6PR"
"517","MACROD1"
"518","MAL"
"519","MAP2K7"
"520","MAP3K12"
"521","MAP3K4"
"522","MAP4K3"
"523","MAPK4"
"524","MAPK8IP3"
"525","MAPKBP1"
"526","MAPRE3"
"527","MARK1"
"528","MAST3"
"529","MAU2"
"530","MB21D2"
"531","MBD5"
"532","MBD6"
"533","MDK"
"534","MED31"
"535","MEGF8"
"536","METRN"
"537","METTL22"
"538","METTL23"
"539","MEX3D"
"540","MFF"
"541","MFSD2A"
"542","MGST3"
"543","MIDN"
"544","MIEN1"
"545","MLF2"
"546","MMAB"
"547","MMADHC"
"548","MMP11"
"549","MOG"
"550","MORF4L1"
"551","MORN2"
"552","MOSPD1"
"553","MPC1"
"554","MPC2"
"555","MPIG6B"
"556","MPV17"
"557","MPV17L2"
"558","MRGPRX3"
"559","MRM3"
"560","MRPL47"
"561","MRPL9"
"562","MRPS9"
"563","MTERF4"
"564","MTF1"
"565","MTF2"
"566","MTFR1"
"567","MTMR11"
"568","MTO1"
"569","MVB12A"
"570","MYCL"
"571","MYL6"
"572","MYO1B"
"573","MYO9A"
"574","N6AMT1"
"575","NAE1"
"576","NAPG"
"577","NAT1"
"578","NAT14"
"579","NAT8L"
"580","NAV1"
"581","NCK2"
"582","NDRG4"
"583","NDUFA3"
"584","NDUFAF1"
"585","NDUFB10"
"586","NDUFB11"
"587","NDUFB3"
"588","NDUFB4"
"589","NDUFB9"
"590","NEDD4L"
"591","NENF"
"592","NEURL4"
"593","NFATC4"
"594","NHSL1"
"595","NID1"
"596","NKAIN1"
"597","NKD2"
"598","NKRF"
"599","NKX6-2"
"600","NLGN2"
"601","NME7"
"602","NODAL"
"603","NOL4"
"604","NOL7"
"605","NOSTRIN"
"606","NPC1"
"607","NPEPPS"
"608","NPPA"
"609","NQO1"
"610","NRBP2"
"611","NRXN1"
"612","NRXN2"
"613","NTS"
"614","NTSR2"
"615","NWD1"
"616","NXN"
"617","NXPH3"
"618","NXT2"
"619","NYNRIN"
"620","OCIAD1"
"621","OCRL"
"622","OLFML3"
"623","OPLAH"
"624","OPRL1"
"625","OXR1"
"626","P3H4"
"627","P4HA2"
"628","PABPC5"
"629","PACSIN1"
"630","PAFAH1B3"
"631","PAK1"
"632","PAPSS2"
"633","PAQR3"
"634","PAQR7"
"635","PARD6G"
"636","PARP6"
"637","PAWR"
"638","PBLD"
"639","PBXIP1"
"640","PCBP4"
"641","PCGF1"
"642","PCOLCE"
"643","PCP4"
"644","PCP4L1"
"645","PCSK4"
"646","PCYT1B"
"647","PDCD10"
"648","PDE6D"
"649","PDGFRA"
"650","PDGFRB"
"651","PDGFRL"
"652","PDPK1"
"653","PDZK1"
"654","PEA15"
"655","PEX2"
"656","PEX3"
"657","PEX7"
"658","PFDN5"
"659","PHC1"
"660","PHF1"
"661","PHF20L1"
"662","PHKG2"
"663","PHLDA1"
"664","PHYHIP"
"665","PIAS2"
"666","PIAS4"
"667","PIGB"
"668","PIGG"
"669","PIGX"
"670","PIK3C2B"
"671","PIN4"
"672","PINK1"
"673","PIR"
"674","PKD2L2"
"675","PLA2G7"
"676","PLAGL1"
"677","PLAT"
"678","PLAUR"
"679","PLCL1"
"680","PLEC"
"681","PLEKHG2"
"682","PLEKHH3"
"683","PLP1"
"684","PLPP2"
"685","PLPP3"
"686","PLPPR2"
"687","PLPPR3"
"688","PLS1"
"689","PLXNA2"
"690","PNISR"
"691","PNMA3"
"692","PNMA8A"
"693","POLR2K"
"694","POLR3E"
"695","POMC"
"696","POMGNT1"
"697","POMGNT2"
"698","PPBP"
"699","PPIB"
"700","PPM1L"
"701","PPOX"
"702","PPP1R11"
"703","PPP1R12C"
"704","PPP1R1A"
"705","PPP2R2A"
"706","PPT2-EGFL8"
"707","PPTC7"
"708","PRCC"
"709","PREX2"
"710","PRKAB2"
"711","PRR12"
"712","PRR36"
"713","PSEN2"
"714","PSMB6"
"715","PSMD14"
"716","PTK2"
"717","PTOV1"
"718","PURG"
"719","PXDN"
"720","PYGM"
"721","PYGO1"
"722","R3HDM4"
"723","RAB11FIP3"
"724","RAB12"
"725","RAB21"
"726","RAB2A"
"727","RAB33B"
"728","RAB3A"
"729","RAB9A"
"730","RABAC1"
"731","RABEP1"
"732","RABEP2"
"733","RAI1"
"734","RAMP2"
"735","RASL11A"
"736","RASL12"
"737","RBM4"
"738","RBM5"
"739","RCAN2"
"740","RCN2"
"741","REEP1"
"742","RERG"
"743","RETREG2"
"744","REV3L"
"745","RFX7"
"746","RFXANK"
"747","RGCC"
"748","RGL2"
"749","RGS5"
"750","RHBDL2"
"751","RHOJ"
"752","RHPN1"
"753","RICTOR"
"754","RIMKLB"
"755","RIOK3"
"756","RMDN3"
"757","RNASEH1"
"758","RND2"
"759","RNF11"
"760","RNF122"
"761","RNF138"
"762","RNF144A"
"763","RNF146"
"764","RNF165"
"765","RNF167"
"766","RNF181"
"767","RNF182"
"768","RNF25"
"769","RNF34"
"770","RNF5"
"771","RNMT"
"772","RNU4-1"
"773","RNU4-2"
"774","ROMO1"
"775","RPAIN"
"776","RPS6KB2"
"777","RPUSD1"
"778","RSPH3"
"779","RSPH9"
"780","RTKN"
"781","RTN1"
"782","RTN2"
"783","RTN4"
"784","RWDD2A"
"785","S100A4"
"786","S100A6"
"787","S1PR3"
"788","SARAF"
"789","SBK1"
"790","SC5D"
"791","SCAPER"
"792","SCARA3"
"793","SCNM1"
"794","SCRN1"
"795","SCRT2"
"796","SDC4"
"797","SDCCAG8"
"798","SEC11C"
"799","SEC14L5"
"800","SEC22A"
"801","SEC62"
"802","SECISBP2L"
"803","SELENOF"
"804","SELENOS"
"805","SELENOW"
"806","SEMA4C"
"807","SEMA4F"
"808","SEMA6B"
"809","SERINC1"
"810","SERINC2"
"811","SERPINF1"
"812","SERPINH1"
"813","SERTAD4"
"814","SETD6"
"815","SF3B6"
"816","SFN"
"817","SFRP1"
"818","SFRP4"
"819","SGIP1"
"820","SGK2"
"821","SGSM2"
"822","SH2B1"
"823","SH3BGRL2"
"824","SH3GL3"
"825","SH3YL1"
"826","SHANK1"
"827","SHISA4"
"828","SHROOM3"
"829","SIAH1"
"830","SIKE1"
"831","SLC12A4"
"832","SLC13A5"
"833","SLC16A2"
"834","SLC1A3"
"835","SLC20A2"
"836","SLC22A6"
"837","SLC25A19"
"838","SLC25A35"
"839","SLC25A4"
"840","SLC25A53"
"841","SLC27A1"
"842","SLC2A12"
"843","SLC35A5"
"844","SLC37A4"
"845","SLC38A3"
"846","SLC38A5"
"847","SLC39A2"
"848","SLC46A1"
"849","SLC4A3"
"850","SLC6A20"
"851","SLC6A8"
"852","SLC7A10"
"853","SLC7A3"
"854","SLC9A6"
"855","SLCO1A2"
"856","SLITRK3"
"857","SLITRK4"
"858","SMAP1"
"859","SMG6"
"860","SMIM1"
"861","SMIM19"
"862","SMPD2"
"863","SMPDL3A"
"864","SNAP47"
"865","SNAPIN"
"866","SNCA"
"867","SNCB"
"868","SNED1"
"869","SNRNP48"
"870","SNX14"
"871","SORBS2"
"872","SORL1"
"873","SOX11"
"874","SOX7"
"875","SPACA6"
"876","SPAG1"
"877","SPARC"
"878","SPATA45"
"879","SPCS1"
"880","SPRY4"
"881","SPRYD3"
"882","SPTBN1"
"883","SPTBN2"
"884","SQSTM1"
"885","SRP14"
"886","SRPK3"
"887","SRRM3"
"888","SRSF11"
"889","SRSF12"
"890","ST3GAL5"
"891","ST8SIA2"
"892","STAMBP"
"893","STC1"
"894","STEAP3"
"895","STK38L"
"896","STMN2"
"897","STMN3"
"898","STMN4"
"899","STOX2"
"900","STRA6"
"901","STX4"
"902","STX7"
"903","SUCLG1"
"904","SWT1"
"905","SYBU"
"906","SYF2"
"907","SYNGR3"
"908","SYPL2"
"909","SYT11"
"910","TAF11"
"911","TAF1C"
"912","TAGLN"
"913","TAGLN3"
"914","TATDN3"
"915","TAX1BP3"
"916","TBC1D17"
"917","TBC1D24"
"918","TBCE"
"919","TBX18"
"920","TBX6"
"921","TCTEX1D4"
"922","TDRP"
"923","TECR"
"924","TERF2IP"
"925","TEX264"
"926","TFB2M"
"927","TGFB1I1"
"928","TGFBR3"
"929","THEM4"
"930","TIGD5"
"931","TIMM10"
"932","TIMM22"
"933","TIMM29"
"934","TM2D1"
"935","TM2D2"
"936","TMC4"
"937","TMC7"
"938","TMEM128"
"939","TMEM129"
"940","TMEM130"
"941","TMEM147"
"942","TMEM150A"
"943","TMEM151A"
"944","TMEM160"
"945","TMEM161A"
"946","TMEM169"
"947","TMEM17"
"948","TMEM175"
"949","TMEM18"
"950","TMEM19"
"951","TMEM200B"
"952","TMEM208"
"953","TMEM212"
"954","TMEM222"
"955","TMEM242"
"956","TMEM255A"
"957","TMEM259"
"958","TMEM38B"
"959","TMEM44"
"960","TMEM51"
"961","TMEM59"
"962","TMEM70"
"963","TMEM89"
"964","TMOD1"
"965","TNFRSF10C"
"966","TNFRSF12A"
"967","TP53BP1"
"968","TP53BP2"
"969","TPBG"
"970","TPGS1"
"971","TPM1"
"972","TPMT"
"973","TPPP"
"974","TPRKB"
"975","TRIM2"
"976","TRIM29"
"977","TRIM35"
"978","TRIP6"
"979","TRIR"
"980","TRIT1"
"981","TRMT13"
"982","TRMT1L"
"983","TRNP1"
"984","TSNAXIP1"
"985","TSPAN2"
"986","TSPAN3"
"987","TSPAN6"
"988","TSPYL2"
"989","TSR3"
"990","TTC9B"
"991","TTI2"
"992","TTPA"
"993","TTR"
"994","TTYH1"
"995","TUBB4A"
"996","TUSC3"
"997","TXLNB"
"998","TXNL4A"
"999","TYRO3"
"1000","UBE2E3"
"1001","UBE2QL1"
"1002","UBE2V2"
"1003","UBXN2A"
"1004","UBXN6"
"1005","UBXN8"
"1006","ULK1"
"1007","UNC50"
"1008","UNC5B"
"1009","UNKL"
"1010","UQCRC2"
"1011","UQCRFS1"
"1012","UROD"
"1013","USE1"
"1014","USP22"
"1015","USP3"
"1016","USP30"
"1017","USP33"
"1018","USP53"
"1019","UVSSA"
"1020","UXT"
"1021","VANGL1"
"1022","VANGL2"
"1023","VEZT"
"1024","VMO1"
"1025","VNN1"
"1026","VPREB1"
"1027","VPS28"
"1028","VPS37A"
"1029","VPS53"
"1030","VTA1"
"1031","WDR59"
"1032","WDR61"
"1033","WDR83"
"1034","WDYHV1"
"1035","WFDC1"
"1036","WHAMM"
"1037","WNT4"
"1038","WRAP53"
"1039","WRNIP1"
"1040","WSB1"
"1041","WSB2"
"1042","YAP1"
"1043","YBX2"
"1044","YIPF4"
"1045","YPEL5"
"1046","YWHAQ"
"1047","ZBTB10"
"1048","ZBTB18"
"1049","ZBTB39"
"1050","ZBTB47"
"1051","ZC4H2"
"1052","ZDHHC17"
"1053","ZFAND2B"
"1054","ZFAND6"
"1055","ZFC3H1"
"1056","ZFP1"
"1057","ZFYVE9"
"1058","ZKSCAN2"
"1059","ZKSCAN4"
"1060","ZNF101"
"1061","ZNF160"
"1062","ZNF236"
"1063","ZNF250"
"1064","ZNF263"
"1065","ZNF292"
"1066","ZNF34"
"1067","ZNF414"
"1068","ZNF429"
"1069","ZNF467"
"1070","ZNF519"
"1071","ZNF532"
"1072","ZNF558"
"1073","ZNF575"
"1074","ZNF579"
"1075","ZNF641"
"1076","ZNF688"
"1077","ZNF692"
"1078","ZNF746"
"1079","ZNF76"
"1080","ZNF777"
"1081","ZNF85"
"1082","ZSCAN18"
"1083","ZYG11B"
