"","HuAgeGBsplit_02....QGBObyPGBO__"
"418","FTSJ1"
"419","FUNDC1"
"420","FUNDC2"
"421","G6PD"
"422","GADD45G"
"423","GAL"
"424","GALM"
"425","GAP43"
"426","GAPDH"
"427","GAPDHP63"
"428","GASAL1"
"429","GATA2"
"430","GFRA1"
"431","GGN"
"432","GGTA2P"
"433","GJA1"
"434","GNL3L"
"435","GOLGA2P7"
"436","GOLGA8R"
"437","GPD1L"
"438","GPI"
"439","GPM6A"
"440","GPR12"
"441","GPR157"
"442","GPR162"
"443","GPR173"
"444","GPR62"
"445","GPR88"
"446","GRASP"
"447","GRPEL1"
"448","GTF2A2"
"449","GTF3C6"
"450","H1FX"
"451","HAVCR1P1"
"452","HCCS"
"453","HDAC11-AS1"
"454","HDGFL2"
"455","HELLPAR"
"456","HES7"
"457","HFE"
"458","HIGD1AP18"
"459","HIPK1-AS1"
"460","HIST1H4G"
"461","HLA-T"
"462","HLX"
"463","HMGA1P7"
"464","HMGB3"
"465","HMGCS1"
"466","HMGN1P17"
"467","HMGN2P17"
"468","HMGN3"
"469","HMX1"
"470","HNRNPA1P1"
"471","HNRNPA1P4"
"472","HNRNPH2"
"473","HOXA1"
"474","HOXD12"
"475","HOXD13"
"476","HPRT1"
"477","HRASLS"
"478","HS6ST1P1"
"479","HSD17B10"
"480","HSD17B7"
"481","HSP90AB3P"
"482","HSPB1P1"
"483","HSPB1P2"
"484","HSPD1"
"485","HSPD1P4"
"486","HSPE1P4"
"487","HTR1D"
"488","IDH3G"
"489","IGFBP6"
"490","IGFLR1"
"491","ILDR2"
"492","INAVA"
"493","INSIG1"
"494","INSM1"
"495","INTS13"
"496","ISOC1"
"497","ISOC2"
"498","IZUMO4"
"499","JADRR"
"500","KCNAB2"
"501","KCNIP3"
"502","KCNQ2"
"503","KDM4B"
"504","KIAA2013"
"505","KIF21A"
"506","KIF26A"
"507","LAGE3"
"508","LAS1L"
"509","LCTL"
"510","LDHB"
"511","LDHBP1"
"512","LDOC1"
"513","LINC00352"
"514","LINC00652"
"515","LINC01018"
"516","LINC01023"
"517","LINC01063"
"518","LINC01268"
"519","LINC01560"
"520","LINC01761"
"521","LINC01772"
"522","LINC02078"
"523","LINC02175"
"524","LINC02458"
"525","LINC02525"
"526","LPCAT2"
"527","LRFN1"
"528","LSM10"
"529","LSM4"
"530","LSMEM2"
"531","LSS"
"532","LYSMD2"
"533","MAN2A1"
"534","MANEAL"
"535","MAP1A"
"536","MAP1LC3C"
"537","MAP2K3"
"538","MAP7D3"
"539","MARCKSL1"
"540","MATN2"
"541","MCHR1"
"542","MCTS1"
"543","ME1"
"544","MED14OS"
"545","MEIS3P1"
"546","MEMO1P1"
"547","MESP1"
"548","METTL7A"
"549","MGST1"
"550","MIR17HG"
"551","MIR298"
"552","MIR4682"
"553","MIR645"
"554","MLLT10P1"
"555","MNX1"
"556","MNX1-AS1"
"557","MORF4L2"
"558","MRPL20"
"559","MRPL24"
"560","MRPL35P2"
"561","MRPL4"
"562","MRPL40P1"
"563","MRPL42P2"
"564","MRPL51"
"565","MRPS18C"
"566","MRTO4"
"567","MSMO1"
