"","HuAgeGBsplit_01....TAPbyQNP__"
"636","MRPS10"
"637","MRPS18B"
"638","MRPS21"
"639","MRPS9"
"640","MRS2"
"641","MSH6"
"642","MSLN"
"643","MTBP"
"644","MTERF3"
"645","MTERF4"
"646","MTF2"
"647","MTFR1"
"648","MTFR1L"
"649","MTO1"
"650","MTR"
"651","MTSS1"
"652","MTUS1"
"653","MTX2"
"654","MUTYH"
"655","MYADM"
"656","MYBL1"
"657","MYO5A"
"658","MYO9A"
"659","MZT2B"
"660","NAA25"
"661","NABP2"
"662","NACA"
"663","NACC1"
"664","NADK2"
"665","NAE1"
"666","NAP1L1"
"667","NAPG"
"668","NARS"
"669","NAT14"
"670","NAV1"
"671","NAXE"
"672","NCL"
"673","NCOA1"
"674","NCOA2"
"675","NDC1"
"676","NDUFA3"
"677","NDUFAF1"
"678","NDUFAF4"
"679","NDUFAF6"
"680","NDUFB11"
"681","NDUFB3"
"682","NDUFS2"
"683","NEDD1"
"684","NEDD4L"
"685","NEFM"
"686","NELFA"
"687","NELFE"
"688","NETO1"
"689","NEXMIF"
"690","NFATC3"
"691","NFIA"
"692","NFU1"
"693","NFYB"
"694","NFYC"
"695","NHSL1"
"696","NIF3L1"
"697","NIT1"
"698","NKAIN1"
"699","NKD1"
"700","NKD2"
"701","NKRF"
"702","NLRP4"
"703","NOL7"
"704","NONO"
"705","NOP14"
"706","NOP58"
"707","NOX3"
"708","NR2C1"
"709","NR2C2AP"
"710","NRAS"
"711","NSD2"
"712","NSD3"
"713","NSMAF"
"714","NSMCE2"
"715","NT5DC1"
"716","NT5DC2"
"717","NUCKS1"
"718","NUDCD1"
"719","NUP107"
"720","NUP133"
"721","NUP153"
"722","NUP37"
"723","NUP54"
"724","NUTF2"
"725","NVL"
"726","NWD2"
"727","OAZ2"
"728","OCIAD1"
"729","ODF2L"
"730","ODR4"
"731","OFD1"
"732","OIP5"
"733","OPA1"
"734","OPCML"
"735","OPN3"
"736","ORC2"
"737","ORC3"
"738","ORC4"
"739","ORMDL1"
"740","OSBPL8"
"741","OTUD5"
"742","OTX1"
"743","OXR1"
"744","PAK1IP1"
"745","PAN2"
"746","PANK4"
"747","PAPOLG"
"748","PARP6"
"749","PARPBP"
"750","PBX1"
"751","PCBP2"
"752","PCBP4"
"753","PCGF3"
"754","PCM1"
"755","PCMT1"
"756","PCMTD1"
"757","PCOLCE"
"758","PCSK4"
"759","PCYT1B"
"760","PDCD10"
"761","PDCD2"
"762","PDE3A"
"763","PDE6D"
"764","PDGFRA"
"765","PDZK1"
"766","PEX11B"
"767","PEX3"
"768","PEX7"
"769","PFKFB2"
"770","PGAM5"
"771","PHB2"
"772","PHC1"
"773","PHF1"
"774","PHF20L1"
"775","PHF3"
"776","PHIP"
"777","PHKB"
"778","PIAS1"
"779","PIAS2"
"780","PIAS3"
"781","PIK3C3"
"782","PIK3R1"
"783","PIKFYVE"
"784","PIN1"
"785","PKN2"
"786","PLAGL1"
"787","PLCB1"
"788","PLEKHH2"
"789","PLEKHM3"
"790","PLEKHO1"
"791","PLP1"
"792","PLPBP"
"793","PLPP1"
"794","PLPP2"
"795","PLPP3"
"796","PLPPR2"
"797","PLS1"
"798","PNISR"
"799","PNMA2"
"800","PNRC1"
"801","POC1B"
"802","POLE"
"803","POLE4"
"804","POLH"
"805","POLR2K"
"806","POLR3B"
"807","POLR3C"
"808","POU2F1"
"809","PPA1"
"810","PPIE"
"811","PPIG"
"812","PPIL4"
"813","PPM1L"
"814","PPOX"
"815","PPP1CC"
"816","PPP1R12B"
"817","PPP1R12C"
"818","PPP1R21"
"819","PPP1R8"
"820","PPP2CB"
"821","PPP2R1A"
"822","PPP2R2A"
"823","PPP2R5D"
"824","PPP3CC"
"825","PPP4R3B"
"826","PPT1"
"827","PRAG1"
"828","PRAM1"
"829","PRDM4"
"830","PREPL"
"831","PRIM1"
"832","PRKACA"
"833","PRKD3"
"834","PRKRA"
"835","PRMT1"
"836","PRMT7"
"837","PRPF3"
"838","PRPF40A"
"839","PRPF4B"
"840","PRR18"
"841","PRR36"
"842","PSMB1"
"843","PSMB4"
"844","PSMD14"
"845","PSMG2"
"846","PTBP2"
"847","PTCD3"
"848","PTDSS1"
"849","PTGES3"
"850","PTK2"
"851","PTK7"
"852","PTPN11"
"853","PTPN2"
"854","PTPN4"
"855","PUM1"
"856","PUM2"
"857","PURG"
"858","PWP1"
"859","PYM1"
"860","QKI"
"861","R3HDM2"
"862","RAB11A"
"863","RAB21"
"864","RAB23"
"865","RAB2A"
"866","RAB3GAP2"
"867","RAB3IP"
"868","RAB4A"
"869","RAB8B"
"870","RAD21"
"871","RAD23A"
"872","RALBP1"
"873","RAN"
"874","RANBP9"
"875","RAP1B"
"876","RARS2"
"877","RBBP5"
"878","RBL2"
"879","RBM3"
"880","RBM38"
"881","RBM5"
"882","RBM6"
"883","RBMX"
"884","RCAN3"
"885","RCN2"
"886","REEP6"
"887","REPS1"
"888","REV1"
"889","REV3L"
"890","REXO1"
"891","RFC5"
"892","RFTN2"
"893","RFX1"
"894","RFX7"
"895","RGCC"
"896","RGS12"
"897","RIC8B"
"898","RICTOR"
"899","RIF1"
"900","RIMBP2"
"901","RIOK1"
"902","RIPK1"
"903","RIT1"
"904","RMND1"
"905","RNF11"
"906","RNF111"
"907","RNF115"
"908","RNF139"
"909","RNF144A"
"910","RNF146"
"911","RNF2"
"912","RNF34"
"913","RNF41"
"914","RNMT"
"915","RNPEP"
"916","ROCK1"
"917","RPA2"
"918","RPAP3"
"919","RPF1"
"920","RPL22L1"
"921","RPL7L1"
"922","RPRD2"
"923","RPS26"
"924","RPS27L"
"925","RRP36"
"926","RRS1"
"927","RSL24D1"
"928","RSPH3"
"929","RTF1"
"930","RTN1"
"931","RWDD1"
"932","RWDD2A"
"933","RXRB"
"934","SACM1L"
"935","SALL1"
"936","SAP130"
"937","SCAF11"
"938","SCAF8"
"939","SCAMP4"
"940","SCAMP5"
"941","SCOC"
"942","SCRIB"
"943","SCYL2"
"944","SDAD1"
"945","SDCBP"
"946","SDCCAG8"
"947","SDHC"
"948","SEC11C"
"949","SECISBP2L"
"950","SELENOF"
"951","SEMA3D"
"952","SEMA3E"
"953","SEMA4C"
"954","SENP1"
"955","SENP6"
"956","SENP8"
"957","SERAC1"
"958","SETD6"
"959","SETDB1"
"960","SF3B5"
"961","SFMBT1"
"962","SFT2D1"
"963","SGIP1"
"964","SGPP1"
"965","SH2B3"
"966","SH3GLB1"
"967","SH3RF1"
"968","SHISA4"
"969","SHISAL1"
"970","SHMT2"
"971","SHPRH"
"972","SIAH1"
"973","SIKE1"
"974","SIN3A"
"975","SIRT5"
"976","SIX4"
"977","SLBP"
"978","SLC11A2"
"979","SLC1A3"
"980","SLC25A12"
"981","SLC25A32"
"982","SLC25A4"
"983","SLC27A1"
"984","SLC2A12"
"985","SLC35B2"
"986","SLC37A4"
"987","SLC38A3"
"988","SLC38A7"
"989","SLC45A4"
"990","SLC4A1AP"
"991","SLC5A11"
"992","SLC5A6"
"993","SLC7A6"
"994","SLC7A6OS"
"995","SLC9A3"
"996","SMARCA4"
"997","SMARCAL1"
"998","SMARCD1"
"999","SMCHD1"
"1000","SMG7"
"1001","SMIM13"
"1002","SMIM17"
"1003","SMOC2"
"1004","SMPD2"
"1005","SMPD4"
"1006","SMUG1"
"1007","SMYD2"
"1008","SNRNP48"
"1009","SNRPD1"
"1010","SNRPF"
"1011","SNX14"
"1012","SNX25"
"1013","SOD2"
"1014","SORBS2"
"1015","SORBS3"
"1016","SORD"
"1017","SOS1"
"1018","SOX11"
"1019","SP1"
"1020","SPACA6"
"1021","SPATA2L"
"1022","SPG7"
"1023","SPIRE1"
"1024","SPPL2B"
"1025","SPPL3"
"1026","SRP9"
"1027","SRSF11"
"1028","SRSF3"
"1029","SRSF7"
"1030","SSB"
"1031","SSBP3"
"1032","SSR1"
"1033","SSRP1"
"1034","ST3GAL5"
"1035","STARD4"
"1036","STK11IP"
"1037","STK16"
"1038","STK25"
"1039","STMN3"
"1040","STMN4"
"1041","STOX2"
"1042","STRAP"
"1043","STX12"
"1044","STX2"
"1045","STX7"
"1046","SUB1"
"1047","SUGP2"
"1048","SUMO1"
"1049","SWSAP1"
"1050","SWT1"
"1051","SYNCRIP"
"1052","SYT1"
"1053","TAB2"
"1054","TACC1"
"1055","TACC3"
"1056","TADA1"
"1057","TAF11"
"1058","TAF2"
"1059","TAF4B"
"1060","TAF8"
"1061","TAPT1"
"1062","TATDN1"
"1063","TBC1D15"
"1064","TBC1D31"
"1065","TBCE"
"1066","TBL1X"
"1067","TBP"
"1068","TBPL1"
"1069","TCAIM"
"1070","TCEANC2"
"1071","TCF25"
"1072","TCF4"
"1073","TCF7L1"
"1074","TCP1"
"1075","TDG"
"1076","TDP2"
"1077","TECR"
"1078","TERF2IP"
"1079","TEX264"
"1080","TFB1M"
"1081","TFCP2"
"1082","TFE3"
"1083","TFEB"
"1084","TGS1"
"1085","THAP1"
"1086","THEM4"
"1087","THEM6"
"1088","THOC1"
"1089","THUMPD2"
"1090","TIMM10"
"1091","TIMM21"
"1092","TIMM29"
"1093","TIMM44"
"1094","TKT"
"1095","TLE2"
"1096","TLN2"
"1097","TM2D1"
"1098","TMBIM6"
"1099","TMEM106C"
"1100","TMEM128"
"1101","TMEM131"
"1102","TMEM161A"
"1103","TMEM170B"
"1104","TMEM175"
"1105","TMEM176B"
"1106","TMEM181"
"1107","TMEM183A"
"1108","TMEM208"
"1109","TMEM222"
"1110","TMEM242"
"1111","TMEM263"
"1112","TMEM30A"
"1113","TMEM63B"
"1114","TMEM68"
"1115","TMEM70"
"1116","TMEM86B"
"1117","TMPO"
"1118","TMPRSS5"
"1119","TMTC3"
"1120","TNFRSF1A"
"1121","TNFRSF4"
"1122","TNPO2"
"1123","TOE1"
"1124","TOP3B"
"1125","TOX"
"1126","TP53BP1"
"1127","TPM3"
"1128","TPMT"
"1129","TPPP"
"1130","TPR"
"1131","TRAPPC8"
"1132","TRERF1"
"1133","TRIB3"
"1134","TRIL"
"1135","TRIM2"
"1136","TRIM27"
"1137","TRIP12"
"1138","TRIT1"
"1139","TRMT13"
"1140","TRMT1L"
"1141","TRPM7"
"1142","TSPAN2"
"1143","TSPAN3"
"1144","TSPAN6"
"1145","TSPYL4"
"1146","TSTA3"
"1147","TTBK2"
"1148","TTC13"
"1149","TTI2"
"1150","TTLL4"
"1151","TTYH1"
"1152","TUBGCP4"
"1153","TUSC3"
"1154","TXLNB"
"1155","TXNL4A"
"1156","TXNRD1"
"1157","TYW3"
"1158","U2AF2"
"1159","UBA52"
"1160","UBAP2L"
"1161","UBE2F-SCLY"
"1162","UBE2J1"
"1163","UBE2Q1"
"1164","UBE2V2"
"1165","UBE4A"
"1166","UBL5"
"1167","UBR1"
"1168","UBR2"
"1169","UBR5"
"1170","UBXN2B"
"1171","UFL1"
"1172","UHRF1BP1"
"1173","UNC50"
"1174","UNG"
"1175","UQCRFS1"
"1176","USE1"
"1177","USF1"
"1178","USP14"
"1179","USP15"
"1180","USP24"
"1181","USP27X"
"1182","USP3"
"1183","USP30"
"1184","USP33"
"1185","USP34"
"1186","USP39"
"1187","USP5"
"1188","USP54"
"1189","USP8"
"1190","UTP11"
"1191","UTP20"
"1192","UTP23"
"1193","UXT"
"1194","VAMP1"
"1195","VANGL1"
"1196","VDAC3"
"1197","VEZT"
"1198","VNN1"
"1199","VPS35"
"1200","VPS37A"
"1201","VPS45"
"1202","VTA1"
"1203","WARS2"
"1204","WASHC4"
"1205","WDR26"
"1206","WDR33"
"1207","WDR35"
"1208","WDR61"
"1209","WDR75"
"1210","WDR82"
"1211","WDSUB1"
"1212","WIZ"
"1213","WRNIP1"
"1214","WSB2"
"1215","WWP1"
"1216","XPO7"
"1217","XPOT"
"1218","YIPF2"
"1219","YPEL5"
"1220","YTHDF3"
"1221","YWHAQ"
"1222","ZADH2"
"1223","ZBED9"
"1224","ZBTB10"
"1225","ZBTB14"
"1226","ZBTB18"
"1227","ZBTB2"
"1228","ZBTB41"
"1229","ZBTB47"
"1230","ZBTB49"
"1231","ZC3H15"
"1232","ZC3H18"
"1233","ZC3H3"
"1234","ZC3H8"
"1235","ZCCHC17"
"1236","ZDHHC11B"
"1237","ZDHHC14"
"1238","ZDHHC17"
"1239","ZDHHC7"
"1240","ZFAND2B"
"1241","ZFAT"
"1242","ZFC3H1"
"1243","ZFP1"
"1244","ZFP28"
"1245","ZFYVE19"
"1246","ZFYVE9"
"1247","ZKSCAN4"
"1248","ZKSCAN8"
"1249","ZMYM3"
"1250","ZNF101"
"1251","ZNF142"
"1252","ZNF160"
"1253","ZNF217"
"1254","ZNF236"
"1255","ZNF251"
"1256","ZNF266"
"1257","ZNF292"
"1258","ZNF317"
"1259","ZNF34"
"1260","ZNF362"
"1261","ZNF414"
"1262","ZNF467"
"1263","ZNF521"
"1264","ZNF524"
"1265","ZNF532"
"1266","ZNF579"
"1267","ZNF623"
"1268","ZNF740"
"1269","ZNF746"
"1270","ZNF76"
"1271","ZNF777"
"1272","ZNF784"
"1273","ZNF823"
"1274","ZNF865"
"1275","ZNHIT6"
"1276","ZSWIM6"
"1277","ZYG11B"
