"","HuAgeGBsplit_02....NPCbyNSC__"
"511","MLYCD"
"512","MMAA"
"513","MMD"
"514","MOBP"
"515","MORF4L2"
"516","MPHOSPH6"
"517","MPPE1"
"518","MPZL1"
"519","MRGPRF"
"520","MRO"
"521","MRPL20"
"522","MRPS5"
"523","MSMO1"
"524","MT-CO3"
"525","MT2A"
"526","MT3"
"527","MTERF2"
"528","MTM1"
"529","MUL1"
"530","MYCBP2"
"531","MYEF2"
"532","MYO6"
"533","MYPOP"
"534","MYRF"
"535","MYSM1"
"536","NAAA"
"537","NAP1L3"
"538","NAPB"
"539","NCKAP5L"
"540","NDUFA1"
"541","NDUFAF3"
"542","NDUFAF7"
"543","NDUFS1"
"544","NDUFS5"
"545","NECTIN1"
"546","NECTIN3"
"547","NEIL1"
"548","NEO1"
"549","NEU3"
"550","NEU4"
"551","NEUROD2"
"552","NFASC"
"553","NFAT5"
"554","NFIX"
"555","NINJ2"
"556","NIPAL3"
"557","NISCH"
"558","NKIRAS1"
"559","NMNAT1"
"560","NOMO1"
"561","NOVA2"
"562","NPPC"
"563","NPRL2"
"564","NPY"
"565","NR1H3"
"566","NR2E1"
"567","NRGN"
"568","NSDHL"
"569","NTHL1"
"570","NTNG2"
"571","NUDT11"
"572","NUDT17"
"573","NUDT19"
"574","NUMBL"
"575","NUPR1"
"576","NXPE3"
"577","OAF"
"578","OAZ3"
"579","OCIAD2"
"580","OGFOD1"
"581","OLFM1"
"582","OLFML2B"
"583","ONECUT2"
"584","OPALIN"
"585","OSBPL1A"
"586","OSGEPL1"
"587","OSGIN2"
"588","OTUD7B"
"589","P3H1"
"590","P3H3"
"591","P4HTM"
"592","PADI2"
"593","PAM"
"594","PCDH10"
"595","PCDH18"
"596","PCDH8"
"597","PCDH9"
"598","PCSK1N"
"599","PDCD5"
"600","PDE4A"
"601","PDE4B"
"602","PDE4DIP"
"603","PDE8A"
"604","PDE9A"
"605","PDHB"
"606","PDK4"
"607","PDLIM3"
"608","PDPN"
"609","PDSS2"
"610","PDZD4"
"611","PDZK1IP1"
"612","PERM1"
"613","PFKM"
"614","PFN2"
"615","PGBD1"
"616","PGBD5"
"617","PGM2"
"618","PGRMC1"
"619","PGRMC2"
"620","PHC3"
"621","PHF7"
"622","PHGDH"
"623","PHKA1"
"624","PHLDA3"
"625","PHLDB1"
"626","PHLPP1"
"627","PHYHIPL"
"628","PI4K2B"
"629","PI4KB"
"630","PIANP"
"631","PIGF"
"632","PITHD1"
"633","PITPNM2"
"634","PJA1"
"635","PJVK"
"636","PKD2"
"637","PLA1A"
"638","PLA2G12A"
"639","PLCD1"
"640","PLCD4"
"641","PLCXD1"
"642","PLEKHA5"
"643","PLEKHF1"
"644","PLEKHG1"
"645","PLLP"
"646","PLOD2"
"647","PLXNA3"
"648","PLXNB1"
"649","PLXNB3"
"650","PMVK"
"651","PNCK"
"652","PNKD"
"653","PNMA6F"
"654","PNMA8C"
"655","PODXL2"
"656","POLR2H"
"657","POP5"
"658","PORCN"
"659","PPA2"
"660","PPFIA3"
"661","PPP1R16B"
"662","PPP2R3A"
"663","PPP2R3B"
"664","PPP3CA"
"665","PQBP1"
"666","PRAF2"
"667","PRDM11"
"668","PRDM16"
"669","PRDM2"
"670","PRDM8"
"671","PRDX6"
"672","PRELID3A"
"673","PRICKLE1"
"674","PRMT6"
"675","PROM1"
"676","PRPF38B"
"677","PRR19"
"678","PRRT3"
"679","PRSS36"
"680","PSD"
"681","PSME4"
"682","PTGES"
"683","PTPDC1"
"684","PTPN13"
"685","PTPRF"
"686","PTPRN"
"687","PTPRS"
"688","PUS1"
"689","PXYLP1"
"690","PYURF"
"691","QTRT1"
"692","QTRT2"
"693","RAB26"
"694","RAB33A"
"695","RAB39B"
"696","RAB6B"
"697","RAB7B"
"698","RAD52"
"699","RAF1"
"700","RAMP1"
"701","RANBP3L"
"702","RAPGEF3"
"703","RARG"
"704","RARRES2"
"705","RASA2"
"706","RASD1"
"707","RASGRP1"
"708","RB1CC1"
"709","RBM45"
"710","RBM46"
"711","RCCD1"
"712","RCHY1"
"713","RDH10"
"714","RGS17"
"715","RGS4"
"716","RHCG"
"717","RHOBTB2"
"718","RHOD"
"719","RHPN2"
"720","RIDA"
"721","RIN1"
"722","RLBP1"
"723","RN7SL73P"
"724","RNF112"
"725","RNF113A"
"726","RNF7"
"727","RNPC3"
"728","ROBO4"
"729","RRAGB"
"730","RRNAD1"
"731","RSRC2"
"732","RSRP1"
"733","RTL8C"
"734","RUFY3"
"735","RUNDC3A"
"736","S100A13"
"737","S100A14"
"738","S100A16"
"739","S1PR5"
"740","SAFB"
"741","SCARB2"
"742","SCD"
"743","SCG3"
"744","SCG5"
"745","SCN8A"
"746","SCP2"
"747","SCRG1"
"748","SDC2"
"749","SDSL"
"750","SEC13"
"751","SEC63"
"752","SELENOK"
"753","SEMA6D"
"754","SENP7"
"755","SERPING1"
"756","SEZ6L2"
"757","SFXN5"
"758","SH3BGR"
"759","SH3BP5"
"760","SHBG"
"761","SHISA7"
"762","SHROOM1"
"763","SHTN1"
"764","SIRT2"
"765","SLAIN2"
"766","SLC13A4"
"767","SLC14A1"
"768","SLC16A1"
"769","SLC19A2"
"770","SLC19A3"
"771","SLC1A2"
"772","SLC1A5"
"773","SLC22A23"
"774","SLC22A5"
"775","SLC25A14"
"776","SLC25A23"
"777","SLC25A27"
"778","SLC25A33"
"779","SLC25A38"
"780","SLC25A42"
"781","SLC26A6"
"782","SLC29A2"
"783","SLC29A4"
"784","SLC2A10"
"785","SLC30A1"
"786","SLC30A6"
"787","SLC30A9"
"788","SLC35A2"
"789","SLC35D1"
"790","SLC35F5"
"791","SLC39A12"
"792","SLC45A1"
"793","SLC48A1"
"794","SLC4A4"
"795","SLC50A1"
"796","SLC6A13"
"797","SLC7A11"
"798","SLC7A2"
"799","SLCO1C1"
"800","SMAD7"
"801","SMARCA1"
"802","SMIM3"
"803","SMIM4"
"804","SMIM8"
"805","SNAPC5"
"806","SNX33"
"807","SOBP"
"808","SORT1"
"809","SOWAHC"
"810","SOX13"
"811","SPARCL1"
"812","SPCS3"
"813","SPOCK2"
"814","SPRED3"
"815","SPRY3"
"816","SPSB1"
"817","SRPX2"
"818","SRRM4"
"819","SSR4"
"820","STARD10"
"821","STEAP2"
"822","STK36"
"823","STMN1"
"824","STOML1"
"825","STRIP1"
"826","STX1A"
"827","STX1B"
"828","STXBP1"
"829","SULT4A1"
"830","SUSD2"
"831","SV2A"
"832","SVIP"
"833","SYMPK"
"834","SYN1"
"835","SYNJ2"
"836","SYP"
"837","SYT3"
"838","SYT5"
"839","SYT7"
"840","TAB3"
"841","TAF13"
"842","TAF1A"
"843","TAF9B"
"844","TAS1R3"
"845","TATDN2"
"846","TAZ"
"847","TBC1D12"
"848","TBC1D19"
"849","TBCB"
"850","TBXA2R"
"851","TCEAL1"
"852","TCEAL8"
"853","TCTA"
"854","TDO2"
"855","TET2"
"856","TFPT"
"857","TGFB2"
"858","THBS1"
"859","THEM5"
"860","THNSL2"
"861","THOC2"
"862","TIMM17A"
"863","TIMM8A"
"864","TLR3"
"865","TM2D3"
"866","TM4SF1"
"867","TM7SF3"
"868","TMA16"
"869","TMCC2"
"870","TMCO1"
"871","TMEFF2"
"872","TMEM125"
"873","TMEM144"
"874","TMEM14A"
"875","TMEM158"
"876","TMEM184C"
"877","TMEM185A"
"878","TMEM192"
"879","TMEM241"
"880","TMEM33"
"881","TMEM35A"
"882","TMEM38A"
"883","TMEM39B"
"884","TMEM47"
"885","TMEM50A"
"886","TMEM63A"
"887","TMEM81"
"888","TMEM88B"
"889","TMEM9"
"890","TMOD2"
"891","TNFAIP2"
"892","TNFAIP6"
"893","TNIK"
"894","TNKS1BP1"
"895","TOMM20"
"896","TOP2B"
"897","TPCN1"
"898","TPPP3"
"899","TPRA1"
"900","TRAK1"
"901","TRAM1L1"
"902","TRAPPC3"
"903","TRIM45"
"904","TRMT1"
"905","TRNT1"
"906","TRO"
"907","TRPC1"
"908","TRPV6"
"909","TSKU"
"910","TSPAN13"
"911","TSPAN18"
"912","TSPAN33"
"913","TSPAN5"
"914","TSPAN7"
"915","TSPOAP1"
"916","TTC12"
"917","TTC14"
"918","TTL"
"919","TTLL3"
"920","TTYH2"
"921","TUBB2A"
"922","TUBB2B"
"923","TULP3"
"924","TULP4"
"925","TVP23A"
"926","TXNRD3"
"927","UBA3"
"928","UBE2E1"
"929","UFSP2"
"930","UGT8"
"931","UNC13A"
"932","UNC13D"
"933","UNC45A"
"934","UPF3B"
"935","UQCRH"
"936","USF2"
"937","USP48"
"938","VAMP5"
"939","VARS2"
"940","VAT1"
"941","VHL"
"942","VPS37B"
"943","VSTM2A"
"944","VWA1"
"945","WASF1"
"946","WDR13"
"947","WDR17"
"948","WDR47"
"949","WLS"
"950","WNK4"
"951","WNT8B"
"952","XPR1"
"953","YARS2"
"954","YES1"
"955","YPEL3"
"956","YRDC"
"957","YTHDC1"
"958","ZBTB21"
"959","ZBTB24"
"960","ZBTB37"
"961","ZBTB48"
"962","ZDHHC1"
"963","ZFP14"
"964","ZFP30"
"965","ZFP57"
"966","ZMAT1"
"967","ZMAT3"
"968","ZMYND10"
"969","ZNF112"
"970","ZNF121"
"971","ZNF2"
"972","ZNF226"
"973","ZNF260"
"974","ZNF280D"
"975","ZNF329"
"976","ZNF358"
"977","ZNF365"
"978","ZNF383"
"979","ZNF444"
"980","ZNF445"
"981","ZNF503"
"982","ZNF582"
"983","ZNF583"
"984","ZNF608"
"985","ZNF638"
"986","ZNF639"
"987","ZNF691"
"988","ZNF711"
"989","ZNF845"
"990","ZNRF1"
"991","ZXDC"
