"","turquoise....PGBCbyQGBC__"
"284","ANTXR1"
"285","ANXA1"
"286","AOX1"
"287","AP000320.1"
"288","AP000345.2"
"289","AP000346.4"
"290","AP000808.1"
"291","AP001000.1"
"292","AP001094.1"
"293","AP001350.2"
"294","AP001360.2"
"295","AP001471.1"
"296","AP001527.2"
"297","AP002371.1"
"298","AP002518.2"
"299","AP002761.1"
"300","AP002761.4"
"301","AP005233.2"
"302","AP1G1"
"303","AP2A1"
"304","AP2S1"
"305","AP3M2"
"306","APAF1"
"307","APEH"
"308","APOE"
"309","APOO"
"310","APRT"
"311","ARFGEF1"
"312","ARFGEF3"
"313","ARHGAP17"
"314","ARHGAP39"
"315","ARHGEF2"
"316","ARID1A"
"317","ARL13A"
"318","ARL4C"
"319","ARL4D"
"320","ARL5A"
"321","ARL6IP6"
"322","ARMC1"
"323","ARMC2"
"324","ARMC5"
"325","ARMC6"
"326","ARNT2"
"327","ARPC2"
"328","ARPC3P2"
"329","ARPC5"
"330","ARRB1"
"331","ASAP1"
"332","ASAP2"
"333","ASH1L"
"334","ASH2L"
"335","ASMTL"
"336","ASMTL-AS1"
"337","ASNA1"
"338","ASNSD1"
"339","ASPH"
"340","ATAD2"
"341","ATF6B"
"342","ATG16L1"
"343","ATL2"
"344","ATP13A2"
"345","ATP13A3"
"346","ATP1A2"
"347","ATP1B1"
"348","ATP2C2-AS1"
"349","ATP5F1A"
"350","ATP5MC3"
"351","ATP5ME"
"352","ATP6AP1"
"353","ATP6V0B"
"354","ATP6V1B2"
"355","ATP6V1C1"
"356","ATP6V1E2"
"357","ATP6V1H"
"358","ATP8B2"
"359","ATPAF1"
"360","AUP1"
"361","AVIL"
"362","AZIN1"
"363","B3GALT4"
"364","B3GALT6"
"365","B3GNT8"
"366","B4GALNT1"
"367","B4GALT6"
"368","BAG2"
"369","BAG6"
"370","BCAR3"
"371","BCL10"
"372","BCL9"
"373","BCLAF1"
"374","BEND6"
"375","BFAR"
"376","BLOC1S4"
"377","BMP1"
"378","BMPER"
"379","BNIP2"
"380","BOK"
"381","BOLA2B"
"382","BOLA3"
"383","BOP1"
"384","BPHL"
"385","BPNT1"
"386","BRD7"
"387","BRF2"
"388","BRIX1"
"389","BTF3L4"
"390","BTF3P4"
"391","BYSL"
"392","BZW1"
"393","C10orf25"
"394","C11orf24"
"395","C11orf70"
"396","C12orf43"
"397","C12orf57"
"398","C12orf75"
"399","C16orf91"
"400","C17orf82"
"401","C18orf21"
"402","C19orf25"
"403","C19orf48"
"404","C19orf53"
"405","C1D"
"406","C1GALT1"
"407","C1orf131"
"408","C1orf35"
"409","C1orf43"
"410","C1orf53"
"411","C1QBP"
"412","C1QL3"
"413","C1QTNF2"
"414","C21orf91"
"415","C2CD5"
"416","C2orf69"
"417","C3"
"418","C3orf52"
"419","C3orf70"
"420","C4orf48"
"421","C6orf106"
"422","C6orf226"
"423","C6orf62"
"424","C8orf31"
"425","C8orf33"
"426","C8orf76"
"427","C8orf82"
"428","CA8"
"429","CAB39"
"430","CABYR"
"431","CACYBP"
"432","CALR"
"433","CAND1"
"434","CAP1"
"435","CAPG"
"436","CAPN15"
"437","CAPZB"
"438","CARD6"
"439","CASK"
"440","CASP8AP2"
"441","CAVIN2"
"442","CBX1P4"
"443","CBX2"
"444","CBX4"
"445","CBX5"
"446","CBX8"
"447","CC2D1B"
"448","CC2D2A"
"449","CCAR2"
"450","CCDC102B"
"451","CCDC115"
"452","CCDC138"
"453","CCDC150"
"454","CCDC163"
"455","CCDC18"
"456","CCDC189"
"457","CCDC22"
"458","CCDC28A"
"459","CCDC32"
"460","CCDC59"
"461","CCDC71"
"462","CCDC74A"
"463","CCDC74B"
"464","CCDC8"
"465","CCDC87"
"466","CCDC89"
"467","CCNC"
"468","CCNQ"
"469","CCNT1"
"470","CCNT2"
"471","CCNYL1"
"472","CCSAP"
"473","CCT2"
"474","CCT3"
"475","CCT4"
"476","CCT7"
"477","CD276"
"478","CD320"
"479","CD40"
"480","CD46"
"481","CD99"
"482","CD99L2"
"483","CD99P1"
"484","CDC42EP1"
"485","CDC42EP2"
"486","CDC42EP5"
"487","CDC5L"
"488","CDC73"
"489","CDH6"
"490","CDK17"
"491","CDK4"
"492","CDKN1C"
"493","CDON"
"494","CEBPA"
"495","CEBPB"
"496","CEBPZ"
"497","CENPBD1"
"498","CEP152"
"499","CEP170"
"500","CEP192"
"501","CEP63"
"502","CEP83"
"503","CEP85"
"504","CERS6"
"505","CFAP20"
"506","CFDP1"
"507","CHCHD5"
"508","CHD9"
"509","CHM"
"510","CHMP1A"
"511","CHMP2B"
"512","CHMP7"
"513","CHPF"
"514","CHRAC1"
"515","CHST10"
"516","CHST14"
"517","CHTF18"
"518","CHTF8"
"519","CHTOP"
"520","CIAO1"
"521","CIB1"
"522","CIR1"
"523","CISD1"
"524","CIT"
"525","CKAP4"
"526","CKS1B"
"527","CLEC11A"
"528","CLEC2D"
"529","CLGN"
"530","CLHC1"
"531","CLIP4"
"532","CLK2"
"533","CLP1"
"534","CLTB"
"535","CLTC"
"536","CLUHP3"
"537","CMAS"
"538","CMPK1"
"539","CMTM3"
"540","CMTM4"
"541","CNDP2"
"542","CNEP1R1"
"543","CNIH4"
"544","CNN3"
"545","CNOT7"
"546","CNOT9"
"547","CNPPD1"
"548","CNPY3"
"549","CNST"
"550","CNTF"
"551","CNTROB"
"552","COA5"
"553","COG2"
"554","COL11A1"
"555","COL12A1"
"556","COL15A1"
"557","COL21A1"
"558","COL4A1"
"559","COL4A2"
"560","COL5A1"
"561","COL6A1"
"562","COL6A2"
"563","COL9A3"
"564","COMMD2"
"565","COMMD4"
"566","COMMD5"
"567","COMMD8"
"568","COPA"
"569","COPE"
"570","COPG2"
"571","COPS2"
"572","COPS4"
"573","COPS5"
"574","COPS8"
"575","COPZ1"
"576","COQ10A"
"577","COQ10B"
"578","COQ7"
"579","COQ9"
"580","CORO1A"
"581","CORO1C"
"582","CORO2B"
"583","COTL1"
"584","COX20"
"585","COX5A"
"586","COX5B"
"587","COX6A1P2"
"588","COX6C"
"589","COX7A2L"
"590","CPNE2"
"591","CPNE4"
"592","CPPED1"
"593","CPSF3"
"594","CPSF6"
"595","CREG1"
"596","CRIM1"
"597","CRISPLD1"
"598","CRK"
"599","CRLF3"
"600","CRMP1"
"601","CSDC2"
"602","CSPG5"
"603","CTCF"
"604","CTDNEP1"
"605","CTDP1"
"606","CTDSPL2"
"607","CTHRC1"
"608","CTSK"
"609","CTSL"
"610","CTSZ"
"611","CU634019.6"
"612","CU639417.1"
"613","CUL3"
"614","CWC22"
"615","CXCL16"
"616","CXCL8"
"617","CXorf56"
"618","CXXC1"
"619","CYC1"
"620","CYP1B1"
"621","CYP27A1"
"622","CYP4F3"
"623","DANT2"
"624","DAPK2"
"625","DAXX"
"626","DBF4B"
"627","DBIP1"
"628","DBIP2"
"629","DCAF15"
"630","DCLRE1B"
"631","DCN"
"632","DCTN5"
"633","DCTN6"
"634","DDHD2"
"635","DDIT3"
"636","DDOST"
"637","DDX11"
"638","DDX12P"
"639","DDX23"
"640","DDX39BP2"
"641","DDX3X"
"642","DDX59"
"643","DDX6"
"644","DEGS1"
"645","DENND1B"
"646","DERL2"
"647","DHDDS"
"648","DHX57"
"649","DHX9"
"650","DIRC2"
"651","DIS3L"
"652","DKK3"
"653","DLC1"
"654","DLK2"
"655","DMAC2"
"656","DNAJA2"
"657","DNAJB5"
"658","DNAJC10"
"659","DNAJC8"
"660","DNMT1"
"661","DNMT3A"
"662","DNPH1"
"663","DNTTIP2"
"664","DOCK7"
"665","DOK1"
"666","DOT1L"
"667","DPPA4"
"668","DPY19L4"
"669","DSCC1"
"670","DSEL"
"671","DSTYK"
"672","DTNBP1"
"673","DTWD1"
"674","DUS3L"
"675","DUSP11"
"676","DUSP12"
"677","DUSP14"
"678","DUT"
"679","DYNC2H1"
"680","DYNLT1"
"681","DZIP1L"
"682","E2F6"
"683","EARS2"
"684","EBAG9"
"685","ECHDC1"
"686","ECM1"
"687","EDC3"
"688","EDN1"
"689","EEF1A1P16"
"690","EEF1D"
"691","EEF1GP5"
"692","EFCAB2"
"693","EFHD2"
"694","EFNB1"
"695","EFNB2"
"696","EFR3A"
"697","EGLN1"
"698","EHBP1"
"699","EHBP1L1"
"700","EHD3"
"701","EHMT2"
"702","EIF2AK4"
"703","EIF2B3"
"704","EIF2B4"
"705","EIF3FP3"
"706","EIF3J"
"707","EIF3KP1"
"708","EIF5A"
"709","EIF5B"
"710","EIPR1"
"711","ELAVL1"
"712","ELF2"
"713","ELF3"
"714","ELOC"
"715","ELOVL2"
"716","ELP3"
"717","ELP6"
"718","EMC2"
"719","EMC7"
"720","EMD"
"721","EMG1"
"722","EML4"
"723","ENAH"
"724","ENO1-AS1"
"725","ENOPH1"
"726","ENOSF1"
"727","ENOX2"
"728","ENPP2"
"729","ENSA"
"730","ENTPD4"
"731","ENY2"
"732","EOGT"
"733","EPB41L2"
"734","EPC2"
"735","EPHB3"
"736","EPHX1"
"737","EPRS"
"738","EPS8L1"
"739","ERAS"
"740","ERCC1"
"741","ERGIC2"
"742","ERICD"
"743","ERLIN2"
"744","ERMN"
"745","ESAM"
"746","ESF1"
"747","ESYT1"
"748","ETFA"
"749","ETNK2"
"750","ETV2"
"751","EXOSC4"
"752","EXOSC6"
"753","EXOSC9"
"754","EXT1"
"755","F8A3"
"756","FABP7"
"757","FADD"
"758","FAHD1"
"759","FAM104B"
"760","FAM109B"
"761","FAM168B"
"762","FAM181A"
"763","FAM192A"
"764","FAM20B"
"765","FAM212A"
"766","FAM32A"
"767","FAM49B"
"768","FAM57A"
"769","FAM83E"
"770","FAM91A1"
"771","FAM91A3P"
"772","FANCA"
"773","FANCE"
"774","FBLN2"
"775","FBXL4"
"776","FBXO11"
"777","FBXO25"
"778","FBXO28"
"779","FBXO30"
"780","FBXO32"
"781","FBXO4"
"782","FBXO45"
"783","FBXO5"
"784","FBXO9"
"785","FCGR2B"
"786","FCGRT"
"787","FDCSP"
"788","FGD5-AS1"
"789","FGF17"
"790","FGFR1"
"791","FGFR3"
"792","FH"
"793","FHOD1"
"794","FHOD3"
"795","FIZ1"
"796","FKBP10"
"797","FKBP1B"
"798","FKBP7"
"799","FKBPL"
"800","FKRP"
"801","FLYWCH2"
"802","FNDC5"
"803","FNTA"
"804","FO393409.1"
"805","FO393411.1"
"806","FOPNL"
"807","FOXC2"
"808","FOXD4L1"
"809","FOXG1"
"810","FOXL1"
"811","FPR1"
"812","FREM2"
"813","FRG1"
"814","FRG1CP"
"815","FTH1"
"816","FTH1P12"
"817","FTH1P2"
"818","FTH1P7"
"819","FURIN"
"820","FUS"
"821","FUT10"
"822","FYTTD1"
"823","FZD1"
"824","FZD3"
"825","FZD6"
"826","GABPB1"
"827","GADD45GIP1"
"828","GALNT1"
"829","GALNT5"
"830","GAPDHP35"
"831","GAPLINC"
"832","GAS2"
"833","GBA"
"834","GCNT2"
"835","GDAP1"
"836","GEMIN4"
"837","GFER"
"838","GGA2"
"839","GGH"
"840","GINM1"
"841","GINS3"
"842","GINS4"
"843","GJA5"
"844","GJC1"
"845","GLB1L"
"846","GLMP"
"847","GLOD4"
"848","GLS"
"849","GLT8D1"
"850","GLYR1"
"851","GMPPB"
"852","GNAI2"
"853","GNB5"
"854","GNG4"
"855","GNL1"
"856","GNL3"
"857","GNPAT"
"858","GNRH2"
"859","GNS"
"860","GOLGA8A"
"861","GORASP2"
"862","GOT2"
"863","GPAA1"
"864","GPANK1"
"865","GPAT4"
"866","GPATCH11"
"867","GPBP1L1"
"868","GPC4"
"869","GPN1"
"870","GPN3"
"871","GPNMB"
"872","GPR1"
"873","GPR161"
"874","GPR176"
"875","GPR68"
"876","GPX3"
"877","GPX7"
"878","GRB2"
"879","GRN"
"880","GRSF1"
"881","GSPT2"
"882","GSR"
"883","GTF2B"
"884","GTF2E2"
"885","GTF2F1"
"886","GTF2H5"
"887","GTPBP2"
"888","GYG2"
"889","GYPC"
"890","H2AFZP2"
"891","H2BFM"
"892","H3F3A"
"893","HADHA"
"894","HAGLR"
"895","HAUS1"
"896","HAUS2"
"897","HAUS6P3"
"898","HAUS8"
"899","HAX1"
"900","HBS1L"
"901","HCFC1"
"902","HCFC2"
"903","HCN3"
"904","HDAC4"
"905","HDAC8"
"906","HDDC2"
"907","HDGF"
"908","HDGFL3"
"909","HEBP2"
"910","HEXB"
"911","HGH1"
"912","HGSNAT"
"913","HIRIP3"
"914","HIST1H1B"
"915","HIST1H1E"
"916","HIST1H1T"
"917","HIST1H2AB"
"918","HIST1H2BB"
"919","HIST1H3A"
"920","HIST1H3B"
"921","HIST1H3C"
"922","HIST1H3F"
"923","HIST1H4A"
"924","HIST1H4B"
"925","HIST1H4C"
"926","HIST1H4E"
"927","HIST2H2AC"
"928","HIVEP1"
"929","HMG20A"
"930","HMGB1P1"
"931","HMGB1P20"
"932","HMGB1P37"
"933","HMGN2P24"
"934","HMGN3-AS1"
"935","HMGN4"
"936","HMOX2"
"937","HNMT"
"938","HNRNPA3"
"939","HNRNPA3P1"
"940","HNRNPA3P12"
"941","HNRNPU"
"942","HOOK3"
"943","HRCT1"
"944","HS6ST2"
"945","HSBP1"
"946","HSBP1L1"
"947","HSF2"
"948","HSP90AB1"
"949","HSP90B1"
"950","HSPA5"
"951","HSPA8"
"952","HSPB1"
"953","HSPB11"
"954","HSPBP1"
"955","HSPE1P6"
"956","HSPG2"
"957","HTATSF1"
"958","HTRA2"
"959","HTRA3"
"960","HYAL2"
"961","HYOU1"
"962","IAH1"
"963","IARS2"
"964","IBA57"
"965","IBTK"
"966","ICA1L"
"967","ICMT"
"968","IDH2"
"969","IFNWP19"
"970","IFNWP2"
"971","IGF2BP3"
"972","IGF2R"
"973","IGFBP5"
"974","IGSF10"
"975","IGSF3"
"976","IKBKB"
"977","IKBKG"
"978","IL17RA"
"979","IL21R"
"980","IL31RA"
"981","ILF2"
"982","ILF3"
"983","IMMT"
"984","IMP3"
"985","IMP3P2"
"986","IMPA1"
"987","IMPAD1"
"988","INTS14"
"989","INTS7"
"990","INTS8"
"991","IPO9"
"992","IQCB1"
"993","IRAK1BP1"
"994","IREB2"
"995","IRS1"
"996","IRX3"
"997","ISG20L2"
"998","ITGA1"
"999","ITGA10"
"1000","ITGA11"
"1001","ITGAE"
"1002","ITGB1BP1"
"1003","ITGB3BP"
"1004","ITPKA"
"1005","JPT2"
"1006","JRK"
"1007","JTB"
"1008","JUP"
"1009","KANSL2"
"1010","KANSL3"
"1011","KANTR"
"1012","KARS"
"1013","KAT6A"
"1014","KATNA1"
"1015","KBTBD11"
"1016","KCMF1"
"1017","KCNE5"
"1018","KCNG1"
"1019","KCTD10"
"1020","KCTD12"
"1021","KCTD18"
"1022","KCTD3"
"1023","KCTD9"
"1024","KDELR3"
"1025","KDM1B"
"1026","KDM2A"
"1027","KDM8"
"1028","KDSR"
"1029","KHDRBS1"
"1030","KHK"
"1031","KIAA0319"
"1032","KIAA1468"
"1033","KIAA1586"
"1034","KIAA1841"
"1035","KIDINS220"
"1036","KIF13A"
"1037","KIF22"
"1038","KIFC2"
"1039","KLF10"
"1040","KLF14"
"1041","KLF2"
"1042","KLF4"
"1043","KLF7"
"1044","KLHDC3"
"1045","KLHL29"
"1046","KLHL34"
"1047","KLHL5"
"1048","KNSTRN"
"1049","KPNA4"
"1050","KPTN"
"1051","KRR1"
"1052","KYAT3"
"1053","L1CAM"
"1054","LACTB"
"1055","LAMA4"
"1056","LAMB3"
"1057","LAMC1"
"1058","LAMTOR2"
"1059","LANCL1"
"1060","LAPTM4A"
"1061","LAPTM4B"
"1062","LARP4"
"1063","LASP1"
"1064","LATS1"
"1065","LBH"
"1066","LCMT2"
"1067","LCN12"
"1068","LCORL"
"1069","LEMD3"
"1070","LENG1"
"1071","LENG9"
"1072","LEO1"
"1073","LEPROTL1"
"1074","LETM2"
"1075","LFNG"
"1076","LGI2"
"1077","LIG1"
"1078","LIN7A"
"1079","LIN9"
"1080","LINC00106"
"1081","LINC00324"
"1082","LINC00342"
"1083","LINC00467"
"1084","LINC00519"
"1085","LINC00618"
"1086","LINC00839"
"1087","LINC00909"
"1088","LINC01116"
"1089","LINC01186"
"1090","LINC01206"
"1091","LINC01291"
"1092","LINC01293"
"1093","LINC01389"
"1094","LINC01484"
"1095","LINC01551"
"1096","LINC01571"
"1097","LINC01578"
"1098","LINC01589"
"1099","LINC01638"
"1100","LINC01686"
"1101","LINC01705"
"1102","LINC01731"
"1103","LINC01775"
"1104","LINC01843"
"1105","LINC01852"
"1106","LINC01909"
"1107","LINC01963"
"1108","LINC02019"
"1109","LINC02079"
"1110","LIPT2"
"1111","LLPH"
"1112","LMAN1"
"1113","LMNA"
"1114","LOX"
"1115","LOXL1"
"1116","LOXL1-AS1"
"1117","LOXL3"
"1118","LPGAT1"
"1119","LRP1"
"1120","LRP11"
"1121","LRP8"
"1122","LRPAP1"
"1123","LRPPRC"
"1124","LRRC14"
"1125","LRRC41"
"1126","LRRC69"
"1127","LRRFIP1"
"1128","LRRN2"
"1129","LSG1"
"1130","LSM1"
"1131","LSM2"
"1132","LTBP2"
"1133","LTV1"
"1134","LYAR"
"1135","LYPLA1"
"1136","LYPLA2"
"1137","LYRM2"
"1138","LZTS1"
"1139","M6PR"
"1140","MACO1"
"1141","MAD2L1BP"
"1142","MAD2L2"
"1143","MAEA"
"1144","MAGED1"
"1145","MAGED2"
"1146","MAGI1"
"1147","MAIP1"
"1148","MANF"
"1149","MAP1LC3B"
"1150","MAP2K6"
"1151","MAP3K5"
"1152","MAP3K7"
"1153","MAP4K3"
"1154","MAPK6"
"1155","MAPRE2"
"1156","MAPRE3"
"1157","MARCKS"
"1158","MB21D2"
"1159","MBD1"
"1160","MBD2"
"1161","MBD3"
"1162","MBOAT7"
"1163","MBTPS1"
"1164","MCAM"
"1165","MCPH1"
"1166","MCRS1"
"1167","MCUR1"
"1168","MDK"
"1169","ME2"
"1170","MEA1"
"1171","MED11"
"1172","MED12"
"1173","MED19"
"1174","MED20"
"1175","MED21"
"1176","MED23"
"1177","MED30"
"1178","MED31"
"1179","MED8"
"1180","MESD"
"1181","MEST"
"1182","METTL1"
"1183","METTL21A"
"1184","METTL9"
"1185","MEX3D"
"1186","MFAP1"
"1187","MFF"
"1188","MFSD10"
"1189","MFSD2A"
"1190","MFSD3"
"1191","MFSD9"
"1192","MGST3"
"1193","MHENCR"
"1194","MIAT"
"1195","MIEN1"
"1196","MINOS1P2"
"1197","MIR101-1"
"1198","MIR132"
"1199","MIR205HG"
"1200","MIR3671"
"1201","MIR3685"
"1202","MIR3689D2"
"1203","MIR3929"
"1204","MIR3936HG"
"1205","MIR4502"
"1206","MIR4521"
"1207","MIR503HG"
"1208","MIS12"
"1209","MKNK1"
"1210","MLPH"
"1211","MMAB"
"1212","MMADHC"
"1213","MMP11"
"1214","MMP14"
"1215","MMP19"
"1216","MMP2"
"1217","MMP23B"
"1218","MOB1B"
"1219","MOB4"
"1220","MON1B"
"1221","MORF4L1"
"1222","MORN2"
"1223","MOSPD1"
"1224","MOSPD2"
"1225","MPC2"
"1226","MPDU1"
"1227","MPP1"
"1228","MRC2"
"1229","MRFAP1"
"1230","MRFAP1L1"
"1231","MRM3"
"1232","MRPL13"
"1233","MRPL14"
"1234","MRPL18"
"1235","MRPL28"
"1236","MRPL33"
"1237","MRPL37"
"1238","MRPL42"
"1239","MRPL46"
"1240","MRPL47"
"1241","MRPL54"
"1242","MRPL9"
"1243","MRPS10"
"1244","MRPS15"
"1245","MRPS18A"
"1246","MRPS18B"
"1247","MRPS21"
"1248","MRPS9"
"1249","MRS2"
"1250","MSL3"
"1251","MSRB1"
"1252","MSRB3"
"1253","MT1F"
"1254","MTBP"
"1255","MTCO1P31"
"1256","MTERF3"
"1257","MTF2"
"1258","MTFR1"
"1259","MTMR9"
"1260","MTND2P12"
"1261","MTND5P42"
"1262","MTO1"
"1263","MTRNR2L1"
"1264","MTX2"
"1265","MUT"
"1266","MUTYH"
"1267","MXRA8"
"1268","MYADM"
"1269","MYBL1"
"1270","MYCL"
"1271","MYDGF"
"1272","MYL12B"
"1273","MYL12BP1"
"1274","MYL6"
"1275","MYLK2"
"1276","MYO1B"
"1277","MYO1C"
"1278","MYO5A"
"1279","MZT2A"
"1280","MZT2B"
"1281","N6AMT1"
"1282","NAA38"
"1283","NABP2"
"1284","NACA3P"
"1285","NACC1"
"1286","NAE1"
"1287","NAGK"
"1288","NAP1L2"
"1289","NARS"
"1290","NARS2"
"1291","NAT1"
"1292","NAT14"
"1293","NAXE"
"1294","NBL1"
"1295","NBPF3"
"1296","NCK2"
"1297","NCL"
"1298","NCOA2"
"1299","NCSTN"
"1300","NDC1"
"1301","NDN"
"1302","NDUFA12"
"1303","NDUFA3"
"1304","NDUFAB1"
"1305","NDUFAF1"
"1306","NDUFAF4"
"1307","NDUFAF6"
"1308","NDUFB11"
"1309","NDUFB3"
"1310","NDUFB9"
"1311","NDUFS2"
"1312","NEBL-AS1"
"1313","NEDD1"
"1314","NEDD4L"
"1315","NEFL"
"1316","NEFM"
"1317","NEIL2"
"1318","NEK4"
"1319","NELFE"
"1320","NEMP1"
"1321","NENF"
"1322","NES"
"1323","NEURL1B"
"1324","NFATC4"
"1325","NFKBIE"
"1326","NFU1"
"1327","NFYB"
"1328","NFYC"
"1329","NID1"
"1330","NID2"
"1331","NIF3L1"
"1332","NKD2"
"1333","NME4"
"1334","NME7"
"1335","NMRAL2P"
"1336","NOL7"
"1337","NONO"
"1338","NOP58"
"1339","NOSIP"
"1340","NPEPL1"
"1341","NPM1P35"
