"","turquoise....NSCbyNPC__"
"824","ZKSCAN8"
"825","ZNF101"
"826","ZNF106"
"827","ZNF142"
"828","ZNF213"
"829","ZNF217"
"830","ZNF296"
"831","ZNF319"
"832","ZNF34"
"833","ZNF362"
"834","ZNF496"
"835","ZNF513"
"836","ZNF592"
"837","ZNF771"
"838","ZSCAN29"
