"","blue....PGBCbyQGBC__"
"94","AC062017.1"
"95","AC064836.3"
"96","AC068282.1"
"97","AC068722.2"
"98","AC068987.1"
"99","AC068987.5"
"100","AC069224.1"
"101","AC069234.4"
"102","AC069499.1"
"103","AC072061.1"
"104","AC073352.1"
"105","AC078788.1"
"106","AC079250.1"
"107","AC079447.1"
"108","AC079610.2"
"109","AC079834.2"
"110","AC079921.2"
"111","AC080013.4"
"112","AC084035.1"
"113","AC084757.3"
"114","AC084876.2"
"115","AC087294.1"
"116","AC087343.1"
"117","AC087354.1"
"118","AC087521.2"
"119","AC087623.3"
"120","AC087894.1"
"121","AC090099.1"
"122","AC090152.1"
"123","AC090229.1"
"124","AC090337.1"
"125","AC090772.4"
"126","AC091153.3"
"127","AC091182.2"
"128","AC092070.2"
"129","AC092368.3"
"130","AC092645.1"
"131","AC092835.1"
"132","AC092910.3"
"133","AC092919.1"
"134","AC093227.1"
"135","AC093635.1"
"136","AC095057.3"
"137","AC096921.2"
"138","AC097374.1"
"139","AC097523.1"
"140","AC098614.1"
"141","AC098614.4"
"142","AC098934.2"
"143","AC099343.3"
"144","AC099778.1"
"145","AC100786.1"
"146","AC103706.1"
"147","AC104117.5"
"148","AC104365.2"
"149","AC104447.1"
"150","AC104561.3"
"151","AC104794.2"
"152","AC104938.1"
"153","AC104971.1"
"154","AC105398.1"
"155","AC107021.2"
"156","AC107027.3"
"157","AC107079.1"
"158","AC107214.1"
"159","AC107214.2"
"160","AC108448.2"
"161","AC108693.2"
"162","AC108865.2"
"163","AC109326.1"
"164","AC109583.2"
"165","AC112187.1"
"166","AC112220.2"
"167","AC112220.3"
"168","AC112220.4"
"169","AC112255.1"
"170","AC112484.3"
"171","AC112715.1"
"172","AC114781.2"
"173","AC114811.2"
"174","AC114947.2"
"175","AC116347.1"
"176","AC117498.2"
"177","AC118282.2"
"178","AC119751.6"
"179","AC120049.1"
"180","AC124242.1"
"181","AC125494.3"
"182","AC126474.1"
"183","AC126755.3"
"184","AC128687.2"
"185","AC131097.3"
"186","AC131281.1"
"187","AC131902.1"
"188","AC131902.2"
"189","AC131902.3"
"190","AC135178.6"
"191","AC135983.2"
"192","AC136443.3"
"193","AC136632.1"
"194","AC138207.3"
"195","AC138356.1"
"196","AC138393.1"
"197","AC139085.1"
"198","AC139530.1"
"199","AC139887.2"
"200","AC144652.1"
"201","AC145285.5"
"202","AC209007.1"
"203","AC231533.2"
"204","AC233266.2"
"205","AC234775.3"
"206","AC234782.2"
"207","AC234782.5"
"208","AC239799.2"
"209","AC245297.3"
"210","AC245884.10"
"211","ACAP3"
"212","ACAT2"
"213","ACBD7"
"214","ACKR3"
"215","ACSL4"
"216","ACSS1"
"217","ACTBP9"
"218","ACTG1P24"
"219","ACTG2"
"220","ACTL6A"
"221","ACTN4"
"222","ACTR3"
"223","ACTR8"
"224","ACVR2B-AS1"
"225","ADAM12"
"226","ADAM15"
"227","ADAM23"
"228","ADAMTS9"
"229","ADAT1"
"230","ADCY5"
"231","ADCY7"
"232","ADGRA3"
"233","ADGRV1"
"234","ADH5"
"235","ADNP2"
"236","ADORA1"
"237","ADRA1D"
"238","ADRB1"
"239","ADSS"
"240","AF117829.1"
"241","AF129075.2"
"242","AF131215.7"
"243","AFAP1"
"244","AFG3L2"
"245","AGPAT5"
"246","AGPS"
"247","AGTRAP"
"248","AHDC1"
"249","AIDA"
"250","AIFM1"
"251","AIG1"
"252","AIMP1"
"253","AJ011932.1"
"254","AKAP7"
"255","AKIRIN1"
"256","AKR1B10"
"257","AKR1C1"
"258","AKR1C2"
"259","AKR1C3"
"260","AKR7A2"
"261","AL021068.1"
"262","AL021407.3"
"263","AL021997.1"
"264","AL021997.2"
"265","AL022324.3"
"266","AL031058.1"
"267","AL031281.2"
"268","AL031963.2"
"269","AL034399.2"
"270","AL035413.1"
"271","AL078581.1"
"272","AL078604.2"
"273","AL079342.1"
"274","AL080243.2"
"275","AL080276.2"
"276","AL096828.3"
"277","AL109659.3"
"278","AL109811.2"
"279","AL109945.1"
"280","AL121601.1"
"281","AL121656.1"
"282","AL132821.1"
"283","AL133163.3"
"284","AL133338.1"
"285","AL135744.1"
"286","AL135786.1"
"287","AL136116.3"
"288","AL137127.1"
"289","AL138724.1"
"290","AL139094.1"
"291","AL139274.2"
"292","AL139351.1"
"293","AL139397.2"
"294","AL157700.1"
"295","AL157823.2"
"296","AL158077.1"
"297","AL159169.1"
"298","AL159169.3"
"299","AL161909.1"
"300","AL162413.1"
"301","AL162727.1"
"302","AL353626.2"
"303","AL353705.4"
"304","AL353726.1"
"305","AL353748.1"
"306","AL355338.1"
"307","AL355355.2"
"308","AL355482.1"
"309","AL356292.1"
"310","AL356379.1"
"311","AL356488.3"
"312","AL357140.3"
"313","AL357515.1"
"314","AL359643.2"
"315","AL359715.3"
"316","AL359715.4"
"317","AL360004.1"
"318","AL365181.2"
"319","AL390115.1"
"320","AL390728.4"
"321","AL390728.6"
"322","AL390955.2"
"323","AL391069.2"
"324","AL445423.1"
"325","AL445524.1"
"326","AL445991.1"
"327","AL449403.2"
"328","AL450326.1"
"329","AL450998.2"
"330","AL451042.1"
"331","AL451064.2"
"332","AL451165.2"
"333","AL512329.1"
"334","AL512598.1"
"335","AL513329.1"
"336","AL589666.2"
"337","AL589987.1"
"338","AL592183.1"
"339","AL603839.2"
"340","AL606760.1"
"341","AL627230.1"
"342","AL645728.1"
"343","AL645728.2"
"344","AL691403.2"
"345","AL691432.2"
"346","AL731556.1"
"347","AL805961.1"
"348","AL807761.2"
"349","ALDH1L1"
"350","ALDH2"
"351","ALDH7A1"
"352","ALG1"
"353","AMER1"
"354","AMIGO2"
"355","AMOTL1"
"356","AMOTL2"
"357","ANAPC1"
"358","ANAPC15"
"359","ANKRD33B"
"360","ANKRD35"
"361","ANKRD37"
"362","ANLN"
"363","ANO10"
"364","ANTXR2"
"365","ANXA5"
"366","AP000251.1"
"367","AP000255.1"
"368","AP000944.1"
"369","AP001086.1"
"370","AP001107.9"
"371","AP001330.5"
"372","AP001351.1"
"373","AP001462.1"
"374","AP001542.3"
"375","AP001816.1"
"376","AP002360.1"
"377","AP002784.2"
"378","AP002847.1"
"379","AP002981.1"
"380","AP003390.1"
"381","AP003469.2"
"382","AP005229.2"
"383","AP006289.1"
"384","AP006545.2"
"385","AP2M1"
"386","AP4E1"
"387","APEX2"
"388","APOL4"
"389","APOOL"
"390","AQR"
"391","AR"
"392","ARF3"
"393","ARF4"
"394","ARFIP1"
"395","ARHGAP10"
"396","ARHGAP11B"
"397","ARHGAP22"
"398","ARHGAP31"
"399","ARHGAP33"
"400","ARHGAP35"
"401","ARHGEF26"
"402","ARHGEF3"
"403","ARID1B"
"404","ARID5B"
"405","ARL13B"
"406","ARL2BP"
"407","ARL4A"
"408","ARL6IP5"
"409","ARL8B"
"410","ARMC8"
"411","ARMCX1"
"412","ARMCX3"
"413","ARMCX4"
"414","ARMCX6"
"415","ARMT1"
"416","ARSD"
"417","ARSJ"
"418","ARV1"
"419","ASCC3"
"420","ASTE1"
"421","ASXL2"
"422","ATAD3A"
"423","ATAD5"
"424","ATF6"
"425","ATG3"
"426","ATG4A"
"427","ATG5"
"428","ATIC"
"429","ATP10A"
"430","ATP10D"
"431","ATP11C"
"432","ATP1B3"
"433","ATP2C1"
"434","ATP5IF1"
"435","ATP5PB"
"436","ATP5PBP5"
"437","ATP6V0A2"
"438","ATP6V0D1"
"439","ATP6V1A"
"440","ATR"
"441","ATRIP"
"442","AURKAIP1"
"443","AVEN"
"444","AXL"
"445","AZI2"
"446","B3GALNT1"
"447","B3GNTL1"
"448","B4GALT2"
"449","B4GALT4"
"450","BACE2"
"451","BAG3"
"452","BBS12"
"453","BBS7"
"454","BCAN"
"455","BCAP31"
"456","BCAS2"
"457","BCKDHB"
"458","BCL2L12"
"459","BCOR"
"460","BCS1L"
"461","BEND3P1"
"462","BGN"
"463","BHLHB9"
"464","BICC1"
"465","BIN1"
"466","BLM"
"467","BLZF1"
"468","BMPR1B"
"469","BMPR2"
"470","BOLA3-AS1"
"471","BRI3BP"
"472","BRK1"
"473","BTD"
"474","BX293535.1"
"475","BX323046.1"
"476","C12orf4"
"477","C16orf72"
"478","C16orf87"
"479","C18orf54"
"480","C19orf47"
"481","C1GALT1C1"
"482","C1orf109"
"483","C1orf115"
"484","C1orf122"
"485","C1orf159"
"486","C1orf216"
"487","C1orf56"
"488","C1orf74"
"489","C1QL1"
"490","C1R"
"491","C1RL-AS1"
"492","C1S"
"493","C3orf38"
"494","C3orf58"
"495","C3orf80"
"496","C4orf3"
"497","C4orf46"
"498","C5orf63"
"499","C6orf120"
"500","C6orf141"
"501","C6orf203"
"502","C8orf88"
"503","C9orf64"
"504","CA13"
"505","CA2"
"506","CA3-AS1"
"507","CA5BP1"
"508","CABP4"
"509","CACNG4"
"510","CACNG8"
"511","CALD1"
"512","CALM3"
"513","CAMP"
"514","CAMSAP2"
"515","CAMTA1-DT"
"516","CAPNS1"
"517","CAPZA1"
"518","CASP3"
"519","CASP8"
"520","CASP9"
"521","CAV1"
"522","CAV2"
"523","CAVIN3"
"524","CAVIN4"
"525","CBFB"
"526","CBX1"
"527","CCDC106"
"528","CCDC12"
"529","CCDC142"
"530","CCDC160"
"531","CCDC3"
"532","CCDC50"
"533","CCDC51"
"534","CCDC58"
"535","CCDC70"
"536","CCDC85B"
"537","CCDC88A"
"538","CCNE1"
"539","CCNL1"
"540","CCR7"
"541","CCT6B"
"542","CD164"
"543","CD1D"
"544","CD302"
"545","CD34"
"546","CD70"
"547","CD82"
"548","CDC25A"
"549","CDC40"
"550","CDC42P4"
"551","CDC42SE1"
"552","CDH11"
"553","CDH2"
"554","CDH5"
"555","CDK2AP1"
"556","CDKN2AIP"
"557","CDO1"
"558","CDR1"
"559","CDV3"
"560","CENPA"
"561","CENPL"
"562","CENPV"
"563","CEP162"
"564","CEP57L1"
"565","CEP70"
"566","CEP97"
"567","CER1"
"568","CERNA3"
"569","CERS2"
"570","CFH"
"571","CFLAR"
"572","CFP"
"573","CGAS"
"574","CGGBP1"
"575","CGNL1"
"576","CHAF1A"
"577","CHCHD2P6"
"578","CHCHD2P9"
"579","CHCHD4"
"580","CHD3"
"581","CHN1"
"582","CHRNA10"
"583","CHRNB1"
"584","CHST2"
"585","CHST7"
"586","CHSY1"
"587","CIAPIN1"
"588","CITED1"
"589","CLCN3"
"590","CLDN1"
"591","CLDND1"
"592","CLIC4"
"593","CLSTN1"
"594","CMBL"
"595","CMTM6"
"596","CMTR2"
"597","CNIH2"
"598","CNN2"
"599","CNOT10"
"600","CNOT11"
"601","CNP"
"602","CNRIP1"
"603","CNTN2"
"604","COA6"
"605","COA7"
"606","COG4"
"607","COL16A1"
"608","COL18A1"
"609","COL1A1"
"610","COL1A2"
"611","COL3A1"
"612","COL4A6"
"613","COL5A3"
"614","COL6A3"
"615","COL7A1"
"616","COL8A1"
"617","COL9A2"
"618","COLCA1"
"619","COLCA2"
"620","COPB2"
"621","COPG1"
"622","COPS9"
"623","COPZ2"
"624","COQ2"
"625","COQ3"
"626","COX17"
"627","COX6A1"
"628","COX6B1P1"
"629","CPD"
"630","CPE"
"631","CPOX"
"632","CPTP"
"633","CREB1"
"634","CREB3L1"
"635","CRIPT"
"636","CRISPLD2"
"637","CROCC"
"638","CRTAP"
"639","CRYBG1"
"640","CRYBG3"
"641","CRYZ"
"642","CSF1"
"643","CSGALNACT2"
"644","CSPG4"
"645","CSTF2"
"646","CTDSP1"
"647","CTNNBIP1"
"648","CTPS1"
"649","CTSO"
"650","CTSS"
"651","CTXN1"
"652","CU634019.2"
"653","CUL4B"
"654","CXCL1"
"655","CXCL2"
"656","CXCL3"
"657","CXCL5"
"658","CXCR4"
"659","CXorf40B"
"660","CXorf57"
"661","CXXC4"
"662","CYB561"
"663","CYB561A3"
"664","CYB5A"
"665","CYB5B"
"666","CYLD"
"667","CYP20A1"
"668","DAP3"
"669","DARS2"
"670","DBR1"
"671","DCAF1"
"672","DCAF13"
"673","DCK"
"674","DCTN1"
"675","DCUN1D1"
"676","DDX11-AS1"
"677","DDX18"
"678","DDX20"
"679","DDX39A"
"680","DECR1"
"681","DEDD"
"682","DEF6"
"683","DEFB131E"
"684","DENND6A"
"685","DENR"
"686","DEPDC7"
"687","DERA"
"688","DERL3"
"689","DESI2"
"690","DFFA"
"691","DGKG"
"692","DGUOK"
"693","DHCR24"
"694","DHFR2"
"695","DHRS3"
"696","DHX15"
"697","DHX30"
"698","DHX36"
"699","DIO2"
"700","DIRAS2"
"701","DKC1"
"702","DMKN"
"703","DMRTA1"
"704","DNAJB11"
"705","DNAJC11"
"706","DNAJC13"
"707","DNAJC14"
"708","DNAJC16"
"709","DNAJC28"
"710","DOCK10"
"711","DOCK11"
"712","DOCK5"
"713","DOCK9"
"714","DOHH"
"715","DPF1"
"716","DPH2"
"717","DPH3"
"718","DPM3"
"719","DPP4"
"720","DPY19L1"
"721","DPY19L3"
"722","DPY30"
"723","DRP2"
"724","DSP"
"725","DTYMK"
"726","DUS2"
"727","DUSP26"
"728","DYNC1LI1"
"729","DYNLL1"
"730","DYNLL1P4"
"731","DYNLT3P2"
"732","E2F3"
"733","EBNA1BP2"
"734","EBP"
"735","ECE1"
"736","ECHDC2"
"737","EDEM3"
"738","EDNRA"
"739","EDNRB"
"740","EEF1A1P1"
"741","EEF1B2P2"
"742","EEF1B2P6"
"743","EEF1GP7"
"744","EEF2KMT"
"745","EEFSEC"
"746","EFL1"
"747","EFS"
"748","EHD1"
"749","EHD2"
"750","EHD4"
"751","EID2"
"752","EIF1AX"
"753","EIF2S3"
"754","EIF3I"
"755","EIF4A1P13"
"756","EIF4E"
"757","EIF4E2"
"758","EIF4G1"
"759","EIF4G2"
"760","EIF4G3"
"761","ELFN1"
"762","ELK1"
"763","ELK4"
"764","ELMOD2"
"765","ELN"
"766","ELOA"
"767","ELOVL1"
"768","ELOVL3"
"769","ELOVL5"
"770","EMC1"
"771","EMC3"
"772","EMC4"
"773","EMILIN1"
"774","EMILIN3"
"775","EMP1"
"776","EMP2"
"777","ENC1"
"778","ENPP1"
"779","EPAS1"
"780","EPHA2"
"781","EPHA3"
"782","EPHX4"
"783","EPOP"
"784","ERC1"
"785","ERCC4"
"786","ERI1"
"787","ERI2"
"788","ERI3"
"789","ERRFI1"
"790","ETAA1"
"791","ETS1"
"792","ETS2"
"793","ETV6"
"794","EVA1A"
"795","EVI5L"
"796","EXO5"
"797","EXOC8"
"798","EXOSC10"
"799","EXTL2"
"800","F2RL1"
"801","F3"
"802","FAAP24"
"803","FADS2"
"804","FAIM"
"805","FAM110A"
"806","FAM114A1"
"807","FAM120C"
"808","FAM122B"
"809","FAM126A"
"810","FAM129A"
"811","FAM129B"
"812","FAM136A"
"813","FAM161A"
"814","FAM198B"
"815","FAM199X"
"816","FAM200B"
"817","FAM201B"
"818","FAM208A"
"819","FAM210A"
"820","FAM212B"
"821","FAM238C"
"822","FAM241B"
"823","FAM3A"
"824","FAM46A"
"825","FAM50A"
"826","FAM83D"
"827","FAM96A"
"828","FAM98A"
"829","FAM98B"
"830","FANCB"
"831","FANCD2"
"832","FAP"
"833","FARSB"
"834","FAS"
"835","FASTKD1"
"836","FASTKD2"
"837","FAT1"
"838","FAT4"
"839","FBLN1"
"840","FBLN7"
"841","FBN1"
"842","FBN2"
"843","FBXL19"
"844","FBXO46"
"845","FBXO6"
"846","FBXW11P1"
"847","FDFT1"
"848","FDPS"
"849","FECH"
"850","FGFBP3"
"851","FHL2"
"852","FIBIN"
"853","FIG4"
"854","FIGN"
"855","FKBP5"
"856","FLG-AS1"
"857","FLNA"
"858","FLNB"
"859","FLNC"
"860","FLVCR1-AS1"
"861","FMNL3"
"862","FMO4"
"863","FMR1"
"864","FNBP1P1"
"865","FNDC3B"
"866","FNDC4"
"867","FOSL1"
"868","FOXB2"
"869","FOXD1"
"870","FREM1"
"871","FRMD8"
"872","FRYL"
"873","FRZB"
"874","FST"
"875","FTH1P8"
"876","FTSJ1"
"877","FTX"
"878","FUBP1"
"879","FUCA2"
"880","FUNDC1"
"881","FUNDC2"
"882","FYCO1"
"883","FZD5"
"884","FZD7"
"885","FZD8"
"886","G3BP2"
"887","GABPB2"
"888","GABRE"
"889","GADD45G"
"890","GALE"
"891","GALM"
"892","GALNT2"
"893","GALNT7"
"894","GAP43"
"895","GAPDH"
"896","GAPDHP52"
"897","GAPDHP63"
"898","GAR1"
"899","GASAL1"
"900","GATA6"
"901","GATA6-AS1"
"902","GATB"
"903","GBAP1"
"904","GCFC2"
"905","GCNT1"
"906","GDF5"
"907","GDPD2"
"908","GEM"
"909","GFM1"
"910","GFRA1"
"911","GGT5"
"912","GGTA2P"
"913","GJA1"
"914","GJB2"
"915","GLB1"
"916","GLIPR1"
"917","GLRB"
"918","GLRX2"
"919","GLUD1"
"920","GMEB1"
"921","GMNN"
"922","GMPS"
"923","GNAI3"
"924","GNB1"
"925","GNB4"
"926","GNG11"
"927","GNL2"
"928","GNL3L"
"929","GNPDA2"
"930","GOLGA2P7"
"931","GOLIM4"
"932","GOLPH3L"
"933","GOPC"
"934","GORAB"
"935","GPATCH3"
"936","GPATCH4"
"937","GPD1L"
"938","GPKOW"
"939","GPM6A"
"940","GPM6B"
"941","GPR150"
"942","GPR19"
"943","GPR3"
"944","GPR37L1"
"945","GPR88"
"946","GPRASP2"
"947","GPRC5A"
"948","GRIK5"
"949","GRIPAP1"
"950","GRPEL1"
"951","GRWD1"
"952","GSE1"
"953","GSPT1"
"954","GTF2A2"
"955","GTF2E1"
"956","GTF2H3"
"957","GTF3C1"
"958","GTF3C6"
"959","GTPBP6"
"960","GTPBP8"
"961","GXYLT1"
"962","GXYLT2"
"963","GYG1"
"964","H1FX-AS1"
"965","H2AFZ"
"966","H3F3C"
"967","H6PD"
"968","HACD1"
"969","HACD2"
"970","HACD4"
"971","HADH"
"972","HAS2"
"973","HAS2-AS1"
"974","HAS3"
"975","HCCS"
"976","HDAC1"
"977","HDAC2"
"978","HDAC6"
"979","HDLBP"
"980","HEATR1"
"981","HEATR3"
"982","HERC2P3"
"983","HERC2P9"
"984","HERPUD1"
"985","HES5"
"986","HFE"
"987","HGD"
"988","HGF"
"989","HHIP"
"990","HHIP-AS1"
"991","HIBCH"
"992","HIGD1AP4"
"993","HIP1"
"994","HIST1H2AH"
"995","HIST1H2APS5"
"996","HIST2H3D"
"997","HKDC1"
"998","HLA-H"
"999","HLA-U"
"1000","HLA-V"
"1001","HLTF"
"1002","HLX"
"1003","HMCES"
"1004","HMGA1P4"
"1005","HMGA2"
"1006","HMGB1P5"
"1007","HMGB3"
"1008","HMGCR"
"1009","HMGCS1"
"1010","HMGN2P17"
"1011","HMGN2P8"
"1012","HNRNPA1P4"
"1013","HNRNPA1P8"
"1014","HNRNPA2B1"
"1015","HNRNPD"
"1016","HNRNPH2"
"1017","HNRNPL"
"1018","HNRNPM"
"1019","HNRNPR"
"1020","HOPX"
"1021","HOXD-AS2"
"1022","HP1BP3"
"1023","HPCA"
"1024","HPF1"
"1025","HPRT1"
"1026","HRH1"
"1027","HS1BP3"
"1028","HS6ST1"
"1029","HS6ST1P1"
"1030","HSD17B10"
"1031","HSD17B11"
"1032","HSP90AA6P"
"1033","HSP90AB2P"
"1034","HSP90AB3P"
"1035","HSPA12A"
"1036","HSPB1P1"
"1037","HSPB1P2"
"1038","HSPB3"
"1039","HSPBAP1"
"1040","HSPD1"
"1041","HSPD1P4"
"1042","HTR1D"
"1043","HTRA1"
"1044","HUWE1"
"1045","ICOSLG"
"1046","IDH3G"
"1047","IDI1"
"1048","IFNGR1"
"1049","IFRD2"
"1050","IFT122"
"1051","IFT172"
"1052","IFT57"
"1053","IGFBP6"
"1054","IGFL4"
"1055","IGFLR1"
"1056","IKBKE"
"1057","IL13RA1"
"1058","IL17RB"
"1059","IL17RC"
"1060","IL1RAP"
"1061","IL20RB"
"1062","IL4R"
"1063","IL6ST"
"1064","IL7"
"1065","IMPA2"
"1066","IMPACT"
"1067","ING2"
"1068","INHBA"
"1069","INHBE"
"1070","INSM1"
"1071","INTS13"
"1072","INTU"
"1073","IP6K3"
"1074","IPO8"
"1075","IPP"
"1076","IQCC"
"1077","IRAK1"
"1078","IRF2"
"1079","ISOC1"
"1080","ISOC2"
"1081","ITPR2"
"1082","ITPRIPL1"
"1083","JAGN1"
"1084","JAKMIP3"
"1085","JOSD2"
"1086","KAT2B"
"1087","KBTBD8"
"1088","KCNMA1"
"1089","KCNMB3"
"1090","KCNS1"
"1091","KDM1A"
"1092","KDM5C"
"1093","KDM6A"
"1094","KHSRPP1"
"1095","KIAA0040"
"1096","KIAA1522"
"1097","KIAA1614"
"1098","KIAA1755"
"1099","KIAA2013"
"1100","KIF7"
"1101","KIFAP3"
"1102","KIRREL1"
"1103","KLHDC7B"
"1104","KLHDC9"
"1105","KLHL15"
"1106","KLHL2"
"1107","KLHL20"
"1108","KLHL30-AS1"
"1109","KLHL4"
"1110","KLHL8"
"1111","KMT5A"
"1112","KNTC1"
"1113","KPNA1"
"1114","KRBOX4"
"1115","KRI1"
"1116","KRT17"
"1117","KRT7"
"1118","KRT8P12"
"1119","LAGE3"
"1120","LAMA1"
"1121","LAMP2"
"1122","LAMP3"
"1123","LARP7"
"1124","LARS2"
"1125","LAS1L"
"1126","LAYN"
"1127","LBR"
"1128","LCLAT1"
"1129","LCNL1"
"1130","LCTL"
"1131","LDAH"
"1132","LDHAP3"
"1133","LDHB"
"1134","LDLR"
"1135","LDOC1"
"1136","LEFTY2"
"1137","LETM1"
"1138","LGALS2"
"1139","LGALS7"
"1140","LGALS7B"
"1141","LHFPL4"
"1142","LIF"
"1143","LIMD1"
"1144","LIN7C"
"1145","LINC00320"
"1146","LINC00475"
"1147","LINC00488"
"1148","LINC00667"
"1149","LINC00685"
"1150","LINC00888"
"1151","LINC00920"
"1152","LINC00941"
"1153","LINC00960"
"1154","LINC01060"
"1155","LINC01063"
"1156","LINC01137"
"1157","LINC01191"
"1158","LINC01351"
"1159","LINC01352"
"1160","LINC01355"
"1161","LINC01468"
"1162","LINC01508"
"1163","LINC01515"
"1164","LINC01535"
"1165","LINC01556"
"1166","LINC01560"
"1167","LINC01564"
"1168","LINC01771"
"1169","LINC01952"
"1170","LINC02021"
"1171","LINC02052"
"1172","LINC02076"
"1173","LINC02084"
"1174","LINC02104"
"1175","LINC02262"
"1176","LINC02300"
"1177","LINC02361"
"1178","LINC02525"
"1179","LINC02541"
"1180","LINS1"
"1181","LMAN2L"
"1182","LMNB2"
"1183","LOXL2"
"1184","LPCAT2"
"1185","LPL"
"1186","LRAT"
"1187","LRFN3"
"1188","LRP12"
"1189","LRP3"
"1190","LRRC15"
"1191","LRRC37A9P"
"1192","LRRC40"
"1193","LRRC42"
"1194","LRRC57"
"1195","LRRC58"
"1196","LRRCC1"
"1197","LRRN4CL"
"1198","LSM10"
"1199","LSM14A"
"1200","LSM3"
"1201","LSM4"
"1202","LSM6"
"1203","LTBP1"
"1204","LY6D"
"1205","LY6G5C"
"1206","LYPD6"
"1207","LYSMD2"
"1208","LZIC"
"1209","MACF1"
"1210","MAGEE2"
"1211","MAGEF1"
"1212","MAGOH"
"1213","MAGOHB"
"1214","MAML2"
"1215","MAN1A1"
"1216","MAN2A1"
"1217","MAN2B2"
"1218","MANEA"
"1219","MANEAL"
"1220","MANSC1"
"1221","MAP1A"
"1222","MAP3K2"
"1223","MAP3K6"
"1224","MAP3K8"
"1225","MAP7D1"
"1226","MAP7D3"
"1227","MAPKAPK3"
"1228","MARCKSL1"
"1229","MBNL1"
"1230","MBTPS2"
"1231","MC5R"
"1232","MCFD2"
"1233","MCM9"
"1234","MCTS1"
"1235","MDC1"
"1236","MDFIC"
"1237","ME1"
"1238","MED14"
"1239","MED14OS"
"1240","MEIS2"
"1241","MEIS3P1"
"1242","MEMO1P1"
"1243","MESP1"
"1244","METAP1"
"1245","METTL13"
"1246","MEX3A"
"1247","MEX3B"
"1248","MEX3C"
"1249","MFAP4"
"1250","MFAP5"
"1251","MFN2"
"1252","MFSD1"
"1253","MGST1"
"1254","MIER1"
"1255","MIR155HG"
"1256","MIR17HG"
"1257","MIR219A1"
"1258","MIR222HG"
"1259","MIR22HG"
"1260","MIR3143"
"1261","MIR3188"
"1262","MIR31HG"
"1263","MIR34AHG"
"1264","MIR4453HG"
"1265","MIR4470"
"1266","MIR4645"
"1267","MIR588"
"1268","MIR645"
"1269","MIR9-3HG"
"1270","MLEC"
"1271","MLH1"
"1272","MLLT10P1"
"1273","MLYCD"
"1274","MMACHC"
"1275","MMD"
"1276","MME"
"1277","MMGT1"
"1278","MMP16"
"1279","MMP17"
"1280","MMP7"
"1281","MOB1A"
"1282","MOCOS"
"1283","MORC4"
"1284","MORF4L2"
"1285","MOXD1"
"1286","MPHOSPH10"
"1287","MPHOSPH6"
"1288","MPHOSPH9"
"1289","MPZL1"
"1290","MRAP2"
"1291","MRGPRF"
"1292","MRPL1"
"1293","MRPL20"
"1294","MRPL24"
"1295","MRPL3"
"1296","MRPL35"
"1297","MRPL4"
"1298","MRPL40P1"
"1299","MRPL44"
"1300","MRPL51"
"1301","MRPS14"
"1302","MRPS18C"
"1303","MRPS22"
"1304","MRTO4"
"1305","MSL2"
"1306","MSMO1"
"1307","MT1A"
"1308","MT1E"
"1309","MT1G"
"1310","MT1L"
"1311","MT1M"
"1312","MT2A"
"1313","MT2P1"
"1314","MTATP6P2"
"1315","MTCO2P22"
"1316","MTCP1"
"1317","MTHFD2"
"1318","MTHFD2L"
"1319","MTM1"
"1320","MTMR1"
"1321","MTMR9LP"
"1322","MTND4P24"
"1323","MTOR"
"1324","MTRF1L"
