"","gene_name_length"
"AABR07002353.1",108
"AABR07002353.2",402
"AABR07002382.1",1634
"AABR07002384.1",345
"AABR07002409.1",81
"AABR07002418.1",689
"AABR07002467.1",62144
"AABR07002473.1",21407
"AABR07002493.1",9507
"AABR07002499.1",7586
"AABR07002523.1",9193
"AABR07002546.1",2012
"AABR07002564.1",285
"AABR07002622.1",327
"AABR07002623.1",6573
"AABR07002627.1",36495
"AABR07002644.1",104
"AABR07002659.1",9836
"AABR07002674.1",1400
"AABR07002677.1",1578
"AABR07002677.2",10199
"AABR07002680.1",125
"AABR07002680.2",3126
"AABR07002682.1",7194
"AABR07002683.1",1860
"AABR07002689.1",1725
"AABR07002700.1",4367
"AABR07002711.1",74
"AABR07002736.1",2712
"AABR07002768.1",3121
"AABR07002774.1",10833
"AABR07002774.2",12863
"AABR07002774.3",5562
"AABR07002774.4",753
"AABR07002775.1",1839
"AABR07002779.1",19690
"AABR07002782.1",807
"AABR07002783.1",14223
"AABR07002784.1",13177
"AABR07002784.2",5973
"AABR07002792.1",2102
"AABR07002792.2",155
"AABR07002805.1",7543
"AABR07002835.1",904
"AABR07002845.1",621
"AABR07002848.1",15706
"AABR07002848.2",1391
"AABR07002854.1",1321
"AABR07002868.1",5015
"AABR07002868.2",2911
"AABR07002870.1",1677
"AABR07002870.2",5632
"AABR07002882.1",2867
"AABR07002885.1",12929
"AABR07002893.1",5235
"AABR07002896.1",1677
"AABR07002898.1",2281
"AABR07002902.1",2816
"AABR07002906.1",427
"AABR07002908.1",83
"AABR07002910.1",7115
"AABR07002923.1",2973
"AABR07002928.1",895
"AABR07002928.2",33102
"AABR07002938.1",1528
"AABR07002945.1",33356
"AABR07002945.2",360
"AABR07002945.3",237
"AABR07002966.1",387
"AABR07002969.1",28080
"AABR07002973.1",427
"AABR07002997.1",258
"AABR07002997.2",307
"AABR07003001.1",4541
"AABR07003001.2",16771
"AABR07003007.1",1444
"AABR07003024.1",57140
"AABR07003030.1",131
"AABR07003030.2",124172
"AABR07003040.1",2915
"AABR07003049.1",255
"AABR07003049.2",612
"AABR07003051.1",1271
"AABR07003056.1",7295
"AABR07003056.2",2789
"AABR07003056.3",135
"AABR07003102.1",77
"AABR07003167.1",2672
"AABR07003167.2",6047
"AABR07003167.3",3799
"AABR07003173.1",1001
"AABR07003176.1",3283
"AABR07003186.1",101
"AABR07003186.2",72
"AABR07003187.1",1107
"AABR07003190.1",125
"AABR07003224.1",11001
"AABR07003230.1",2879
"AABR07003233.1",80
"AABR07003235.1",8834
"AABR07003235.2",393
"AABR07003241.1",1161
"AABR07003241.2",3973
"AABR07003241.3",1117
"AABR07003244.1",3995
"AABR07003247.1",11001
"AABR07003250.1",1126
"AABR07003250.2",482
"AABR07003273.1",434
"AABR07003274.1",56
"AABR07003291.1",582
"AABR07003302.1",180
"AABR07003304.1",1630
"AABR07003304.2",70962
"AABR07003310.1",859
"AABR07003310.2",5672
"AABR07003310.3",1148
"AABR07003344.1",106
"AABR07003349.1",1579
"AABR07003354.1",21838
"AABR07003380.1",1855
"AABR07003390.1",5659
"AABR07003392.1",45339
"AABR07003397.1",14581
"AABR07003398.1",1233
"AABR07003418.1",1587
"AABR07003433.1",1967
"AABR07003449.1",1347
"AABR07003468.1",6395
"AABR07003492.1",769
"AABR07003492.2",1279
"AABR07003495.1",790
"AABR07003500.1",610
"AABR07003500.2",94
"AABR07003500.3",611
"AABR07003504.1",982
"AABR07003509.1",9225
"AABR07003510.1",899
"AABR07003510.2",545
"AABR07003537.1",612
"AABR07003553.1",103
"AABR07003563.1",3504
"AABR07003610.1",15688
"AABR07003616.1",573
"AABR07003650.1",5525
"AABR07003699.1",1965
"AABR07003713.1",891
"AABR07003751.1",38680
"AABR07003786.1",2021
"AABR07003833.1",748
"AABR07003841.1",1740
"AABR07003933.1",27166
"AABR07003935.1",98
"AABR07003935.10",74
"AABR07003935.12",67
"AABR07003935.13",99
"AABR07003935.14",97
"AABR07003935.15",103
"AABR07003935.2",74
"AABR07003935.4",74
"AABR07003935.5",98
"AABR07003935.6",99
"AABR07003935.7",85
"AABR07003935.8",98
"AABR07003935.9",100
"AABR07003944.1",5525
"AABR07004018.1",88
"AABR07004021.1",99
"AABR07004022.1",100
"AABR07004025.1",98
"AABR07004033.1",7947
"AABR07004061.1",134842
"AABR07004085.1",17334
"AABR07004090.1",23456
"AABR07004100.1",27836
"AABR07004100.2",12825
"AABR07004101.1",116
"AABR07004101.2",2992
"AABR07004112.1",2532
"AABR07004130.1",16478
"AABR07004134.1",351
"AABR07004136.1",3884
"AABR07004153.1",130
"AABR07004183.1",474
"AABR07004183.2",907
"AABR07004189.1",14868
"AABR07004190.1",747
"AABR07004221.1",1265
"AABR07004221.2",171082
"AABR07004227.1",2434
"AABR07004228.1",51070
"AABR07004229.1",128
"AABR07004232.1",1426
"AABR07004232.2",2017
"AABR07004241.1",5298
"AABR07004241.2",5725
"AABR07004244.1",549
"AABR07004254.1",1542
"AABR07004258.1",330
"AABR07004259.1",352
"AABR07004263.1",123
"AABR07004269.1",379
"AABR07004269.2",65
"AABR07004269.3",7929
"AABR07004269.4",735
"AABR07004269.5",405
"AABR07004269.6",727
"AABR07004272.1",26861
"AABR07004276.1",484
"AABR07004292.1",255
"AABR07004294.1",86
"AABR07004297.1",130
"AABR07004304.1",136
"AABR07004305.1",658
"AABR07004305.2",3312
"AABR07004364.1",2501
"AABR07004397.1",336
"AABR07004397.2",658
"AABR07004404.1",4479
"AABR07004428.1",11170
"AABR07004437.1",312
"AABR07004481.1",68
"AABR07004482.1",853
"AABR07004482.2",4775
"AABR07004495.1",1040
"AABR07004497.1",117
"AABR07004507.1",2163
"AABR07004511.1",2163
"AABR07004530.1",1459
"AABR07004539.1",11177
"AABR07004549.1",13119
"AABR07004560.1",20189
"AABR07004572.1",3566
"AABR07004681.1",931
"AABR07004684.1",131123
"AABR07004703.1",6275
"AABR07004733.1",1035
"AABR07004733.2",15893
"AABR07004743.1",183
"AABR07004746.1",405
"AABR07004746.3",106
"AABR07004756.1",99
"AABR07004761.1",7387
"AABR07004765.1",99
"AABR07004776.1",342
"AABR07004776.2",132
"AABR07004783.1",16168
"AABR07004799.1",656
"AABR07004812.1",377
"AABR07004812.2",377
"AABR07004823.1",1680
"AABR07004833.1",94
"AABR07004852.1",100
"AABR07004868.1",2844
"AABR07004868.2",2010
"AABR07004876.1",384
"AABR07004876.2",7516
"AABR07004881.1",226
"AABR07004888.1",1603
"AABR07004891.1",2817
"AABR07004894.1",583
"AABR07004912.1",421
"AABR07004912.2",297
"AABR07004914.1",697
"AABR07004945.1",1149
"AABR07004947.1",841
"AABR07004949.1",100
"AABR07004960.1",933
"AABR07004966.1",945
"AABR07004971.1",947
"AABR07004975.1",3265
"AABR07004992.1",9606
"AABR07004993.1",1133
"AABR07004996.1",114
"AABR07005004.1",108
"AABR07005004.2",124
"AABR07005027.1",594
"AABR07005028.1",288
"AABR07005028.2",107
"AABR07005031.1",552
"AABR07005031.2",106
"AABR07005031.3",2716
"AABR07005032.1",1552
"AABR07005040.1",300
"AABR07005040.2",129
"AABR07005055.1",2257
"AABR07005416.1",106
"AABR07005447.1",107
"AABR07005506.1",1246
"AABR07005508.1",8440
"AABR07005533.1",1305
"AABR07005535.1",3462
"AABR07005563.1",998
"AABR07005564.1",670
"AABR07005565.1",245
"AABR07005569.1",1497
"AABR07005572.1",5040
"AABR07005572.2",403
"AABR07005573.1",3457
"AABR07005581.1",5522
"AABR07005588.1",3262
"AABR07005593.1",14970
"AABR07005596.1",24138
"AABR07005597.1",27661
"AABR07005618.1",1616
"AABR07005632.1",18421
"AABR07005633.1",348
"AABR07005664.1",77
"AABR07005667.1",810
"AABR07005723.1",942
"AABR07005752.1",2757
"AABR07005758.1",16237
"AABR07005758.2",141
"AABR07005775.1",1114
"AABR07005778.1",2735
"AABR07005779.1",4274
"AABR07005779.2",29610
"AABR07005779.3",1970
"AABR07005779.4",78
"AABR07005779.5",1016
"AABR07005779.6",2036
"AABR07005779.7",6020
"AABR07005794.1",8756
"AABR07005806.1",378
"AABR07005808.1",14623
"AABR07005821.1",69118
"AABR07005828.1",85
"AABR07005837.1",3205
"AABR07005837.2",6930
"AABR07005838.1",435
"AABR07005838.2",140
"AABR07005844.1",67996
"AABR07005871.1",926
"AABR07005886.1",4323
"AABR07005888.1",54
"AABR07005888.2",316
"AABR07005939.1",312
"AABR07005949.1",34391
"AABR07005950.1",1307
"AABR07005955.1",10313
"AABR07005961.1",1344
"AABR07005965.1",3278
"AABR07005977.1",1741
"AABR07005977.2",1289
"AABR07005977.3",777
"AABR07005983.1",12982
"AABR07005985.1",38484
"AABR07005985.2",30205
"AABR07005985.3",2689
"AABR07006025.1",8935
"AABR07006025.2",281
"AABR07006030.1",28507
"AABR07006032.1",13837
"AABR07006033.1",8685
"AABR07006038.1",31430
"AABR07006042.1",8700
"AABR07006049.1",365483
"AABR07006049.2",11853
"AABR07006055.1",10189
"AABR07006076.1",484
"AABR07006081.1",603
"AABR07006084.1",100
"AABR07006089.1",8025
"AABR07006090.1",78
"AABR07006093.1",61
"AABR07006097.1",6302
"AABR07006111.1",855
"AABR07006120.1",6062
"AABR07006142.1",49002
"AABR07006160.1",726
"AABR07006197.1",21469
"AABR07006232.1",3490
"AABR07006242.1",4016
"AABR07006255.1",577
"AABR07006258.1",507
"AABR07006258.2",141
"AABR07006259.1",5906
"AABR07006263.1",3101
"AABR07006264.1",21255
"AABR07006264.2",28161
"AABR07006269.1",9970
"AABR07006275.1",161156
"AABR07006278.1",11782
"AABR07006283.1",20663
"AABR07006308.1",2243
"AABR07006310.1",2261
"AABR07006311.1",29713
"AABR07006327.1",120
"AABR07006328.2",2921
"AABR07006333.1",628
"AABR07006367.1",876
"AABR07006389.1",29515
"AABR07006428.1",14103
"AABR07006436.1",1875
"AABR07006451.1",1008
"AABR07006453.1",33575
"AABR07006458.1",18679
"AABR07006474.1",555
"AABR07006475.1",31639
"AABR07006480.1",16371
"AABR07006487.1",1801
"AABR07006502.1",1456
"AABR07006504.1",465
"AABR07006536.1",3417
"AABR07006536.2",697
"AABR07006538.1",1842
"AABR07006542.1",399
"AABR07006542.2",5719
"AABR07006544.1",282
"AABR07006566.1",1880
"AABR07006576.1",399
"AABR07006591.1",155
"AABR07006619.1",1222
"AABR07006624.1",757
"AABR07006625.1",947
"AABR07006625.2",575
"AABR07006627.1",649
"AABR07006627.2",594
"AABR07006649.1",3358
"AABR07006654.1",118936
"AABR07006654.2",1809
"AABR07006656.1",3646
"AABR07006656.2",1705
"AABR07006656.3",30525
"AABR07006657.1",2393
"AABR07006672.1",1019
"AABR07006685.1",10760
"AABR07006688.1",261
"AABR07006688.2",4023
"AABR07006689.1",7509
"AABR07006691.1",35041
"AABR07006693.1",89
"AABR07006713.1",17552
"AABR07006724.1",94399
"AABR07006727.1",300
"AABR07006736.1",2635
"AABR07006740.1",381
"AABR07006742.1",101
"AABR07006752.1",13331
"AABR07006774.1",4396
"AABR07006775.1",2534
"AABR07006823.1",785
"AABR07006854.1",7097
"AABR07006854.2",4199
"AABR07006860.1",98370
"AABR07006860.2",137
"AABR07006866.1",842
"AABR07006871.1",543
"AABR07006873.1",78340
"AABR07006888.1",7015
"AABR07006889.1",9156
"AABR07006894.1",11573
"AABR07006904.1",3568
"AABR07006911.1",18716
"AABR07006953.1",15426
"AABR07006957.1",1828
"AABR07006978.1",68
"AABR07006978.2",2412
"AABR07006993.1",3454
"AABR07006999.1",75
"AABR07007000.1",936
"AABR07007023.1",1100
"AABR07007026.1",34457
"AABR07007032.1",188438
"AABR07007035.1",17157
"AABR07007055.1",3642
"AABR07007064.1",69
"AABR07007065.1",1286
"AABR07007068.1",69754
"AABR07007078.1",7267
"AABR07007078.2",3242
"AABR07007086.1",61
"AABR07007088.1",1446
"AABR07007088.2",1416
"AABR07007092.1",378
"AABR07007093.1",28070
"AABR07007095.1",1194
"AABR07007121.1",813
"AABR07007130.2",393
"AABR07007134.1",498
"AABR07007146.1",5519
"AABR07007362.1",979
"AABR07007385.1",292
"AABR07007391.1",2352
"AABR07007399.1",426
"AABR07007409.1",816
"AABR07007517.1",93
"AABR07007544.1",525
"AABR07007566.1",45350
"AABR07007584.1",1101
"AABR07007584.2",89
"AABR07007584.3",11004
"AABR07007592.1",133
"AABR07007642.1",139570
"AABR07007645.1",89
"AABR07007663.1",3619
"AABR07007675.1",315
"AABR07007675.2",401
"AABR07007689.1",78
"AABR07007690.1",107
"AABR07007690.2",113
"AABR07007693.1",2333
"AABR07007715.1",12844
"AABR07007717.1",874
"AABR07007717.2",1457
"AABR07007717.3",1820
"AABR07007730.1",420
"AABR07007743.1",133
"AABR07007744.1",6236
"AABR07007744.2",594
"AABR07007745.1",147
"AABR07007758.1",50459
"AABR07007758.2",101
"AABR07007765.1",4626
"AABR07007769.1",112619
"AABR07007775.1",12395
"AABR07007789.1",19004
"AABR07007793.1",1694
"AABR07007798.1",5479
"AABR07007799.1",6405
"AABR07007802.1",2576
"AABR07007802.2",4681
"AABR07007833.1",764
"AABR07007833.2",2326
"AABR07007839.1",1003
"AABR07007853.1",483
"AABR07007853.2",2382
"AABR07007863.1",25713
"AABR07007874.1",549
"AABR07007875.1",497
"AABR07007878.1",23025
"AABR07007879.1",3572
"AABR07007896.1",11215
"AABR07007905.1",483
"AABR07007905.2",8957
"AABR07007916.1",27460
"AABR07007924.1",924
"AABR07007928.1",798
"AABR07007931.1",2976
"AABR07007978.1",114
"AABR07007980.1",3107
"AABR07007980.2",9123
"AABR07007987.1",2702
"AABR07007997.1",5470
"AABR07008013.1",2326
"AABR07008014.1",4901
"AABR07008016.1",344
"AABR07008025.1",471
"AABR07008030.1",10891
"AABR07008066.1",74
"AABR07008066.2",189
"AABR07008074.1",121
"AABR07008097.1",1218
"AABR07008099.1",84
"AABR07008099.2",1404
"AABR07008103.1",77
"AABR07008107.1",5874
"AABR07008108.1",1395
"AABR07008118.1",5963
"AABR07008126.1",1968
"AABR07008142.1",333
"AABR07008142.2",3531
"AABR07008152.1",2607
"AABR07008180.1",111
"AABR07008242.1",1687
"AABR07008255.1",460
"AABR07008256.1",4051
"AABR07008256.2",2563
"AABR07008259.1",50694
"AABR07008285.1",270
"AABR07008287.1",16357
"AABR07008287.2",13831
"AABR07008293.1",692
"AABR07008293.2",108
"AABR07008293.3",1022
"AABR07008293.4",1115
"AABR07008298.1",450
"AABR07008298.2",39913
"AABR07008300.1",523
"AABR07008309.1",1813
"AABR07008319.1",16036
"AABR07008341.1",841
"AABR07008350.1",483
"AABR07008370.1",25376
"AABR07008386.1",32632
"AABR07008399.1",22866
"AABR07008420.1",161
"AABR07008421.1",282
"AABR07008424.1",1561
"AABR07008439.1",9601
"AABR07008440.1",101
"AABR07008462.1",51169
"AABR07008485.1",460
"AABR07008491.1",11638
"AABR07008505.1",106
"AABR07008513.1",141
"AABR07008530.1",2201
"AABR07008568.1",1647
"AABR07008594.1",19352
"AABR07008597.1",19035
"AABR07008608.1",8174
"AABR07008655.1",781
"AABR07008661.1",2929
"AABR07008670.1",912
"AABR07008681.1",7576
"AABR07008724.1",731
"AABR07008788.1",44759
"AABR07008805.1",303
"AABR07008844.1",1634
"AABR07008876.1",28278
"AABR07008878.1",48047
"AABR07008890.1",1073
"AABR07008898.1",3400
"AABR07008904.1",672
"AABR07008911.1",515
"AABR07008916.1",103
"AABR07008940.1",4130
"AABR07008948.1",7804
"AABR07008970.1",7054
"AABR07008991.1",1021
"AABR07009002.1",1579
"AABR07009028.1",32497
"AABR07009031.1",10525
"AABR07009052.1",102
"AABR07009105.1",12583
"AABR07009106.1",147742
"AABR07009154.1",50635
"AABR07009161.1",1969
"AABR07009218.1",483
"AABR07009221.1",5504
"AABR07009224.1",273
"AABR07009247.1",40392
"AABR07009260.1",108762
"AABR07009260.2",1103
"AABR07009338.1",28421
"AABR07009351.1",1746
"AABR07009357.1",439
"AABR07009357.2",1160
"AABR07009373.1",561
"AABR07009373.2",49394
"AABR07009377.1",383
"AABR07009395.1",70
"AABR07009428.1",2235
"AABR07009457.1",337
"AABR07009508.1",753
"AABR07009536.1",10558
"AABR07009538.1",385
"AABR07009572.1",558
"AABR07009599.1",779
"AABR07009599.2",2970
"AABR07009600.1",1457
"AABR07009600.2",45031
"AABR07009634.1",4173
"AABR07009634.2",67843
"AABR07009638.1",603
"AABR07009638.2",2521
"AABR07009639.1",1608
"AABR07009715.1",786
"AABR07009743.1",1004
"AABR07009770.1",931
"AABR07009775.1",1921
"AABR07009786.1",91
"AABR07009787.1",9640
"AABR07009824.1",49219
"AABR07009833.1",64
"AABR07009834.1",336
"AABR07009890.1",3481
"AABR07009919.1",148801
"AABR07009919.2",77
"AABR07009927.1",87
"AABR07009931.1",390
"AABR07009965.1",421
"AABR07009978.1",354
"AABR07009984.1",2515
"AABR07009986.1",3197
"AABR07009991.1",1803
"AABR07010022.1",669
"AABR07010030.1",79
"AABR07010030.2",1477
"AABR07010031.1",9739
"AABR07010033.1",33254
"AABR07010033.2",2583
"AABR07010040.1",2352
"AABR07010040.2",13165
"AABR07010040.3",13298
"AABR07010041.1",1201
"AABR07010061.1",134
"AABR07010085.1",3994
"AABR07010085.2",45847
"AABR07010107.1",118
"AABR07010107.2",966
"AABR07010121.1",5942
"AABR07010136.1",370
"AABR07010153.1",1337
"AABR07010155.1",684
"AABR07010160.2",4116
"AABR07010180.1",7986
"AABR07010181.1",245
"AABR07010183.1",974
"AABR07010231.1",1581
"AABR07010306.1",195
"AABR07010330.1",11919
"AABR07010330.2",6077
"AABR07010332.1",5541
"AABR07010333.1",17025
"AABR07010342.1",1554
"AABR07010358.1",5874
"AABR07010370.1",1115
"AABR07010385.1",1665
"AABR07010421.1",543
"AABR07010460.1",1752
"AABR07010468.1",88381
"AABR07010476.1",4892
"AABR07010500.1",13915
"AABR07010502.1",1184
"AABR07010524.1",378
"AABR07010550.1",3142
"AABR07010554.1",67
"AABR07010563.1",748
"AABR07010570.1",652
"AABR07010575.1",433
"AABR07010583.1",652
"AABR07010585.1",2268
"AABR07010587.1",3177
"AABR07010589.1",75
"AABR07010592.1",1186
"AABR07010592.2",5605
"AABR07010601.1",848
"AABR07010609.1",1115
"AABR07010609.2",10307
"AABR07010620.1",5482
"AABR07010633.1",86
"AABR07010649.1",987
"AABR07010672.1",7186
"AABR07010682.1",4955
"AABR07010705.1",1114
"AABR07010706.1",74
"AABR07010710.1",811
"AABR07010717.1",21767
"AABR07010718.1",6218
"AABR07010747.1",10588
"AABR07010760.1",13041
"AABR07010763.1",3199
"AABR07010763.2",44798
"AABR07010777.1",24894
"AABR07010787.1",496
"AABR07010840.1",516
"AABR07010868.1",3115
"AABR07010873.1",60
"AABR07010878.1",5519
"AABR07010894.1",7090
"AABR07010899.1",76275
"AABR07010907.1",40379
"AABR07010919.1",762
"AABR07010935.1",3280
"AABR07010944.1",427
"AABR07010985.1",50468
"AABR07010986.1",6904
"AABR07011013.1",60820
"AABR07011031.1",14806
"AABR07011057.1",35764
"AABR07011057.2",2090
"AABR07011062.1",6876
"AABR07011084.1",1078
"AABR07011084.2",29102
"AABR07011085.1",139
"AABR07011088.1",1518
"AABR07011090.1",96
"AABR07011117.1",265
"AABR07011127.1",3859
"AABR07011145.1",14607
"AABR07011152.1",337
"AABR07011278.1",789
"AABR07011434.1",1164
"AABR07011500.1",77
"AABR07011512.1",2252
"AABR07011545.1",19833
"AABR07011629.1",103
"AABR07011672.1",574
"AABR07011682.1",14089
"AABR07011697.1",1838
"AABR07011698.1",1111
"AABR07011700.1",1050
"AABR07011708.1",101
"AABR07011733.1",1260
"AABR07011744.1",14306
"AABR07011746.1",9005
"AABR07011841.1",589
"AABR07011857.1",5454
"AABR07011857.2",162812
"AABR07011864.1",3400
"AABR07011888.1",51916
"AABR07011908.1",4571
"AABR07011934.1",42491
"AABR07011945.1",1074
"AABR07011951.1",2048
"AABR07011956.1",584
"AABR07011977.1",191
"AABR07011991.1",1501
"AABR07011996.1",5307
"AABR07011997.1",8329
"AABR07012012.1",524
"AABR07012023.1",5103
"AABR07012030.1",521
"AABR07012039.1",300
"AABR07012040.1",1139
"AABR07012044.1",102
"AABR07012044.2",74
"AABR07012051.1",135
"AABR07012051.2",12496
"AABR07012053.1",6159
"AABR07012053.2",11384
"AABR07012054.1",811
"AABR07012058.1",40099
"AABR07012058.2",1053
"AABR07012061.1",2315
"AABR07012061.2",26081
"AABR07012065.1",1548
"AABR07012065.2",4041
"AABR07012065.3",8222
"AABR07012072.1",89
"AABR07012072.2",717
"AABR07012079.1",537
"AABR07012081.1",2216
"AABR07012092.1",423
"AABR07012092.2",783
"AABR07012095.1",2496
"AABR07012097.1",1603
"AABR07012100.1",269
"AABR07012100.2",817
"AABR07012115.1",964
"AABR07012129.1",1356
"AABR07012131.1",13826
"AABR07012133.1",390
"AABR07012195.1",1006
"AABR07012269.1",2564
"AABR07012274.1",1398
"AABR07012276.1",15858
"AABR07012291.1",76157
"AABR07012291.2",5417
"AABR07012295.1",427
"AABR07012299.1",17458
"AABR07012302.1",77243
"AABR07012307.1",2040
"AABR07012310.1",421
"AABR07012312.1",427
"AABR07012313.1",520
"AABR07012314.1",402
"AABR07012317.1",360
"AABR07012317.2",11748
"AABR07012318.1",17151
"AABR07012323.2",7879
"AABR07012325.1",1521
"AABR07012329.1",777
"AABR07012331.1",6939
"AABR07012342.1",636
"AABR07012384.1",160309
"AABR07012426.1",1266
"AABR07012475.1",723
"AABR07012475.2",4119
"AABR07012492.1",401
"AABR07012575.1",95
"AABR07012582.1",141
"AABR07012582.2",138
"AABR07012583.1",138
"AABR07012583.2",5753
"AABR07012587.1",249
"AABR07012588.1",241
"AABR07012592.1",195
"AABR07012613.1",6601
"AABR07012616.1",897
"AABR07012635.1",14324
"AABR07012640.1",3047
"AABR07012658.1",785
"AABR07012702.1",1696
"AABR07012711.1",1769
"AABR07012728.1",519
"AABR07012728.2",3644
"AABR07012752.1",2395
"AABR07012757.1",5823
"AABR07012762.1",25091
"AABR07012763.1",14452
"AABR07012774.1",1395
"AABR07012774.2",1073
"AABR07012775.1",483
"AABR07012777.1",381
"AABR07012779.1",2204
"AABR07012785.1",381
"AABR07012785.2",2191
"AABR07012786.1",1200
"AABR07012788.1",13981
"AABR07012795.1",916
"AABR07012826.1",118371
"AABR07012843.1",514
"AABR07012856.1",12661
"AABR07012868.1",1465
"AABR07012884.1",964
"AABR07012943.1",997
"AABR07013019.1",54
"AABR07013023.1",5476
"AABR07013057.1",18030
"AABR07013065.1",21826
"AABR07013070.1",6893
"AABR07013073.1",110
"AABR07013073.2",2093
