"","Gene","Category"
"421","AC126755.1","QGBCbyPGBC"
"422","LINC02175","QGBCbyPGBC"
"423","GPR179","QGBCbyPGBC"
"424","AL118558.3","QGBCbyPGBC"
"425","PROCA1","QGBCbyPGBC"
"426","AF038458.3","QGBCbyPGBC"
"427","AL138781.2","QGBCbyPGBC"
"428","MYBPH","QGBCbyPGBC"
"429","AP003108.1","QGBCbyPGBC"
"430","PLAC9","QGBCbyPGBC"
"431","DRAM2","QGBCbyPGBC"
"432","MTCO1P1","QGBCbyPGBC"
"433","AC009127.2","QGBCbyPGBC"
"434","AC068057.1","QGBCbyPGBC"
"435","AC007386.1","QGBCbyPGBC"
"436","EXD3","QGBCbyPGBC"
"437","AL022334.2","QGBCbyPGBC"
"438","SCN4A","QGBCbyPGBC"
"439","RNU6-907P","QGBCbyPGBC"
"440","ZNF192P1","QGBCbyPGBC"
"441","SLURP1","QGBCbyPGBC"
"442","AC005592.1","QGBCbyPGBC"
"443","ACRBP","QGBCbyPGBC"
"444","NDUFA5P4","QGBCbyPGBC"
"445","AC087491.1","QGBCbyPGBC"
"446","OBSCN-AS1","QGBCbyPGBC"
"447","TFAMP1","QGBCbyPGBC"
"448","DENND2D","QGBCbyPGBC"
"449","AL157935.1","QGBCbyPGBC"
"450","GJA3","QGBCbyPGBC"
"451","ADAMTSL5","QGBCbyPGBC"
"452","CPSF1P1","QGBCbyPGBC"
"453","DAPK1","QGBCbyPGBC"
"454","CNN2P8","QGBCbyPGBC"
"455","AC005154.1","QGBCbyPGBC"
"456","PTPRH","QGBCbyPGBC"
"457","LINC00847","QGBCbyPGBC"
"458","AC091849.2","QGBCbyPGBC"
"459","LINC01300","QGBCbyPGBC"
"460","PLA2G4C","QGBCbyPGBC"
"461","AL513320.1","QGBCbyPGBC"
"462","CTTNBP2","QGBCbyPGBC"
"463","PTCHD4","QGBCbyPGBC"
"464","DOCK6","QGBCbyPGBC"
"465","RNU7-160P","QGBCbyPGBC"
"466","MUC20P1","QGBCbyPGBC"
"467","AC093278.1","QGBCbyPGBC"
"468","HPSE","QGBCbyPGBC"
"469","BCO2","QGBCbyPGBC"
"470","AC002310.4","QGBCbyPGBC"
"471","AL136380.1","QGBCbyPGBC"
"472","GNG7","QGBCbyPGBC"
"473","MT1XP1","QGBCbyPGBC"
"474","SLC38A3","QGBCbyPGBC"
"475","STAG3L1","QGBCbyPGBC"
"476","AC126175.1","QGBCbyPGBC"
"477","BIRC7","QGBCbyPGBC"
"478","ZNF843","QGBCbyPGBC"
"479","AL390955.1","QGBCbyPGBC"
"480","TJP3","QGBCbyPGBC"
"481","ZFP36L2","QGBCbyPGBC"
"482","C1orf52","QGBCbyPGBC"
"483","LINC00601","QGBCbyPGBC"
"484","DQX1","QGBCbyPGBC"
"485","AC008267.3","QGBCbyPGBC"
"486","AL078601.2","QGBCbyPGBC"
"487","ADAMTS13","QGBCbyPGBC"
"488","C4orf47","QGBCbyPGBC"
"489","ST3GAL5","QGBCbyPGBC"
"490","CACNB1","QGBCbyPGBC"
"491","GRB14","QGBCbyPGBC"
"492","RRM2B","QGBCbyPGBC"
"493","NR1H3","QGBCbyPGBC"
"494","RNU6-1004P","QGBCbyPGBC"
"495","RNU6-293P","QGBCbyPGBC"
"496","SEC31B","QGBCbyPGBC"
"497","AC016876.1","QGBCbyPGBC"
"498","AP002992.1","QGBCbyPGBC"
"499","LTB4R","QGBCbyPGBC"
"500","MIR100HG","QGBCbyPGBC"
"501","RNU6-45P","QGBCbyPGBC"
"502","AL645939.2","QGBCbyPGBC"
"503","LPAR2","QGBCbyPGBC"
"504","AC131157.1","QGBCbyPGBC"
"505","IL11RA","QGBCbyPGBC"
"506","LENEP","QGBCbyPGBC"
"507","TAS1R3","QGBCbyPGBC"
"508","LEMD1-AS1","QGBCbyPGBC"
"509","RNF32","QGBCbyPGBC"
"510","ACTN2","QGBCbyPGBC"
"511","AL355309.1","QGBCbyPGBC"
"512","RPL23AP97","QGBCbyPGBC"
"513","RN7SL353P","QGBCbyPGBC"
"514","AC006547.1","QGBCbyPGBC"
"515","S100A7","QGBCbyPGBC"
"516","AL031118.1","QGBCbyPGBC"
"517","ABCC8","QGBCbyPGBC"
"518","Z84492.2","QGBCbyPGBC"
"519","MTND3P22","QGBCbyPGBC"
"520","AC010201.1","QGBCbyPGBC"
"521","TCAP","QGBCbyPGBC"
"522","TMC6","QGBCbyPGBC"
"523","LMNTD2","QGBCbyPGBC"
"524","SH3BP1","QGBCbyPGBC"
"525","C11orf42","QGBCbyPGBC"
"526","AC011481.1","QGBCbyPGBC"
"527","AC104066.1","QGBCbyPGBC"
"528","LITAF","QGBCbyPGBC"
"529","AP001029.1","QGBCbyPGBC"
"530","CBX7","QGBCbyPGBC"
"531","AC005332.8","QGBCbyPGBC"
"532","Z84480.1","QGBCbyPGBC"
"533","FOXD4L5","QGBCbyPGBC"
"534","NACAD","QGBCbyPGBC"
"535","NXPH3","QGBCbyPGBC"
"536","ARHGAP5-AS1","QGBCbyPGBC"
"537","KLHDC1","QGBCbyPGBC"
"538","UPP1","QGBCbyPGBC"
"539","AC079305.3","QGBCbyPGBC"
"540","AC087239.1","QGBCbyPGBC"
"541","FAXC","QGBCbyPGBC"
"542","WSB1","QGBCbyPGBC"
"543","AC073150.1","QGBCbyPGBC"
"544","LSMEM1","QGBCbyPGBC"
"545","ZNF37CP","QGBCbyPGBC"
"546","RNF175","QGBCbyPGBC"
"547","ATG14","QGBCbyPGBC"
"548","Z98885.2","QGBCbyPGBC"
"549","CPNE5","QGBCbyPGBC"
"550","TP53TG1","QGBCbyPGBC"
"551","AP001264.1","QGBCbyPGBC"
"552","AC018521.4","QGBCbyPGBC"
"553","AC138907.9","QGBCbyPGBC"
"554","AC025809.1","QGBCbyPGBC"
"555","AC096733.2","QGBCbyPGBC"
"556","PTGES2-AS1","QGBCbyPGBC"
"557","USPL1","QGBCbyPGBC"
"558","MUC20-OT1","QGBCbyPGBC"
"559","AC127537.1","QGBCbyPGBC"
"560","PRSS27","QGBCbyPGBC"
"561","KLHL24","QGBCbyPGBC"
"562","AP003392.5","QGBCbyPGBC"
"563","BOLA2P3","QGBCbyPGBC"
"564","NDRG4","QGBCbyPGBC"
"565","AL391422.1","QGBCbyPGBC"
"566","AC122683.1","QGBCbyPGBC"
"567","CARMIL3","QGBCbyPGBC"
"568","ASIC4","QGBCbyPGBC"
"569","FAHD2CP","QGBCbyPGBC"
"570","ZNF767P","QGBCbyPGBC"
"571","AC027601.3","QGBCbyPGBC"
"572","JMY","QGBCbyPGBC"
"573","ZNF224","QGBCbyPGBC"
"574","SCARB1","QGBCbyPGBC"
"575","TRIM66","QGBCbyPGBC"
"576","ADAM11","QGBCbyPGBC"
"577","WBP2NL","QGBCbyPGBC"
"578","HES2","QGBCbyPGBC"
"579","MTMR10","QGBCbyPGBC"
"580","UVSSA","QGBCbyPGBC"
"581","DIRAS1","QGBCbyPGBC"
"582","FAM96AP2","QGBCbyPGBC"
"583","ENDOV","QGBCbyPGBC"
"584","DPH5","QGBCbyPGBC"
"585","AL512353.2","QGBCbyPGBC"
"586","STX1B","QGBCbyPGBC"
"587","AC005020.2","QGBCbyPGBC"
"588","AC008115.4","QGBCbyPGBC"
"589","ZNF862","QGBCbyPGBC"
"590","CACNA1G-AS1","QGBCbyPGBC"
"591","PSPN","QGBCbyPGBC"
"592","PHF21B","QGBCbyPGBC"
"593","CATSPERG","QGBCbyPGBC"
"594","AL139352.1","QGBCbyPGBC"
"595","AC016027.1","QGBCbyPGBC"
"596","CLDN15","QGBCbyPGBC"
"597","MKNK2","QGBCbyPGBC"
"598","SLC2A1-AS1","QGBCbyPGBC"
"599","AC068338.3","QGBCbyPGBC"
"600","GHDC","QGBCbyPGBC"
"601","SPRY1","QGBCbyPGBC"
"602","VASH1-AS1","QGBCbyPGBC"
"603","SCARF1","QGBCbyPGBC"
"604","AC107294.2","QGBCbyPGBC"
"605","DHX58","QGBCbyPGBC"
"606","GATAD1","QGBCbyPGBC"
"607","LINC01666","QGBCbyPGBC"
"608","AC107294.3","QGBCbyPGBC"
"609","UCN","QGBCbyPGBC"
"610","MIR4689","QGBCbyPGBC"
"611","WHRN","QGBCbyPGBC"
"612","AZGP1","QGBCbyPGBC"
"613","CYP21A2","QGBCbyPGBC"
"614","AC007842.1","QGBCbyPGBC"
"615","KCNQ4","QGBCbyPGBC"
"616","NFASC","QGBCbyPGBC"
"617","NCOA4P2","QGBCbyPGBC"
"618","RNA5SP137","QGBCbyPGBC"
"619","LINC01219","QGBCbyPGBC"
"620","C7orf26","QGBCbyPGBC"
"621","AC034105.2","QGBCbyPGBC"
"622","GAA","QGBCbyPGBC"
"623","FUT5","QGBCbyPGBC"
"624","FAM167B","QGBCbyPGBC"
"625","DUSP15","QGBCbyPGBC"
"626","AJM1","QGBCbyPGBC"
"627","MIR4458HG","QGBCbyPGBC"
"628","AC138894.3","QGBCbyPGBC"
"629","ATG4B","QGBCbyPGBC"
"630","RNU6-705P","QGBCbyPGBC"
"631","CCDC194","QGBCbyPGBC"
"632","METTL27","QGBCbyPGBC"
"633","HOXA13","QGBCbyPGBC"
"634","FUT1","QGBCbyPGBC"
"635","AL390195.1","QGBCbyPGBC"
"636","AL008718.2","QGBCbyPGBC"
"637","RAB3B","QGBCbyPGBC"
"638","OBSCN","QGBCbyPGBC"
"639","C2CD4B","QGBCbyPGBC"
"640","KCNH3","QGBCbyPGBC"
"641","DMTN","QGBCbyPGBC"
"642","AC135776.4","QGBCbyPGBC"
"643","LINC01732","QGBCbyPGBC"
"644","GPAT2P2","QGBCbyPGBC"
"645","GLIPR2","QGBCbyPGBC"
"646","MSI1","QGBCbyPGBC"
