PSID Gene Module kTotal kWithin kOut kDiff rank
SAXO1 SAXO1 HuAgeGBsplit_02 30.6442703264608 21.5144131389836 9.12985718747723 12.3845559515063 75
LINC02369 LINC02369 HuAgeGBsplit_02 30.8136127866801 21.1446800545547 9.66893273212538 11.4757473224293 76
AL132708.1 AL132708.1 HuAgeGBsplit_02 35.4471222838706 21.1074866823684 14.3396356015023 6.7678510808661 77
AC012363.1 AC012363.1 HuAgeGBsplit_02 28.9115997704067 21.0900122340189 7.82158753638788 13.268424697631 78
AC105919.1 AC105919.1 HuAgeGBsplit_02 37.4199317318991 21.0416506812231 16.378281050676 4.66336963054713 79
AL772337.4 AL772337.4 HuAgeGBsplit_02 28.7206215270034 20.9338225362914 7.78679899071203 13.1470235455794 80
AL662791.2 AL662791.2 HuAgeGBsplit_02 33.2637993076224 20.9161193645789 12.3476799430435 8.56843942153539 81
LINC02046 LINC02046 HuAgeGBsplit_02 34.1372344744326 20.5728984560856 13.564336018347 7.00856243773858 82
AC009803.2 AC009803.2 HuAgeGBsplit_02 36.2605356874954 20.5693281154913 15.6912075720041 4.87812054348723 83
AC021006.2 AC021006.2 HuAgeGBsplit_02 32.4371599210218 20.487382611457 11.9497773095648 8.53760530189216 84
AC099520.1 AC099520.1 HuAgeGBsplit_02 32.8923366159985 20.3369904114483 12.5553462045502 7.7816442068981 85
LINC00838 LINC00838 HuAgeGBsplit_02 30.7368582151317 20.2897103576156 10.4471478575161 9.84256250009946 86
AL135908.1 AL135908.1 HuAgeGBsplit_02 43.5518594617935 20.1771811651311 23.3746782966624 -3.19749713153124 87
AL805961.1 AL805961.1 HuAgeGBsplit_02 29.9380088706829 20.0352268823572 9.90278198832569 10.1324448940315 88
LINC01698 LINC01698 HuAgeGBsplit_02 47.0728928111596 19.9011455785518 27.1717472326078 -7.27060165405595 89
FMO11P FMO11P HuAgeGBsplit_02 50.051998109984 19.8231743187596 30.2288237912244 -10.4056494724647 90
LINC01911 LINC01911 HuAgeGBsplit_02 28.1784140778999 19.5892096687931 8.58920440910684 11.0000052596862 91
LINC02174 LINC02174 HuAgeGBsplit_02 29.6879864818552 19.5179743398173 10.1700121420378 9.34796219777949 92
AC025437.4 AC025437.4 HuAgeGBsplit_02 34.2973845049572 19.4529220869206 14.8444624180366 4.60845966888407 93
AC090458.1 AC090458.1 HuAgeGBsplit_02 36.8214678899376 19.3189431836636 17.5025247062741 1.81641847738953 94
LINC02173 LINC02173 HuAgeGBsplit_02 32.6077620362461 19.2557597817723 13.3520022544738 5.90375752729847 95
AC098657.2 AC098657.2 HuAgeGBsplit_02 35.4938785318439 19.1572139076706 16.3366646241733 2.82054928349725 96
AC093909.2 AC093909.2 HuAgeGBsplit_02 27.7441122791799 19.051075891873 8.69303638730698 10.358039504566 97
THRB-AS1 THRB-AS1 HuAgeGBsplit_02 31.1287988427147 19.0004186407855 12.1283802019292 6.87203843885628 98
LYZL1 LYZL1 HuAgeGBsplit_02 28.028123153708 18.8844311951559 9.14369195855203 9.74073923660389 99
AC078980.1 AC078980.1 HuAgeGBsplit_02 41.0129984540956 18.7689732167063 22.2440252373893 -3.47505202068307 100
AC092979.1 AC092979.1 HuAgeGBsplit_02 29.9418744541525 18.7070873953035 11.234787058849 7.47230033645457 101
GUCY2GP GUCY2GP HuAgeGBsplit_02 33.7244139175764 18.5417491983637 15.1826647192127 3.35908447915096 102
LINC02365 LINC02365 HuAgeGBsplit_02 26.2837686188508 18.1636237367776 8.12014488207318 10.0434788547044 103
AC079340.1 AC079340.1 HuAgeGBsplit_02 29.7370344246937 18.1471062209333 11.5899282037604 6.55717801717295 104
ELMO2P1 ELMO2P1 HuAgeGBsplit_02 27.3867685341711 18.0202131901189 9.36655534405222 8.65365784606664 105
AL355339.1 AL355339.1 HuAgeGBsplit_02 27.1441579904244 17.9871805678962 9.15697742252819 8.83020314536803 106
AC097491.1 AC097491.1 HuAgeGBsplit_02 25.5916245722565 17.9307677232043 7.66085684905223 10.269910874152 107
MIR6074 MIR6074 HuAgeGBsplit_02 25.0733597295891 17.917880556062 7.1554791735271 10.7624013825349 108
LINC02312 LINC02312 HuAgeGBsplit_02 41.6669874844161 17.6718155374894 23.9951719469267 -6.32335640943727 109
AC106892.1 AC106892.1 HuAgeGBsplit_02 26.6641651716706 17.5748617934104 9.08930337826025 8.48555841515011 110
AC078878.2 AC078878.2 HuAgeGBsplit_02 25.4880025491792 17.5242562053539 7.96374634382531 9.56050986152863 111
AC093599.1 AC093599.1 HuAgeGBsplit_02 31.9001376351871 17.2131839260435 14.6869537091435 2.52623021690003 112
HNRNPKP3 HNRNPKP3 HuAgeGBsplit_02 31.0031905140403 17.126427884785 13.8767626292553 3.24966525552966 113
AC009567.1 AC009567.1 HuAgeGBsplit_02 27.8272936285884 17.0356837301307 10.7916098984576 6.24407383167312 114
CYP2C23P CYP2C23P HuAgeGBsplit_02 25.8167329790758 17.0275843723848 8.78914860669098 8.23843576569383 115
AC087516.2 AC087516.2 HuAgeGBsplit_02 29.6877382948939 16.9414149312508 12.7463233636431 4.19509156760769 116
TDRD12 TDRD12 HuAgeGBsplit_02 24.4025593210701 16.7926684377302 7.60989088333989 9.18277755439032 117
AC108067.1 AC108067.1 HuAgeGBsplit_02 26.3103198076092 16.3394010710533 9.97091873655595 6.36848233449735 118
AL358234.1 AL358234.1 HuAgeGBsplit_02 24.8576673988435 16.3275052940493 8.53016210479416 7.79734318925517 119
PRAMEF20 PRAMEF20 HuAgeGBsplit_02 24.8875457309058 16.1791232682935 8.70842246261225 7.47070080568129 120
AC018554.1 AC018554.1 HuAgeGBsplit_02 27.8799262927313 16.0140957932239 11.8658304995074 4.1482652937165 121
AC079310.1 AC079310.1 HuAgeGBsplit_02 25.1242354558972 15.9158898465345 9.20834560936276 6.70754423717172 122
