"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"AC005593.1",1.83837875788678,1.04945442665679,1.44391659227178,1.44391659227178,1.44391659227178
"AC005674.2",2.17958153552056,1.36645909772622,1.77302031662339,1.77302031662339,1.77302031662339
"AC005776.1",1.9432025372269,1.29846468748474,1.62083361235582,1.62083361235582,1.62083361235582
"AC005822.1",1.78080980297921,1.38047437656942,1.58064208977432,1.58064208977432,1.58064208977432
"AC005829.1",0.719876534462635,0.436754344208654,0.578315439335645,0.578315439335645,0.578315439335645
"AC005840.1",0.945390009362312,0.787442456363995,0.866416232863153,0.866416232863153,0.866416232863153
"AC005972.2",0.440260660834895,0.179663714062243,0.309962187448569,0.309962187448569,0.309962187448569
"AC006011.2",0.35557412065076,0.260337281405558,0.307955701028159,0.307955701028159,0.307955701028159
"AC006012.1",1.75538555246335,0.924517434911635,1.33995149368749,1.33995149368749,1.33995149368749
"AC006026.1",0.60675704854346,0.391025235444329,0.498891141993895,0.498891141993895,0.498891141993895
"AC006058.1",3.13667026894649,2.5942597680045,2.8654650184755,2.8654650184755,2.8654650184755
"AC006058.2",1.29274065582516,1.16770035677536,1.23022050630026,1.23022050630026,1.23022050630026
"AC006058.4",3.30776730154353,2.73594545298333,3.02185637726343,3.02185637726343,3.02185637726343
"AC006210.2",1.05166164122108,0.577184304224431,0.814422972722754,0.814422972722754,0.814422972722754
"AC006252.1",1.47431224729794,0.933685272919221,1.20399876010858,1.20399876010858,1.20399876010858
"AC006273.1",2.20044285758305,1.75695132756433,1.97869709257369,1.97869709257369,1.97869709257369
"AC006329.2",0.543433777579435,0.178371681901848,0.360902729740642,0.360902729740642,0.360902729740642
"AC006480.2",2.60423962253812,2.21937459291795,2.41180710772803,2.41180710772803,2.41180710772803
"AC006538.2",0.681178317280092,0.462457072189435,0.571817694734764,0.571817694734764,0.571817694734764
"AC006987.1",0.641293750849729,0.363772050122499,0.502532900486114,0.502532900486114,0.502532900486114
"AC006987.2",1.52321953832203,1.20601750972975,1.36461852402589,1.36461852402589,1.36461852402589
"AC007114.1",1.33401055298456,0.966546606929977,1.15027857995727,1.15027857995727,1.15027857995727
"AC007325.4",0.742559134433618,0.599596837254214,0.671077985843916,0.671077985843916,0.671077985843916
"AC007391.1",0.676281647143401,0.425026061805422,0.550653854474411,0.550653854474411,0.550653854474411
"AC007450.2",1.27700504939282,0.888273291523223,1.08263917045802,1.08263917045802,1.08263917045802
"AC007541.1",2.77830044109483,2.39637683576844,2.58733863843164,2.58733863843164,2.58733863843164
"AC007613.1",0.701959488059942,0.412275490316721,0.557117489188332,0.557117489188332,0.557117489188332
"AC007823.1",3.57902704098427,3.13666015983687,3.35784360041057,3.35784360041057,3.35784360041057
"AC007952.4",0.811939179688656,0.120263809044302,0.466101494366479,0.466101494366479,0.466101494366479
"AC008074.3",1.74917428114406,1.29178825678755,1.5204812689658,1.5204812689658,1.5204812689658
"AC008115.1",2.70617539732541,1.99805584529865,2.35211562131203,2.35211562131203,2.35211562131203
"AC008269.1",0.260448457692182,0.168395880535295,0.214422169113738,0.214422169113738,0.214422169113738
"AC008429.2",0.714371806559957,0.450825543971041,0.582598675265499,0.582598675265499,0.582598675265499
"AC008443.4",1.1352099968636,0.522805161166486,0.829007579015043,0.829007579015043,0.829007579015043
"AC008494.1",0.87251028999077,0.414144381370228,0.643327335680499,0.643327335680499,0.643327335680499
"AC008507.1",2.87142989822331,2.33639368290189,2.6039117905626,2.6039117905626,2.6039117905626
"AC008537.1",1.25340811308489,1.06444891716355,1.15892851512422,1.15892851512422,1.15892851512422
"AC008555.8",2.43522242214662,1.72857280818042,2.08189761516352,2.08189761516352,2.08189761516352
"AC008608.2",2.13051548111035,1.77483300201283,1.95267424156159,1.95267424156159,1.95267424156159
"AC008610.1",2.02783668466094,1.7258599196349,1.87684830214792,1.87684830214792,1.87684830214792
"AC008622.2",1.10226007147916,0.601753883025112,0.852006977252134,0.852006977252134,0.852006977252134
"AC008736.2",0.44408075822245,0.247428599465848,0.345754678844149,0.345754678844149,0.345754678844149
"AC008750.3",1.45854588653551,0.892565951652217,1.17555591909387,1.17555591909387,1.17555591909387
"AC008771.1",2.06579160373343,1.64711263676344,1.85645212024844,1.85645212024844,1.85645212024844
"AC008785.1",1.1054970659192,0.405664694719145,0.755580880319173,0.755580880319173,0.755580880319173
"AC008806.1",0.567864997025362,0.157443781036351,0.362654389030857,0.362654389030857,0.362654389030857
"AC008969.1",3.02094000791882,2.57081955941195,2.79587978366538,2.79587978366538,2.79587978366538
"AC008972.1",0.538226165687825,0.227978268051641,0.383102216869733,0.383102216869733,0.383102216869733
"AC008972.2",2.30488174083204,0.978338232395218,1.64160998661363,1.64160998661363,1.64160998661363
"AC009097.3",0.831784709305325,0.244632111367949,0.538208410336637,0.538208410336637,0.538208410336637
"AC009108.3",1.1912903225401,0.738161475285115,0.964725898912606,0.964725898912606,0.964725898912606
"AC009159.3",0.802123143231851,0.282121001013115,0.542122072122483,0.542122072122483,0.542122072122483
"AC009163.2",0.59692089205382,0.469623037569778,0.533271964811799,0.533271964811799,0.533271964811799
"AC009414.2",3.27127195655482,2.5088887690797,2.89008036281726,2.89008036281726,2.89008036281726
"AC009486.1",3.13373510929821,2.41424494276863,2.77399002603342,2.77399002603342,2.77399002603342
"AC009518.1",2.78098213102887,2.46810121829782,2.62454167466335,2.62454167466335,2.62454167466335
"AC009570.1",1.48043840895534,0.27473995686349,0.877589182909415,0.877589182909415,0.877589182909415
"AC009812.1",2.46683286857321,2.17784463087438,2.3223387497238,2.3223387497238,2.3223387497238
"AC009955.2",1.94755002927861,1.82863504471489,1.88809253699675,1.88809253699675,1.88809253699675
"AC010186.3",4.67166228734871,3.94133996576865,4.30650112655868,4.30650112655868,4.30650112655868
