"","PGBO","QGBO"
"AC005261.3",4.1827663547066,4.29365157261846
"AC005261.4",0.771897229985757,1.28749081689925
"AC005261.5",5.28753484152464,5.00998365648258
"AC005329.1",1.33053235828563,1.31828970222267
"AC005330.1",1.01954606289102,0.880886905215345
"AC005332.1",2.30595646169355,2.03616173212105
"AC005332.3",1.30266728757188,1.25503598504659
"AC005332.5",5.21142684660551,5.05522551186711
"AC005332.8",0.767160019685801,1.49003538132593
"AC005355.2",2.01005983881377,0.673323138753276
"AC005363.2",1.35135359117535,0.313662809041235
"AC005393.1",2.24833869916868,2.6664704748637
"AC005410.1",0.535442226131093,0.783174989952339
"AC005479.1",0.148075872943979,0.45918201631918
"AC005479.2",0.298915865920217,0.689424400018723
"AC005498.3",1.34732491544419,1.21049575355742
"AC005520.2",0.541935581507689,0.632554375239091
"AC005531.1",1.50621959773303,1.5325426252651
"AC005551.1",0.171211126046408,0.205215379740267
"AC005578.1",0.611363868557364,0.846969715418583
"AC005586.1",0.754954924351452,0.679905595910711
"AC005592.1",1.41839227872758,1.4515110335642
"AC005593.1",1.83837875788678,1.04945442665679
"AC005614.2",0.502221572494846,0.546862013262354
"AC005618.1",0.588124093247702,0.702936672248735
"AC005674.2",2.17958153552056,1.36645909772622
"AC005695.3",0.2273328276412,0.741074758188788
"AC005696.1",1.10893285057972,1.57647153213821
"AC005696.3",0.596415053061584,0.930059847311586
"AC005696.4",1.29325360468164,1.07892798714641
"AC005703.5",1.2013077906148,1.18182797089045
"AC005736.1",0.884457943345593,0.978321434636867
"AC005740.1",0.295887037848247,0.726303167444147
"AC005776.1",1.9432025372269,1.29846468748474
"AC005776.2",2.6195338433462,2.27309711545107
"AC005822.1",1.78080980297921,1.38047437656942
"AC005828.5",0.273036794657233,0.309737328644425
"AC005829.1",0.719876534462635,0.436754344208654
"AC005837.1",0.871968435526862,1.1267615803956
"AC005840.1",0.945390009362312,0.787442456363995
"AC005899.6",1.08026357586652,1.10216094082829
"AC005899.7",1.37937710379478,1.56143042846459
"AC005906.1",0.101372087509217,0.536497040769765
"AC005972.2",0.440260660834895,0.179663714062243
"AC006001.3",1.74134609347616,1.72055572122347
"AC006011.2",0.35557412065076,0.260337281405558
"AC006012.1",1.75538555246335,0.924517434911635
"AC006023.1",0.857952080484314,1.05696346971567
"AC006023.2",1.79928387283147,1.72079902836385
"AC006026.1",0.60675704854346,0.391025235444329
"AC006033.1",0.513290063210147,1.49948011510074
"AC006058.1",3.13667026894649,2.5942597680045
"AC006058.2",1.29274065582516,1.16770035677536
"AC006058.3",2.21641644079546,2.80887617657458
"AC006058.4",3.30776730154353,2.73594545298333
"AC006064.3",1.5458135568712,1.58348437974114
"AC006065.1",1.66117752111507,1.65092466155423
"AC006210.2",1.05166164122108,0.577184304224431
"AC006213.1",0.56836844436707,0.558178502648937
"AC006213.3",1.16497351208087,1.04585870269741
"AC006238.1",1.03693457624988,1.6660137663185
"AC006252.1",1.47431224729794,0.933685272919221
"AC006273.1",2.20044285758305,1.75695132756433
"AC006277.1",3.28608759176897,3.07816340629607
"AC006329.1",2.89934643629424,2.8586938519187
"AC006329.2",0.543433777579435,0.178371681901848
"AC006333.2",5.21211931444041,4.98357200819415
"AC006378.2",0.437398823493892,0.602965709988037
"AC006445.2",0.443801620053866,0.361914819483974
"AC006449.2",0.460142567976741,0.768422126107405
"AC006449.5",2.27654491672884,2.23266266104217
"AC006449.6",2.64842575782522,2.41233626341986
"AC006466.1",0.427797637308288,0.642898012134827
"AC006480.2",2.60423962253812,2.21937459291795
"AC006538.2",0.681178317280092,0.462457072189435
"AC006547.1",1.48817964406712,1.67273256687317
"AC006557.6",3.72182954624624,3.87632226778783
"AC006946.2",0.263915081683775,0.697932376756937
"AC006946.3",0.254566695864293,0.342322961972252
"AC006960.3",1.60896444815281,2.19798389974827
"AC006963.1",0.96377095739171,1.28778170900792
"AC006967.3",0.372759915888983,0.726295056759006
"AC006978.2",2.71848200847063,2.65434785136438
"AC006987.1",0.641293750849729,0.363772050122499
"AC006987.2",1.52321953832203,1.20601750972975
"AC007029.1",0.540258929267728,0.86517942239059
"AC007036.1",0.736318145377957,1.01916146109216
"AC007066.2",2.34370613454511,2.46886068413481
"AC007114.1",1.33401055298456,0.966546606929977
"AC007215.1",0.335717074036901,0.37211907375207
"AC007224.2",1.26141564003193,1.03941917429889
"AC007249.1",0.517487695732037,0.417070478391753
"AC007249.2",2.07353690285441,2.13077984788018
"AC007250.1",1.43749189151104,1.51701801390459
"AC007318.1",4.51244253204504,4.71537373566453
"AC007318.2",1.77048746063418,2.64179455881273
"AC007325.1",0.443642067078441,0.50554957380917
"AC007325.4",0.742559134433618,0.599596837254214
"AC007382.1",2.95365547578987,2.96795768291076
"AC007383.2",2.54067549663501,2.51865260156644
"AC007386.1",0.42886312982686,0.708733214294988
"AC007388.1",0.761890392174772,0.835054273521606
"AC007391.1",0.676281647143401,0.425026061805422
"AC007405.3",2.57446003531268,2.40614960401915
"AC007406.5",5.18409343529008,5.04037948960033
"AC007450.2",1.27700504939282,0.888273291523223
"AC007450.3",1.4230649973514,1.71099554664718
"AC007490.1",3.71799710644361,3.45472350596588
"AC007541.1",2.77830044109483,2.39637683576844
"AC007568.1",0.213478022373785,0.504193721059775
"AC007613.1",0.701959488059942,0.412275490316721
"AC007622.1",0.176793021864368,0.89217476317372
"AC007638.1",0.688503654599563,0.859853854174149
"AC007663.1",0.599172991986221,0.630930043561608
"AC007663.3",1.21618539238415,1.99098169404582
"AC007683.2",1.26079098754228,1.23240631656754
"AC007686.3",2.12527696795827,2.14461928343719
"AC007688.1",1.66150796911111,1.50163116091776
"AC007773.1",1.18155338594962,1.10756508155776
"AC007785.3",0.351539840767958,0.658494727604125
"AC007823.1",3.57902704098427,3.13666015983687
"AC007842.1",3.24766322108666,3.09080704131759
"AC007849.2",0,1.28606469183956
"AC007920.2",0.763534217321789,0.794686358424643
"AC007923.2",0.31967193722743,0.651814932664588
"AC007950.2",1.22469894022542,1.17147357796703
"AC007952.4",0.811939179688656,0.120263809044302
"AC007952.5",0.0473769376401018,0.806177039953095
"AC007952.7",0.136956586402975,0.788538901374394
"AC007969.1",4.98953085108124,5.33674534757091
"AC007969.2",0.256988650186703,0.246044878962123
"AC007992.1",0,0.42785709670942
"AC007998.4",2.23778911555709,2.32329444391182
"AC008013.2",1.54338705140122,1.55127146418758
"AC008066.1",0.354402290264082,0.52921505322675
"AC008072.1",1.26443509217614,1.87502841948929
"AC008074.3",1.74917428114406,1.29178825678755
"AC008115.1",2.70617539732541,1.99805584529865
"AC008115.4",1.22260215746512,1.30464462766533
"AC008121.1",0.373955562315702,1.09059381458361
"AC008121.2",0.458936740535676,1.27859566839433
"AC008124.1",4.07722775317685,3.90526754309673
"AC008147.4",0.271047438678805,0.651912264032399
"AC008154.2",0.274412320455834,0.367991937266443
"AC008155.1",0.712651029755016,0.572087096986204
"AC008267.1",1.01940510345278,1.02719591631228
"AC008267.3",1.13079048910638,1.18484641613188
"AC008267.5",2.75080229012271,2.76830935121822
"AC008269.1",0.260448457692182,0.168395880535295
"AC008278.1",2.11466494307566,3.07872206522275
