cut.off	FPR	PR	FDR
0.83	4.5893648487187e-09	1.82740163976254e-06	0.00251141552511416
0.84	2.71189741060651e-09	1.47485497638369e-06	0.00183875530410184
0.85	1.8774674381122e-09	1.1723741113545e-06	0.00160142348754448
0.86	6.25822479370732e-10	9.65852693162163e-07	0.000647948164146868
0.87	4.17214986247155e-10	7.82278099213415e-07	0.000533333333333333
0.88	2.08607493123577e-10	5.86187055677252e-07	0.000355871886120996
0.89	0	4.52678260078163e-07	0
0.9	0	3.5046058844761e-07	0
0.91	0	2.71189741060651e-07	0
0.92	0	2.00263193398634e-07	0
0.93	0	1.50197395048976e-07	0
0.94	0	1.10561971355496e-07	0
0.95	0	7.30126225932521e-08	0
0.96	0	4.79797234184228e-08	0
0.97	0	2.92050490373008e-08	0
0.98	0	1.46025245186504e-08	0
0.99	0	4.17214986247155e-09	0
1	0	0	0
