"","Var1","Freq"
"219","c1_HuAgeGBsplitRnaseq_830",120
"220","c1_HuAgeGBsplitRnaseq_832",115
"221","c1_HuAgeGBsplitRnaseq_84",140
"222","c1_HuAgeGBsplitRnaseq_85",334
"223","c1_HuAgeGBsplitRnaseq_86",109
"224","c1_HuAgeGBsplitRnaseq_87",1144
"225","c1_HuAgeGBsplitRnaseq_89",273
"226","c1_HuAgeGBsplitRnaseq_9",866
"227","c1_HuAgeGBsplitRnaseq_90",242
"228","c1_HuAgeGBsplitRnaseq_93",101
"229","c1_HuAgeGBsplitRnaseq_94",423
"230","c1_HuAgeGBsplitRnaseq_95",321
"231","c1_HuAgeGBsplitRnaseq_96",163
"232","c1_HuAgeGBsplitRnaseq_964",151
"233","c1_HuAgeGBsplitRnaseq_97",114
"234","c1_HuAgeGBsplitRnaseq_98",535
"235","c1_HuAgeGBsplitRnaseq_99",150
