"","c1_HuAgeGBsplitRnaseq_22....QNPbyTAP__"
"147","MRPL55"
"148","MRPL58"
"149","MRPS23"
"150","MRPS7"
"151","MSI2"
"152","MSL1"
"153","MTMR4"
"154","MVP"
"155","MYO18A"
"156","MYO19"
"157","NARF"
"158","NAT9"
"159","NBR1"
"160","NCS1"
"161","NF1"
"162","NFE2L1"
"163","NINJ1"
"164","NKIRAS2"
"165","NLE1"
"166","NMT1"
"167","NOL11"
"168","NPEPPS"
"169","NPLOC4"
"170","NR2F2"
"171","NSRP1"
"172","NT5C3B"
"173","NUFIP2"
"174","NUP85"
"175","OAF"
"176","OGFOD3"
"177","ORMDL3"
"178","P3H4"
"179","P4HB"
"180","PCYT2"
"181","PDK2"
"182","PEX12"
"183","PGS1"
"184","PHF12"
"185","PHOSPHO1"
"186","PIP4K2B"
"187","PIP4K2C"
"188","PLEKHH3"
"189","PLEKHM1"
"190","POLDIP2"
"191","POLG2"
"192","PPM1D"
"193","PRKAR1A"
"194","PROCA1"
"195","PRPSAP1"
"196","PSMB3"
"197","PSMC3IP"
"198","PSMC5"
"199","PSMD11"
"200","PSMD12"
"201","PSMD3"
"202","PTRH2"
"203","RAB26"
"204","RAB3D"
"205","RARA"
"206","RARG"
"207","RECQL5"
"208","RETREG3"
"209","RHOT1"
"210","RPS6KB1"
"211","RPTOR"
"212","RUNDC1"
"213","SAP30BP"
"214","SARM1"
"215","SCPEP1"
"216","SCRN2"
"217","SDF2"
"218","SGCA"
"219","SIRT7"
"220","SKA2"
"221","SLC25A39"
"222","SLC35B1"
"223","SLC38A10"
"224","SLC46A1"
"225","SLC48A1"
"226","SMARCD2"
"227","SMURF2"
"228","SNAP47"
"229","SNF8"
"230","SNX11"
"231","SOCS7"
"232","SPAG9"
"233","SPRED3"
"234","SPRTN"
"235","SPRY4"
"236","SPRYD4"
"237","SRP68"
"238","SRSF1"
"239","ST3GAL6"
"240","STARD3"
"241","STAT3"
"242","STAT5A"
"243","SUPT6H"
"244","TACO1"
"245","TADA2A"
"246","TAF15"
"247","TAOK1"
"248","TAPBP"
"249","TEFM"
"250","TEPSIN"
"251","TLCD1"
"252","TLK2"
"253","TMEM100"
"254","TMEM101"
"255","TMEM104"
"256","TMEM206"
"257","TMUB2"
"258","TNFAIP1"
"259","TNRC6C"
"260","TRAF4"
"261","TRIB2"
"262","TRIM11"
"263","TRIM17"
"264","TRIM37"
"265","TRIM65"
"266","TSEN54"
"267","TTL"
"268","TUBB2A"
"269","TUBD1"
"270","TUBG1"
"271","UBE2O"
"272","UBE2Z"
"273","UNK"
"274","USP6"
"275","UTP18"
"276","UTP6"
"277","VEZF1"
"278","VMP1"
"279","WBP2"
"280","WIPF2"
"281","XYLT2"
"282","ZNF207"
"283","ZNF496"
"284","ZNF641"
"285","ZNHIT3"
