"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_39","TAPbyQNP__","User",7.67429226391408e-13
"c1_HuAgeGBsplitRnaseq_217","TAPbyQNP__","User",2.10051121660826e-12
"c1_HuAgeGBsplitRnaseq_82","PGBCbyQGBC__","User",2.23285760031284e-12
"c1_HuAgeGBsplitRnaseq_55","PSVZbyQSVZ__","User",3.7885905515062e-12
"c1_HuAgeGBsplitRnaseq_30","NPCbyNSC__","User",4.28640846557325e-12
"c1_HuAgeGBsplitRnaseq_45","TAPbyQNP__","User",5.33940791417217e-12
"c1_HuAgeGBsplitRnaseq_277","QGBObyPGBO__","User",7.83240541435544e-12
"c1_HuAgeGBsplitRnaseq_35","QSVZbyPSVZ__","User",8.72251706020553e-12
"c1_HuAgeGBsplitRnaseq_37","NPCbyNSC__","User",9.04840280843617e-12
"c1_HuAgeGBsplitRnaseq_52","QGBObyPGBO__","User",1.0079805607364e-11
"c1_HuAgeGBsplitRnaseq_830","PGBCbyQGBC__","User",1.12060103903026e-11
"c1_HuAgeGBsplitRnaseq_52","PGBCbyQGBC__","User",1.38414287003207e-11
"c1_HuAgeGBsplitRnaseq_186","QSVZbyPSVZ__","User",1.74187847560963e-11
"c1_HuAgeGBsplitRnaseq_40","PGBCbyQGBC__","User",3.84787014456261e-11
"c1_HuAgeGBsplitRnaseq_56","TAPbyQNP__","User",4.50421380861852e-11
"c1_HuAgeGBsplitRnaseq_186","QNPbyTAP__","User",5.28965948396827e-11
"c1_HuAgeGBsplitRnaseq_191","NPCbyNSC__","User",9.52337853194973e-11
"c1_HuAgeGBsplitRnaseq_181","PSVZbyQSVZ__","User",9.79298483519933e-11
"c1_HuAgeGBsplitRnaseq_188","NPCbyNSC__","User",1.0719735248181e-10
"c1_HuAgeGBsplitRnaseq_39","PSVZbyQSVZ__","User",1.11305668048075e-10
"c1_HuAgeGBsplitRnaseq_192","QNPbyTAP__","User",1.30748758435215e-10
