"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Tram1l1",52.7911186251257,74.129958454303,1.26112526476308,1.40421268548421,0.489761466308263,0.262225222739211,"NPCbyNSC",0.516417854663288
"Ghdc",9.36812045383768,13.1548194517032,0.91947272839337,1.40421117731405,0.489759916805973,0.409608221586543,"NPCbyNSC",0.652215727032871
"Rragb",1.28356057746946,1.8019818618784,1.12560135131259,1.40389311849309,0.489433104239679,0.329355460832516,"NPCbyNSC",0.582154928966724
"Sympk",2.51215049352687,3.52599401711279,0.725903197704769,1.40357595064401,0.489107133428473,0.500390958076763,"NPCbyNSC",0.725671588595725
"Idh3b",123.875004915926,173.852759728721,1.60558253385007,1.40345310054046,0.488980853841019,0.179036961309767,"NPCbyNSC",0.424209349054443
"Nanos2",0.329639056073067,0.462479370006248,0.153629962421146,1.40298718093567,0.488501827143824,0.88316610111985,"NPCbyNSC",0.950441971847855
"Parg",1.22522585079395,1.71879077573442,1.89999309737703,1.40283587276634,0.488346228204355,0.115917949255796,"NPCbyNSC",0.333299940244767
"Ccdc58",8.99700014211716,12.6204757875974,1.1938806827717,1.40274264624248,0.488250349623309,0.277720991235903,"NPCbyNSC",0.532337743104622
"Akap1",1.96041091114539,2.74984077771869,1.84366113422469,1.40268591757229,0.488192004048426,0.120941681629179,"NPCbyNSC",0.341416046160383
"Hoga1",0.614482412531576,0.861787913321303,0.674212261902517,1.40246147936255,0.48796114566771,0.528877859324937,"NPCbyNSC",0.745121155608241
"Lsm14b",21.1087370828344,29.5964092020189,1.17803409217106,1.4020928436352,0.487581884738833,0.306102271396926,"NPCbyNSC",0.560578664126754
"Pipox",3.7803737356425,5.29910333345597,1.06412891255161,1.40174059604066,0.487219391123282,0.330879774788953,"NPCbyNSC",0.583387220128468
"5330434G04Rik",1.64417697822968,2.30460558033842,0.328435741697057,1.40167731993172,0.487154264815806,0.756880522477146,"NPCbyNSC",0.887405678551026
"Sdc4",156.749264231995,219.697749115108,1.55983158982128,1.40158711552194,0.487061417738621,0.172526079604887,"NPCbyNSC",0.416853366222338
"Casc4",5.53800125601424,7.760768137933,2.23956441015203,1.40136626540213,0.486834072271195,0.100654984744326,"NPCbyNSC",0.307690512843138
"Tmem106b",13.0279514694547,18.2555970446871,3.66681067338551,1.40126382014003,0.486728601861509,0.0129468650093667,"NPCbyNSC",0.106523049454215
"Pex12",12.7021412517641,17.7989318226451,1.34235910687988,1.40125443969324,0.48671894403036,0.228191742946728,"NPCbyNSC",0.477072232256826
"Lamtor4",133.025174101326,186.371968300608,1.56589690959429,1.4010278096584,0.486485592783776,0.189729726216935,"NPCbyNSC",0.433921214828272
"Kat6b",3.16392464706562,4.4302346053848,1.55338853832278,1.40023391817931,0.485667858889673,0.187276139747203,"NPCbyNSC",0.431279205284455
"Pacs2",2.01416612171313,2.81951293180288,1.53215093560133,1.39984130475036,0.485263283008273,0.179670171790055,"NPCbyNSC",0.425038965228831
"Trappc3",16.9857329539485,23.7725683990847,1.00874216572589,1.39956094114611,0.484974307614733,0.378360681252261,"NPCbyNSC",0.625489970867436
"Nt5m",3.25322434684306,4.5530690328799,1.340966223201,1.39955580908467,0.484969017374812,0.269588935838686,"NPCbyNSC",0.523529404772482
"Hmgcll1",1.16215522814817,1.62637496115185,0.930091004828845,1.39944726983106,0.484857128221004,0.396858675462159,"NPCbyNSC",0.641029915638831
"Gm11979",0.394465832102723,0.551903347256599,0.199204655734744,1.3991157214166,0.48451529331709,0.849300706442698,"NPCbyNSC",0.934694528112713
"4933427D14Rik",1.4647877146592,2.04913218320047,0.502003625762148,1.39892775089066,0.484321454909151,0.643746956114278,"NPCbyNSC",0.82365864144016
"Zbtb38",15.2181537031235,21.2874019569258,1.69795279659427,1.39881633292721,0.484206546512523,0.178742056228203,"NPCbyNSC",0.423910205284833
"Prpf38b",15.5817009135319,21.7954125097788,0.346669174994206,1.39878262525567,0.484171781064509,0.74912629400241,"NPCbyNSC",0.882920074743008
"Nipsnap3b",48.4883638422944,67.8228413950143,1.18831009050387,1.39874468884131,0.484132653169963,0.292189414715148,"NPCbyNSC",0.546927027417167
"Limk2",4.23942842303351,5.92950169145691,0.977375476198612,1.3986559271153,0.484041099531743,0.370954496241024,"NPCbyNSC",0.619115465612935
"Cbr4",7.1333979637009,9.97693286394063,1.70183937024847,1.39862277622942,0.484006904427327,0.141534744677179,"NPCbyNSC",0.373583044805545
"Tia1",11.7004222498584,16.3585188209342,0.398041835396945,1.39811354424685,0.483481530291297,0.711045127354768,"NPCbyNSC",0.860378311079346
"Cep120",3.67369350317281,5.13623367484742,0.372943885251097,1.39811164715061,0.483479572701226,0.7308543032294,"NPCbyNSC",0.873631084256136
"Mllt6",2.62359586001189,3.66785442708764,2.46922075524085,1.39802569556998,0.483390877545034,0.0847315236877415,"NPCbyNSC",0.280007113300329
"N4bp2l1",2.08799764110267,2.91901996772407,1.18416777060012,1.39799964820963,0.483363997675945,0.30180121741349,"NPCbyNSC",0.556200960680248
"Map2k4",1.87836090621827,2.62517755376593,2.65429303802276,1.39758953940924,0.482940715214128,0.0556130629924516,"NPCbyNSC",0.22540901853797
"2610301B20Rik",12.4219929411321,17.3570312252607,6.55369915887762,1.39728232881115,0.482623554908354,0.00122439512430804,"NPCbyNSC",0.0401139607897604
"Clpp",163.243728065215,228.031270073852,2.55937644719935,1.39687614817737,0.482204112135145,0.0468078539939919,"NPCbyNSC",0.204771518052738
"Tet1",2.71219834718445,3.78831267925761,0.646207312513522,1.39676830169529,0.482092723883892,0.543984236074511,"NPCbyNSC",0.756491634517096
"Gm3222",1.61500448197547,2.25531247296132,0.898430730406863,1.39647443591156,0.481789163649228,0.40357084892327,"NPCbyNSC",0.646853965226165
"Atad1",23.7260710376867,33.1232643065265,1.47441187317327,1.39607035037167,0.4813716432489,0.200361411421109,"NPCbyNSC",0.445716028020944
"Vash2",2.25898440144861,3.153573367793,0.412735649998901,1.39601378644789,0.481313189070339,0.698586692865606,"NPCbyNSC",0.854169781378955
"Wnt2b",0.460452452810847,0.642327085962535,0.622395521303159,1.39499112675245,0.480255945401457,0.559427602277073,"NPCbyNSC",0.766958970063625
"Gm9396",2.66601947227114,3.71887904438426,0.614408429693784,1.39491818535602,0.480180507687058,0.574170161026089,"NPCbyNSC",0.777693972473298
"Selenoo",3.92312118636221,5.47218905931826,0.0570503220944793,1.3948559831241,0.480116173553823,0.957481172931421,"NPCbyNSC",0.983856510537398
"Slc25a42",1.75063220319793,2.44169288678139,1.01878490766364,1.39474921249654,0.480005736811576,0.349139622508277,"NPCbyNSC",0.600656564383222
"Otub1",258.447001032939,360.429963213934,3.49179252200635,1.39459913163395,0.479850488424006,0.0196058181372736,"NPCbyNSC",0.129986304837966
"Gm11185",1.50909308594264,2.10374758817561,0.731669775770634,1.39404759571974,0.479279818693147,0.49860405379806,"NPCbyNSC",0.724363376555899
"Gm13722",1.16572140872969,1.62500505575279,1.0451742640668,1.3939909171983,0.47922116109467,0.344047316212589,"NPCbyNSC",0.596565093571564
"Rnpc3",3.22134325332264,4.49034855889123,0.884599246267821,1.39393669217327,0.479165040430381,0.412853835492348,"NPCbyNSC",0.655482401155542
"Cyth1",1.43098282810472,1.99447227795826,1.85069666298734,1.393777925763,0.479000711189843,0.120032648364514,"NPCbyNSC",0.339946300717283
"Scaper",0.789293625401528,1.09989792304465,1.08845503489858,1.39352186264664,0.478735636732688,0.327300493078269,"NPCbyNSC",0.580273119701986
"Rps21",2545.29341710047,3546.91679111416,1.93462095203304,1.3935198069049,0.478733508448461,0.110422832292049,"NPCbyNSC",0.324266366600996
"Gm9157",5.03581414468062,7.01385428564504,0.0197071916917798,1.39279450832272,0.47798241968178,0.985239746896281,"NPCbyNSC",0.993696190880983
"Zfp85os",0.577464916404425,0.804283487806785,0.807308166807926,1.39278329290486,0.477970802395254,0.455947897874019,"NPCbyNSC",0.690654627930558
"Bcas3",0.71075646124811,0.989742427519039,1.88722539520634,1.39251977503099,0.477697815275589,0.151998252459731,"NPCbyNSC",0.387948704732109
"Rapgef1",2.50849686246071,3.49259427032498,1.65194532114238,1.39230561639966,0.477475923018405,0.177665547702076,"NPCbyNSC",0.422322722097744
"Zfp622",4.36839952993178,6.08159880483267,0.802879421978986,1.39218007949187,0.477345836895345,0.452990032210432,"NPCbyNSC",0.688716645528306
"Aamdc",19.0075674806972,26.4567978139472,2.96200750939176,1.39190866168514,0.477064543329353,0.0373905089851715,"NPCbyNSC",0.182645304920213
"D3Ertd254e",11.5126832753338,16.0214442280045,1.08189662738878,1.39163423893809,0.476780079714684,0.324373130407753,"NPCbyNSC",0.578316874417708
"Fbxl20",2.21145187693166,3.07722785226756,0.773495368618013,1.39149663818918,0.476637423169232,0.49093670240994,"NPCbyNSC",0.718838753279256
"Gfra2",1.0259376257627,1.42722037549427,0.790296390456983,1.39113756982375,0.476265095285438,0.461125946912126,"NPCbyNSC",0.69480160766509
"Ndufb10",531.661904490396,739.409208825791,6.5444797447151,1.39075078086425,0.475863915621122,0.00122489766299462,"NPCbyNSC",0.0401139607897604
"Angel1",3.19252145670807,4.43954107877807,1.60095418001121,1.39060649677069,0.475714234781399,0.162236915721408,"NPCbyNSC",0.402795178276186
"Gm6204",74.1745499691165,103.118383457219,1.40704341210566,1.39021245831829,0.47530537873275,0.214172473573862,"NPCbyNSC",0.461968973371172
"Ndufa6",371.228438359497,516.043459207797,2.21032198554209,1.39009678646457,0.475185335100804,0.0977635095344639,"NPCbyNSC",0.303155972775129
"Hsbp1",762.122760446515,1059.28049680847,4.730389217152,1.38990796730418,0.474989358121727,0.0140972744591794,"NPCbyNSC",0.111050861648793
"Ints6",2.24454052635819,3.11946080541122,1.75408705627214,1.38979927908568,0.474876537640999,0.135612496784072,"NPCbyNSC",0.364719406083552
"Gtpbp3",1.12071092698998,1.55747614106701,0.948733295983526,1.38972156294585,0.474795861369127,0.390425593056631,"NPCbyNSC",0.635653952097765
"Gm18119",1.26388703673384,1.75597405533064,1.80705217312955,1.38934414571453,0.474404004516208,0.137394219664811,"NPCbyNSC",0.367388016711187
"Hlf",4.70394935300501,6.53444924038083,1.1506205072257,1.3891410706211,0.474193115914743,0.314986271094288,"NPCbyNSC",0.569366865513917
"Dolpp1",28.6011417682779,39.725391751128,1.45078386036132,1.38894426218985,0.473988705672264,0.208296679207519,"NPCbyNSC",0.455013482497657
"Gm37724",2.57998257149949,3.5825981660055,0.14204311839397,1.3886133207184,0.473644916132215,0.894687497321049,"NPCbyNSC",0.955433655475042
"Atp6v0e2",640.539915415098,889.417063626588,2.09109580665003,1.38854276247594,0.473571608026041,0.0856115792027282,"NPCbyNSC",0.281491195252713
"Tmem126a",72.9278637652188,101.262187816846,2.71755383746124,1.38852535353079,0.47355352002979,0.036302238090618,"NPCbyNSC",0.179732812277407
"Rpl17-ps3",82.6649758951909,114.738267819001,1.89326633549245,1.387991305586,0.472998530864838,0.13412701654044,"NPCbyNSC",0.362145540498486
"Plgrkt",31.9179518554033,44.290502204183,3.76963071395726,1.38763609910907,0.472629277682887,0.0232110458579699,"NPCbyNSC",0.142011096009673
"Cox7a2l",102.317314926694,141.975788171457,4.10390801448269,1.38760275592822,0.472594611087201,0.00633044897044525,"NPCbyNSC",0.0764766967257757
"Gm3800",0.372004219958272,0.516081691237934,0.540061531000345,1.38730063679337,0.472280462652002,0.610818322000893,"NPCbyNSC",0.801724189503665
"Fam208b",2.60496326360032,3.6133286966376,0.40929831473475,1.38709391688066,0.472065472471113,0.706238992451638,"NPCbyNSC",0.858463761149977
"Gm12976",3.05028154490154,4.2305458584843,1.48743226948207,1.38693618808911,0.47190141185388,0.191908240672828,"NPCbyNSC",0.435618591868959
"Emc2",15.536177778669,21.5454979376523,3.84387755400841,1.38679527516954,0.471754826380035,0.0107622002257896,"NPCbyNSC",0.0978484206070936
"Golim4",2.61496783080238,3.62599522194796,1.16838348341045,1.38663090965649,0.471583825390608,0.290918560432246,"NPCbyNSC",0.545584734048967
"Unkl",1.19333108033922,1.6546805402753,1.02645224354478,1.38660642259056,0.471558348040965,0.362602517419263,"NPCbyNSC",0.612577830045548
"Zfp995",1.75106293071507,2.42720095355529,1.97199780243622,1.38613005334086,0.47106262436372,0.111954101208511,"NPCbyNSC",0.327248605243922
"Dph3",61.9791201411669,85.8577373292472,3.047942393618,1.3852687345947,0.470165878410647,0.0465363893019868,"NPCbyNSC",0.204107034740026
"Thbs2",0.882805031552878,1.22280776635071,0.749248431753091,1.38513909939974,0.470030862871964,0.487015959951649,"NPCbyNSC",0.715873949771937
"Ranbp6",29.6256185438559,41.0290785163422,0.0845247515745663,1.38491888213592,0.469801476803361,0.937306288484607,"NPCbyNSC",0.976642495590262
"Gm26664",1.98532222053234,2.74949916758341,0.6702838087052,1.38491330986371,0.469795672054968,0.528426426228524,"NPCbyNSC",0.745065289097483
