"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Tgfa",-0.139775739333153,1.81208428345391,0.0330969078446097,0.855641148546857,0.952157205012292,"NSCbyNPC",0.9076602361861
"Micu1",0.0742834167010976,3.15468250959042,0.0329915294943145,0.8558686260212,0.952157205012292,"NSCbyNPC",1.0528379638732
"March7",-0.0795618708379708,3.47074678588961,0.0329847648700623,0.855883241447852,0.952157205012292,"NSCbyNPC",0.946344996704114
"Fbxl18",0.0803303880722505,2.92994661179291,0.0329813588235321,0.855890601026947,0.952157205012292,"NSCbyNPC",1.05726013340403
"Ap3s2",0.061730020892635,4.08823998485322,0.032954518333165,0.85594861007357,0.952157205012292,"NSCbyNPC",1.04371659297236
"Pex5",0.0727410491907134,3.33544664213075,0.0329023320102269,0.856061467723106,0.952157205012292,"NSCbyNPC",1.05171298922061
"Zfp629",-0.0775377385959423,4.75661510090927,0.0328653871955833,0.856141420130178,0.952157205012292,"NSCbyNPC",0.947673670995893
"Mrpl50",-0.057057986670438,6.07732566657822,0.0328564623973406,0.856160741278035,0.952157205012292,"NSCbyNPC",0.961222292919101
"Tbc1d16",-0.143779184976264,1.76532841003628,0.0328224373863143,0.856234426334841,0.952157205012292,"NSCbyNPC",0.905144991339794
"Eva1b",-0.123559961610667,2.26358600520484,0.0327884953870132,0.856307970932455,0.952157205012292,"NSCbyNPC",0.917919815597277
"Oscp1",0.0710221407453496,3.57988706391945,0.0327588819495932,0.856372168640118,0.952157205012292,"NSCbyNPC",1.05046066509176
"Ufc1",-0.0444587059253022,6.94044710250957,0.0327503973223555,0.856390567624092,0.952157205012292,"NSCbyNPC",0.969653559277923
"Gm13594",0.238200334742138,1.20460202957577,0.0327418356930265,0.856409136082874,0.952157205012292,"NSCbyNPC",1.17952037081246
"Clstn3",-0.128386060847201,2.16703272992074,0.0327352727390124,0.856423371512957,0.952157205012292,"NSCbyNPC",0.91485432310839
"Psma4",-0.0420086024219597,7.96144393885536,0.0326779355070259,0.856547802044271,0.952157205012292,"NSCbyNPC",0.971301703900447
"Mvk",-0.0622455049702295,4.0542553728476,0.032677706283873,0.856548299719592,0.952157205012292,"NSCbyNPC",0.957772219223277
"Rasl10b",-0.122085597655803,2.02337258486045,0.0326551160994244,0.856597354994752,0.952157205012292,"NSCbyNPC",0.918858364365096
"Trim27",-0.0795976417708994,3.1528902716367,0.0326506483150832,0.85660705900002,0.952157205012292,"NSCbyNPC",0.94632153282382
"Fam120b",0.083776750932475,4.06189592040112,0.0326118834623195,0.856691284863842,0.952174961371531,"NSCbyNPC",1.05978877426445
"Lsm8",0.0489400015794743,6.69142578443818,0.0325594355249232,0.856805322805985,0.95222584708566,"NSCbyNPC",1.03450455792182
"Rfxap",-0.0975127679990604,3.16219193430639,0.0324756297349911,0.856987739380903,0.952352712450453,"NSCbyNPC",0.934642944462809
"Vps11",0.0679608557975474,5.56564468466253,0.0324005569038679,0.857151353746357,0.952458664764271,"NSCbyNPC",1.04823403371826
"Gm15772",0.0656064878869794,4.89754727346214,0.0323062310997129,0.85735720585807,0.952476218156882,"NSCbyNPC",1.04652479104289
"Mettl9",0.0841679575230595,3.0765994702551,0.0322508402775252,0.857478232730634,0.952476218156882,"NSCbyNPC",1.06007618952422
"Gm16459",-0.124586441739141,1.96829312501306,0.032234405598764,0.857514162523225,0.952476218156882,"NSCbyNPC",0.917266946276235
"Znrd1",-0.0483753440310157,6.4254489744029,0.0321699040157897,0.857655268503026,0.952476218156882,"NSCbyNPC",0.967024707363995
"Zscan20",-0.174132450728858,1.5079137365221,0.0321548436326271,0.857688236159156,0.952476218156882,"NSCbyNPC",0.886300326132831
"2900005J15Rik",0.190895099248235,1.40639691085619,0.0321432207759589,0.857713684409257,0.952476218156882,"NSCbyNPC",1.14147170580629
"Tmem88",0.136752664938711,2.44311303338718,0.0321194270048899,0.857765795698023,0.952476218156882,"NSCbyNPC",1.09942764772012
"Pabpc4",0.116604847904989,2.07479053379745,0.032114698690963,0.85777615366034,0.952476218156882,"NSCbyNPC",1.0841804127171
"Golga4",0.095311607637269,2.59290394378135,0.0321074280830764,0.857792082370761,0.952476218156882,"NSCbyNPC",1.06829612436281
"Rab5b",-0.0651062736624914,5.49908961518492,0.0320602065440481,0.857895582359707,0.952476218156882,"NSCbyNPC",0.955874902110593
"Gm5547",0.174912148976678,1.69813327907854,0.0320418728769827,0.857935787219765,0.952476218156882,"NSCbyNPC",1.12889566009171
"Tnfrsf19",-0.0828400091407619,2.99205164067391,0.0320007258875661,0.858026063850314,0.952476218156882,"NSCbyNPC",0.944197122173874
"Nt5c3b",0.0551780881578636,5.15117938730439,0.0319465142158468,0.858145095928808,0.952476218156882,"NSCbyNPC",1.03898734933585
"9230114K14Rik",-0.168770425725213,1.54009962512184,0.0319074603050949,0.858230910846316,0.952476218156882,"NSCbyNPC",0.889600543307786
"Rpp14",-0.0700250958952651,5.61333192214038,0.03188731192646,0.858275204978552,0.952476218156882,"NSCbyNPC",0.952621426908103
"Ambra1",0.0986649530830596,2.37599611773179,0.0318810841480508,0.858288899028364,0.952476218156882,"NSCbyNPC",1.07078211927293
"Actr8",-0.0832415869287408,3.52246368755335,0.0318271920587847,0.858407458200602,0.952476218156882,"NSCbyNPC",0.943934339108413
"Ccdc106",-0.12468531456337,1.95624543359809,0.0318044277910792,0.858457569256058,0.952476218156882,"NSCbyNPC",0.917204084990026
"Rprd1a",-0.0895161576846509,3.17468538519207,0.0318013539564213,0.858464337115951,0.952476218156882,"NSCbyNPC",0.939837893499689
"Mrps18a",-0.0864500820013566,2.70380190822819,0.0317459616184741,0.858586355883697,0.952535845004648,"NSCbyNPC",0.94183740016143
"Spopl",-0.142716643911218,1.75077605752359,0.0316810569819266,0.858729468260357,0.952607872201605,"NSCbyNPC",0.905811873769791
"Xrn1",-0.105965817059844,2.28547482807332,0.0316546020608079,0.858787843787512,0.952607872201605,"NSCbyNPC",0.929182689866897
"Ier5l",-0.193526734390451,1.382147034606,0.0315383565595853,0.859044650264433,0.952748807459838,"NSCbyNPC",0.874465435386537
"6430573P05Rik",0.19513951518451,1.37373957253382,0.0315352663653314,0.859051483695599,0.952748807459838,"NSCbyNPC",1.14483486599405
"Dnaja1",-0.050631120934665,7.60166271629627,0.0314288091007819,0.859287106798992,0.952876483253589,"NSCbyNPC",0.965513863124217
"Tomm34",0.05481626976485,5.63040308580563,0.0313864226357858,0.859381035805069,0.952876483253589,"NSCbyNPC",1.03872681083903
"Lat2",-0.1634221431799,1.56884236950368,0.031349438717033,0.859463046145956,0.952876483253589,"NSCbyNPC",0.892904543687464
"Prrc2a",0.0749636780037492,3.36069448841081,0.0313310816522416,0.859503770721028,0.952876483253589,"NSCbyNPC",1.05333451635583
"Bet1l",-0.141909246663022,1.75108933614046,0.0313291252680301,0.859508111623766,0.952876483253589,"NSCbyNPC",0.906318948847995
"Slc18b1",-0.0846719083153654,2.69176461777024,0.0312614173933947,0.859658430759345,0.952930659261026,"NSCbyNPC",0.942998964423669
"0610009E02Rik",0.15852789419312,1.60284463668555,0.0311823744799633,0.859834127501874,0.952930659261026,"NSCbyNPC",1.11614765538521
"Ap1g1",0.107643157983399,2.18784906153769,0.0311518255541354,0.859902093230335,0.952930659261026,"NSCbyNPC",1.07746660714064
"2810474O19Rik",-0.0583801713830275,4.81062568906145,0.0311295590510889,0.859951653748947,0.952930659261026,"NSCbyNPC",0.960341766413612
"Arih1",-0.0852855707748575,2.6515092293162,0.0311116430571927,0.859991544226492,0.952930659261026,"NSCbyNPC",0.942597937185753
"Eif2ak3",-0.128494974504697,1.89098488269925,0.0310818871522291,0.860057822785576,0.952930659261026,"NSCbyNPC",0.914785260439842
"Ddx42",0.0799019514266034,4.26096523254531,0.031034125287368,0.860164276403864,0.952930659261026,"NSCbyNPC",1.05694620584489
"Zgpat",0.115125743192082,2.08133257337906,0.031022093534002,0.860191106588626,0.952930659261026,"NSCbyNPC",1.08306944016233
"Plin3",0.0505482399861921,6.28665745324233,0.0309842324951193,0.860275569755291,0.952930659261026,"NSCbyNPC",1.035658410661
"Fam204a",-0.0734942741323401,3.37303575630094,0.0309608626064009,0.860327731565026,0.952930659261026,"NSCbyNPC",0.950333456720291
"Vma21",-0.0572008092634879,5.02032039972103,0.0308824151669174,0.860502975552806,0.952930659261026,"NSCbyNPC",0.961127139431126
"Sec24d",0.143293878826469,1.72745642537355,0.030876020780521,0.860517270101845,0.952930659261026,"NSCbyNPC",1.10442379679211
"Fbln1",-0.108748981270401,2.16146960240909,0.0308686285872406,0.860533797134059,0.952930659261026,"NSCbyNPC",0.927391892026187
"6030442K20Rik",0.119537329215362,2.06167571892871,0.0308375931069147,0.860603206711971,0.952930659261026,"NSCbyNPC",1.08638640367501
"Pdhx",-0.0779557028995834,3.18522624677062,0.0307928967871445,0.860703231491515,0.952930659261026,"NSCbyNPC",0.94739915948516
