"","PSVZbyQSVZ","AveExpr","F","P.Value","adj.P.Val"
"Gm10340",5.85446185345793,5.51219342745012,374.063760006009,2.15356298024645e-05,0.00536093260091946
"Cdh20",-4.36271682094973,5.79477621133427,372.763580973453,2.1698122180972e-05,0.00536093260091946
"Dgkh",-2.67057581419001,4.40075364469617,365.09076412859,2.26944783219444e-05,0.00554338422193404
"Nop58",6.91391133804376,7.22949458316522,361.28403121144,2.32137292428827e-05,0.00560650685478385
"Fignl1",6.07593519018384,5.62293009581308,348.064739813619,2.51580198652401e-05,0.00600443374883616
"Atad2",7.34505853138606,7.7052477601579,346.397142490503,2.54200265710207e-05,0.00600443374883616
"Cdc6",6.07353638556734,5.84412311484127,339.108052176555,2.66132873015981e-05,0.00619595181757579
"Mcm5",7.0457376334946,6.10783131746846,337.923459381919,2.68149023589721e-05,0.00619595181757579
"Abhd14b",-5.25276200935238,5.21134350539735,336.295802730027,2.70955790114968e-05,0.00619595181757579
"Fam134b",-5.44217794832276,5.79736187099334,329.945759445674,2.82325818675713e-05,0.00637063260881787
"Poc1b",5.36438067494061,6.60999285152814,326.937372452538,2.87956693175555e-05,0.00637063260881787
"Ccnb2",6.03848625206578,5.60420562675405,325.902582708503,2.89931431276413e-05,0.00637063260881787
"H2afx",3.80761384625283,10.0586734094435,325.632616129153,2.90449870046128e-05,0.00637063260881787
"LOC102635048",2.39746900877606,10.5798071642577,317.872113356187,3.05950544458653e-05,0.00664283530620074
"Ska3",3.83989342158958,4.72730163285239,315.256064595613,3.11448264042911e-05,0.00669458043560238
"Lmnb1",7.27318680176701,7.61782057615016,313.541003960164,3.15131067518918e-05,0.00670667554091005
"Brca1",6.68463723205671,6.21388856406675,302.958003970415,3.39326842170032e-05,0.00715081418867141
"Gins1",6.40045434002959,6.18592785053556,300.209109706231,3.46054543404209e-05,0.0072217887480325
"Ptch1",-1.379814899308,11.2528334028113,297.639326494626,3.52521319854443e-05,0.00728600554833774
"2900052N01Rik",-4.47760065940461,5.53774597335051,293.045713036244,3.64528209631495e-05,0.00746241320574189
