"","PGBC","QGBC"
"EDN1",0.990691654314243,0.0510784858552918
"EDNRA",0.811739362817494,0.154239549319444
"EDNRB",1.39962734071993,0.939368304587322
"EED",3.25513811420567,2.68868280122623
"EEF1A1P1",3.54098237724249,2.20218561666662
"EEF1A1P11",3.96374139731369,3.43663635433702
"EEF1A1P16",2.11382494684148,1.59444069770976
"EEF1B2",8.70176093628205,8.00890016515039
"EEF1B2P2",0.499478527066261,0.0674984031214508
"EEF1B2P6",1.78135607635335,1.4210996573468
"EEF1GP7",0.400289597379698,0
"EFCAB2",1.41103527005927,0.540860763057732
"EFEMP1",2.29018064936339,0.0135036035174303
"EFEMP2",3.72243881030521,3.27339044995918
"EFHC1",2.54173684999449,2.16872319697717
"EFHD2",4.86282478245297,3.93884945774568
"EFL1",1.61380487269612,1.10074717678815
"EFNB1",5.18394224941412,4.81016333020396
"EFNB2",4.95193862750491,4.33242204456139
"EFR3A",3.80649183319501,3.40517401324096
"EFS",0.845258088572462,0.0810820970870136
"EFTUD2",5.22680534041685,4.65540235524094
"EGLN1",3.4948092634506,3.13847924373262
"EGR1",7.44410707252635,5.95484295655056
"EGR3",1.8288522406065,1.18735235115338
"EHBP1",1.34963118988388,0.895588257838032
"EHBP1L1",5.6474513263037,5.05590727083017
"EHD1",3.70320539079948,3.04000448993618
"EHD4",3.21893956765369,2.7469504859439
"EI24",0.893946526099158,0.541017079007285
"EID2",6.71054537428227,6.33209319226532
"EIF1AD",5.27349958193463,4.77489386040194
"EIF1AX",6.1803711032668,5.19603545302933
"EIF1AY",1.17559930860243,0.230074240726562
"EIF2AK2",4.38012109501538,3.73765662906248
"EIF2AK4",3.3034439423062,2.87397843895105
"EIF2B3",1.78995976796356,1.37474813280371
"EIF2S1",5.78494866135531,5.11468376851168
"EIF2S2",1.93199242219984,1.35161201908904
"EIF2S2P3",1.41286941465822,0.962865242212293
"EIF2S3",6.21540177208499,5.75496091301555
"EIF2S3B",0.451248585104311,0.0725853311422804
"EIF3A",6.51951302242019,5.88010368563132
"EIF3FP3",2.68662193126191,1.79600311328707
"EIF3I",7.39207867726681,6.66372417075345
"EIF3J",4.86633633074269,4.02620445833272
"EIF3M",5.84346786514334,5.47017175468764
"EIF4A1P4",1.9926730456253,0.795424916240298
"EIF4A1P5",0.727951469633684,0.0538502059517997
"EIF4A1P7",2.17677630226078,1.13253982036451
"EIF4A3",6.47170311033427,5.63261282475327
"EIF4E",3.87605351826936,3.05693852447929
"EIF4E2",4.10726785167963,3.55836956950062
"EIF4EBP1",3.42986755858831,3.06834593377366
"EIF4EBP2",5.63277039595643,5.22673583778209
"EIF4G1",8.39902820594464,8.07679982194909
"EIF4G2",8.42947067212116,7.4869650660877
"EIF4G3",2.53269355721153,2.18432964372551
"EIF5A",7.29388186263428,5.88050361288989
"EIF5AL1",2.9555671765327,1.63654094923523
"EIF5B",4.4388276336568,3.44068880322785
"EIF6",5.93035288905127,5.09244173488703
"EIPR1",1.21704535895684,0.706394138936243
"ELAC2",4.98865413864781,4.62330187200102
"ELAVL1",4.84556034186631,4.3709162182288
"ELF1",2.21602844995385,1.84694445031944
"ELF2",1.95737374987559,1.53426040751042
"ELF3",0.476861875593129,0.0878480839035036
"ELF4",2.55721049995166,2.11826903019781
"ELFN1",0.825307232246323,0.257946114654685
"ELK1",5.09753667419605,4.62190741156536
"ELK3",2.51940639870751,1.82556307271101
"ELK4",4.89708598073989,4.43004347061183
"ELMOD2",4.67815225852769,4.24218185403748
"ELN",2.14954847456275,0.35980024753698
"ELOA",4.68344441494615,3.8329710949234
"ELOC",4.21317803573772,3.31859046016493
"ELOCP18",2.2867498385968,1.33128074109522
"ELOCP3",0.365351538837478,0
"ELOVL1",7.96325927391149,7.22530324032386
"ELOVL2",2.79027126787951,2.12001274181994
"ELOVL5",5.46059256212355,4.92991652221507
"ELP3",2.41527533128485,1.9385738916487
"ELP6",4.08790800990248,3.00160337649093
"EMC1",2.7290520200244,1.98089569309927
"EMC10",3.86499217127412,2.90372216070744
"EMC3",3.64512145162728,3.16703091187129
"EMC4",6.85627309385965,6.40179280709236
"EMC7",5.07351984317327,4.39631891547734
"EMD",7.64604534573794,7.30585173083236
"EMG1",3.58507221253223,3.12717140835508
"EMILIN1",2.43272909178781,1.00993240921621
"EMILIN3",0.857475572897737,0.130051155286946
"EML4",2.40623517982859,1.53000884593897
"EMP2",3.1432388398269,2.25140340274441
"EMP3",5.90676529450156,4.80523073384286
"ENAH",3.96079606439663,3.55664154109467
"ENC1",7.6528947866096,5.85470831815006
"ENO1",9.7521681229148,8.51467751548031
"ENOPH1",4.31288568108175,3.83867773082278
"ENOSF1",2.20300908407933,0.634139533318266
"ENOX2",0.98331793067172,0.578404281729485
"ENPP1",1.84207591861129,0.754901933340919
"ENPP2",0.74205040406858,0.0243367176126101
"ENSA",6.27028969183392,5.62002352079628
"ENTPD4",4.25732185074214,3.63574871674702
"ENTPD6",5.15733738624722,4.80468666289149
"ENY2",5.71338786141112,4.37913637415695
"EOGT",2.95430042196025,2.10452811586218
"EPAS1",3.08591443235401,2.09949487159357
"EPB41L1",1.29210880186538,0.710273547797001
"EPB41L2",3.18158095089678,2.36689634523138
"EPB41L4A-AS2",0.979695448028745,0.459753341416536
"EPRS",5.26133818504466,4.84536639198028
"EPS8L1",1.43260385992301,0.793665279117756
"ERAL1",6.42185563107588,5.96464178450961
"ERAP1",3.97826592129468,2.96170639301011
"ERC1",1.60849313893308,1.22366044133893
"ERCC1",3.00729247485163,2.48765156782943
"ERCC4",3.09428681843232,2.67069751432251
"ERCC6",1.18911785560697,0.844140632744375
"ERGIC2",3.6079479256805,2.91624576116522
"ERGIC3",6.94938667466327,6.3966023970458
"ERH",5.99881445880421,5.22664214222587
"ERI1",2.89839840760578,2.09163785134164
"ERI2",1.39247216930659,1.06014409070072
"ERICD",2.05896034532206,1.35634234745289
"ERICH3",0.79332153556323,0.0486952816183108
"ERLIN1",4.45022423844328,3.64625906188916
"ERLIN2",6.10357933021662,5.34644542006859
"ERMN",1.52690126799078,0.726411127215421
"ERMP1",1.81277067883592,1.3071339695021
"ERRFI1",5.99929684327856,4.79989276482373
"ESCO2",2.83008849018773,1.02025860271902
"ESD",5.55834343010891,4.73998920451732
"ESPL1",4.32587500331678,2.81909332723093
"ESYT1",5.63200206388776,4.85723104941326
"ETAA1",4.88140270892932,4.42427729243906
"ETF1",5.66067116126241,4.95479228612053
"ETFA",2.93209065865628,2.46639652749818
"ETNK1",4.14193778291979,3.73767700127138
"ETNK2",2.30309228782459,1.93128760900313
"ETS1",1.22865456635745,0.730995801674602
"ETS2",2.16565338114418,0.555563579921499
"ETV2",1.94482636687011,1.59159710026057
"EVA1A",0.63566104328147,0.0124873420902914
"EVI5L",3.00332222779731,2.64450031791724
"EXO1",2.95435254282267,1.21449089787333
"EXO5",2.61414874598158,1.5150923083997
"EXOC3-AS1",3.9581526536977,3.63506528385377
"EXOC5",4.57503021029024,4.20843968267634
"EXOC6",1.29908879637713,0.837654296683997
"EXOC7",4.55861803153215,4.13296276434604
