"","Glioblastoma_cancer_stem_cell"
"AC018648.1",2.34683428143599
"AC018653.3",3.01169772530293
"AC018868.2",1.05366152149233
"AC018904.1",3.14329828035237
"AC019069.1",2.23119848181716
"AC019163.1",0.955854479892164
"AC020765.2",0.841731309523878
"AC020905.1",1.76716616127296
"AC020922.4",0.452595204569978
"AC021087.1",1.47722280068224
"AC021242.3",1.67484832737238
"AC021851.1",1.77513022440972
"AC022034.2",1.03562362280278
"AC022034.3",0.221195576449984
"AC022432.1",1.78064924275
"AC022613.1",0.497971063416591
"AC022743.1",0.988659549640221
"AC022893.1",1.71185764151361
"AC022916.1",0.677149602439937
"AC023043.2",0.600158864875464
"AC023043.3",0.659967250576066
"AC023232.1",0.337556464038518
"AC024884.1",0.357108594097495
"AC024884.2",0.378729272691702
"AC025062.1",0.742661148858435
"AC025166.1",0.471413908801929
"AC025175.1",2.15857182264041
"AC025259.2",3.04650325414832
"AC025449.1",3.34574458053002
"AC025459.1",1.25872657008761
"AC025475.1",0.308324781840078
"AC026250.1",0.77320401805583
"AC026333.4",2.32271123209679
"AC026410.3",4.25262935085188
"AC026801.2",1.29845689198977
"AC026979.3",1.46861717316601
"AC027031.2",5.79146782378189
"AC027237.3",0.389903928186189
"AC027243.2",0.609839084257305
"AC027271.1",1.15195818581377
"AC027373.1",1.42772083130068
"AC027559.1",0.38952145535039
"AC027801.5",0.642017527597482
"AC034229.4",1.18553149728298
"AC034231.1",0.99134404961611
"AC036176.1",0.724262634824154
"AC037487.4",0.553967558786045
"AC040169.1",2.42790627158698
"AC040170.1",0.356649532912674
"AC044802.1",1.03087335612619
"AC046130.1",1.60565858306299
"AC046185.2",2.08061409766937
"AC048344.3",0.227660417666382
"AC060766.1",4.76981909309817
"AC060766.4",3.76442855059106
"AC060766.7",3.4002034000635
"AC062017.1",2.01452067789589
"AC062028.2",0.92005210456112
"AC064836.3",2.05835797759354
"AC067930.4",0.693150649090251
"AC068282.1",0.97036231354662
"AC068338.2",2.02904071108148
"AC068580.2",0.282421010030257
"AC068580.4",0.502731991147649
"AC068700.1",1.79625420260661
"AC068722.2",0.283531744583459
"AC068870.2",2.08412124662144
"AC069224.1",0.875447068350577
"AC069234.5",3.01394254538774
"AC069499.1",4.12421946723221
"AC072061.1",1.47899660084953
"AC073046.1",2.83819758877178
"AC073072.2",1.01909059883332
"AC073261.1",3.15190268132178
"AC073370.1",0.372850543052912
"AC073621.1",0.595874221420368
"AC078788.1",0.340400136558867
"AC078788.2",0.803072093250246
"AC078880.3",1.08837065990925
"AC078880.5",0.380581922157368
"AC078882.1",0.312076973706232
"AC078906.1",0.678631240619101
"AC079228.1",0.502829696906899
"AC079250.1",1.7311716301888
"AC079328.1",0.570683725636456
"AC079921.2",1.92709210145599
"AC079949.1",0.689535391666564
"AC079949.2",0.762557710104048
"AC080013.4",3.19223790928618
"AC080013.6",1.83327922101123
"AC080038.2",0.5989179048564
"AC080112.1",2.60163995381396
"AC082651.3",0.268615867893436
"AC083843.4",2.51212021076875
"AC083873.1",0.469842961381605
"AC084035.1",1.05955015989247
"AC084757.3",0.460830509860948
"AC084876.2",0.689665099070746
"AC087203.3",2.8950615653028
"AC087283.1",0.853858457173972
"AC087294.1",1.13691012806191
"AC087343.1",0.553758973184883
"AC087481.2",0.706087872748258
"AC087521.2",2.34603813324573
"AC087623.3",1.8035957713189
"AC087650.1",0.633452848148018
"AC087683.1",0.769404513919918
"AC090152.1",3.39397285484012
"AC090204.1",0.522465760676017
