"","gene_name_length"
"AC003035.2",8512
"AC003043.1",2850
"AC003043.2",4815
"AC003045.1",799
"AC003070.1",546
"AC003070.2",656
"AC003071.1",1009
"AC003071.2",315
"AC003072.1",938
"AC003080.1",767
"AC003084.1",5188
"AC003087.1",5632
"AC003092.1",43829
"AC003092.2",5399
"AC003098.1",1879
"AC003101.1",4518
"AC003101.2",442
"AC003101.3",768
"AC003102.1",2310
"AC003659.1",519
"AC003666.1",122985
"AC003669.1",709
"AC003681.1",49287
"AC003682.1",1919
"AC003684.1",25287
"AC003685.1",3741
"AC003685.2",395
"AC003686.1",1034
"AC003687.1",761
"AC003688.1",15261
"AC003688.2",1125
"AC003956.1",2015
"AC003957.1",2673
"AC003958.1",1102
"AC003958.2",22634
"AC003965.1",1271
"AC003965.2",1829
"AC003973.1",6506
"AC003973.2",18357
"AC003973.3",2822
"AC003975.1",15962
"AC003982.1",6449
"AC003984.1",51847
"AC003985.1",5514
"AC003985.2",1669
"AC003986.1",1961
"AC003986.2",1798
"AC003986.3",1984
"AC003988.1",66048
"AC003989.1",565
"AC003989.2",169
"AC003991.1",85009
"AC003991.2",2567
"AC003992.1",557
"AC004000.1",631
"AC004004.1",250
"AC004006.1",377
"AC004009.1",48096
"AC004009.2",728
"AC004009.3",645
"AC004012.1",2164
"AC004014.1",43214
"AC004014.2",5122
"AC004022.1",1066
"AC004022.2",193
"AC004023.1",1744
"AC004024.1",247
"AC004034.1",14563
"AC004039.1",35045
"AC004052.1",180656
"AC004053.1",312920
"AC004054.1",4768
"AC004057.1",3125
"AC004062.1",645
"AC004063.1",11918
"AC004066.1",802
"AC004066.2",12166
"AC004067.1",700
"AC004069.1",3340
"AC004069.2",1114
"AC004074.1",1063
"AC004076.1",39567
"AC004076.2",3323
"AC004080.1",1986
"AC004080.2",6876
"AC004080.3",16479
"AC004080.4",633
"AC004080.5",5233
"AC004080.6",23593
"AC004112.1",81435
"AC004129.1",796
"AC004129.2",3102
"AC004130.1",3449
"AC004134.1",225
"AC004147.1",1343
"AC004147.2",10114
"AC004147.3",4101
"AC004147.4",220564
"AC004147.5",536
"AC004148.1",1269
"AC004148.2",7738
"AC004149.1",25612
"AC004156.1",6019
"AC004158.1",107945
"AC004160.1",339274
"AC004160.2",7124
"AC004217.1",2292
"AC004217.2",1331
"AC004221.1",1344
"AC004223.1",271
"AC004223.2",544
"AC004223.3",110145
"AC004223.4",332
"AC004224.1",568
"AC004224.2",57494
"AC004231.1",54497
"AC004231.3",12483
"AC004232.1",208
"AC004232.2",821
"AC004232.3",525
"AC004233.1",1671
"AC004233.2",13761
"AC004233.3",1269
"AC004233.4",417
"AC004241.1",36210
"AC004241.2",444
"AC004241.3",517
"AC004241.4",1120
"AC004241.5",2448
"AC004253.1",12741
"AC004253.2",1020
"AC004257.1",1283
"AC004263.1",678
"AC004264.1",794
"AC004264.2",1737
"AC004381.1",22958
"AC004381.2",21518
"AC004381.3",1288
"AC004383.1",289
"AC004386.1",761
"AC004386.2",148
"AC004408.1",4214
"AC004408.2",2777
"AC004415.1",4731
"AC004448.1",1320
"AC004448.2",75188
"AC004448.3",1333
"AC004449.1",433
"AC004453.1",408
"AC004453.2",2153
"AC004461.1",712
"AC004466.1",1080
"AC004466.2",516
"AC004466.3",546
"AC004467.1",4384
"AC004470.1",70510
"AC004471.1",2975
"AC004471.2",4141
"AC004477.1",2933
"AC004477.2",287
"AC004477.3",590
"AC004485.1",59058
"AC004486.1",233
"AC004490.1",3537
"AC004491.1",1882
"AC004492.1",742
"AC004494.1",3047
"AC004494.2",830
"AC004520.1",1413
"AC004522.1",654
"AC004522.2",19229
"AC004528.1",2962
"AC004528.2",687
"AC004540.1",95664
"AC004540.2",4558
"AC004542.1",343
"AC004542.2",2334
"AC004543.1",4406
"AC004551.1",110124
"AC004552.1",348
"AC004554.1",1468
"AC004554.2",89318
"AC004556.1",9218
"AC004584.1",1344
"AC004584.2",741
"AC004584.3",2356
"AC004585.1",9977
"AC004585.2",1473
"AC004590.1",4909
"AC004593.1",9431
"AC004593.2",2528
"AC004593.3",392328
"AC004594.1",111920
"AC004596.1",17684
"AC004597.1",10454
"AC004623.1",2127
"AC004637.1",1714
"AC004656.1",4951
"AC004672.1",11443
"AC004672.2",1155
"AC004674.1",9282
"AC004674.2",1931
"AC004678.1",929
"AC004678.2",1002
"AC004687.1",1625
"AC004690.1",328
"AC004690.2",33038
"AC004691.1",6720
"AC004691.2",71540
"AC004692.1",424
"AC004692.2",10203
"AC004696.1",8358
"AC004696.2",3581
"AC004702.1",137892
"AC004704.1",245818
"AC004706.1",1546
"AC004706.2",294
"AC004706.3",36544
"AC004706.4",3537
"AC004707.1",1451
"AC004754.1",20397
"AC004771.1",880
"AC004771.2",1831
"AC004771.3",741
"AC004771.4",828
"AC004771.5",859
"AC004775.1",753
"AC004777.1",287
"AC004784.1",194053
"AC004790.1",1447
"AC004790.2",572
"AC004792.1",137
"AC004797.1",10424
"AC004801.1",360
"AC004801.2",779
"AC004801.3",5612
"AC004801.4",14166
"AC004801.5",5951
"AC004801.6",978
"AC004801.7",2973
"AC004803.1",17058
"AC004805.1",102932
"AC004805.2",482
"AC004805.3",310
"AC004808.1",721
"AC004808.2",773
"AC004812.1",146
"AC004812.2",2094
"AC004816.1",5199
"AC004816.2",1981
"AC004817.1",5584
"AC004817.2",651
"AC004817.3",2129
"AC004817.4",3625
"AC004824.1",623
"AC004825.1",586
"AC004825.2",455
"AC004828.1",42546
"AC004830.1",156244
"AC004832.1",17441
"AC004832.2",482
"AC004832.3",19736
"AC004832.4",331
"AC004832.5",401
"AC004832.6",704
"AC004834.1",73375
"AC004835.1",44082
"AC004835.2",682
"AC004836.1",634
"AC004837.1",564
"AC004837.2",2956
"AC004837.3",681
"AC004839.1",501
"AC004840.1",4955
"AC004840.2",285
"AC004846.1",3329
"AC004846.2",1900
"AC004847.1",1911
"AC004852.1",154
"AC004852.2",107301
"AC004852.3",326
"AC004853.1",1105
"AC004854.1",661
"AC004854.2",1441
"AC004858.1",242
"AC004862.1",78901
"AC004865.1",1697
"AC004865.2",7917
"AC004866.1",78
"AC004866.2",1066
"AC004869.1",3757
"AC004869.2",1484
"AC004870.1",882
"AC004870.2",57780
"AC004870.3",78509
"AC004870.4",159054
"AC004872.1",1981
"AC004875.1",7027
"AC004877.1",4093
"AC004877.2",599
"AC004882.1",14604
"AC004882.2",7895
"AC004884.1",319
"AC004884.2",2366
"AC004888.1",5777
"AC004889.1",85690
"AC004890.1",181
"AC004890.2",12032
"AC004890.3",2374
"AC004893.1",1393
"AC004893.2",47
"AC004895.1",11983
"AC004898.1",912
"AC004899.1",6473
"AC004899.2",3860
"AC004906.1",3057
"AC004908.1",541
"AC004908.2",574
"AC004908.3",625
"AC004910.1",787
"AC004911.1",871
"AC004917.1",397957
"AC004918.1",4430
"AC004918.3",925
"AC004920.1",2630
"AC004921.1",8771
"AC004922.1",68775
"AC004923.1",21240
"AC004923.2",369
"AC004923.3",355
"AC004923.4",5653
"AC004925.1",2706
"AC004930.1",12481
"AC004936.1",20794
"AC004938.1",308
"AC004941.1",3253
"AC004941.2",228
"AC004943.1",3875
"AC004943.2",126455
"AC004943.3",600
"AC004944.1",3059
"AC004945.1",983
"AC004946.1",17720
"AC004947.1",5379
"AC004947.2",2671
"AC004948.1",672
"AC004949.1",330125
"AC004951.1",3821
"AC004951.2",5213
"AC004951.3",11734
"AC004951.4",67242
"AC004965.1",213
"AC004967.1",3250
"AC004969.1",3592
"AC004972.1",2209
"AC004973.1",37295
"AC004975.1",208
"AC004975.2",1151
"AC004980.1",78623
"AC004980.2",497
"AC004980.3",8178
"AC004980.4",464
"AC004982.1",2337
"AC004982.2",14535
"AC004986.1",607
"AC004987.1",508
"AC004987.2",1148
"AC004987.3",51592
"AC004987.4",338
"AC004988.1",8802
"AC004990.1",4788
"AC004994.1",7338
"AC004997.1",14245
"AC005000.1",288
"AC005000.2",310
"AC005002.1",630
"AC005002.2",269
"AC005005.1",682
"AC005005.2",380
"AC005005.3",1410
"AC005005.4",16698
"AC005006.1",8379
"AC005008.1",612
"AC005008.2",23608
"AC005009.1",942
"AC005009.2",2445
"AC005011.1",210
"AC005013.1",1679
"AC005014.1",2976
"AC005014.2",599
"AC005014.3",190
"AC005019.1",658
"AC005019.2",4671
"AC005020.1",526
"AC005020.2",49116
"AC005021.1",355
"AC005033.1",2124
"AC005034.1",489
"AC005034.2",414
"AC005034.3",1747
"AC005034.4",899
"AC005034.5",466
"AC005037.1",45840
"AC005040.1",482
"AC005041.1",27827
"AC005041.2",5807
"AC005041.3",649
"AC005042.1",800
"AC005042.2",67873
"AC005042.3",174
"AC005046.1",625
"AC005050.1",27962
"AC005052.1",2492
"AC005062.1",221473
"AC005064.1",68801
"AC005066.1",1007
"AC005070.1",625
"AC005070.2",260
"AC005070.3",2646
"AC005072.1",1779
"AC005076.1",998
"AC005077.1",375
"AC005077.2",23754
"AC005077.3",3473
"AC005077.4",3495
"AC005082.1",2259
"AC005083.1",4124
"AC005084.1",304
"AC005086.1",1109
"AC005086.2",230
"AC005086.3",221
"AC005086.4",218
"AC005088.1",274
"AC005089.1",2241
"AC005090.1",6642
"AC005091.1",7332
"AC005094.1",694
"AC005096.1",2483
"AC005099.1",610
"AC005102.1",479
"AC005104.1",1765
"AC005104.2",678
"AC005105.1",792
"AC005144.1",41881
"AC005150.1",1381
"AC005154.1",78501
"AC005154.2",379
"AC005154.3",1393
"AC005154.4",1353
"AC005154.5",7883
"AC005154.6",53685
"AC005156.1",17610
"AC005160.1",9660
"AC005162.1",2244
"AC005162.2",1872
"AC005162.3",33401
"AC005165.1",157644
"AC005165.2",380
"AC005176.1",3717
"AC005176.2",147
"AC005178.1",440
"AC005180.1",3037
"AC005180.2",1276
"AC005181.1",1591
"AC005183.1",2215
"AC005185.1",787
"AC005186.1",59784
"AC005189.1",310
"AC005191.1",358
"AC005197.1",1697
"AC005208.1",111536
"AC005209.1",897
"AC005220.1",2349
"AC005224.1",7435
"AC005224.2",2089
"AC005224.3",2140
"AC005224.4",1652
"AC005225.1",3416
"AC005225.2",17242
"AC005225.3",7733
"AC005225.4",2225
"AC005229.1",409
"AC005229.2",399
"AC005229.3",694
"AC005229.4",2198
"AC005230.1",285
"AC005232.1",5899
"AC005234.1",4683
"AC005237.1",48518
"AC005237.2",219
"AC005244.1",339
"AC005244.2",13668
"AC005252.1",1063
"AC005252.2",1141
"AC005252.3",2258
"AC005253.1",3786
"AC005253.2",870
"AC005255.1",216
"AC005256.1",690
"AC005258.1",71648
"AC005261.1",4258
"AC005261.2",1165
"AC005261.3",1385
"AC005261.4",355
"AC005261.5",1387
"AC005262.1",682
"AC005262.2",640
"AC005264.1",13600
"AC005274.1",802
"AC005277.1",462
"AC005277.2",390
"AC005280.1",14753
"AC005280.2",7318
"AC005280.3",96746
"AC005281.1",1268
"AC005288.1",4441
"AC005291.1",21067
"AC005291.2",26107
"AC005294.1",281
"AC005296.1",209
"AC005297.1",862
"AC005297.2",606
"AC005297.3",756
"AC005300.1",373
"AC005301.1",18633
"AC005303.1",5021
"AC005304.1",7875
"AC005304.2",1982
"AC005304.3",9205
"AC005306.1",970
"AC005307.1",11008
"AC005323.1",43997
"AC005323.2",154731
"AC005324.1",14170
"AC005324.2",2156
"AC005324.3",80163
"AC005324.4",45087
"AC005324.5",2900
"AC005324.6",613
"AC005326.1",123
"AC005329.1",4298
"AC005329.2",748
"AC005329.3",2848
"AC005330.1",1622
"AC005332.1",1310
"AC005332.2",6268
"AC005332.3",2919
"AC005332.4",446
"AC005332.5",2005
"AC005332.6",2735
"AC005332.7",2921
"AC005332.8",619
"AC005336.1",1243
"AC005336.2",939
"AC005336.3",2679
"AC005339.1",561
"AC005341.1",708
"AC005342.1",6727
"AC005342.2",4917
"AC005344.1",459
"AC005345.1",217
"AC005351.1",786
"AC005355.1",55809
"AC005355.2",484
"AC005357.1",301
"AC005357.2",82149
"AC005358.1",34274
"AC005358.2",30103
"AC005363.1",351
"AC005363.2",242
"AC005377.1",456
"AC005379.1",559
"AC005381.1",98218
"AC005383.1",534
"AC005387.1",1020
"AC005387.2",3281
"AC005391.1",1665
"AC005392.1",7584
"AC005392.2",2136
"AC005392.3",8286
"AC005393.1",584
"AC005394.1",140865
"AC005394.2",292293
"AC005410.1",23706
"AC005412.1",715
"AC005476.1",397
"AC005476.2",29086
"AC005479.1",858
"AC005479.2",431
"AC005480.1",41951
"AC005480.2",75
"AC005481.1",4743
"AC005482.1",5972
"AC005486.1",5066
"AC005487.1",15893
"AC005495.1",2050
"AC005498.1",465
"AC005498.2",2420
"AC005498.3",21846
"AC005514.1",208
"AC005515.1",7000
"AC005515.2",9334
"AC005518.1",1433
"AC005518.2",282
"AC005519.1",5299
"AC005520.1",80308
"AC005520.2",15911
"AC005520.3",370
"AC005520.4",90
"AC005520.5",164
"AC005521.1",872
"AC005522.1",4270
"AC005523.1",6088
"AC005523.2",3815
"AC005524.1",44707
"AC005529.1",21502
"AC005531.1",1360
"AC005532.1",22626
"AC005532.2",373
"AC005534.1",3509
"AC005534.2",433
"AC005537.1",159797
"AC005538.1",9290
"AC005538.2",1864
"AC005539.1",1479
"AC005540.1",1263
"AC005544.1",1810
"AC005544.2",882
"AC005546.1",840
"AC005549.1",1629
"AC005550.1",1780
"AC005550.2",14034
"AC005551.1",643
"AC005552.1",662
"AC005559.1",871
"AC005562.1",96326
"AC005562.2",111
"AC005578.1",1020
"AC005580.1",69500
"AC005586.1",8814
"AC005586.2",837
"AC005587.1",592
"AC005588.1",162
"AC005592.1",1640
"AC005593.1",515
"AC005597.1",9050
"AC005606.1",721
"AC005606.2",5481
"AC005609.1",4570
"AC005609.2",592
"AC005609.3",577
"AC005609.4",447
"AC005609.5",33737
"AC005614.1",3653
"AC005614.2",42169
"AC005616.1",9491
"AC005618.1",3148
"AC005618.2",458
"AC005618.3",554
"AC005622.1",10507
"AC005625.1",690
"AC005632.1",17429
"AC005632.2",828
"AC005632.3",308
"AC005632.4",4318
"AC005670.1",6265
"AC005670.2",126800
"AC005674.1",3244
"AC005674.2",4931
"AC005682.1",17477
"AC005691.1",401
"AC005692.1",2008
"AC005692.2",1558
"AC005695.1",8051
"AC005695.2",22478
"AC005695.3",232
"AC005696.1",525
"AC005696.2",1784
"AC005696.3",488
"AC005696.4",3147
"AC005697.1",94560
"AC005697.2",6593
"AC005699.1",188245
"AC005702.1",32194
"AC005702.2",1779
"AC005702.3",4888
"AC005702.4",1365
"AC005703.1",4830
"AC005703.2",2916
"AC005703.3",4693
"AC005703.4",38015
"AC005703.5",555
"AC005703.6",1329
"AC005722.1",964
"AC005722.2",3370
"AC005722.3",861
"AC005725.1",2607
"AC005726.1",158446
"AC005726.2",2745
"AC005726.3",458
"AC005726.4",1127
"AC005726.5",1768
"AC005730.1",344
"AC005730.2",1184
"AC005730.3",366
"AC005736.1",2836
"AC005736.2",15089
"AC005736.3",925
"AC005740.1",522
"AC005740.2",419
"AC005740.3",12051
"AC005740.4",957
"AC005741.1",432
"AC005746.1",1896
"AC005746.2",38576
"AC005746.3",393
"AC005753.1",618
"AC005757.1",985
"AC005758.1",10428
"AC005759.1",15751
"AC005771.1",349
"AC005772.1",37472
"AC005774.1",763
"AC005775.1",17788
"AC005776.1",290
"AC005776.2",2350
"AC005777.1",187
"AC005779.1",29546
"AC005779.2",22623
"AC005785.1",2119
"AC005785.2",631
"AC005786.1",154
"AC005786.2",472
"AC005786.3",13371
"AC005786.4",682
"AC005789.1",1238
"AC005790.1",450
"AC005796.1",433
"AC005798.1",387
"AC005808.1",26237
"AC005821.1",38679
"AC005822.1",1034
"AC005823.1",980
"AC005823.2",1412
"AC005828.1",33082
"AC005828.2",8260
"AC005828.3",39899
"AC005828.4",1744
"AC005828.5",825
"AC005828.6",232
"AC005828.7",556
"AC005829.1",1658
"AC005829.2",1056
"AC005831.1",1697
"AC005832.1",2532
"AC005832.2",1430
"AC005832.3",792
"AC005832.4",57700
"AC005833.1",19686
"AC005833.2",86948
"AC005833.3",2100
"AC005837.1",1717
"AC005837.2",5545
"AC005837.3",286
"AC005838.1",233
"AC005838.2",317
"AC005839.1",3213
"AC005840.1",377
"AC005840.2",2244
"AC005840.3",2494
"AC005840.4",599
"AC005841.1",6803
"AC005842.1",38605
"AC005845.1",5685
"AC005856.1",5261
"AC005858.1",426
"AC005858.2",589
"AC005858.3",700
"AC005863.1",12621
"AC005865.1",6626
"AC005865.2",69921
"AC005868.1",331
"AC005871.1",10374
"AC005871.2",65226
"AC005884.1",35487
"AC005884.2",501
"AC005899.1",1875
"AC005899.2",90
"AC005899.3",955
"AC005899.4",36270
"AC005899.5",1204
"AC005899.6",297
"AC005899.7",588
"AC005899.8",22068
"AC005901.1",3161
"AC005906.1",554
"AC005906.2",116146
"AC005908.1",347
"AC005908.2",869
"AC005909.1",9889
"AC005911.1",511
"AC005912.1",255
"AC005912.2",2400
"AC005915.1",2018
"AC005920.1",9725
"AC005920.2",42948
"AC005920.3",4647
"AC005920.4",596
"AC005921.1",286
"AC005921.2",2002
"AC005921.3",2151
"AC005943.1",27107
"AC005943.2",148
"AC005944.1",815
"AC005951.1",495
"AC005954.1",2040
"AC005954.2",2678
"AC005962.1",652
"AC005972.1",1733
"AC005972.2",348
"AC005972.3",481
"AC005972.4",57860
"AC005993.1",59825
"AC005996.1",11442
"AC005999.1",16620
"AC006001.1",474
"AC006001.2",15318
"AC006001.3",66310
"AC006001.4",395
"AC006003.1",1447
"AC006004.1",16676
"AC006006.1",144
"AC006007.1",5488
"AC006011.1",349
"AC006011.2",1158
"AC006012.1",1491
"AC006013.1",27987
"AC006015.1",4010
"AC006017.1",1717
"AC006019.1",3977
"AC006019.2",3843
"AC006019.3",12318
"AC006020.1",2944
"AC006022.1",388
"AC006023.1",259
"AC006023.2",167
"AC006026.1",1803
"AC006026.2",180
"AC006026.3",592
"AC006027.1",741
"AC006028.1",402
"AC006030.1",151774
"AC006033.1",426
"AC006033.2",3574
"AC006037.1",401
"AC006037.2",2232
"AC006041.1",1064
"AC006042.1",2537
"AC006042.2",11721
"AC006042.3",1917
"AC006042.4",857
"AC006055.1",1022
"AC006058.1",5067
"AC006058.2",548
"AC006058.3",1069
"AC006058.4",1670
"AC006059.1",52426
"AC006063.1",3721
"AC006063.2",3338
"AC006064.1",1428
"AC006064.2",6118
"AC006064.3",1209
"AC006064.4",577
"AC006064.5",248
"AC006064.6",30457
"AC006065.1",802
"AC006065.2",211
"AC006065.3",62151
"AC006065.4",80285
"AC006065.5",349
"AC006065.6",545
"AC006070.1",193
"AC006076.1",1496
"AC006077.1",343
"AC006077.2",457
"AC006111.1",2086
"AC006111.2",1068
"AC006111.3",383
"AC006115.1",12386
"AC006115.2",202
"AC006115.3",83905
"AC006116.1",2521
"AC006116.10",581
"AC006116.2",988
"AC006116.3",361
"AC006116.4",1013
"AC006116.5",559
"AC006116.6",1103
"AC006116.7",756
"AC006116.8",26585
"AC006116.9",13561
"AC006122.1",440
"AC006128.1",1661
"AC006130.1",11490
"AC006130.2",643
"AC006133.1",746
"AC006141.1",2170
"AC006144.1",1600
"AC006145.1",20779
"AC006146.1",2249
"AC006148.1",362914
"AC006148.2",12866
"AC006150.1",2435
"AC006153.1",109958
"AC006157.1",366
"AC006158.1",249
"AC006159.1",9252
"AC006159.2",7641
"AC006160.1",27105
"AC006160.2",154
"AC006195.1",923
"AC006197.1",957
"AC006199.1",766
"AC006205.1",637
"AC006205.2",622
"AC006206.1",3387
"AC006206.2",93174
"AC006207.1",5325
"AC006210.1",111
"AC006210.2",1876
"AC006213.1",5941
"AC006213.2",10002
"AC006213.3",24545
"AC006213.4",634
"AC006213.5",288
"AC006213.6",4179
"AC006236.1",797
"AC006237.1",1127
"AC006238.1",534
"AC006249.1",471
"AC006252.1",1840
"AC006254.1",22448
"AC006254.2",279
"AC006254.3",1165
"AC006262.1",11412
"AC006262.2",16755
"AC006262.3",1425
"AC006262.4",770
"AC006270.1",13929
"AC006270.2",652
"AC006270.3",1036
"AC006272.1",1175
"AC006272.2",438
"AC006273.1",861
"AC006277.1",1610
"AC006288.1",28751
"AC006296.1",3554
"AC006296.2",25956
"AC006299.1",116014
"AC006305.1",187650
"AC006305.2",1970
"AC006305.3",4610
"AC006326.1",1971
"AC006328.1",379
"AC006328.2",9616
"AC006329.1",2640
"AC006329.2",394
"AC006330.1",1987
"AC006333.1",40099
"AC006333.2",2099
"AC006335.1",1879
"AC006335.2",1878
"AC006335.3",487
"AC006338.1",1070
"AC006338.2",1142
"AC006349.1",235
"AC006355.1",1012
"AC006355.2",37382
"AC006357.1",925
"AC006362.1",174
"AC006363.1",463
"AC006366.1",759
"AC006369.1",46563
"AC006369.2",2714
"AC006372.1",2256
"AC006372.2",3548
"AC006372.3",33486
"AC006372.4",1543
"AC006378.1",41672
"AC006378.2",2476
"AC006380.1",186
"AC006386.1",718
"AC006386.2",75
"AC006387.1",67143
"AC006390.1",283
"AC006427.1",712
"AC006435.1",1818
"AC006435.2",4246
"AC006435.3",203
"AC006435.4",234
"AC006435.5",112
"AC006441.1",897
