"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","Overall_Survival","Censor_1dead_0alive","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex","p.value.Overall_Survival","p.value.Censor_1dead_0alive"
"11","greenyellow","PSVZbyQSVZ_Morizur_FC5___","User",2.48405483187576e-07,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,-0.081964545312577,0.074519443063871,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232,0.105602522853891,0.141330439560163
"12","grey60","PSVZbyQSVZ_Morizur_FC5___","User",3.96080468129328e-12,0.0502736921785377,-0.00363315979221626,-0.0349467993304134,-0.0581937990138219,0.191376364681325,-0.00145661478776041,0.0247044900882594,-0.0251178718874523,-0.0525882267090472,-0.0210557777511366,-0.0143250968219868,0.321420860435529,0.942911238360501,0.490806724091556,0.250969874896478,0.000140460850059896,0.977095488328412,0.626251243022646,0.620485967690957,0.299617749814859,0.678095005496719,0.77766131616383
"13","lightcyan","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.0148298624675617,-0.0573990973691966,-0.00396956347668073,-0.0432538254007576,0.0737403752576392,-0.0296399979445466,-0.0229416829072264,-0.174115892471362,-0.0582782221765726,0.0736492015082749,0.0767110739812653,-0.0891339357812515,0.257511038058702,0.937635523069507,0.393687062305694,0.145548804369546,0.558988250478383,0.651089223197087,0.000543498290575785,0.250281839771044,0.146048688050219,0.129965279783777,0.0783447674597894
"14","lightgreen","PSVZbyQSVZ_Morizur_FC5___","User",8.60914105216763e-05,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,-0.094862780151119,0.0623648154573367,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507,0.060928703069877,0.21853455429502
"15","lightgreen","qnpBYtap_Mukherjee_FC5___","User",1.9945710662237e-16,-0.00128653149275786,0.0275851021260864,-0.0172346920195072,-0.0232291255938749,-0.037808501315091,-0.0921308853258459,0.135197860140543,0.068100956293955,-0.0255556950307702,-0.094862780151119,0.0623648154573367,0.979769351142839,0.586567263090971,0.734061292847325,0.647011771479672,0.455976942231032,0.0687879781228476,0.0074260846352257,0.178994168557686,0.614405051521507,0.060928703069877,0.21853455429502
"16","lightyellow","PGBObyQGBO_GSE114574_Tejero_FC5___","User",0.00188401742994326,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.0843796033839525,-0.047895020687653,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109,0.0956876836292451,0.344877048201152
"17","lightyellow","PSVZbyQSVZ_Morizur_FC5___","User",4.69872610573051e-13,-0.0268192334259522,0.00497877453007414,0.0253984935024316,0.028310496817535,-0.0385086587468519,-0.0841195039931636,-0.0121830362079087,-0.0248183511429528,0.0189420352615005,0.0843796033839525,-0.047895020687653,0.597004391476402,0.921825649071323,0.616585412522896,0.576760106326534,0.4476712105647,0.0967184555807338,0.810220508555725,0.624660975190483,0.708859084010109,0.0956876836292451,0.344877048201152
"18","midnightblue","qnpBYtap_Mukherjee_FC5___","User",6.4334474827247e-15,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.0152164166750471,-0.0414559620151437,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997,0.76422353193004,0.413662431260107
"19","midnightblue","QGBObyPGBO_GSE114574_Tejero_FC5___","User",0.000226908190317659,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.0152164166750471,-0.0414559620151437,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997,0.76422353193004,0.413662431260107
"20","midnightblue","PSVZbyQSVZ_Morizur_FC5___","User",5.60458442481791e-09,0.0253842559917223,-0.042454144979416,-0.0140360095671333,0.00713811671895113,0.0130696053928709,0.0582645915104164,-0.0565157512977988,-0.0167940468126071,0.00725576265949002,0.0152164166750471,-0.0414559620151437,0.61678305145722,0.402499173405686,0.78203415854604,0.88810930684282,0.796701501358765,0.250392838580332,0.264919015747042,0.740613575141977,0.886277583969997,0.76422353193004,0.413662431260107
