"Module","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","Overall_Survival","Censor_1dead_0alive","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex","p.value.Overall_Survival","p.value.Censor_1dead_0alive"
"MEHuAgeGBsplit_05","-0.00554198181495691","0","0.0480279783147485","0.00677516163154683","-0.00980220404465321","0.0560796693287758","-0.0379027793134938","-0.00589713471176654","0.00321051445110178","0.0552506717896823","-0.0198236188344666","0.91301563953949","1","0.343537933147569","0.893764152166804","0.846794415349069","0.268629536440655","0.454853548531311","0.907465535825017","0.949542964952347","0.275780932654443","0.695967186625361"
"MEHuAgeGBsplit_01","-0.0218215533963928","0.0304781738124809","-0.0223907771666173","-0.000725910174808589","0.0305735411868945","0.0542589008440752","-0.0453479681072158","-0.0660028049439512","-0.00500840254371878","0.134838627556581","-0.0588197157387642","0.667077057235635","0.547921941954488","0.65893301565465","0.988584265068776","0.546669689326303","0.28450507279406","0.371168220656513","0.192792341428518","0.921361943043331","0.00758674600815267","0.245899954355503"
"MEHuAgeGBsplit_32","-0.00554198181495691","0.0686936323676445","0.0604885174202647","-0.0549876957417506","0.0924207809924446","0.160227626653645","0.0123522450441297","-0.122391526158408","-0.0590092556112507","0.114843856053464","0.010201205312627","0.91301563953949","0.175232362455149","0.232733681298113","0.278076297045289","0.0679164869586494","0.00147930251670729","0.807635805507347","0.0154567049210104","0.24437889150583","0.0231385730948045","0.840639783603372"
"MEHuAgeGBsplit_19","-0.0268192334259522","0.00497877453007414","0.0253984935024316","0.028310496817535","-0.0385086587468519","-0.0841195039931636","-0.0121830362079087","-0.0248183511429528","0.0189420352615005","0.0843796033839525","-0.047895020687653","0.597004391476402","0.921825649071323","0.616585412522896","0.576760106326534","0.4476712105647","0.0967184555807338","0.810220508555725","0.624660975190483","0.708859084010109","0.0956876836292451","0.344877048201152"
"MEHuAgeGBsplit_28","-0.0967372718592926","0.0520752903550998","0.201039579208157","0.0714416597040787","-0.187408805901346","-0.0305889105429686","-0.0497473978489607","-0.0592822141055871","0.0660081771146526","-0.0771658484892435","0.0862399768273147","0.0559768284220779","0.304362808612144","6.24065086238567e-05","0.158555438355433","0.000193789180155137","0.546468009134855","0.326519126802805","0.242199973085263","0.192756044988142","0.12769801460506","0.0885681709541456"
"MEHuAgeGBsplit_36","-0.0876820694294969","0.0346495794998403","0.144991023997904","0.0760390908111997","-0.0361748006409821","-0.155129474896484","-0.114385173285365","0.0195939582978127","0.066650280004873","0.129968834452771","-0.0815372935271675","0.0833472916284876","0.494504079484331","0.00406556622693819","0.13337224829076","0.475688788496413","0.00209580278748361","0.0236969168788247","0.699317402889194","0.188453704152713","0.0100920341826573","0.107438241756353"
"MEHuAgeGBsplit_04","0.00435441428318043","0.0043059671611452","0.0175688827234865","-0.00919486221424213","0.102923142468859","-0.0484324416930336","-0.0263965784504689","0.0224270048301805","-0.00590734659002728","0.101394776095648","-0.00882657480950705","0.931603382868872","0.93236253354644","0.729104764301534","0.856180494360468","0.0419453263557607","0.339484653547919","0.602800064922045","0.658416044753667","0.907306016312011","0.0451022753415335","0.861882114561705"
"MEHuAgeGBsplit_11","-0.0275614631333125","0.0123796555882925","-0.0333713288687964","0.0225637079336337","-0.135363770140449","0.0189359922408853","0.026227369614248","-0.0228910963089189","0.0239504378052193","-0.081964545312577","0.074519443063871","0.586888147816131","0.807217299289002","0.510572893101198","0.656466749610789","0.0073529153800144","0.708947746897554","0.605127398878896","0.651807889379856","0.636826350159232","0.105602522853891","0.141330439560163"
"MEHuAgeGBsplit_33","-0.0553703361690785","0.0279887865474438","-0.048791842780987","0.0425262377408699","-0.000933543242347925","-0.0218492218164061","-0.10812444634519","-0.0562741542786627","0.0446903611593368","0.10116416634736","-0.0486185104261372","0.274740726596746","0.581100043767326","0.335908705331437","0.401699946047488","0.985319333245497","0.666680282940281","0.0325616293713938","0.266970339700206","0.378152326543105","0.0455955188185875","0.337630291947185"
"MEHuAgeGBsplit_26","0.113957001070052","-0.184820184244779","-0.108325529618454","0.0268586764679178","-0.0520450357608968","0.102327188840169","-0.0849428357829192","-0.0501882502073054","0.0315914621988415","-0.0414171079807902","0.108523460772628","0.0242285908198885","0.000238234689418894","0.0322380959548645","0.596464817821413","0.30464423088949","0.0431534230527411","0.0934856262713573","0.322245005445965","0.533392167478183","0.414100617983732","0.0319223179321939"
