"","GeneL","modulesA1L"
"117","AL355480.3","HuAgeGBsplit_01"
"118","PSPHP1","HuAgeGBsplit_07"
"119","DLX5","HuAgeGBsplit_24"
"120","AL355974.1","HuAgeGBsplit_16"
"121","MIR4482","HuAgeGBsplit_15"
"122","RNU6-1011P","HuAgeGBsplit_02"
"123","AEBP1","HuAgeGBsplit_01"
"124","RNU6-415P","HuAgeGBsplit_01"
"125","AC006058.4","HuAgeGBsplit_02"
"126","RNU6-722P","HuAgeGBsplit_01"
"127","MIR563","HuAgeGBsplit_02"
"128","BX284632.1","HuAgeGBsplit_02"
"129","C1QL4","HuAgeGBsplit_01"
"130","TRBJ2-6","HuAgeGBsplit_24"
"131","AC006058.1","HuAgeGBsplit_02"
"132","DLX2","HuAgeGBsplit_24"
"133","AMH","HuAgeGBsplit_02"
"134","RNU6-945P","HuAgeGBsplit_01"
"135","HLA-H","HuAgeGBsplit_02"
"136","SLPI","HuAgeGBsplit_06"
"137","AC009902.3","HuAgeGBsplit_15"
"138","SST","HuAgeGBsplit_02"
"139","VN1R85P","HuAgeGBsplit_02"
"140","AL023803.1","HuAgeGBsplit_19"
"141","RNU4-39P","HuAgeGBsplit_02"
"142","AC011904.1","HuAgeGBsplit_02"
"143","XIST","HuAgeGBsplit_02"
"144","TNF","HuAgeGBsplit_08"
"145","SAA1","HuAgeGBsplit_02"
"146","AC139453.1","HuAgeGBsplit_18"
"147","MIR3671","HuAgeGBsplit_01"
"148","ECEL1","HuAgeGBsplit_11"
"149","CD24","HuAgeGBsplit_02"
"150","RNU6-703P","HuAgeGBsplit_02"
"151","RNU6-30P","HuAgeGBsplit_01"
"152","DKK1","HuAgeGBsplit_10"
"153","APLNR","HuAgeGBsplit_01"
"154","EMILIN3","HuAgeGBsplit_02"
"155","SOX1-OT","HuAgeGBsplit_16"
"156","EN1","HuAgeGBsplit_02"
"157","SNORD3B-2","HuAgeGBsplit_02"
"158","RNU6-45P","HuAgeGBsplit_02"
"159","NAP1L6","HuAgeGBsplit_02"
"160","RNU6-925P","HuAgeGBsplit_02"
"161","FP671120.4","HuAgeGBsplit_01"
"162","MLLT10P1","HuAgeGBsplit_02"
"163","RNVU1-19","HuAgeGBsplit_22"
"164","C6orf15","HuAgeGBsplit_01"
"165","PEG10","HuAgeGBsplit_07"
"166","NKX2-5","HuAgeGBsplit_02"
"167","AC007952.4","HuAgeGBsplit_02"
"168","TRBJ1-4","HuAgeGBsplit_29"
"169","SLITRK3","HuAgeGBsplit_01"
"170","TAF9P3","HuAgeGBsplit_01"
"171","RNU6-1091P","HuAgeGBsplit_02"
"172","TRBJ1-5","HuAgeGBsplit_13"
"173","MT1G","HuAgeGBsplit_02"
"174","AC104072.1","HuAgeGBsplit_02"
"175","AL159169.1","HuAgeGBsplit_02"
"176","AC109583.2","HuAgeGBsplit_02"
"177","F8A3","HuAgeGBsplit_01"
"178","MIR138-1","HuAgeGBsplit_02"
"179","HLA-DQA2","HuAgeGBsplit_02"
"180","RNU6-510P","HuAgeGBsplit_02"
"181","HOXD10","HuAgeGBsplit_02"
"182","PI3","HuAgeGBsplit_29"
"183","MIR4521","HuAgeGBsplit_01"
"184","RNA5SP490","HuAgeGBsplit_01"
"185","SP8","HuAgeGBsplit_24"
"186","LSP1P2","HuAgeGBsplit_18"
"187","C1QL2","HuAgeGBsplit_01"
"188","SMIM32","HuAgeGBsplit_06"
"189","MIR4477B","HuAgeGBsplit_06"
"190","SOX1","HuAgeGBsplit_16"
"191","RNU6-994P","HuAgeGBsplit_01"
"192","TRBJ2-4","HuAgeGBsplit_01"
"193","IL13RA2","HuAgeGBsplit_01"
"194","RNU6-483P","HuAgeGBsplit_02"
"195","S100A9","HuAgeGBsplit_01"
"196","HLA-DRB6","HuAgeGBsplit_02"
"197","AF228730.4","HuAgeGBsplit_11"
"198","AC004947.2","HuAgeGBsplit_07"
"199","AC073261.1","HuAgeGBsplit_12"
"200","RNY4P37","HuAgeGBsplit_01"
"201","ADRA2A","HuAgeGBsplit_01"
"202","VTRNA1-2","HuAgeGBsplit_36"
"203","LINC00404","HuAgeGBsplit_16"
"204","AL139231.1","HuAgeGBsplit_01"
"205","IGLC3","HuAgeGBsplit_01"
"206","AL031430.1","HuAgeGBsplit_18"
"207","TRGJP1","HuAgeGBsplit_01"
"208","TBX5-AS1","HuAgeGBsplit_24"
"209","AC233266.1","HuAgeGBsplit_02"
"210","MIR219A1","HuAgeGBsplit_02"
"211","HOXB2","HuAgeGBsplit_14"
"212","RPL39P40","HuAgeGBsplit_17"
"213","TRBJ1-6","HuAgeGBsplit_13"
"214","PCDH8","HuAgeGBsplit_02"
"215","HIST1H4J","HuAgeGBsplit_01"
"216","MIR3193","HuAgeGBsplit_02"
"217","CH25H","HuAgeGBsplit_08"
"218","MIR3685","HuAgeGBsplit_01"
"219","DES","HuAgeGBsplit_01"
"220","AC015813.4","HuAgeGBsplit_01"
"221","IGHJ3","HuAgeGBsplit_02"
"222","EGFR","HuAgeGBsplit_07"
"223","AL136380.1","HuAgeGBsplit_02"
"224","STK19B","HuAgeGBsplit_02"
"225","ENTPD2","HuAgeGBsplit_06"
"226","AL021937.2","HuAgeGBsplit_02"
"227","AC007423.1","HuAgeGBsplit_02"
"228","DDX3Y","HuAgeGBsplit_23"
"229","GPNMB","HuAgeGBsplit_01"
"230","TRBV26OR9-2","HuAgeGBsplit_01"
"231","IRX1","HuAgeGBsplit_01"
"232","AC107398.3","HuAgeGBsplit_02"
"233","RNU6ATAC","HuAgeGBsplit_01"
"234","AC004890.1","HuAgeGBsplit_02"
"235","AL445423.1","HuAgeGBsplit_02"
"236","EGR1","HuAgeGBsplit_08"
"237","TMEM229A","HuAgeGBsplit_02"
"238","IRX2","HuAgeGBsplit_01"
"239","AL135786.1","HuAgeGBsplit_02"
"240","AC010424.1","HuAgeGBsplit_06"
"241","NPAS4","HuAgeGBsplit_04"
"242","PENK","HuAgeGBsplit_35"
"243","GPD1","HuAgeGBsplit_01"
"244","MIR5091","HuAgeGBsplit_22"
"245","AL589987.1","HuAgeGBsplit_02"
"246","DLL3","HuAgeGBsplit_27"
"247","AC004556.1","HuAgeGBsplit_14"
"248","NPTX1","HuAgeGBsplit_02"
"249","SLC10A4","HuAgeGBsplit_01"
"250","CYP3A52P","HuAgeGBsplit_01"
"251","PCDHB15","HuAgeGBsplit_10"
"252","RPS29P5","HuAgeGBsplit_02"
"253","AL645939.1","HuAgeGBsplit_02"
"254","AC079949.2","HuAgeGBsplit_01"
"255","MIR4278","HuAgeGBsplit_02"
"256","GBX2","HuAgeGBsplit_01"
"257","AF250324.1","HuAgeGBsplit_36"
"258","AC017048.3","HuAgeGBsplit_01"
"259","CXCL8","HuAgeGBsplit_01"
"260","EIF3FP3","HuAgeGBsplit_01"
"261","MCHR1","HuAgeGBsplit_02"
"262","MIR132","HuAgeGBsplit_01"
"263","AC015726.2","HuAgeGBsplit_01"
"264","METTL7B","HuAgeGBsplit_02"
"265","AC006157.1","HuAgeGBsplit_23"
"266","AL591926.8","HuAgeGBsplit_06"
"267","HMGN2P15","HuAgeGBsplit_01"
"268","MIR4514","HuAgeGBsplit_15"
"269","GSC","HuAgeGBsplit_12"
"270","FOS","HuAgeGBsplit_08"
"271","AC093787.1","HuAgeGBsplit_35"
"272","GPR27","HuAgeGBsplit_02"
"273","CRLF1","HuAgeGBsplit_11"
"274","RNA5SP515","HuAgeGBsplit_02"
"275","RASSF10","HuAgeGBsplit_18"
"276","NPY","HuAgeGBsplit_02"
"277","AL008707.1","HuAgeGBsplit_01"
"278","AC005363.2","HuAgeGBsplit_02"
"279","AL627309.7","HuAgeGBsplit_01"
"280","LRRC10B","HuAgeGBsplit_01"
"281","MT1XP1","HuAgeGBsplit_02"
"282","PITX1","HuAgeGBsplit_02"
"283","FOXG1","HuAgeGBsplit_01"
"284","PDGFRA","HuAgeGBsplit_01"
"285","CXCL1","HuAgeGBsplit_02"
"286","IGHJ5","HuAgeGBsplit_01"
"287","IRX3","HuAgeGBsplit_01"
"288","AC007318.2","HuAgeGBsplit_01"
"289","RNU5E-1","HuAgeGBsplit_19"
"290","AC091932.1","HuAgeGBsplit_02"
"291","AC024257.2","HuAgeGBsplit_02"
"292","HLA-Z","HuAgeGBsplit_01"
"293","RN7SL585P","HuAgeGBsplit_17"
"294","RPL37P2","HuAgeGBsplit_01"
"295","AC148477.7","HuAgeGBsplit_02"
"296","LPL","HuAgeGBsplit_02"
"297","AL021997.1","HuAgeGBsplit_02"
"298","GPR88","HuAgeGBsplit_02"
"299","MIR320A","HuAgeGBsplit_06"
"300","ZSCAN12P1","HuAgeGBsplit_06"
"301","MIR892A","HuAgeGBsplit_01"
"302","FOXD3-AS1","HuAgeGBsplit_27"
"303","CXCL5","HuAgeGBsplit_02"
"304","LINC01597","HuAgeGBsplit_02"
"305","NDUFA3P4","HuAgeGBsplit_02"
"306","RN7SL471P","HuAgeGBsplit_38"
"307","VN1R84P","HuAgeGBsplit_02"
"308","PRLHR","HuAgeGBsplit_18"
"309","AC004383.1","HuAgeGBsplit_02"
"310","AL592494.3","HuAgeGBsplit_01"
"311","EGR4","HuAgeGBsplit_04"
"312","NEFM","HuAgeGBsplit_01"
"313","TAC1","HuAgeGBsplit_01"
"314","MIR4502","HuAgeGBsplit_01"
"315","RNVU1-6","HuAgeGBsplit_02"
"316","AC092954.1","HuAgeGBsplit_09"
"317","AL158151.4","HuAgeGBsplit_06"
"318","RNVU1-15","HuAgeGBsplit_01"
"319","HMGB1P1","HuAgeGBsplit_01"
"320","CR392039.2","HuAgeGBsplit_02"
"321","AC061999.1","HuAgeGBsplit_18"
"322","ADM","HuAgeGBsplit_12"
"323","MIR4682","HuAgeGBsplit_02"
"324","LINC00839","HuAgeGBsplit_01"
"325","AC087741.2","HuAgeGBsplit_01"
"326","AC092807.2","HuAgeGBsplit_02"
"327","MIR3197","HuAgeGBsplit_22"
"328","AC011458.2","HuAgeGBsplit_01"
"329","AC080013.6","HuAgeGBsplit_01"
"330","TMEM158","HuAgeGBsplit_02"
"331","HSPA1B","HuAgeGBsplit_36"
"332","PPBP","HuAgeGBsplit_01"
"333","RF02272","HuAgeGBsplit_16"
"334","HSPB3","HuAgeGBsplit_02"
"335","AC009902.2","HuAgeGBsplit_15"
"336","FABP5","HuAgeGBsplit_15"
"337","TRBJ2-2","HuAgeGBsplit_02"
"338","AL117328.1","HuAgeGBsplit_30"
"339","HIST1H4C","HuAgeGBsplit_01"
"340","RNU6-1004P","HuAgeGBsplit_09"
"341","AC022432.1","HuAgeGBsplit_02"
"342","KCNF1","HuAgeGBsplit_18"
"343","DLX6-AS1","HuAgeGBsplit_24"
"344","AC012213.4","HuAgeGBsplit_05"
"345","AL353626.2","HuAgeGBsplit_02"
"346","FCGBP","HuAgeGBsplit_02"
"347","NEU4","HuAgeGBsplit_02"
"348","MFAP4","HuAgeGBsplit_02"
"349","AC127455.1","HuAgeGBsplit_22"
"350","NMB","HuAgeGBsplit_06"
"351","IGHG1","HuAgeGBsplit_01"
"352","RNU6-29P","HuAgeGBsplit_18"
"353","SEC61G","HuAgeGBsplit_07"
"354","AL354822.1","HuAgeGBsplit_01"
"355","AP003068.4","HuAgeGBsplit_02"
"356","AC100793.4","HuAgeGBsplit_01"
"357","SNORC","HuAgeGBsplit_01"
"358","MT1F","HuAgeGBsplit_01"
"359","SYT4","HuAgeGBsplit_01"
"360","AC069234.5","HuAgeGBsplit_01"
"361","MSX2","HuAgeGBsplit_06"
"362","AL133465.1","HuAgeGBsplit_01"
"363","LRRC55","HuAgeGBsplit_02"
"364","MT1E","HuAgeGBsplit_02"
"365","DDX11L2","HuAgeGBsplit_07"
"366","AC009237.8","HuAgeGBsplit_01"
"367","AC114501.1","HuAgeGBsplit_01"
"368","AJ011932.1","HuAgeGBsplit_02"
"369","IGHJ3P","HuAgeGBsplit_14"
"370","IGHJ2P","HuAgeGBsplit_01"
"371","CARTPT","HuAgeGBsplit_16"
"372","AC009963.2","HuAgeGBsplit_27"
"373","TRBJ2-5","HuAgeGBsplit_24"
"374","AC098479.1","HuAgeGBsplit_02"
"375","SSTR1","HuAgeGBsplit_24"
"376","AC008759.3","HuAgeGBsplit_01"
"377","RPS15AP36","HuAgeGBsplit_02"
"378","FAM180A","HuAgeGBsplit_12"
"379","RN7SL605P","HuAgeGBsplit_01"
"380","RNU6-529P","HuAgeGBsplit_01"
"381","LINC01116","HuAgeGBsplit_01"
"382","NRGN","HuAgeGBsplit_02"
"383","IGLV7-46","HuAgeGBsplit_01"
"384","AC078909.2","HuAgeGBsplit_02"
"385","HSPA7","HuAgeGBsplit_01"
"386","AC012360.2","HuAgeGBsplit_02"
"387","AL591926.5","HuAgeGBsplit_01"
"388","AC006960.3","HuAgeGBsplit_06"
"389","CCL2","HuAgeGBsplit_10"
"390","AL390728.3","HuAgeGBsplit_15"
"391","AC117490.1","HuAgeGBsplit_01"
"392","NHLH1","HuAgeGBsplit_14"
"393","AC004540.2","HuAgeGBsplit_07"
"394","DLK1","HuAgeGBsplit_11"
"395","METTL1","HuAgeGBsplit_01"
"396","CYR61","HuAgeGBsplit_08"
"397","RNU2-17P","HuAgeGBsplit_02"
"398","CABP7","HuAgeGBsplit_02"
"399","MT1H","HuAgeGBsplit_02"
"400","MIR4458HG","HuAgeGBsplit_01"
"401","RNU12-2P","HuAgeGBsplit_02"
"402","MIR645","HuAgeGBsplit_02"
"403","SP9","HuAgeGBsplit_24"
"404","HOXA11","HuAgeGBsplit_02"
"405","HOXA13","HuAgeGBsplit_02"
"406","SERPINE1","HuAgeGBsplit_01"
"407","DMRTA2","HuAgeGBsplit_12"
"408","HLA-U","HuAgeGBsplit_02"
"409","AC098818.1","HuAgeGBsplit_14"
"410","AC079922.1","HuAgeGBsplit_01"
"411","NDN","HuAgeGBsplit_01"
"412","LINC02009","HuAgeGBsplit_01"
"413","PPP1R1B","HuAgeGBsplit_01"
"414","AC119751.4","HuAgeGBsplit_36"
"415","VEGFA","HuAgeGBsplit_10"
"416","IBSP","HuAgeGBsplit_01"
"417","HOXD11","HuAgeGBsplit_02"
"418","HMGA1P7","HuAgeGBsplit_02"
"419","AC141002.1","HuAgeGBsplit_03"
"420","AC015922.3","HuAgeGBsplit_02"
"421","MTRNR2L12","HuAgeGBsplit_02"
"422","AC135048.3","HuAgeGBsplit_02"
"423","IGHD1-14","HuAgeGBsplit_02"
"424","RNU6ATAC32P","HuAgeGBsplit_06"
"425","MIR4462","HuAgeGBsplit_01"
"426","SLC7A3","HuAgeGBsplit_01"
"427","AL645608.8","HuAgeGBsplit_13"
"428","AC073648.6","HuAgeGBsplit_11"
"429","FMOD","HuAgeGBsplit_02"
"430","AC145207.9","HuAgeGBsplit_02"
"431","STMN2","HuAgeGBsplit_01"
"432","AL353807.4","HuAgeGBsplit_02"
"433","SCG2","HuAgeGBsplit_01"
"434","LINC01268","HuAgeGBsplit_02"
"435","AC009220.1","HuAgeGBsplit_02"
"436","CXCL2","HuAgeGBsplit_02"
"437","CPXM1","HuAgeGBsplit_08"
"438","HOTAIRM1","HuAgeGBsplit_02"
"439","AC093673.2","HuAgeGBsplit_07"
"440","RPL7P38","HuAgeGBsplit_02"
"441","HLA-DRB1","HuAgeGBsplit_04"
"442","AP001324.1","HuAgeGBsplit_01"
"443","FGFBP2","HuAgeGBsplit_02"
"444","MEIS3P1","HuAgeGBsplit_02"
"445","PTGER4P2","HuAgeGBsplit_06"
"446","SFN","HuAgeGBsplit_01"
"447","AL450345.1","HuAgeGBsplit_02"
"448","GPR37L1","HuAgeGBsplit_02"
"449","AL365205.3","HuAgeGBsplit_01"
"450","RGS4","HuAgeGBsplit_02"
"451","ISCA1P4","HuAgeGBsplit_01"
"452","LY6H","HuAgeGBsplit_02"
"453","NCAN","HuAgeGBsplit_06"
"454","SCN4B","HuAgeGBsplit_08"
"455","BCRP9","HuAgeGBsplit_01"
"456","HOXB13","HuAgeGBsplit_11"
"457","RETN","HuAgeGBsplit_02"
"458","RNU5D-1","HuAgeGBsplit_22"
"459","HAMP","HuAgeGBsplit_01"
"460","MIR548A3","HuAgeGBsplit_01"
"461","EGR3","HuAgeGBsplit_08"
"462","RPL39P38","HuAgeGBsplit_02"
"463","CDK4","HuAgeGBsplit_01"
"464","HRCT1","HuAgeGBsplit_01"
"465","CPNE6","HuAgeGBsplit_05"
"466","LINC02470","HuAgeGBsplit_01"
"467","RNU6-1085P","HuAgeGBsplit_02"
"468","IFI6","HuAgeGBsplit_13"
"469","PRAME","HuAgeGBsplit_16"
"470","AL627230.4","HuAgeGBsplit_06"
"471","AL354718.1","HuAgeGBsplit_06"
"472","AC084121.3","HuAgeGBsplit_01"
"473","OSR1","HuAgeGBsplit_02"
"474","MARCH9","HuAgeGBsplit_01"
"475","FAM201B","HuAgeGBsplit_02"
"476","TTC3P1","HuAgeGBsplit_30"
"477","FST","HuAgeGBsplit_02"
"478","AC137630.3","HuAgeGBsplit_02"
"479","C2CD4B","HuAgeGBsplit_02"
"480","AC011043.1","HuAgeGBsplit_02"
"481","FGFR3","HuAgeGBsplit_01"
"482","OR2I1P","HuAgeGBsplit_02"
"483","HSPA1A","HuAgeGBsplit_36"
"484","EFEMP1","HuAgeGBsplit_18"
"485","AC092645.1","HuAgeGBsplit_02"
"486","AC009237.15","HuAgeGBsplit_02"
"487","RARRES2","HuAgeGBsplit_02"
"488","DUSP5P1","HuAgeGBsplit_02"
"489","FOXD3","HuAgeGBsplit_27"
"490","RNA5SP242","HuAgeGBsplit_02"
"491","MIR892B","HuAgeGBsplit_01"
"492","TSPAN31","HuAgeGBsplit_01"
"493","L1CAM","HuAgeGBsplit_01"
"494","RN7SL477P","HuAgeGBsplit_19"
"495","IGHM","HuAgeGBsplit_01"
"496","AC117402.1","HuAgeGBsplit_01"
"497","AL021997.2","HuAgeGBsplit_02"
"498","IL1B","HuAgeGBsplit_08"
"499","GNG8","HuAgeGBsplit_24"
"500","AC114877.1","HuAgeGBsplit_02"
"501","KCNA5","HuAgeGBsplit_01"
"502","LYZ","HuAgeGBsplit_01"
"503","RGR","HuAgeGBsplit_15"
"504","CPSF1P1","HuAgeGBsplit_02"
"505","AL157904.1","HuAgeGBsplit_02"
"506","TGFB2-AS1","HuAgeGBsplit_02"
"507","SUB1P1","HuAgeGBsplit_01"
"508","DIO3","HuAgeGBsplit_01"
"509","AL022313.4","HuAgeGBsplit_02"
"510","SLITRK1","HuAgeGBsplit_02"
"511","TCEAL5","HuAgeGBsplit_02"
"512","ENPP7P11","HuAgeGBsplit_24"
"513","ASIC4","HuAgeGBsplit_02"
"514","NKX6-2","HuAgeGBsplit_01"
"515","ID1","HuAgeGBsplit_06"
"516","PPIAP39","HuAgeGBsplit_01"
"517","PGF","HuAgeGBsplit_06"
"518","RNU6-242P","HuAgeGBsplit_01"
"519","SHOX2","HuAgeGBsplit_02"
"520","MIR3178","HuAgeGBsplit_02"
"521","IGLV1-47","HuAgeGBsplit_01"
"522","IGHG2","HuAgeGBsplit_01"
"523","HOXA7","HuAgeGBsplit_02"
"524","AL512598.1","HuAgeGBsplit_02"
"525","AC010980.2","HuAgeGBsplit_09"
"526","HIST1H2BO","HuAgeGBsplit_06"
"527","AL121890.5","HuAgeGBsplit_02"
"528","AC004836.1","HuAgeGBsplit_20"
"529","OTX1","HuAgeGBsplit_01"
"530","AC002519.2","HuAgeGBsplit_02"
"531","PABPC1P4","HuAgeGBsplit_28"
"532","MIR345","HuAgeGBsplit_02"
"533","CTGF","HuAgeGBsplit_08"
"534","ATP1A2","HuAgeGBsplit_01"
"535","AL592183.1","HuAgeGBsplit_02"
"536","PCSK1N","HuAgeGBsplit_02"
"537","COL9A3","HuAgeGBsplit_01"
"538","AC136628.3","HuAgeGBsplit_02"
"539","EMX2","HuAgeGBsplit_02"
"540","TUSC1","HuAgeGBsplit_13"
"541","MT1M","HuAgeGBsplit_02"
"542","PTGES3P1","HuAgeGBsplit_13"
"543","C1QL1","HuAgeGBsplit_02"
"544","GATM","HuAgeGBsplit_12"
"545","AC067747.1","HuAgeGBsplit_01"
"546","LHFPL3-AS2","HuAgeGBsplit_02"
"547","HLA-DPA1","HuAgeGBsplit_30"
"548","HAP1","HuAgeGBsplit_11"
"549","INA","HuAgeGBsplit_02"
"550","AC021683.1","HuAgeGBsplit_02"
"551","VTRNA1-1","HuAgeGBsplit_01"
"552","CCDC8","HuAgeGBsplit_01"
"553","ACHE","HuAgeGBsplit_02"
"554","IGHD2OR15-2A","HuAgeGBsplit_03"
"555","MIR1299","HuAgeGBsplit_06"
"556","LINC01896","HuAgeGBsplit_01"
"557","KRT5","HuAgeGBsplit_14"
"558","AC245014.3","HuAgeGBsplit_22"
"559","TMSB4Y","HuAgeGBsplit_23"
"560","MTRNR2L8","HuAgeGBsplit_02"
"561","GADD45G","HuAgeGBsplit_02"
"562","AL512329.2","HuAgeGBsplit_01"
"563","AC005618.1","HuAgeGBsplit_10"
"564","BTBD17","HuAgeGBsplit_08"
"565","MCFD2P1","HuAgeGBsplit_01"
"566","AP001542.1","HuAgeGBsplit_35"
"567","VTRNA1-3","HuAgeGBsplit_01"
"568","TCIM","HuAgeGBsplit_11"
"569","STC2","HuAgeGBsplit_06"
"570","SOCS2","HuAgeGBsplit_33"
"571","VN1R42P","HuAgeGBsplit_07"
"572","HIST1H4A","HuAgeGBsplit_01"
"573","ENPP5","HuAgeGBsplit_01"
"574","SLC4A11","HuAgeGBsplit_01"
"575","RN7SL262P","HuAgeGBsplit_01"
"576","CHGA","HuAgeGBsplit_02"
"577","HIST1H3B","HuAgeGBsplit_01"
"578","TLX1","HuAgeGBsplit_01"
"579","AC090772.4","HuAgeGBsplit_02"
"580","AC093909.1","HuAgeGBsplit_01"
"581","TCEAL6","HuAgeGBsplit_12"
"582","TPSAB1","HuAgeGBsplit_25"
"583","OLIG1","HuAgeGBsplit_02"
"584","Z99497.1","HuAgeGBsplit_02"
"585","SOCS3","HuAgeGBsplit_02"
"586","AC015912.3","HuAgeGBsplit_02"
"587","LINC02475","HuAgeGBsplit_01"
"588","AC012486.1","HuAgeGBsplit_01"
"589","NAPRT","HuAgeGBsplit_02"
"590","AC099513.1","HuAgeGBsplit_01"
"591","AC027281.1","HuAgeGBsplit_08"
"592","COL1A1","HuAgeGBsplit_02"
