"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex"
"11","blue","PGBObyQGBO__","User",9.79247670516636e-14,-0.0114798194738393,-0.0224044853853336,-0.0534705126366981,0.0341782707305711,-0.0303401553763076,-0.10560457211263,-0.0245352812520384,0.0585673003607543,0.0340314531816789,0.820984101542672,0.658737379453066,0.291571492709438,0.500397346226726,0.549736735773882,0.0368565470211368,0.628617738761635,0.24793584297399,0.502240709799398
"12","cyan","PSVZbyQSVZ__","User",0.0164557381256001,-0.0505211020809912,0.056381257516245,0.0836431590531206,0.011070130165831,0.0266059824069159,-0.00946799612044266,-0.0458555946158787,0.0445775830396411,0.0115578520239664,0.319042166811607,0.266059621015235,0.0986291287235004,0.827270552136024,0.599925449805938,0.851956794356886,0.365831886458323,0.37935813362763,0.819788020580251
"13","cyan","QNPbyTAP__","User",5.61142129117159e-35,-0.0505211020809912,0.056381257516245,0.0836431590531206,0.011070130165831,0.0266059824069159,-0.00946799612044266,-0.0458555946158787,0.0445775830396411,0.0115578520239664,0.319042166811607,0.266059621015235,0.0986291287235004,0.827270552136024,0.599925449805938,0.851956794356886,0.365831886458323,0.37935813362763,0.819788020580251
"14","cyan","PGBCbyQGBC__","User",0.00148927023114982,-0.0505211020809912,0.056381257516245,0.0836431590531206,0.011070130165831,0.0266059824069159,-0.00946799612044266,-0.0458555946158787,0.0445775830396411,0.0115578520239664,0.319042166811607,0.266059621015235,0.0986291287235004,0.827270552136024,0.599925449805938,0.851956794356886,0.365831886458323,0.37935813362763,0.819788020580251
"15","cyan","NPCbyNSC__","User",0.0214243689258149,-0.0505211020809912,0.056381257516245,0.0836431590531206,0.011070130165831,0.0266059824069159,-0.00946799612044266,-0.0458555946158787,0.0445775830396411,0.0115578520239664,0.319042166811607,0.266059621015235,0.0986291287235004,0.827270552136024,0.599925449805938,0.851956794356886,0.365831886458323,0.37935813362763,0.819788020580251
"16","darkgreen","PGBObyQGBO__","User",0.000607865553177495,0.0190010805084237,-0.0773055666899349,-0.00534705126366981,0.0462767736440476,0.0291732263233727,-0.1416557881097,-0.0847736269466983,-0.0972938365269545,0.0551566382699286,0.707992982094581,0.127007642416459,0.916063705110426,0.361440713109793,0.565197480116777,0.00501205366180931,0.0941428807145676,0.0545725173550154,0.276600212995716
"17","greenyellow","NSCbyNPC__","User",0.00145737074469949,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232
"18","greenyellow","PGBCbyQGBC__","User",0.00511257587469643,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232
"19","greenyellow","QNPbyTAP__","User",1.63558979723304e-99,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232
"20","greenyellow","PSVZbyQSVZ__","User",7.71896893195167e-07,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232
"21","greenyellow","NPCbyNSC__","User",0.0106574188648694,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232
"22","greenyellow","QGBCbyPGBC__","User",0.00124352836251133,-0.0275614631333125,0.0123796555882925,-0.0333713288687964,0.0225637079336337,-0.135363770140449,0.0189359922408853,0.026227369614248,-0.0228910963089189,0.0239504378052193,0.586888147816131,0.807217299289002,0.510572893101198,0.656466749610789,0.0073529153800144,0.708947746897554,0.605127398878896,0.651807889379856,0.636826350159232
"23","grey60","PSVZbyQSVZ__","User",1.6183372309641e-11,0.0502736921785377,-0.00363315979221626,-0.0349467993304134,-0.0581937990138219,0.191376364681325,-0.00145661478776041,0.0247044900882594,-0.0251178718874523,-0.0525882267090472,0.321420860435529,0.942911238360501,0.490806724091556,0.250969874896478,0.000140460850059896,0.977095488328412,0.626251243022646,0.620485967690957,0.299617749814859
"24","grey60","PGBCbyQGBC__","User",7.770260357135e-08,0.0502736921785377,-0.00363315979221626,-0.0349467993304134,-0.0581937990138219,0.191376364681325,-0.00145661478776041,0.0247044900882594,-0.0251178718874523,-0.0525882267090472,0.321420860435529,0.942911238360501,0.490806724091556,0.250969874896478,0.000140460850059896,0.977095488328412,0.626251243022646,0.620485967690957,0.299617749814859
"25","grey60","QSVZbyPSVZ__","User",0.00299463291243708,0.0502736921785377,-0.00363315979221626,-0.0349467993304134,-0.0581937990138219,0.191376364681325,-0.00145661478776041,0.0247044900882594,-0.0251178718874523,-0.0525882267090472,0.321420860435529,0.942911238360501,0.490806724091556,0.250969874896478,0.000140460850059896,0.977095488328412,0.626251243022646,0.620485967690957,0.299617749814859
