"","Gene","modulesA1"
"232","AC107398.3","blue"
"233","RNU6ATAC","turquoise"
"234","AC004890.1","blue"
"235","AL445423.1","blue"
"236","EGR1","pink"
"237","TMEM229A","blue"
"238","IRX2","turquoise"
"239","AL135786.1","blue"
"240","AC010424.1","red"
"241","NPAS4","yellow"
"242","PENK","sienna3"
"243","GPD1","turquoise"
"244","MIR5091","darkgreen"
"245","AL589987.1","blue"
"246","DLL3","white"
"247","AC004556.1","cyan"
"248","NPTX1","blue"
"249","SLC10A4","turquoise"
"250","CYP3A52P","turquoise"
"251","PCDHB15","purple"
"252","RPS29P5","blue"
"253","AL645939.1","blue"
"254","AC079949.2","turquoise"
"255","MIR4278","blue"
"256","GBX2","turquoise"
"257","AF250324.1","yellowgreen"
"258","AC017048.3","turquoise"
"259","CXCL8","turquoise"
"260","EIF3FP3","turquoise"
"261","MCHR1","blue"
"262","MIR132","turquoise"
"263","AC015726.2","turquoise"
"264","METTL7B","blue"
"265","AC006157.1","darkturquoise"
"266","AL591926.8","red"
"267","HMGN2P15","turquoise"
"268","MIR4514","midnightblue"
"269","GSC","tan"
"270","FOS","pink"
"271","AC093787.1","sienna3"
"272","GPR27","blue"
"273","CRLF1","greenyellow"
"274","RNA5SP515","blue"
"275","RASSF10","lightgreen"
"276","NPY","blue"
"277","AL008707.1","turquoise"
"278","AC005363.2","blue"
"279","AL627309.7","turquoise"
"280","LRRC10B","turquoise"
"281","MT1XP1","blue"
"282","PITX1","blue"
"283","FOXG1","turquoise"
"284","PDGFRA","turquoise"
"285","CXCL1","blue"
"286","IGHJ5","turquoise"
"287","IRX3","turquoise"
"288","AC007318.2","turquoise"
"289","RNU5E-1","lightyellow"
"290","AC091932.1","blue"
"291","AC024257.2","blue"
"292","HLA-Z","turquoise"
"293","RN7SL585P","grey60"
"294","RPL37P2","turquoise"
"295","AC148477.7","blue"
"296","LPL","blue"
"297","AL021997.1","blue"
"298","GPR88","blue"
"299","MIR320A","red"
"300","ZSCAN12P1","red"
"301","MIR892A","turquoise"
"302","FOXD3-AS1","white"
"303","CXCL5","blue"
"304","LINC01597","blue"
"305","NDUFA3P4","blue"
"306","RN7SL471P","plum1"
"307","VN1R84P","blue"
"308","PRLHR","lightgreen"
"309","AC004383.1","blue"
"310","AL592494.3","turquoise"
"311","EGR4","yellow"
"312","NEFM","turquoise"
"313","TAC1","turquoise"
"314","MIR4502","turquoise"
"315","RNVU1-6","blue"
"316","AC092954.1","magenta"
"317","AL158151.4","red"
"318","RNVU1-15","turquoise"
"319","HMGB1P1","turquoise"
"320","CR392039.2","blue"
"321","AC061999.1","lightgreen"
"322","ADM","tan"
"323","MIR4682","blue"
"324","LINC00839","turquoise"
"325","AC087741.2","turquoise"
"326","AC092807.2","blue"
"327","MIR3197","darkgreen"
"328","AC011458.2","turquoise"
"329","AC080013.6","turquoise"
"330","TMEM158","blue"
"331","HSPA1B","yellowgreen"
"332","PPBP","turquoise"
"333","RF02272","lightcyan"
"334","HSPB3","blue"
"335","AC009902.2","midnightblue"
"336","FABP5","midnightblue"
"337","TRBJ2-2","blue"
"338","AL117328.1","steelblue"
"339","HIST1H4C","turquoise"
"340","RNU6-1004P","magenta"
"341","AC022432.1","blue"
"342","KCNF1","lightgreen"
"343","DLX6-AS1","darkgrey"
"344","AC012213.4","green"
"345","AL353626.2","blue"
"346","FCGBP","blue"
"347","NEU4","blue"
"348","MFAP4","blue"
"349","AC127455.1","darkgreen"
"350","NMB","red"
"351","IGHG1","turquoise"
"352","RNU6-29P","lightgreen"
"353","SEC61G","black"
"354","AL354822.1","turquoise"
"355","AP003068.4","blue"
"356","AC100793.4","turquoise"
"357","SNORC","turquoise"
"358","MT1F","turquoise"
"359","SYT4","turquoise"
"360","AC069234.5","turquoise"
"361","MSX2","red"
"362","AL133465.1","turquoise"
"363","LRRC55","blue"
"364","MT1E","blue"
"365","DDX11L2","black"
"366","AC009237.8","turquoise"
"367","AC114501.1","turquoise"
"368","AJ011932.1","blue"
"369","IGHJ3P","cyan"
"370","IGHJ2P","turquoise"
"371","CARTPT","lightcyan"
"372","AC009963.2","white"
"373","TRBJ2-5","darkgrey"
"374","AC098479.1","blue"
"375","SSTR1","darkgrey"
"376","AC008759.3","turquoise"
"377","RPS15AP36","blue"
"378","FAM180A","tan"
"379","RN7SL605P","turquoise"
"380","RNU6-529P","turquoise"
"381","LINC01116","turquoise"
"382","NRGN","blue"
"383","IGLV7-46","turquoise"
"384","AC078909.2","blue"
"385","HSPA7","turquoise"
"386","AC012360.2","blue"
"387","AL591926.5","turquoise"
"388","AC006960.3","red"
"389","CCL2","purple"
"390","AL390728.3","midnightblue"
"391","AC117490.1","turquoise"
"392","NHLH1","cyan"
"393","AC004540.2","black"
"394","DLK1","greenyellow"
"395","METTL1","turquoise"
"396","CYR61","pink"
"397","RNU2-17P","blue"
"398","CABP7","blue"
"399","MT1H","blue"
"400","MIR4458HG","turquoise"
"401","RNU12-2P","blue"
"402","MIR645","blue"
"403","SP9","darkgrey"
"404","HOXA11","blue"
"405","HOXA13","blue"
"406","SERPINE1","turquoise"
"407","DMRTA2","tan"
"408","HLA-U","blue"
"409","AC098818.1","cyan"
"410","AC079922.1","turquoise"
"411","NDN","turquoise"
"412","LINC02009","turquoise"
"413","PPP1R1B","turquoise"
"414","AC119751.4","yellowgreen"
"415","VEGFA","purple"
"416","IBSP","turquoise"
"417","HOXD11","blue"
"418","HMGA1P7","blue"
"419","AC141002.1","brown"
"420","AC015922.3","blue"
"421","MTRNR2L12","blue"
"422","AC135048.3","blue"
"423","IGHD1-14","blue"
"424","RNU6ATAC32P","red"
"425","MIR4462","turquoise"
"426","SLC7A3","turquoise"
"427","AL645608.8","salmon"
"428","AC073648.6","greenyellow"
"429","FMOD","blue"
"430","AC145207.9","blue"
"431","STMN2","turquoise"
"432","AL353807.4","blue"
"433","SCG2","turquoise"
"434","LINC01268","blue"
"435","AC009220.1","blue"
"436","CXCL2","blue"
"437","CPXM1","pink"
"438","HOTAIRM1","blue"
"439","AC093673.2","black"
"440","RPL7P38","blue"
"441","HLA-DRB1","yellow"
"442","AP001324.1","turquoise"
"443","FGFBP2","blue"
"444","MEIS3P1","blue"
"445","PTGER4P2","red"
"446","SFN","turquoise"
"447","AL450345.1","blue"
"448","GPR37L1","blue"
"449","AL365205.3","turquoise"
"450","RGS4","blue"
"451","ISCA1P4","turquoise"
"452","LY6H","blue"
"453","NCAN","red"
"454","SCN4B","pink"
"455","BCRP9","turquoise"
"456","HOXB13","greenyellow"
"457","RETN","blue"
"458","RNU5D-1","darkgreen"
"459","HAMP","turquoise"
"460","MIR548A3","turquoise"
"461","EGR3","pink"
"462","RPL39P38","blue"
"463","CDK4","turquoise"
"464","HRCT1","turquoise"
"465","CPNE6","green"
"466","LINC02470","turquoise"
"467","RNU6-1085P","blue"
"468","IFI6","salmon"
"469","PRAME","lightcyan"
"470","AL627230.4","red"
"471","AL354718.1","red"
"472","AC084121.3","turquoise"
"473","OSR1","blue"
"474","MARCH9","turquoise"
"475","FAM201B","blue"
"476","TTC3P1","steelblue"
"477","FST","blue"
"478","AC137630.3","blue"
"479","C2CD4B","blue"
"480","AC011043.1","blue"
"481","FGFR3","turquoise"
"482","OR2I1P","blue"
"483","HSPA1A","yellowgreen"
"484","EFEMP1","lightgreen"
"485","AC092645.1","blue"
"486","AC009237.15","blue"
"487","RARRES2","blue"
"488","DUSP5P1","blue"
"489","FOXD3","white"
"490","RNA5SP242","blue"
"491","MIR892B","turquoise"
"492","TSPAN31","turquoise"
"493","L1CAM","turquoise"
"494","RN7SL477P","lightyellow"
"495","IGHM","turquoise"
"496","AC117402.1","turquoise"
"497","AL021997.2","blue"
"498","IL1B","pink"
"499","GNG8","darkgrey"
"500","AC114877.1","blue"
"501","KCNA5","turquoise"
"502","LYZ","turquoise"
"503","RGR","midnightblue"
"504","CPSF1P1","blue"
"505","AL157904.1","blue"
"506","TGFB2-AS1","blue"
"507","SUB1P1","turquoise"
"508","DIO3","turquoise"
"509","AL022313.4","blue"
"510","SLITRK1","blue"
"511","TCEAL5","blue"
"512","ENPP7P11","darkgrey"
"513","ASIC4","blue"
"514","NKX6-2","turquoise"
"515","ID1","red"
"516","PPIAP39","turquoise"
"517","PGF","red"
"518","RNU6-242P","turquoise"
"519","SHOX2","blue"
"520","MIR3178","blue"
"521","IGLV1-47","turquoise"
"522","IGHG2","turquoise"
"523","HOXA7","blue"
"524","AL512598.1","blue"
"525","AC010980.2","magenta"
"526","HIST1H2BO","red"
"527","AL121890.5","blue"
"528","AC004836.1","royalblue"
"529","OTX1","turquoise"
"530","AC002519.2","blue"
"531","PABPC1P4","skyblue"
"532","MIR345","blue"
"533","CTGF","pink"
"534","ATP1A2","turquoise"
"535","AL592183.1","blue"
"536","PCSK1N","blue"
"537","COL9A3","turquoise"
"538","AC136628.3","blue"
"539","EMX2","blue"
"540","TUSC1","salmon"
"541","MT1M","blue"
"542","PTGES3P1","salmon"
"543","C1QL1","blue"
"544","GATM","tan"
"545","AC067747.1","turquoise"
"546","LHFPL3-AS2","blue"
"547","HLA-DPA1","steelblue"
"548","HAP1","greenyellow"
"549","INA","blue"
"550","AC021683.1","blue"
"551","VTRNA1-1","turquoise"
"552","CCDC8","turquoise"
"553","ACHE","blue"
"554","IGHD2OR15-2A","brown"
"555","MIR1299","red"
"556","LINC01896","turquoise"
"557","KRT5","cyan"
"558","AC245014.3","darkgreen"
"559","TMSB4Y","darkturquoise"
"560","MTRNR2L8","blue"
"561","GADD45G","blue"
"562","AL512329.2","turquoise"
"563","AC005618.1","purple"
"564","BTBD17","pink"
"565","MCFD2P1","turquoise"
"566","AP001542.1","sienna3"
"567","VTRNA1-3","turquoise"
"568","TCIM","greenyellow"
"569","STC2","red"
"570","SOCS2","darkolivegreen"
"571","VN1R42P","black"
"572","HIST1H4A","turquoise"
"573","ENPP5","turquoise"
"574","SLC4A11","turquoise"
"575","RN7SL262P","turquoise"
"576","CHGA","blue"
"577","HIST1H3B","turquoise"
"578","TLX1","turquoise"
"579","AC090772.4","blue"
"580","AC093909.1","turquoise"
"581","TCEAL6","tan"
"582","TPSAB1","orange"
"583","OLIG1","blue"
"584","Z99497.1","blue"
"585","SOCS3","blue"
"586","AC015912.3","blue"
"587","LINC02475","turquoise"
"588","AC012486.1","turquoise"
"589","NAPRT","blue"
"590","AC099513.1","turquoise"
"591","AC027281.1","pink"
"592","COL1A1","blue"
"593","CHI3L2","blue"
"594","RTP5","blue"
"595","HIST2H2AA4","red"
"596","BARX1","black"
"597","AC072052.1","pink"
"598","AL161669.2","cyan"
"599","FAM110C","blue"
"600","IGLV2-11","turquoise"
"601","AC098587.1","lightyellow"
"602","EEF1A2","blue"
"603","EIF1AY","darkturquoise"
"604","AC079140.3","turquoise"
"605","CNR1","blue"
"606","CDK2AP2P2","red"
"607","DCAF12L2","darkgrey"
"608","PTGS2","pink"
"609","GJB6","blue"
"610","CENPVL3","midnightblue"
"611","IGHJ4","turquoise"
"612","RNU6-9","blue"
"613","AP005901.3","blue"
"614","PPP1R1A","turquoise"
"615","AC015922.4","blue"
"616","RASD1","blue"
"617","AC115522.1","blue"
"618","AL021918.1","tan"
"619","CUTALP","red"
"620","LGI4","white"
"621","AL118505.1","blue"
"622","RASL11B","lightyellow"
"623","AL353803.5","turquoise"
"624","AC005336.1","purple"
"625","C2orf27AP3","red"
"626","PI16","turquoise"
"627","AC008403.3","blue"
"628","IGHJ6","blue"
"629","AL672277.1","blue"
"630","ACY3","blue"
"631","AC018635.2","turquoise"
"632","RPL39P18","blue"
"633","AC079949.1","turquoise"
"634","RPL13AP25","turquoise"
"635","UQCRHP1","turquoise"
"636","AC097532.2","blue"
"637","MEG3","tan"
"638","HIST1H2AE","red"
"639","AL590399.4","red"
"640","AC024941.1","turquoise"
"641","AL133373.1","turquoise"
"642","TMSB15A","blue"
"643","CD209","blue"
"644","THNSL2","blue"
"645","CA14","midnightblue"
"646","APOD","blue"
"647","LEFTY2","blue"
"648","NXPH4","purple"
"649","GAS1","turquoise"
"650","AC092354.1","turquoise"
"651","ALOX15B","royalblue"
"652","RNU6-307P","blue"
"653","CCL8","blue"
"654","AC005753.1","purple"
"655","CA9","purple"
"656","AC016405.2","turquoise"
"657","AP003392.6","blue"
"658","ISCA1P1","red"
"659","RPL23AP97","turquoise"
"660","AL133371.2","blue"
"661","AC098614.4","blue"
"662","CSF3","saddlebrown"
"663","SEPT14P4","blue"
"664","AC093458.1","black"
"665","AL590326.1","blue"
"666","LHX5-AS1","darkgrey"
"667","CYP27B1","turquoise"
"668","ERMN","turquoise"
"669","CCL18","turquoise"
"670","RPS4Y1","darkturquoise"
"671","LINC00672","turquoise"
"672","IFI44L","salmon"
"673","NEUROD2","blue"
"674","IGFBP5","turquoise"
"675","ISG15","salmon"
"676","GALR1","turquoise"
"677","FZD7","blue"
"678","PLEKHG4","darkgrey"
"679","CRYAB","red"
"680","LINC01388","blue"
"681","RPL21P16","turquoise"
"682","AC126283.1","blue"
"683","AL596442.2","red"
"684","MIR298","blue"
"685","MOXD1","blue"
"686","AC239859.6","darkgrey"
"687","LINC01436","red"
"688","RNU6-3P","blue"
"689","NRN1","tan"
"690","MYBPH","blue"
"691","TPBG","turquoise"
"692","AC007969.1","turquoise"
"693","AC006960.1","red"
"694","AC087203.3","turquoise"
"695","SNX22","white"
"696","AC254633.1","turquoise"
"697","ASCL1","white"
"698","AC100812.1","blue"
"699","IRX5","turquoise"
"700","LINC01711","white"
"701","HIST2H2AC","turquoise"
"702","SDC4","turquoise"
"703","IGHA1","turquoise"
"704","RSL24D1P6","greenyellow"
"705","IGLV1-51","black"
"706","AC005000.1","blue"
"707","MIR210HG","purple"
"708","OPALIN","blue"
"709","AC021242.3","red"
"710","MTCO1P40","paleturquoise"
"711","AL391845.2","pink"
"712","PTPRN","blue"
"713","AC126564.1","red"
"714","MIR3143","blue"
"715","NDUFV2P1","salmon"
"716","AL009176.1","black"
"717","AL136126.1","lightgreen"
"718","UBXN10","blue"
"719","KDM5D","darkturquoise"
"720","RNU7-141P","turquoise"
"721","AL162713.1","turquoise"
"722","AC005899.6","lightgreen"
"723","AC011468.4","turquoise"
"724","AC060766.4","salmon"
"725","AL390729.2","red"
"726","AL031777.1","red"
"727","RNVU1-7","turquoise"
"728","CCL21","turquoise"
"729","AC114810.1","turquoise"
"730","CTSH","turquoise"
"731","ARHGAP36","blue"
"732","CXCL3","blue"
"733","NR2F2","midnightblue"
"734","SALL3","turquoise"
"735","C4B","turquoise"
"736","CRABP1","turquoise"
"737","MOG","turquoise"
"738","GAL","blue"
"739","AC069234.4","blue"
"740","AL008723.3","blue"
"741","NKAPL","tan"
"742","IGKV1-12","turquoise"
"743","AC130371.2","lightyellow"
"744","AC136632.1","blue"
"745","NTS","turquoise"
"746","HIST3H2A","red"
"747","AC022400.4","turquoise"
"748","HBQ1","turquoise"
"749","HIST1H4K","red"
"750","RN7SL336P","blue"
"751","CSDC2","turquoise"
"752","IER3","pink"
"753","AC004449.1","blue"
"754","AL031008.1","blue"
"755","AC015936.1","steelblue"
"756","HSPB6","greenyellow"
"757","RNU6-204P","red"
"758","AC245128.3","saddlebrown"
"759","AC083906.5","lightgreen"
"760","GDF10","blue"
"761","AL355353.1","tan"
"762","CHRM4","blue"
"763","PDIA2","turquoise"
"764","AC006058.3","blue"
"765","RN7SL138P","blue"
"766","MMP7","blue"
"767","NKX6-1","greenyellow"
"768","PRSS3P4","turquoise"
"769","AL161911.1","red"
"770","RRAD","brown"
"771","AC006023.2","turquoise"
"772","AC027020.2","blue"
"773","MT3","blue"
"774","HOPX","blue"
"775","ADCYAP1","cyan"
"776","SLC7A5P1","blue"
"777","AC107294.1","turquoise"
"778","OR5AK4P","turquoise"
"779","TAAR3P","turquoise"
"780","IGLV1-36","turquoise"
"781","Z69890.1","blue"
"782","AP001059.3","blue"
"783","TSPYL5","purple"
"784","AC114341.1","skyblue"
"785","AC091812.3","black"
"786","TAC3","darkgrey"
"787","PRR32","blue"
"788","CCND2","turquoise"
"789","TIMM8AP1","blue"
"790","FOXD2-AS1","lightcyan"
"791","MIR503HG","turquoise"
"792","AC099791.2","turquoise"
"793","AL391422.1","turquoise"
"794","AC010205.1","blue"
"795","TAGLN","turquoise"
"796","RPL26P19","turquoise"
"797","ADGRB1","blue"
"798","AC063943.1","turquoise"
"799","B4GALNT1","turquoise"
"800","BEX1","blue"
"801","BAIAP3","blue"
"802","TRBJ1-2","salmon"
"803","KLHDC8A","turquoise"
"804","AL354707.3","salmon"
"805","HIST1H2BG","red"
"806","AL512380.1","turquoise"
"807","FOXJ1","pink"
"808","AC136475.9","blue"
"809","AC113361.1","red"
"810","HSPB7","midnightblue"
"811","HIST1H3H","red"
"812","MFAP2","midnightblue"
"813","FZD8","blue"
"814","ADAM33","darkred"
"815","AC103724.4","tan"
"816","AP005432.2","blue"
"817","CR769775.4","red"
"818","SNAI2","pink"
"819","AC092162.3","turquoise"
"820","IGHG3","turquoise"
"821","AP000894.4","turquoise"
"822","AC116565.1","magenta"
"823","AC104113.1","turquoise"
"824","AC023983.2","blue"
"825","GFAP","greenyellow"
"826","AC073263.1","blue"
"827","TRBJ1-3","salmon"
"828","LIMS2","blue"
"829","AP001065.1","skyblue"
"830","AC068057.1","blue"
"831","AL035446.1","turquoise"
"832","NTSR2","turquoise"
"833","FGFBP3","blue"
"834","AC073534.1","midnightblue"
"835","AP006289.1","blue"
"836","IGHV7-4-1","turquoise"
"837","KCNJ11","lightgreen"
"838","AC103808.3","skyblue"
"839","SHH","white"
"840","GPR45","midnightblue"
"841","AL136141.1","turquoise"
"842","ZCCHC12","pink"
"843","BX649601.1","red"
"844","NANOS1","midnightblue"
"845","AGAP2","turquoise"
"846","SPP1","steelblue"
"847","F3","blue"
"848","SOWAHA","lightcyan"
"849","RPS23P8","purple"
"850","GAD1","turquoise"
"851","BX004987.1","yellowgreen"
"852","RNU6-1086P","turquoise"
"853","TMED10P2","blue"
"854","AP003392.5","turquoise"
"855","PRSS35","blue"
"856","MAPK15","royalblue"
"857","AC008080.4","blue"
"858","FLNC","blue"
"859","CDKN1A","turquoise"
"860","AP006545.2","blue"
"861","RNU6-6P","turquoise"
"862","SLC38A5","turquoise"
"863","AL359091.1","blue"
"864","AC107952.2","magenta"
"865","PNMA3","turquoise"
"866","AC090152.1","blue"
"867","HLA-K","blue"
"868","AC093635.1","blue"
"869","SIGLEC1","salmon"
"870","AMIGO2","blue"
"871","IGHD6-6","yellow"
"872","ST8SIA3","blue"
"873","KIF25-AS1","darkgrey"
"874","F5","lightyellow"
"875","FOXD1","blue"
"876","FRG2DP","blue"
"877","C4A","turquoise"
"878","IGLV2-14","turquoise"
"879","MT1A","blue"
"880","AL121612.2","tan"
"881","SHD","white"
"882","AL132655.2","lightyellow"
"883","RF00410","turquoise"
"884","CBLN1","turquoise"
"885","HOTAIR","turquoise"
"886","SPX","blue"
"887","AL022344.2","paleturquoise"
"888","RASL12","turquoise"
"889","SOD3","white"
"890","TCEAL2","tan"
"891","HTR1D","blue"
"892","AC005776.1","blue"
"893","PNMA6B","blue"
"894","LANCL2","black"
"895","MAG","pink"
"896","EEF1DP4","blue"
"897","FOXF1","black"
"898","ANGPTL4","tan"
"899","FOXQ1","turquoise"
"900","RNASE2","turquoise"
"901","DMRT2","blue"
"902","AGT","turquoise"
"903","HOXC11","turquoise"
"904","AC026803.1","blue"
"905","AC005332.8","turquoise"
"906","AL355472.4","magenta"
"907","RN7SKP272","turquoise"
"908","NKX3-2","greenyellow"
"909","LINC01976","greenyellow"
"910","AC078880.3","turquoise"
"911","SLITRK2","tan"
"912","DUX4L50","red"
"913","MIR4737","greenyellow"
"914","CDH12P2","turquoise"
"915","REM1","skyblue"
"916","NXPH3","turquoise"
"917","AC126544.1","plum1"
"918","CYP21A1P","turquoise"
"919","LAMP5","sienna3"
"920","TGFBI","red"
"921","EN2","pink"
"922","AC073073.1","blue"
"923","STAC2","blue"
"924","SEM1P1","blue"
"925","AC021106.3","blue"
"926","RPS23P1","blue"
"927","AL132821.1","blue"
"928","AC068213.1","turquoise"
"929","RNA5SP530","blue"
"930","AL356489.2","turquoise"
"931","KISS1R","purple"
"932","RF00086","darkgreen"
"933","MDFI","pink"
"934","AC245008.1","blue"
"935","FAM163B","blue"
"936","AL355355.2","blue"
"937","CCNO","blue"
"938","HIST1H4D","red"
"939","USH1C","turquoise"
"940","AC091812.2","black"
"941","OCIAD2","blue"
"942","BEST3","turquoise"
"943","AC027601.3","blue"
"944","TMEM100","greenyellow"
"945","MIR4424","brown"
"946","DDN","blue"
"947","NR0B1","turquoise"
"948","AC116036.2","darkgreen"
"949","AC107081.1","midnightblue"
"950","HAPLN2","turquoise"
"951","SLC14A1","blue"
"952","PRKXP1","blue"
"953","P2RY1","blue"
"954","PMAIP1","turquoise"
"955","AC241585.1","black"
"956","LTBP4","blue"
"957","SUSD5","blue"
"958","NEFH","turquoise"
"959","MTDHP3","pink"
