"","gene_name_length"
"1700006P03Rik",409
"1700007E05Rik",2628
"1700007F19Rik",22101
"1700007G11Rik",472744
"1700007J10Rik",14238
"1700007K09Rik",3573
"1700007K13Rik",4332
"1700007L15Rik",873
"1700007M16Rik",4983
"1700007P06Rik",2715
"1700008A23Rik",691
"1700008B11Rik",634
"1700008C04Rik",57386
"1700008H02Rik",1684
"1700008J07Rik",2432
"1700008K24Rik",1273
"1700008N11Rik",769
"1700008O03Rik",25778
"1700008P02Rik",5026
"1700009C05Rik",10337
"1700009J07Rik",2698
"1700009N14Rik",1482
"1700010B08Rik",2675
"1700010B13Rik",6496
"1700010D01Rik",680
"1700010H22Rik",13376
"1700010I02Rik",29587
"1700010I14Rik",19987
"1700010J16Rik",58715
"1700010K23Rik",7509
"1700010K24Rik",8077
"1700010L04Rik",8251
"1700010N08Rik",68872
"1700011B04Rik",20091
"1700011C11Rik",66145
"1700011D18Rik",277
"1700011H14Rik",25887
"1700011I03Rik",197286
"1700011L03Rik",2005
"1700011L22Rik",38140
"1700011M02Rik",747
"1700012A03Rik",8676
"1700012B07Rik",40396
"1700012B09Rik",14444
"1700012C08Rik",449
"1700012C14Rik",3186
"1700012D14Rik",39621
"1700012D16Rik",2146
"1700012E03Rik",2651
"1700012I11Rik",150326
"1700012J15Rik",11288
"1700012J22Rik",830
"1700012P22Rik",20584
"1700013A02Rik",645
"1700013D24Rik",9494
"1700013F07Rik",10574
"1700013G24Rik",2178
"1700013H16Rik",14931
"1700013M08Rik",9000
"1700013N06Rik",40860
"1700014D04Rik",5911
"1700014F14Rik",4712
"1700014L14Rik",14816
"1700015C15Rik",4623
"1700015C17Rik",10995
"1700015F17Rik",41317
"1700015G11Rik",4046
"1700015I17Rik",12290
"1700015O11Rik",1496
"1700016A09Rik",835
"1700016B01Rik",9008
"1700016B15Rik",733
"1700016C15Rik",23511
"1700016D06Rik",46140
"1700016D08Rik",368
"1700016F12Rik",3434
"1700016G14Rik",5361
"1700016G22Rik",2585
"1700016H03Rik",437
"1700016H13Rik",7972
"1700016J18Rik",595
"1700016K05Rik",6032
"1700016K19Rik",3658
"1700016L21Rik",33936
"1700016P03Rik",5074
"1700016P04Rik",2660
"1700017B05Rik",9496
"1700017D01Rik",34061
"1700017G19Rik",18046
"1700017I07Rik",3186
"1700017J07Rik",639
"1700017L05Rik",3364
"1700017M07Rik",19670
"1700017N19Rik",27918
"1700018A04Rik",60301
"1700018A14Rik",711
"1700018A23Rik",2801
"1700018B08Rik",13541
"1700018B24Rik",3371
"1700018F24Rik",2692
"1700018G05Rik",723
"1700018L02Rik",2485
"1700018M17Rik",472
"1700018P08Rik",2490
"1700019A02Rik",29060
"1700019A23Rik",196
"1700019C18Rik",27679
"1700019D03Rik",97856
"1700019E08Rik",1843
"1700019F05Rik",7526
"1700019G24Rik",13485
"1700019J19Rik",28682
"1700019M22Rik",354
"1700019N19Rik",8659
"1700019P21Rik",680
"1700020A23Rik",816
"1700020D05Rik",1021
"1700020D12Rik",30202
"1700020G03Rik",889
"1700020G17Rik",111966
"1700020I14Rik",13206
"1700020L24Rik",3557
"1700020M21Rik",1479
"1700020N01Rik",29232
"1700020N15Rik",679
"1700020N18Rik",1151
"1700021A07Rik",7208
"1700021F02Rik",1706
"1700021F05Rik",15862
"1700021F07Rik",5916
"1700021F13Rik",2541
"1700021G15Rik",2102
"1700021J08Rik",847
"1700021L23Rik",8625
"1700021N21Rik",1406
"1700021P04Rik",1660
"1700022A21Rik",3408
"1700022A22Rik",49349
"1700022E09Rik",6330
"1700022H01Rik",5467
"1700022H16Rik",5350
"1700022I11Rik",14037
"1700022N22Rik",2655
"1700023C21Rik",2599
"1700023F02Rik",133619
"1700023F06Rik",9615
"1700023G09Rik",3180
"1700023H06Rik",1301
"1700024B05Rik",59827
"1700024B18Rik",28050
"1700024G13Rik",12324
"1700024I08Rik",58543
"1700024J04Rik",1822
"1700024P04Rik",481
"1700025A08Rik",609
"1700025B11Rik",3654
"1700025C18Rik",12058
"1700025D23Rik",3931
"1700025F22Rik",25657
"1700025F24Rik",13421
"1700025G04Rik",237723
"1700025H01Rik",5229
"1700025J12Rik",1689
"1700025K04Rik",3088
"1700025K24Rik",17492
"1700025L06Rik",3603
"1700025M24Rik",15607
"1700025N21Rik",2889
"1700025N23Rik",3721
"1700025O08Rik",10269
"1700026D11Rik",33424
"1700026F02Rik",137513
"1700026J12Rik",45132
"1700026J14Rik",893
"1700026N04Rik",3101
"1700027A07Rik",1695
"1700027A15Rik",40664
"1700027F06Rik",1219
"1700027F09Rik",13131
"1700027H10Rik",22727
"1700027I24Rik",24334
"1700027J07Rik",20028
"1700027J19Rik",13601
"1700028B04Rik",5164
"1700028D13Rik",3242
"1700028E10Rik",63444
"1700028I16Rik",12120
"1700028J19Rik",6193
"1700028K03Rik",16834
"1700028M03Rik",18760
"1700028N14Rik",2886
"1700028P14Rik",94053
"1700028P15Rik",5946
"1700029B22Rik",4142
"1700029B24Rik",497
"1700029E06Rik",2254
"1700029F12Rik",12499
"1700029H14Rik",11729
"1700029I15Rik",3171
"1700029J03Rik",67196
"1700029J07Rik",21647
"1700029M03Rik",1905
"1700029M20Rik",3544
"1700029N11Rik",29319
"1700029P11Rik",1024
"1700030A11Rik",1507
"1700030C10Rik",11399
"1700030C12Rik",1909
"1700030C14Rik",1448
"1700030E10Rik",9452
"1700030F04Rik",105077
"1700030I03Rik",942
"1700030J22Rik",9366
"1700030K09Rik",17122
"1700030L20Rik",14080
"1700030L22Rik",6495
"1700030M09Rik",3961
"1700030N03Rik",132004
"1700030N18Rik",966
"1700030O20Rik",6111
"1700031A10Rik",9641
"1700031F05Rik",8786
"1700031F10Rik",3077
"1700031L13Rik",2306
"1700031M16Rik",17850
"1700031P21Rik",2342
"1700034B16Rik",1272
"1700034E13Rik",17525
"1700034G24Rik",7061
"1700034H15Rik",21398
"1700034I23Rik",2348
"1700034J04Rik",750
"1700034J05Rik",4094
"1700034K08Rik",25826
"1700034P13Rik",44277
"1700036A12Rik",27157
"1700036G14Rik",14512
"1700036O09Rik",1008
"1700037C06Rik",874
"1700037C18Rik",13511
"1700037F03Rik",7011
"1700037F24Rik",2735
"1700037H04Rik",13758
"1700039E22Rik",7446
"1700039I01Rik",479
"1700039M10Rik",755
"1700039M15Rik",2778
"1700040D17Rik",3525
"1700040E09Rik",33131
"1700040F15Rik",32013
"1700040F17Rik",2906
"1700040K01Rik",438
"1700040L08Rik",923
"1700041C23Rik",10834
"1700041G16Rik",3772
"1700041I07Rik",10516
"1700041M05Rik",13456
"1700041M19Rik",191315
"1700042D02Rik",4131
"1700042G07Rik",919
"1700042G15Rik",3425
"1700042O05Rik",8843
"1700042O10Rik",17199
"1700044C05Rik",32293
"1700044K03Rik",1152
"1700045H11Rik",26725
"1700045I11Rik",493
"1700046C09Rik",38871
"1700047A11Rik",13914
"1700047F07Rik",69285
"1700047G03Rik",5811
"1700047G07Rik",1640
"1700047I17Rik1",17636
"1700047I17Rik2",17577
"1700047K16Rik",1452
"1700047L14Rik",5073
"1700047M11Rik",15336
"1700047N06Rik",920
"1700047O18Rik",743
"1700048F04Rik",23861
"1700048M11Rik",3753
"1700048O20Rik",9794
"1700048P04Rik",1698
"1700049E15Rik",12134
"1700049E17Rik1",8093
"1700049E17Rik2",8095
"1700049E22Rik",6027
"1700049J03Rik",7246
"1700049L16Rik",543
"1700051A21Rik",2155
"1700051K13Rik",696
"1700051O22Rik",638
"1700052H01Rik",39443
"1700052I22Rik",1018
"1700052K11Rik",3708
"1700054A03Rik",8175
"1700054K02Rik",376
"1700054K19Rik",1812
"1700054M17Rik",3253
"1700054O05Rik",6570
"1700054O19Rik",868
"1700055C04Rik",3001
"1700055D18Rik",3720
"1700056E22Rik",1272
"1700056N10Rik",1592
"1700057G04Rik",48500
"1700057H15Rik",71544
"1700057H21Rik",17802
"1700058P15Rik",1248
"1700060C16Rik",57936
"1700060C20Rik",3742
"1700060J05Rik",1715
"1700060O08Rik",17345
"1700061E17Rik",1604
"1700061E18Rik",1013
"1700061F12Rik",7963
"1700061G19Rik",13428
"1700061H18Rik",26290
"1700061I17Rik",17244
"1700061J23Rik",14236
"1700061N14Rik",6498
"1700062C10Rik",37504
"1700063A18Rik",31100
"1700063D05Rik",25545
"1700063H04Rik",1309
"1700063H06Rik",3193
"1700063I16Rik",611
"1700063K16Rik",22200
"1700063O14Rik",1059
"1700064H15Rik",18310
"1700064J06Rik",10203
"1700064M15Rik",1922
"1700065D16Rik",2905
"1700065I16Rik",4206
"1700065J11Rik",5980
"1700065J18Rik",1080
"1700065L07Rik",34036
"1700065O20Rik",14633
"1700066B17Rik",8160
"1700066B19Rik",27645
"1700066C05Rik",1171
"1700066J03Rik",2744
"1700066M21Rik",7804
"1700066N21Rik",70773
"1700066O22Rik",29331
"1700067G17Rik",6098
"1700067K01Rik",3269
"1700067P10Rik",1289
"1700069B07Rik",939
"1700069L16Rik",32351
"1700069P05Rik",1758
"1700071G01Rik",871
"1700071K01Rik",819
"1700071M16Rik",4103
"1700072B07Rik",3680
"1700072G22Rik",1000
"1700072O05Rik",8084
"1700073E17Rik",14584
"1700074A21Rik",346
"1700074H08Rik",1549
"1700074P13Rik",20121
"1700080E11Rik",1751
"1700080G11Rik",1264
"1700080N15Rik",9079
"1700080O16Rik",4078
"1700081B01Rik",29339
"1700081H04Rik",6310
"1700081N11Rik",1021
"1700082M22Rik",16752
"1700083H02Rik",1055
"1700084C06Rik",36639
"1700084D21Rik",7930
"1700084E18Rik",1429
"1700084F23Rik",24299
"1700084J12Rik",1992
"1700084M14Rik",702
"1700085C21Rik",6636
"1700086D15Rik",7982
"1700086L19Rik",11704
"1700086O06Rik",12161
"1700086P04Rik",7887
"1700088E04Rik",11905
"1700091H14Rik",5528
"1700092C02Rik",4786
"1700092C10Rik",7061
"1700092C17Rik",6290
"1700092E16Rik",753
"1700092E19Rik",29257
"1700092K14Rik",942
"1700092M07Rik",508
"1700093J21Rik",6395
"1700093K21Rik",4953
"1700094J05Rik",12493
"1700094M23Rik",20088
"1700094M24Rik",7636
"1700095A13Rik",1333
"1700095A21Rik",27835
"1700095B10Rik",8410
"1700095J03Rik",6276
"1700095J07Rik",27175
"1700095J12Rik",924
"1700095K22Rik",1728
"1700096J18Rik",6813
"1700096K18Rik",1454
"1700097M23Rik",1522
"1700097N02Rik",4465
"1700099I09Rik",1642
"1700100L14Rik",2870
"1700101I11Rik",1868
"1700101I19Rik",510
"1700101O22Rik",8292
"1700102F20Rik",670
"1700102P08Rik",18130
"1700104B16Rik",1286
"1700104L18Rik",8706
"1700105G05Rik",1570
"1700105P06Rik",1772
"1700108F19Rik",14207
"1700108J01Rik",3750
"1700108N06Rik",14993
"1700108N11Rik",1181
"1700109G14Rik",25167
"1700109G15Rik",3457
"1700109H08Rik",12791
"1700109I08Rik",29631
"1700109K24Rik",11917
"1700110C19Rik",4706
"1700110I01Rik",43493
"1700110I07Rik",29227
"1700110K17Rik",20139
"1700111E14Rik",48737
"1700111N16Rik",214330
"1700112D23Rik",78442
"1700112H15Rik",29851
"1700112J05Rik",12415
"1700112J16Rik",18455
"1700112K13Rik",1536
"1700112L15Rik",510
"1700112M02Rik",125103
"1700113A16Rik",6230
"1700113B19Rik",420
"1700113H08Rik",172545
"1700116B05Rik",683
"1700119H24Rik",3476
"1700119I11Rik",613
"1700120B22Rik",1086
"1700120C14Rik",12534
"1700120C18Rik",1183
"1700120E14Rik",5985
"1700120G07Rik",4239
"1700120G11Rik",17955
"1700120K04Rik",546
"1700120O09Rik",11035
"1700121C08Rik",25892
"1700121L03Rik",7174
"1700121L16Rik",25680
"1700121N20Rik",5014
"1700122D07Rik",2419
"1700122E12Rik",1228
"1700122H20Rik",5779
"1700122O11Rik",1549
"1700123J17Rik",23992
"1700123K08Rik",2873
"1700123L14Rik",1747
"1700123M08Rik",27716
"1700123O12Rik",317850
"1700123O20Rik",4526
"1700123O21Rik",22912
"1700124L16Rik",1110
"1700124M09Rik",649
"1700125G02Rik",3895
"1700125G22Rik",2994
"1700125H03Rik",7277
"1700125H20Rik",10742
"1700126A01Rik",2061
"1700126G02Rik",20052
"1700126H18Rik",24730
"1700127F24Rik",604
"1700128A07Rik",69334
"1700128E19Rik",9357
"1700128F08Rik",20099
"1700129C05Rik",9854
"1700129L04Rik",64853
"1810006J02Rik",13200
"1810007C17Rik",3872
"1810007D17Rik",23425
"1810008B01Rik",1376
"1810008I18Rik",3339
"1810009A15Rik",2029
"1810009J06Rik",3682
"1810010D01Rik",2295
"1810010H24Rik",4763
"1810010K12Rik",3168
"1810011H11Rik",32022
"1810012K08Rik",998
"1810012K16Rik",876
"1810013D15Rik",13136
"1810013L24Rik",28823
"1810014B01Rik",9282
"1810017P11Rik",558
"1810018F18Rik",16854
"1810019D21Rik",3126
"1810019N24Rik",13177
"1810020O05Rik",15255
"1810021B22Rik",4657
"1810022K09Rik",5002
"1810024B03Rik",21926
"1810026B05Rik",19193
"1810030O07Rik",18790
"1810032O08Rik",4140
"1810034E14Rik",23153
"1810037I17Rik",1982
"1810041H14Rik",2685
"1810041L15Rik",67895
"1810043G02Rik",8382
"1810044D09Rik",769
"1810046K07Rik",39232
"1810049I09Rik",616
"1810049J17Rik",462
"1810053B23Rik",16263
"1810055G02Rik",9549
"1810058I24Rik",10843
"1810059C17Rik",2421
"1810059H22Rik",16375
"1810062G17Rik",6363
"1810062O18Rik",24609
"1810063I02Rik",391
"1810064F22Rik",16898
"1810065E05Rik",4914
"2010001A14Rik",5919
"2010001K21Rik",31288
"2010001M07Rik",827
"2010003K11Rik",1794
"2010005H15Rik",35977
"2010007H06Rik",5698
"2010008C14Rik",593
"2010009K17Rik",21431
"2010010A06Rik",8675
"2010013B24Rik",5800
"2010015M23Rik",7783
"2010016I18Rik",3932
"2010103J01Rik",1617
"2010106C02Rik",2015
"2010106E10Rik",63070
"2010107E04Rik",5603
"2010109A12Rik",6958
"2010109I03Rik",20035
"2010109P13Rik",392
"2010110E17Rik",879
"2010110G14Rik",98883
"2010110K18Rik",6877
"2010111I01Rik",361204
"2010203P06Rik",1106
"2010204K13Rik",33327
"2010300C02Rik",108409
"2010300F17Rik",34455
"2010308F09Rik",13096
"2010309G21Rik",55383
"2010310C07Rik",10545
"2010315B03Rik",20893
"2010320M18Rik",1009
"2010320O07Rik",19374
"2200002A13Rik",709
"2200002D01Rik",1906
"2200002J24Rik",1611
"2200007N16Rik",238
"2210008F06Rik",1556
"2210010C04Rik",5242
"2210011C24Rik",1950
"2210011K15Rik",4785
"2210016F16Rik",5409
"2210016L21Rik",7626
"2210017I01Rik",2775
"2210039B01Rik",3509
"2210404E10Rik",766
"2210406H18Rik",1108
"2210406O10Rik",17243
"2210407C18Rik",7872
"2210408F21Rik",117054
"2210408I21Rik",478245
"2210409E12Rik",346
"2210411M09Rik",6086
"2210412B16Rik",498
"2210414B05Rik",6601
"2210414F02Rik",521
"2210417A02Rik",1300
"2210418O10Rik",13760
"2210420H20Rik",4537
"2300002M23Rik",1503
"2300003K06Rik",1265
"2300009A05Rik",4800
"2310001H17Rik",30314
"2310001K20Rik",951
"2310001K24Rik",1049
"2310002D06Rik",10749
"2310002F09Rik",102750
"2310002L09Rik",11476
"2310003L06Rik",3412
"2310003N18Rik",660
"2310005A03Rik",2293
"2310005E17Rik",10957
"2310007B03Rik",9600
"2310008N11Rik",69788
"2310009A05Rik",3062
"2310009B15Rik",4870
"2310010J17Rik",5163
"2310011J03Rik",2284
"2310014F06Rik",67522
"2310015A10Rik",12299
"2310015D24Rik",6977
"2310015K22Rik",3749
"2310016D03Rik",56800
"2310016D23Rik",24948
"2310016G11Rik",10003
"2310020H05Rik",11396
"2310022A10Rik",28867
"2310022B05Rik",27614
"2310026I22Rik",23397
"2310026L22Rik",476
"2310030A07Rik",26091
"2310030G06Rik",6846
"2310031A07Rik",6887
"2310033P09Rik",2418
"2310034C09Rik",946
"2310034G01Rik",2102
"2310034O05Rik",7358
"2310035C23Rik",91331
"2310039H08Rik",773
"2310039L15Rik",29927
"2310040G07Rik",19391
"2310040G24Rik",4852
"2310043L19Rik",1402
"2310043M15Rik",2766
"2310043O21Rik",45592
"2310043P16Rik",3881
"2310044K18Rik",1389
"2310046K23Rik",2007
"2310047D07Rik",6653
"2310050C09Rik",1858
"2310057J18Rik",14016
"2310057M21Rik",24540
"2310057N15Rik",1028
"2310058D17Rik",12303
"2310061I04Rik",4755
"2310061N02Rik",794
"2310065F04Rik",7620
"2310067P03Rik",128891
"2310068J16Rik",1130
"2310069B03Rik",3990
"2310074N15Rik",582
"2310075C17Rik",664
"2310079G19Rik",881
"2310081O03Rik",3905
"2400006E01Rik",7228
"2410002F23Rik",5598
"2410003L11Rik",24383
"2410004B18Rik",6816
"2410004I01Rik",6088
"2410004P03Rik",8409
"2410006H16Rik",1931
"2410012E07Rik",21022
"2410015M20Rik",2320
"2410017I17Rik",18159
"2410018L13Rik",56288
"2410021H03Rik",1847
"2410022M11Rik",1911
"2410024N13Rik",750
"2410080I02Rik",818
"2410089E03Rik",102053
"2410124H12Rik",18625
"2410131K14Rik",20867
"2410137M14Rik",3537
"2410141K09Rik",23005
"2410152P15Rik",56878
"2500002B13Rik",20824
"2500004C02Rik",4917
"2510002D24Rik",3583
"2510009E07Rik",45621
"2510016D11Rik",985
"2510017J16Rik",1263
"2510039O18Rik",6420
"2510046G10Rik",1052
"2600006K01Rik",1595
"2600014E21Rik",178978
"2610001A08Rik",867
"2610001J05Rik",3784
"2610002M06Rik",33584
"2610005L07Rik",39033
"2610008E11Rik",33227
"2610011E03Rik",2235
"2610012C04Rik",1023
"2610016A17Rik",1120
"2610017A05Rik",1661
"2610020C07Rik",42836
"2610020F03Rik",856
"2610021A01Rik",29304
"2610024D14Rik",294
"2610027F03Rik",68664
"2610027K06Rik",40563
"2610028D06Rik",1713
"2610028E06Rik",34567
"2610028H24Rik",12030
"2610034O05Rik",855
"2610035D17Rik",157944
"2610035F20Rik",4916
"2610037D02Rik",149677
"2610042L04Rik",19926
"2610044O15Rik8",18053
"2610105M22Rik",1153
"2610203C20Rik",328224
"2610203C22Rik",70344
"2610204G07Rik",10064
"2610206C17Rik",89414
"2610300A13Rik",503
"2610300M13Rik",13790
"2610301B20Rik",24928
"2610303G11Rik",627
"2610306M01Rik",1042
"2610306O10Rik",612
"2610307P16Rik",425587
"2610316D01Rik",97824
"2610318M16Rik",3571
"2610318N02Rik",11708
"2610507B11Rik",28872
"2610507I01Rik",2550
"2610509F24Rik",838
"2610524H06Rik",1534
"2610528A11Rik",11883
"2610528J11Rik",3230
"2700012I20Rik",798
"2700016F22Rik",3831
"2700029L08Rik",1465
"2700033N17Rik",1227
"2700038G22Rik",4442
"2700046A07Rik",4674
"2700046G09Rik",1969
"2700049A03Rik",106456
"2700062C07Rik",6905
"2700068H02Rik",3229
"2700069I18Rik",43256
"2700078F05Rik",3244
"2700080J24Rik",1662
"2700081O15Rik",8280
"2700089I24Rik",66256
"2700097O09Rik",34450
"2700099C18Rik",25033
"2810001G20Rik",3776
"2810002D19Rik",5532
"2810004N23Rik",26176
"2810006K23Rik",13756
"2810013P06Rik",2137
"2810021J22Rik",16073
"2810025M15Rik",7885
"2810029C07Rik",2086
"2810030D12Rik",6995
"2810032G03Rik",40762
"2810039B14Rik",11515
"2810047C21Rik1",6716
"2810049E08Rik",37503
"2810402E24Rik",3040
"2810403A07Rik",27122
"2810403D21Rik",141107
"2810403G07Rik",2428
"2810404F17Rik",2289
"2810404M03Rik",218936
"2810405F15Rik",932
"2810405F17Rik",1117
"2810407A14Rik",55219
"2810408A11Rik",3636
"2810408I11Rik",10789
"2810410L24Rik",4453
"2810414N06Rik",6070
"2810425M01Rik",29767
"2810428J06Rik",2696
"2810429I04Rik",23164
"2810430I11Rik",4128
"2810432F15Rik",9650
"2810433D01Rik",4621
"2810442N19Rik",11526
"2810454H06Rik",3148
"2810455O05Rik",2233
"2810459M11Rik",9594
"2810468N07Rik",4233
"2810471M01Rik",11713
"2810474O19Rik",26250
"2900002M20Rik",330
"2900005J15Rik",9127
"2900009J06Rik",20477
"2900011O08Rik",114897
"2900018N21Rik",1580
"2900022M07Rik",1017
"2900024D18Rik",569
"2900026A02Rik",134914
"2900027M19Rik",4448
"2900035J10Rik",532
"2900037B21Rik",337
"2900041M22Rik",2611
"2900042G08Rik",650
"2900042K21Rik",653
"2900045O20Rik",13054
"2900052L18Rik",1784
"2900052N01Rik",13874
"2900055J20Rik",723
"2900060B14Rik",616
"2900060N12Rik",34539
"2900064F13Rik",1008
"2900064K03Rik",3113
"2900069G24Rik",1311
"2900072N19Rik",4381
"2900076A07Rik",7949
"2900076G11Rik",631
"2900078I11Rik",999
"2900079G21Rik",114649
"2900089D17Rik",14497
"2900092C05Rik",43807
"2900092N22Rik",1409
"2900092O11Rik",755
"2900093K20Rik",567
"2900097C17Rik",4915
"3000002C10Rik",4764
"3010001F23Rik",48126
"3010003L21Rik",2263
"3100002H09Rik",873
"3100003L05Rik",83266
"3110001I22Rik",6460
"3110002H16Rik",21281
"3110004A20Rik",960
"3110006O06Rik",11344
"3110009E18Rik",67003
"3110009F21Rik",6424
"3110009M11Rik",892
"3110015C05Rik",17965
"3110018I06Rik",1005
"3110021N24Rik",62256
"3110031N09Rik",326
"3110035E14Rik",25945
"3110039M20Rik",17709
"3110040M04Rik",945
"3110040N11Rik",7297
"3110043J17Rik",760
"3110043O21Rik",34891
"3110045C21Rik",2988
"3110053B16Rik",47138
"3110056K07Rik",24218
"3110062G12Rik",1419
"3110062M04Rik",6290
"3110067C02Rik",2431
"3110070M22Rik",1123
"3110079O15Rik",5212
"3110080E11Rik",3477
"3110080O07Rik",1021
"3110082I17Rik",100789
"3110082J24Rik",2503
"3110083C13Rik",4375
"3110099E03Rik",34232
"3200001D21Rik",12010
"3222401L13Rik",6292
"3300002A11Rik",20674
"3300002I08Rik",51831
"3300002P13Rik",1781
"3300005D01Rik",4584
"3425401B19Rik",26175
"3632451O06Rik",107432
"3632454L22Rik",37603
"3732407C23Rik",3540
"3830403N18Rik",16927
"3830406C13Rik",19059
"3830408C21Rik",32945
"3830417A13Rik",5231
"3830422I06Rik",1181
"3830432H09Rik",6686
"3930402G23Rik",4270
"4430402I18Rik",74759
"4631405J19Rik",16777
"4631405K08Rik",2937
"4631422I05Rik",1763
"4632404H12Rik",5730
"4632404M16Rik",2882
"4632411P08Rik",11790
"4632415L05Rik",4099
"4632418H02Rik",2721
"4632427E13Rik",7303
"4632428C04Rik",12764
"4632432E15Rik",2439
"4633401B06Rik",1073
"4731419I09Rik",9982
"4732414G09Rik",2986
"4732416N19Rik",3479
"4732419C18Rik",10096
"4732440D04Rik",5428
"4732463B04Rik",14339
"4732465J04Rik",51160
"4732471J01Rik",189599
"4732487G21Rik",15246
"4732490B19Rik",6355
"4732491K20Rik",8366
"4732496C06Rik",2500
"4831440D22Rik",25078
"4831440E17Rik",2475
"4833403J16Rik",1031
"4833404L02Rik",908
"4833405L11Rik",2364
"4833407H14Rik",2093
"4833411C07Rik",3972
"4833412C05Rik",19602
"4833412K13Rik",1479
"4833413E03Rik",1988
"4833413G10Rik",1946
"4833417C18Rik",2180
"4833418N02Rik",7929
"4833418N17Rik",617
"4833420G17Rik",23353
"4833421G17Rik",844
"4833421K07Rik",1391
"4833422C13Rik",40208
"4833422M21Rik",22815
"4833423E24Rik",35431
"4833427F10Rik",8238
"4833427G06Rik",20964
"4833428L15Rik",15105
"4833439L19Rik",14218
"4833445I07Rik",1642
"4921501E09Rik",3916
"4921501I09Rik",6539
"4921504A21Rik",24188
"4921504E06Rik",91078
"4921507G05Rik",2776
"4921507P07Rik",23331
"4921508D12Rik",27759
"4921508M14Rik",1099
"4921509A06Rik",755
"4921509C19Rik",5612
"4921509O07Rik",56557
"4921511C10Rik",40995
"4921511C20Rik",1606
"4921511E07Rik",827
"4921511I17Rik",41094
"4921511M17Rik",11048
"4921513H07Rik",2238
"4921513I03Rik",13155
"4921513I08Rik",1126
"4921514A10Rik",2428
"4921515E04Rik",291510
"4921515L22Rik",1613
"4921517D22Rik",6707
"4921518K17Rik",32628
"4921520N01Rik",3335
"4921521D15Rik",4397
"4921522A10Rik",6210
"4921522P10Rik",2928
