"","NA.1","NA.10","NA.11","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA"
"ABCD1",0.22056527129419,2.37770845509719,0.475507383084542,2.33689244579733,1.02668065692544,2.2298422673068,0.797863272599394,2.68083625581405,0.62318669227491,2.42895503194222,0.652082002899203,2.2155435873253
"ABCD3",1.22933955550844,2.14667459576452,1.11277201058407,2.49119115355779,1.72800231396065,2.30308769975453,0.880589685267762,2.40955666408214,1.11051936057163,2.2590441012058,1.17782122518771,2.41902859244894
"ABCD4",3.05482444930385,4.18951311922703,2.71388569777094,4.94497430899177,3.47631184445579,4.81028443990198,3.12040011426369,4.39834282442972,2.41607181515149,4.52471695111962,2.98047456010324,4.76020631896958
"ABCE1",1.47920281457054,1.97755196634539,1.11101034581439,2.29827155632631,1.20995640610931,2.52970246173227,0.780461414203094,2.2753331018558,1.34180827915547,2.21833253749983,1.17430225259844,2.07882416977191
"ABCF1",3.28264597679486,5.22857019841625,2.74287362784737,5.25073370399002,3.06886621678245,5.38194705975093,2.93320822915688,5.56058154947815,3.07893386614871,5.39739054372598,2.71354164790716,5.74800823792425
"ABCF2",3.88214156218805,6.41861775282229,4.1568308823048,6.35876600421189,4.09356097486415,6.33031758619597,3.65572729593507,6.62665912900677,4.37724607098128,6.73993097924281,4.02630327532619,6.56696941399001
"ABCF3",2.70707946171305,5.71118253413151,3.14034928890033,6.19683104036911,3.26895773799666,6.10429406283496,3.22087415509561,5.96198637386218,2.81838755574737,5.99279759560176,2.83937961996508,6.24926484319383
"ABHD1",1.71697322646288,1.68140176717538,1.59803297007205,2.14824314932038,1.82085510893152,2.24912422675928,1.7035275133856,2.14527969114876,1.89042061375094,1.25098209478787,1.72045201985361,2.8389553131613
"ABHD10",3.40473623370655,4.97243437730294,3.28510759014724,4.8795079988891,2.94355631248288,4.48493826169147,2.51450293740981,5.46097537439419,3.72059934349219,5.43192962625989,2.63861753441147,5.20298657336439
"ABHD11",3.25647053222674,6.09325824448794,2.58895665777636,6.30226039854233,3.21642845810096,6.08785193548029,3.24831277577404,5.84663596092736,2.79934805320524,6.10060681679191,2.71997019020446,6.11589043921491
"ABHD11-AS1",0,0.999887033729423,0,1.35328250606556,0,2.32754649308061,0,1.11077272948733,0,1.1896957888237,1.07474639432999,1.41694505739484
"ABHD12",0.522395246955718,2.37941084315296,0.646104070130307,2.68830133238531,0.980827340700134,2.74335664339639,0.606239437799383,2.72266224865983,0.52851854451427,2.70218577585303,0.728762668416434,2.82381283561706
"ABHD13",1.04122420483063,2.77682779185567,1.54402202863051,3.24364287920954,1.51984359859185,3.27218942598753,1.43548281766528,3.09987049993386,0.954111388447897,2.71674890525039,1.44281827875485,2.73095266028499
"ABHD17A",1.44009825673871,5.81630693782419,1.97303830908705,5.80796780720192,2.28750048305394,5.9223195649503,1.07467642404739,6.02609548706146,0.73324116326283,5.88499385692882,1.30255452434398,5.99329170217552
"ABHD17B",2.23214414198263,2.71627874555494,1.87586841796964,2.82787586083354,2.134511153349,2.7902221641468,1.75221284451834,2.90216967784285,2.00979962902693,2.62416143821476,1.76753516152579,2.91672971872211
"ABHD17C",1.8524442706202,2.70217869768297,1.20687276015618,4.26895560750975,2.79394116475234,4.13541763843859,1.89491003560388,3.10585644667484,1.09613676950393,3.41556153101463,1.48923943502762,3.7976384550624
"ABHD18",0.980978610270923,1.53731433398886,0.849866518184685,1.54080841098112,1.37794609161223,1.3351307203141,0.751859904302682,1.80367370832196,1.01786367090774,1.6176601640471,0.843977195974695,1.58295068379049
"ABHD2",3.10837203115557,2.21111860445779,2.26713304535657,3.20213994117866,3.14487765765718,3.00062938559297,2.76583748712067,2.53151224292689,2.13870761359289,2.45432262135334,2.09804614488924,2.77262187223464
"ABHD3",0.54657055206956,1.88660403376662,0.518269962382444,2.23416280055656,0.900610951822865,2.02972860612001,0.523577795846716,1.96259332487478,0.280628878036964,2.08062828829353,0.448117238768105,2.15615940223342
"ABHD4",3.0512147217257,3.33594646806877,1.57904547748627,4.40925555210728,3.73217465302379,4.16736223378506,3.20702138843103,3.24864971490065,1.69401601400764,3.20303851716884,1.63753162250761,4.51706876409913
"ABHD5",1.33695864186209,1.8487057431909,1.1416805548051,2.3134549353949,1.70080384292946,2.34035565049212,1.04051600300842,2.33005679824765,0.992775702050148,2.22595817166264,1.02622810861653,2.23829719084987
"ABHD6",0.875503501084741,1.56242579634534,0.580147483389837,1.97569697509967,1.19423665098313,1.92895289773512,0.813544661579837,1.97052499354834,0.344807867437822,1.70815749028555,0.585808178827072,2.17505131985962
"ABI1",1.83873984244166,1.84827232876749,1.25571777431134,2.28563346066817,2.15098918550124,2.05810075302181,1.50442721182264,2.34313386362906,1.62958377087865,2.04262533018557,1.32311064647732,2.13940275035397
"ABI2",1.13606185855939,1.10255808666011,1.22849029935089,1.56409810187923,1.66970394194092,1.26761542189499,1.12709617164483,1.46105934591399,1.09401761795539,1.48748823302698,1.14228589186493,1.45666818301168
"ABL1",1.7576394667365,2.68325836997514,1.5681763651174,3.15440196832589,2.11945169076595,3.00274250162146,1.65328678019284,3.11449725434487,1.70936462436162,2.85965133519365,1.38064413601497,3.24407146538653
"ABL2",2.03201207463204,2.26205877676342,1.54428441317568,3.1758996469021,2.61369464667107,2.90384898911353,1.95056685492108,2.69331152861538,1.86085785999364,2.57632530093577,1.60743036025061,2.70584609044921
"ABR",1.64812287393486,2.70714852285093,1.41089960806583,3.50699833199773,2.08476386325401,3.3123567451512,1.8269828714369,2.85102561442211,1.43755918833239,2.9381566735973,1.36905735637418,3.17789064913952
"ABRA",0.804388288081093,0.209397478973775,1.40805302660902,0.0758523158178348,1.28249378138287,0.355124907987715,0.587791509729561,0.990118343141089,1.50777364130098,0.159302189287167,1.01282956786077,0.25068293561977
"ABRACL",1.12024066718526,4.35642869593076,1.49315759546788,3.88261487397327,1.56712508831364,4.03941409514549,1.09568602739176,4.68129145274822,1.32111487994096,4.56984741328773,1.38497107851557,4.47920817161105
"ABRAXAS2",1.74186480826849,2.82052580446853,1.11695002018931,2.69680468927236,1.36979295880733,2.67932896443859,1.52816233459566,2.92276361346703,1.44270935123682,2.93605516883729,1.3316067260619,2.85700411582331
"ABT1",2.12748107828531,5.61235098648067,2.46522600428183,5.32553269174385,2.74225622776619,5.96497818571325,1.50330306356881,6.14800452939432,2.42216557051111,5.56762378716729,1.89716327695219,5.99906596646393
"ABTB1",2.13213842402172,4.67256893007163,2.12550575564337,6.27073988207127,3.61562383450128,6.31307050761024,3.19124966778845,4.53385065091469,1.13135683726764,4.70017126936875,2.01942433482113,5.22590868727478
"ABTB2",0.45647002070526,0.791520977749544,0.570089803783892,1.06762249297647,0.642901658469468,0.779589267102133,0.583692451475302,1.4488583081895,0.47031697963211,0.886655360553403,0.600466560604508,0.907999241491629
"AC000068.1",0.220339330634628,1.44913818892355,1.01698596292703,2.46701841602486,1.8369738383373,1.36939765714345,1.54691914817309,1.90350909762648,1.20644230002608,0.7215186564483,2.27189481973443,1.46936223893293
"AC002056.1",0.971554211830996,4.31659487705571,2.13968056364223,2.57755934483258,1.80611793252791,4.07125400500095,1.01258065344109,4.13209534722835,1.66714694533585,4.38129763346662,0.86071211207188,5.40708830916676
"AC002069.1",1.17649186462222,0.976042174618718,1.26072776192767,1.00189663374905,2.22777152143234,1.78568670328209,1.41579124629457,0.805481109704893,0.77685900753047,0,1.80605530739646,0
"AC002069.2",0.499319568612509,0,1.67765697446354,0,1.05282400562829,0,0.907489754265654,0,0.554040322234159,0,0.554033126574521,0
"AC002310.4",1.67181092725565,2.02145942515193,1.40868763753504,2.14538902130978,1.78484767772892,1.88440827983963,1.49390123291996,2.07574897804852,1.57365253444833,2.10387667474978,1.30924030445687,1.80942955589557
"AC002347.1",0,2.7803098211669,0,0.343118619593612,0.52454025256678,2.03024203250825,1.28060809745888,2.7239040305322,0.818985470136525,0,1.54120878664385,1.52992324558284
"AC002384.1",3.89604351980098,3.55156064886365,2.31491553462448,4.92932224421135,4.61706471653651,4.39639810345008,3.9307396998973,2.28475452870134,1.63151875832253,3.99050674547778,3.10988779773012,4.0875994395864
"AC002451.1",1.06560125770808,0.762316432642753,0.522937054549563,0.757500640661196,1.24995964372721,0.702097461338237,1.06302015557005,0.807553585251714,0.747943556116915,0.275857223313738,0.68400649521146,0.515577253975225
"AC002451.2",0.383558055203055,0.766467556865644,0.622776017353013,0.932520999804237,1.62169447219688,1.12636603566775,0.569222321899942,2.02567721785642,0.427389880358779,1.59509008807271,1.30180426881063,0.648772215098388
"AC002454.1",1.23442154572695,2.05198832305243,1.0018115978884,2.07659868089935,1.58858006633544,2.02381939214761,0.889703387733731,2.57490366233728,1.0428980670224,1.97672507029276,1.27741303583394,2.39974044655761
"AC002467.1",1.80020046791467,3.56016177295049,1.90704722736487,4.16618608585437,1.30940553539688,3.88797132818086,1.06718698731257,3.77011909388899,2.44634646293936,3.05704294815361,1.5805849004956,4.32176399208096
"AC002504.1",0,0,0,0,0,0,0,2.58894804680558,1.48276964877497,0,0,0
"AC002519.2",0.593096201192728,1.29233760257459,0.471209964240376,1.43553087509516,0.647322137013136,1.64369151948659,0.206432998321475,1.51259096214768,0.318132491162183,1.40195313420268,0.269743168230567,1.10514047883291
"AC002524.1",4.08930511757667,6.4552065435482,4.03411337629393,6.75865543613447,3.56579670651208,6.18380589703009,3.98588395939174,7.04117226233176,4.25842768212217,6.76774096529519,3.71065076285281,7.36346503713981
"AC002540.1",0,0,0,0,0,0,0.363590995878797,1.54954298154339,0,1.04581443733933,0,0
"AC003002.2",0.328463205062817,0.9121194828684,0.215132542695525,1.14444111536675,0.562514566345868,1.08370418700999,0.274522307585702,1.03708445437198,0.141055214768344,0.898075122692799,0.308127722071886,0.943089415004597
"AC003005.2",0.0952899116132875,0.672475152631334,0.0847642690654401,0.902379928320255,0,1.04332241047478,0.723072014113797,1.43374673267697,0.107423275280877,0.955926704115432,0,0.398640255914007
"AC003084.1",1.93184706893028,0,0.458680589084525,0.291589325326897,1.3786962265316,0.132908419702367,0,0.875947784138909,0.309245254266098,0,0.639506640739236,0
"AC003092.2",0.345442123972327,0,0,0,1.1284879744396,0,0.280776861273453,1.80238909414793,0.20557315349092,0.0471867454130607,0,0
"AC003101.2",0,0,1.30123337314748,0,0,0,0.906727587852111,0,0,1.14950050760729,0,0.823889670790346
"AC003102.1",3.15444291300221,4.43167612954504,3.27593175911299,4.48816646350838,3.42701563712958,4.39311703491471,3.17543166499361,4.03399734762427,3.05963867976656,4.73572815159376,3.4623118388205,4.52552129928624
"AC003682.1",0.251310108454872,1.11645384113759,0.224837704630542,0.988424985244371,0.69427347721512,0.685938937496046,1.85573064951837,0.293722678489052,0,0.458557359297753,0.147585592548021,1.04569083241262
"AC003965.1",0.65499036434027,0.526992528871241,0.327258809366652,1.76552792070988,0.457618520770259,2.05354021466319,0,1.24103350681787,0,0.190592855269798,0,0.181314580265172
"AC003986.3",0.634277199106399,1.40474914663345,0.72463485609676,1.38443861317679,1.1346417111497,2.03992929735143,0.981440901752442,2.78593590247533,0.874595895328917,0.124959513298725,1.5237291334687,1.65294929309117
"AC004012.1",0.419525687302775,1.32806748675141,1.99676712346062,0.18173591981557,1.62422105358387,0.548643822832675,1.05106589419431,1.32294511899729,1.10181641624512,1.5399677510671,1.54120878664385,0
"AC004023.1",0,0.807179315133995,0.245578866593363,0,0.183985431704092,0.364091935165764,0.288897892854343,1.85151780525529,0,0.270057900680536,0.306898182041879,1.11846357216106
"AC004069.1",0,1.24505105218913,0,0.724517621148211,0.512110340371227,1.1038009820642,0.158033692041473,2.32818368136193,0.168355034719523,2.04165684808723,0.245692463209227,1.55409700907359
"AC004076.1",1.08809515398731,1.66420771188761,0.775346454278721,1.56578778098759,1.42152057349508,1.38703267242653,0.902826240030153,1.74846015679188,0.932827594472804,1.68230811912688,0.715953737579925,1.72121689245113
"AC004080.2",0.510813794625667,1.21264789107089,0.190552116420374,1.74195695746684,0.601682063845968,1.49584299780027,0.0789277754960653,2.12810826204958,0.163818383396592,1.29980170445255,0.0427305813241627,2.07656297025331
"AC004080.4",0,0,0,0,0,1.86251074081267,0,0,0.725175302079208,0,1.39655858377169,1.65586860373616
"AC004112.1",0.990228423914189,1.44322528316839,0.90329206830994,1.18269184893568,1.08705116594215,1.18954468882302,0.759763771815903,2.27233932858593,1.4548471505116,1.50170294177699,0.837427661129161,1.38717195423234
"AC004130.1",0.27709130915484,2.80423528409713,1.61557346594691,2.39332281751619,0.695104092187259,3.14381275185727,1.42309516051791,3.96682359096883,0.8789628113456,2.82565967438028,0.83115422557931,2.80143730127673
"AC004156.1",1.43226939056392,1.16441900100936,1.35573796673749,1.09372796701188,2.06773989241287,1.45772645168242,1.51749733152757,2.44979614183197,0.920599093876609,0.533413794697712,1.26784404861003,0.9719335120876
"AC004221.1",0.86004363072298,0.819219531199475,0,1.75604339722368,0,1.9470689074498,0,2.13265056230135,0,0.952281630215639,0.691702685965235,1.65669274941024
"AC004233.3",0.655819863668242,0.73328994922645,0.327720194542443,2.11085995741175,0,1.21106421922393,1.14976336986638,2.80229539736876,0.723827214145273,0,0.723818312116386,0.487880501187669
"AC004233.4",1.46015295525099,1.88277153641723,2.68541515354669,1.4550605556124,0.649717523903104,0,0,0,0,0,0.580812715372243,0
"AC004257.1",2.14253977493192,3.07477449550838,2.33225860494234,2.87579928605375,2.71077385415212,2.57113964567489,2.29801200288139,3.62222563488504,1.83906914680283,2.2979326032597,2.13201672424115,2.85503546687909
"AC004264.2",0.880412937901648,1.26187563934055,0.803445950539896,1.27597281703828,1.47267344995171,1.16927635747277,0.918691826477681,2.90417770836111,0.561700874978675,1.0954329448966,0.440421435802817,0.912195312570859
"AC004383.1",0,2.46588729684394,0,3.59186645003079,0.864582967219634,3.1833833829856,1.22522019630378,4.30317614842943,0,3.45128802091731,0.778407630682591,2.65548843615355
"AC004477.1",1.8032362112271,3.00107241877915,2.07035489753448,3.33807619522495,3.39829540132751,3.60987996397376,2.55525100954695,2.53640329459963,2.08471199432704,3.64455432418317,2.80537113379238,2.49635117526309
"AC004477.3",3.44661244646079,4.03174173349112,1.67541404958104,3.81233757355905,3.17651227448548,3.7490615288416,3.14798998982507,4.63625910394012,1.92706269539808,4.88749411169045,2.17102977195941,4.26113641899875
"AC004528.1",1.37999132813389,0.936944787353237,0.906189030574777,0.986081691539042,1.54698897472802,1.54380149232383,1.12091625866897,2.19663410591997,0.355179432159124,0.683500478980108,0.931460651610019,0.940672127734852
"AC004540.1",1.00555941366859,0.703785292538981,1.09080043272287,0.826082961187343,0.910949362008032,1.07211431798416,0.835206562796742,1.55402638021505,0.918563112036981,0.869875218292589,0.513817269710021,1.27171614449232
"AC004656.1",3.26743882414118,5.16366721555168,3.07926206850916,4.95482653615193,2.80510021939021,4.36344118904549,2.79396726217372,5.24205667140697,3.2505216896126,5.38128165325245,2.41737509391238,4.93220990596641
"AC004771.3",0,2.59501313686527,1.45785547005786,3.20682186170304,0.400678091030082,2.33738702273538,0,3.00308850205984,0,1.55483108643011,0,0.940205746554516
"AC004775.1",0.570407135555356,0,0,1.72893895383703,0,1.22017746563721,0,2.15466706962386,0,0,0,0
"AC004801.6",3.47003606359125,3.38609459389702,0.994749051553885,3.4916138637962,3.41981476711658,3.4458606542891,2.41924108154841,3.09287559448181,1.9851326074027,3.42329097163887,2.1994379462489,3.83053940027656
"AC004801.7",1.07411776931635,0.675290690742022,1.56531555570812,0.793169036349403,1.37617684399843,1.19601794934931,1.35652219094972,2.5384593566496,1.07891538167437,0.975309727715617,1.12562255034806,0.297490910103603
"AC004812.2",2.93104421643686,4.68431100244591,1.25759314610769,5.18222387171548,2.80818111661574,4.69738174833668,1.91446683917698,4.24026332798923,1.57253818313762,4.18828845211533,2.33548355160119,4.83156754448073
"AC004816.1",1.49884312359737,1.52024625443279,1.87840996311295,2.27965454823758,2.74488898056152,2.32550399425705,1.75697264944905,2.40388065550588,1.28174044098856,0.815245198587228,1.10634204179192,2.40292902091365
"AC004816.2",0,0.646888159586471,0.407880484204595,2.56382996773299,0,0.116687263293555,0,1.56977818178224,0,0,0,0
"AC004817.3",1.34690681805739,1.29145829176125,1.33348623104206,2.0958960658568,1.78712280006735,1.48691061874932,1.66874042240128,3.31544765744468,1.23834251048779,1.2320712373848,1.23832951001688,0.310156564863967
"AC004817.4",1.3850159425248,1.55210943880396,0.920503563765424,1.38007925565888,2.49726558782468,1.64048285575348,1.83184960427192,3.53340243712115,1.49810813790432,1.55151291575567,1.55519538722107,1.4527514037666
"AC004825.2",0,2.61635301438962,0,1.95352560945111,0.605353724615813,3.62878818450498,0.887364780619519,2.52647798329479,0,2.70559773011399,0,2.64089172671904
"AC004832.6",0,0.614185334586642,0,0,0,0.559836883249494,0,3.51896559983922,0.666515492029088,2.02139871735794,0,0.569049255865307
"AC004836.1",0,0,0.594987379441632,0,0,3.01917727686932,0,1.76217131204253,0,2.31146495715716,0,0
"AC004839.1",1.67201672845133,1.42109180725278,2.28564583080924,1.59909271342062,2.39543244139526,3.80642484506266,0.825190678161009,3.27036087354551,2.10457302433731,1.48103192052215,3.00250225092995,2.52514495217944
"AC004847.1",0,0,0,0,0,0,1.38882635443232,2.43869663160944,0,0,0,0
"AC004854.1",0,0,0,1.34384271443901,2.08060879039308,0,0,0.409002582381555,0,0,0,0
"AC004854.2",1.92124372189742,2.90337603078222,1.59516542651688,3.63118162118316,0.86638713915035,2.81192061888166,0.619788656058306,2.95712520967245,0,1.8038128537223,1.00296230364331,2.39293508966639
"AC004865.2",1.38644201369627,0.731764289185091,0.761222498984021,1.71958733726278,1.71244981808589,1.54508270656187,1.05273058936903,1.74564661583396,0.606142966845966,0.981825887006036,0.916628958330952,0.992011859107703
"AC004890.1",0,4.82526502206479,0,4.15808861569944,0,4.21087351226928,0,5.33986835345071,0,5.54289159496725,0,4.86845358473363
"AC004910.1",0.947093175637403,0.3072679028135,0.49694434363208,0.635715760619049,0.680624680720286,0.71030751975134,0.987399675556175,0.868587395917222,1.63283164148675,0.935353351705046,1.03603837423331,0
"AC004918.1",2.98623987022751,1.95921576339965,2.74378370627189,2.88633447496848,2.70385006595357,2.05810645227987,2.4233273483804,2.75935363386801,2.06105841187842,2.53142902230062,1.63212665193142,1.46852978445636
"AC004941.1",0.153486084667741,0.516709863662147,0.762484098660097,0.619024032419256,1.06614356800812,0.864592704861774,0.873443363767968,2.26191575219588,0.817640108852229,0.351525837637556,0.764657212530439,1.13975655049675
"AC004947.1",1.15183148708501,0.33395378857606,1.17854222263198,0.18271967259702,0,0.319850181048384,0.364606380300409,1.55254178668376,1.05380404432679,0.485901767607787,0.157410536619906,0.679169946729657
"AC004948.1",0,3.04046089632109,0,0.518343801865322,0.436160302439825,1.69379016501238,0.65570123661658,2.76622225325731,1.1573002426007,1.22380234262651,0,0.325715424281228
"AC004980.1",1.55649626000263,0.765294026285213,1.36772703749158,1.67407084821617,1.91676342231387,1.13004012070873,1.37209767986527,1.43159936430103,1.15731036506902,1.36988133120912,1.28574990722446,1.5004499868266
"AC004980.2",2.4351995635897,1.6169449702359,2.08944645711329,3.96470328571768,3.6929120671798,3.78238231620197,3.47427352923574,3.90203259017674,3.08514529352049,2.41526218204053,2.77032812467005,2.14558262972452
"AC004982.1",1.44295724520662,2.05566926472131,0,0.640986179654183,1.0817110690961,1.32169743689816,0,2.02123235572189,0,1.82160956169474,0.122272719692919,1.85676534950606
"AC004982.2",1.32617816267948,0.760441496376158,0.813140585688733,0.782018652279085,0.847750758910807,0.364055037326709,0.888504291140131,1.8029177119838,0.996743865867962,0.360700271219785,0.738457203893593,1.21614741474803
"AC004990.1",0.878863690275775,0.750832374166171,0.623620849067737,0.541081804343343,0.919748771575219,0.0494281576390064,0.788099060274002,0.929782585127736,0.829518830721232,1.85772860029897,1.11478052740118,0.278928335998268
"AC005000.1",2.26416656114881,5.98340465978135,0,6.09980998053997,2.10254164098231,6.35973572462765,1.88170911472953,5.37929826276715,1.95267847153544,5.63274451144574,0.780494972369756,6.54219651094102
"AC005005.4",0.765360725452729,0.905044751293062,0.828028299030298,1.07961639772548,1.34156965495259,0.82338884217132,0.837780896387076,2.19159063718876,0.861576064556577,0.944495739341094,0.821705089435843,0.802492941840798
"AC005013.1",0.521025892855229,1.85383181426766,0.658332271177734,2.58923210728575,0.992032139038594,3.045413294967,0,1.02311466181056,0,1.59995738521642,0,2.21707172332204
"AC005014.2",0.686719200846884,3.37236665318264,0.623198142450371,2.96161180810781,0.48131797384741,3.81705132434002,1.55410222973107,3.27510263214913,0,3.36316999997776,0.757161164416199,1.94168351813923
"AC005020.1",2.55079407846592,0.23581332982035,0.691774017199329,0.351800642928859,0,1.82299974951951,0.795008958691214,2.57111480851524,0.836697134921925,0,1.12361102320126,0
"AC005034.4",0,1.76111336193951,0,3.3288673646905,1.0394625348389,3.04258974082755,0,2.86113460977799,0,1.67645262023898,0.545821929939926,3.3345482602772
"AC005076.1",0.792261567513239,4.32856364336936,1.84568610860884,4.46625861812967,1.12991078163863,3.98936150626482,0,4.11116813045677,1.80134508496557,3.74532110862403,1.02544567903705,3.22603187480823
