"","NPC","NSC"
"Knstrn",2.78440015773277,4.22199624955309
"Kntc1",1.21316143555958,2.28020167207157
"Kpna1",2.74039552103002,3.57669249790136
"Kpna2",6.45648823747829,8.61032220848486
"Kpna4",2.60267373369183,3.32119167349093
"Kpnb1",3.90604923918894,4.99835268895727
"Krt6b",0.826807233749877,1.14080743718895
"L2hgdh",1.82304041217862,2.14520448459787
"L3mbtl2",2.18482084542659,3.12816091262461
"Lacc1",1.27448730837115,2.89836947236622
"Lactb2",2.0153032316115,2.30753421041102
"Lag3",0.519621474067583,0.942661865466611
"Lair1",0.780875943737394,1.03818060139426
"Lamb2",3.70274818020448,4.06468072337429
"Lancl2",1.58880358591661,2.15586048217498
"Laptm5",3.90954556314391,8.52380492240023
"Larp1",2.45630214450633,3.22482083028127
"Larp4",4.09306954035399,4.50177662108244
"Larp4b",2.96866066791697,3.43826306886504
"Larp7",4.46952605635554,5.1619784720694
"Lbh",2.69090512139798,3.34183741660179
"Lbr",4.87217301228173,6.0619671084516
"Lbx2",0.041490362048118,2.95907196945495
"Lce6a",1.23136763081633,1.40259988237297
"Lck",0.583447039182574,0.798356200252662
"Lcmt2",1.90272378831275,2.56503685310698
"Lcorl",1.20613346084635,1.54405052726062
"Lcp1",1.31005580503939,5.05729690491461
"Ldha",6.76663677308095,7.36254722620211
"Lgals1",7.10912287721023,7.7459369016709
"Lgals3",1.86405792841402,2.35277997738317
"Lgals3bp",5.53657179460368,6.85232665504886
"Lgals8",2.50779049320401,3.25938658721384
"Lgals9",2.85551217798198,5.27697762124176
"Lgmn",4.97641511855608,7.3774611027604
"Lhfpl4",1.77707124675667,2.23620024700786
"Lifr",1.59326644002087,2.81295844096243
"Lig1",4.00518898471243,5.27154481367426
"Lig3",2.24658635812005,3.21099756373772
"Lig4",2.53755649639412,3.27815515775285
"Lilra5",1.31170524651813,4.84402848526248
"Lilra6",0.0739972283476095,1.06905464101194
"Lima1",2.10637819995832,3.33839150288543
"Limd1",2.86384153948647,3.15659364099935
"Limd2",4.31795346905769,5.36704499409802
"Lims1",2.82886841278036,3.60274870271899
"Lin54",1.11214956626152,1.90370105875
"Lin9",1.70414155078254,2.79995103397124
"Lingo4",1.39690016467804,2.67266477676167
"Lipa",3.24387862132773,5.32028454819738
