"","NPC","NSC","No_data","8","dentate_gyrus"
"4931414P19Rik",2.52292832817171,3.0706388601788,2.79678359417525,2.79678359417525,2.79678359417525
"4933404O12Rik",3.12336917422583,4.48177077857816,3.80256997640199,3.80256997640199,3.80256997640199
"4933428P19Rik",0.30619619527932,1.00894356605837,0.657569880668847,0.657569880668847,0.657569880668847
"5033421B08Rik",0.0380542589723302,1.39343374864365,0.715744003807992,0.715744003807992,0.715744003807992
"5430427N15Rik",2.05785434501088,2.62651772314707,2.34218603407897,2.34218603407897,2.34218603407897
"5430427O19Rik",0.362756859872009,2.49112365672079,1.4269402582964,1.4269402582964,1.4269402582964
"6330537M06Rik",0.648809759517235,1.02335826598735,0.836084012752293,0.836084012752293,0.836084012752293
"6720489N17Rik",2.51521066683846,3.63501749658422,3.07511408171134,3.07511408171134,3.07511408171134
"8030462N17Rik",0.799022071507824,1.15248532982469,0.975753700666257,0.975753700666257,0.975753700666257
"9130019O22Rik",2.47060588927997,3.57072030130987,3.02066309529492,3.02066309529492,3.02066309529492
"9330102E08Rik",0.665863768649727,0.699269666482923,0.682566717566325,0.682566717566325,0.682566717566325
"9330121K16Rik",0.393795413204134,1.61811324472039,1.00595432896226,1.00595432896226,1.00595432896226
"9430037O13Rik",1.99712902613932,4.16532773518281,3.08122838066106,3.08122838066106,3.08122838066106
"9430038I01Rik",1.10862876647235,1.75265806758837,1.43064341703036,1.43064341703036,1.43064341703036
"9530068E07Rik",5.04843550396929,5.52840428125244,5.28841989261087,5.28841989261087,5.28841989261087
"9930012K11Rik",1.68130535351331,2.83147805022712,2.25639170187022,2.25639170187022,2.25639170187022
"A130006I12Rik",1.38434662358452,1.61184571807473,1.49809617082962,1.49809617082962,1.49809617082962
"A130010J15Rik",1.47631931282978,2.16950437268835,1.82291184275906,1.82291184275906,1.82291184275906
"A230050P20Rik",0.873982504984405,1.01144712252662,0.942714813755511,0.942714813755511,0.942714813755511
"A430005L14Rik",6.54819202545781,7.24243886700004,6.89531544622893,6.89531544622893,6.89531544622893
"A430105J06Rik",1.05616826835011,1.17675648068423,1.11646237451717,1.11646237451717,1.11646237451717
"A730089K16Rik",0.332852712347876,0.630709979170109,0.481781345758992,0.481781345758992,0.481781345758992
"A930012O16Rik",0.485489018944514,0.819877762316655,0.652683390630584,0.652683390630584,0.652683390630584
"AA386476",0.877181465115754,1.32728093907945,1.1022312020976,1.1022312020976,1.1022312020976
"AA467197",0.761250034365571,1.14704971994177,0.95414987715367,0.95414987715367,0.95414987715367
"AA543186",1.78412503064482,2.07519006769013,1.92965754916748,1.92965754916748,1.92965754916748
"AB124611",2.3312194372407,4.31528815024468,3.32325379374269,3.32325379374269,3.32325379374269
"AC099629.1",0.353806723048298,1.69163723846159,1.02272198075494,1.02272198075494,1.02272198075494
"AC101945.2",0.0500893145745025,0.997051855361535,0.523570584968019,0.523570584968019,0.523570584968019
"AC104325.1",1.26467729649023,2.41161289476093,1.83814509562558,1.83814509562558,1.83814509562558
"AC113178.1",1.83657335250837,2.12060029584216,1.97858682417527,1.97858682417527,1.97858682417527
"AC113595.1",0.822931578118954,1.82686766123756,1.32489961967826,1.32489961967826,1.32489961967826
"AC117588.1",0.816389081168833,1.20244381089987,1.00941644603435,1.00941644603435,1.00941644603435
"AC121567.1",1.54233437607448,3.34621565567434,2.44427501587441,2.44427501587441,2.44427501587441
"AC122035.2",1.6749011141419,1.63168739077514,1.65329425245852,1.65329425245852,1.65329425245852
"AC122459.3",0.366928163187025,0.435290771562305,0.401109467374665,0.401109467374665,0.401109467374665
"AC123870.1",1.59460926862525,1.89413048422025,1.74436987642275,1.74436987642275,1.74436987642275
"AC126028.2",0.824540193154628,1.13816578268065,0.98135298791764,0.98135298791764,0.98135298791764
