"","Gene","Category"
"482","Gstt2","NPCbyNSC"
"483","Saa1","NPCbyNSC"
"484","Kcna1","NPCbyNSC"
"485","Gm9915","NPCbyNSC"
"486","Sln","NPCbyNSC"
"487","Bpgm","NPCbyNSC"
"488","1700016J18Rik","NPCbyNSC"
"489","Tmem212","NPCbyNSC"
"490","AC140426.1","NPCbyNSC"
"491","Gm11954","NPCbyNSC"
"492","Coch","NPCbyNSC"
"493","Slc1a2","NPCbyNSC"
"494","Wfdc18","NPCbyNSC"
"495","Gm10687","NPCbyNSC"
"496","5033404E19Rik","NPCbyNSC"
"497","B230369F24Rik","NPCbyNSC"
"498","Abhd3","NPCbyNSC"
"499","Impact","NPCbyNSC"
"500","Gstm5","NPCbyNSC"
"501","Sema4g","NPCbyNSC"
"502","Itih5","NPCbyNSC"
"503","AC113305.1","NPCbyNSC"
"504","Cd82","NPCbyNSC"
"505","Gm22354","NPCbyNSC"
"506","Ccndbp1","NPCbyNSC"
"507","Hmgcs2","NPCbyNSC"
"508","Tgfb2","NPCbyNSC"
"509","C1galt1c1","NPCbyNSC"
"510","Slc1a3","NPCbyNSC"
"511","A730020E08Rik","NPCbyNSC"
"512","Mpp3","NPCbyNSC"
"513","Gal3st1","NPCbyNSC"
"514","2700081O15Rik","NPCbyNSC"
"515","Tmem178","NPCbyNSC"
"516","Plat","NPCbyNSC"
"517","Nfasc","NPCbyNSC"
"518","Pdk2","NPCbyNSC"
"519","Fah","NPCbyNSC"
"520","2210008F06Rik","NPCbyNSC"
"521","Morn4","NPCbyNSC"
"522","mt-Nd3","NPCbyNSC"
"523","Gm13687","NPCbyNSC"
"524","Gm14019","NPCbyNSC"
"525","Sfrp1","NPCbyNSC"
"526","Gm13071","NPCbyNSC"
"527","Sez6l2","NPCbyNSC"
"528","2900055J20Rik","NPCbyNSC"
"529","Gm4134","NPCbyNSC"
"530","1700021N21Rik","NPCbyNSC"
"531","Psph","NPCbyNSC"
"532","Dhrs1","NPCbyNSC"
"533","Syt11","NPCbyNSC"
"534","Fmo1","NPCbyNSC"
"535","Gm35025","NPCbyNSC"
"536","Gm21781","NPCbyNSC"
"537","Slc12a2","NPCbyNSC"
"538","Vldlr","NPCbyNSC"
"539","Gm39302","NPCbyNSC"
"540","Clcn3","NPCbyNSC"
"541","Bgn","NPCbyNSC"
"542","Rnf113a1","NPCbyNSC"
"543","B230119M05Rik","NPCbyNSC"
"544","AC116487.3","NPCbyNSC"
"545","1010001B22Rik","NPCbyNSC"
"546","Gm11747","NPCbyNSC"
"547","Gm15379","NPCbyNSC"
"548","AC123724.2","NPCbyNSC"
"549","Cfap20","NPCbyNSC"
