"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"Gtf2h3",1.14790082575343,1.33852285156445
"Gtf2h5",6.53948194262166,7.73087582487457
"Gtf2i",1.47056587226106,3.35061888841646
"Gtf2ird2",0.60681113387903,0.813116004051945
"Gtf3c2",1.2509669814132,2.85035058063788
"Gtf3c4",1.70906295824673,3.13923642341455
"Gtf3c6",1.2927985608762,2.58141304363064
"Gtpbp1",1.54609069729589,2.35258455261781
"Gtpbp10",1.32709078199387,2.60346633153858
"Gtpbp4",1.38738327001803,3.33427427012094
"Gtse1",1.32037019716387,3.23963030524444
"Gucy2e",0.755090604878955,1.08016891147267
"Guf1",1.75044580311576,3.52787300911046
"Gxylt1",1.02377110466998,1.54121463534199
"Gyg1",0.72007805424633,1.41475843266078
"Gzf1",1.61998650346154,4.0709476817178
"H2afv",1.26992899299752,3.20783694568039
"H2afx",3.09032401737402,3.30260359642873
"H2afy",1.31518323761934,2.55954757867215
"H2afy2",0.62794193427412,0.98496494306933
"Hacd1",0.835095408363415,2.23356278704714
"Hacd3",1.41898748077964,2.34791441374604
"Hacl1",0.748816925022065,1.35804596566297
"Hadh",1.22349925422357,2.60693661780731
"Hadha",0.88926308947552,1.47307662611936
"Hadhb",1.58457019576431,5.05148977115984
"Harbi1",1.16595545911103,2.31245810698975
"Hars2",1.40729079306815,3.45423704168613
"Has1",1.5742663194405,3.49511211596793
"Has3",1.15229436348408,2.16983344685208
"Hat1",1.19252923995448,1.48772255611124
"Haus3",1.49359563530922,3.9207864115336
"Haus6",0.74536733234488,1.07369667080261
"Hbs1l",3.89182004002239,5.40552195165772
"Hccs",1.04843413822116,2.44029320750003
"Hdac2",2.0147808159699,3.21427135394517
"Hdac3",1.03688049501578,2.07729625220585
"Hddc2",3.19148743351879,4.77446034799318
"Hdgf",2.9635564941669,4.82731162148403
"Hdhd2",1.13802821895105,2.5838933583342
"Hdhd5",0.564260752014575,0.779807747812445
"Heatr3",0.8078175693446,1.12336344464384
"Heatr5b",0.571871621748145,1.29020578463171
"Hebp2",4.65576567773671,4.47695544831608
"Heca",4.88974273221119,6.544986456663
"Hectd4",0.934351481443125,1.41645774741543
"Helb",1.10408146748584,1.72279871198707
"Helz2",1.77515854815978,3.06183715769205
"Hemk1",0.717520761486165,1.83672433759118
"Hepacam",1.13839785412699,1.8249315689836
"Herc1",1.22782898666689,2.5372754283974
"Herc3",0.53404628780311,1.17318989020458
"Herc4",0.730259358285025,0.962860989971945
"Herc6",0.247263436037912,1.59756899764491
"Herpud1",1.9776564603434,4.16307690397012
"Herpud2",0.88904530628367,1.56266119336946
"Hexb",1.32841432170499,3.1239467442794
"Hey2",1.21872769123704,2.03304828938414
"Hibadh",0.57432963052427,0.77449331351798
"Hic2",0.439583375290297,1.2148654588381
"Hif1a",2.10113238923214,4.20666038581441
"Higd1a",1.88137502012388,4.72694065028531
"Higd2a",2.29445465048832,5.20948271597011
"Hilpda",2.46478638260868,6.55240823734102
"Hinfp",1.54323389081174,3.91360418757402
"Hint3",3.70958924584572,4.79979110255471
"Hip1",1.14296810397205,3.23029572878372
"Hip1r",0.63505586540152,2.12688798972947
"Hipk1",1.87160459172726,3.43088222657909
"Hipk2",0.964767858844685,2.98019976156268
"Hist1h1e",3.80526515422752,7.89807580239358
"Hist1h2ail1",2.40902789081449,3.06416421891046
"Hist1h2ak",3.37936481038244,7.43725403715397
"Hist1h2an",1.71277799424623,2.6712784515265
"Hist1h2ao",3.44802706443257,3.8605295251516
"Hist1h2ba",1.20170581077911,1.45735681125556
"Hist1h2bd",2.80010949849218,3.34397378639195
"Hist1h2bh",2.0385501621032,2.43494489221216
"Hist1h2bk",4.89546425055981,10.2528800207816
"Hist1h2bl",2.01768743268894,9.03218914412313
"Hist1h2bo",1.1390805114709,3.06232503621933
"Hist1h3a",3.14832969268206,3.7498465845474
"Hist1h3b",1.38261071213121,2.34399457107986
"Hist2h2be",0.77413104264872,1.45879232937916
"Hist2h3c2",3.46199570624247,3.93889922021491
"Hist2h4a",4.52226853414581,4.99599632493967
"Hivep2",4.81645583667691,5.71882978010193
"Hjurp",0.809156795222475,2.24034266400339
"Hk2",0.72296584082254,0.92045787333658
"Hltf",0.94626090694125,1.53642780090343
"Hmbox1",0.86838653987129,2.44496511592108
"Hmg20a",1.12162360893152,1.42644526130778
"Hmga1",1.33483448151845,5.48619257555911
"Hmgb3",0.525184504556555,0.897386040707465
"Hmgcl",0.686497296940255,0.86542529538984
"Hmgcr",2.48661448437089,3.91134203284946
"Hmgcs1",3.4931186785035,9.12937255032945
"Hmgcs2",1.02715012717262,2.37522746136867
"Hmgn2",6.47791888384817,7.01170346217311
"Hmgn3",1.58975698899302,3.31125236147052
"Hmgxb3",0.79209310913402,1.61870973693786
"Hmgxb4",1.19182010312242,3.71938947260172
"Hnrnpa1",4.74814065379898,7.78465266115265
"Hnrnpa2b1",3.90060925026962,7.54635040193216
"Hnrnpa3",6.191291014193,7.91490680753369
"Hnrnpd",1.64861316267583,3.72807435118454
"Hnrnpdl",3.20003048890425,5.71239201415124
"Hnrnpf",4.50540874989316,7.12060994348608
"Hnrnph2",3.03205303964757,6.65591243508278
"Hnrnpk",3.02459624447933,6.698230756736
"Hnrnpll",1.22437552615077,1.87163553682832
"Hnrnpm",2.3435280340049,2.52801188573729
"Hnrnpu",3.27026484524737,5.55049186678862
"Hook1",0.529088291630145,1.21981075658155
"Hoxa3",1.23547222449476,3.86709174424522
"Hoxd11",0.52142048030011,3.4972242088894
"Hoxd13",1.72630848848522,2.09307439008332
"Hoxd4",0.64361983825104,0.843467703089595
"Hp",0.912757335424725,1.07182392273349
"Hp1bp3",1.94794400091505,5.05913708314421
"Hpf1",1.37886038468999,3.07895258455839
"Hps3",0.59647907744338,0.715269971859195
"Hps4",0.593749222821975,1.46089496716793
"Hs2st1",1.20939329292663,2.52342491533227
"Hs3st1",0.717953178373435,2.44215389380432
"Hscb",1.58921021424899,4.11312671182294
"Hsd11b1",2.10674510626241,2.84789808063469
"Hsd17b12",1.03947933688119,1.31617681846233
"Hsd17b8",1.32286899650062,3.41595093036816
"Hsdl1",0.80551696700683,0.95167264152624
"Hsdl2",1.25037745800632,2.83928585165945
"Hsf1",1.4542500675355,3.04268058826688
