"","module.id","module.size","module.parent","module.hub","module.scale","module.pvalue"
"c1_358","c1_358",101,"c1_69","RNU6-472P(28),MIR6082(28),MIR8062(16)","S4",0
"c1_360","c1_360",487,"c1_69","AC025470.2(116),LINC00351(63),LINC02402(52),AC073257.1(41),AC244097.1(33),AL158209.1(33),AC018866.1(31),AC025946.1(26),AC012363.2(22),GUCY2GP(22),DSCR8(21),AL109913.1(20),AL591518.1(17),AC012363.1(17),BMS1P16(17),SAXO1(17),AC055878.1(17),AC016266.1(16),RN7SL584P(15),AL390061.1(15),AL358612.1(14)","S4",0
"c1_361","c1_361",105,"c1_69","AC007513.1(46),AC084200.1(23),KRT72(22),AC025164.1(19),TTC41P(17)","S4",0
"c1_362","c1_362",338,"c1_69","AC027613.1(47),AC004704.1(46),AC018680.1(35),LINC00393(27),LINC02267(27),LINC02492(26),AC096577.1(26),AL353633.1(24),LINC01499(20),AC093772.1(19),LINC00301(19),NALCN-AS1(19),MIR5705(19),LINC02233(16),AL929601.1(16),AC079917.1(16),AC106895.1(16),RN7SL140P(16),AC022201.1(14),LINC02436(14),AC093909.2(14)","S4",0
"c1_364","c1_364",347,"c1_69","AC117473.1(41),AC079160.1(32),LINC01807(32),G2E3-AS1(31),LINC01681(30),AC010183.2(26),LINC00879(25),FMO11P(25),LINC01020(24),AC009803.1(22),AL139020.1(22),LINC01643(22),AC005580.1(22),REXO1L1P(21),AL132719.1(19),AC026434.1(19),AC087473.1(19),AP003399.1(18),AC019322.4(17),LINC01307(16),AL157714.2(16),AC021192.1(15),AC024559.2(15),LINC01788(14)","S4",0
"c1_367","c1_367",138,"c1_69","AC026371.1(67),CSN1S1(38),ANO2(17),AL513043.1(14),AC019209.1(14),USP44(14)","S4",0
"c1_368","c1_368",124,"c1_69","AC091114.1(36),AC092100.1(23),AL138720.1(17),AC034114.2(17),LINC02394(15)","S4",0
"c1_372","c1_372",157,"c1_69","C5orf17(54),MTCO2P23(40),AC113347.4(24),AC004160.1(21),RNU6-284P(19),AP006295.1(19),MTND2P15(18),LINC01685(17),MTCO1P23(17)","S4",0
"c1_384","c1_384",144,"c1_70","AC025524.2(58),AC018616.1(54),AF130359.1(17),GAPDHP68(15),AC109466.1(15),AC010255.3(14)",NA,0
"c1_388","c1_388",389,"c1_71","AC068722.1(113),LINC02408(86),BPIFC(61),TECRL(57),LINC02133(25),AC104041.1(25),BANK1(23),LINC02291(21),AC140118.1(21),AL133166.1(19),LINC01378(15),P2RX3(14),AL353611.1(14),LINC01916(13),AC083795.2(13)",NA,0
"c1_395","c1_395",198,"c1_73","AC068305.2(45),RNA5SP326(23),RNA5SP182(18),RNU6-99P(15),MARCH9(14),AC016751.2(14),MIR7641-1(14),RNA5SP214(14),RNA5SP86(13),IGHVII-1-1(13),RNU6-477P(13)",NA,0
"c1_398","c1_398",280,"c1_74","MARCOL(70),PAGE1(50),USP26(40),AC026785.3(34),ADGRG4(29),ALPP(29),AL121956.1(27),PSG4(20),FGFBP1(19),MROH2B(19),KCNJ18(17),OR9Q2(15),OR10Z1(15),INSL4(14),PADI3(14),BEND2(13)","S4",0
"c1_405","c1_405",108,"c1_75","AL049836.2(70),TRIM51(19),LINC02152(13),A2MP1(12),MYL10(12)","S4",0
"c1_408","c1_408",205,"c1_76","LINC01738(82),AC073987.1(57),RNA5SP482(26),AP000439.2(25),FGF19(15),POFUT1(14),TM9SF4(14)",NA,0
"c1_411","c1_411",124,"c1_77","PIH1D3(39),ANKRD66(31),AL132801.1(18),CCDC33(15),SVOPL(13),CFAP97D2(13)","S2",0
"c1_428","c1_428",166,"c1_80","AC127526.2(95),SLC35G3(23),IQANK1(22),RNU6-221P(22),SLC28A3(20),AC008782.1(19),AC022916.3(15)","S4",0
"c1_440","c1_440",838,"c1_83","LINC02248(63),AL445647.1(61),CAPN13(49),LINC01222(46),AL022161.1(41),AC090502.1(39),LINC01221(35),AC115622.1(35),PALM2(34),AC034195.1(34),IL1RAPL1(33),AC093607.1(31),LINC01170(29),LINC02426(29),CSNKA2IP(24),AC106894.1(24),BTBD16(21),LINC00397(20),RN7SL415P(19),AOX3P(18),SPOCK3(18),CLCA4(18),AC073321.1(16),TRIM59(16),AL034405.1(16),LINC01608(16),LINC01280(16),AC024901.1(15),AL034399.1(15),AC092440.1(15),AF165147.1(15),NDUFA12P1(15),AC098829.1(15),FHIT(15),AC005785.1(15),LINC01709(15),AC027801.4(14),AC012494.1(14),SH3TC2-DT(14),AC006390.1(13),AC108721.1(13),KRIT1(13),AL161751.1(13),CASC6(13),AL138899.1(13),AC005225.2(13),AP005328.1(13),LINC01804(13)","S4",0
"c1_446","c1_446",204,"c1_85","SLC38A5(30),ABCG2(29),ESAM(29),CLDN5(22),ABCB1(19),SLC52A3(19),TIE1(18),ST6GALNAC1(16),AP000459.2(16),MFSD2A(14),ARHGEF15(14),SPINK8(13),MYCT1(13)",NA,0
"c1_450","c1_450",969,"c1_87","AC019211.1(90),CNTN4(51),LINGO2(49),AC087280.2(42),LINC00970(36),NEGR1(35),AC067956.1(31),AL450423.1(29),AC073050.1(29),AL591501.1(27),CXXC4-AS1(26),GABRG3(24),AC092378.1(24),LINC01680(21),CACNB4(21),CDH12(20),CNTN5(19),GALNTL6(19),RPL32P35(19),JAZF1(19),KCNB2(18),AC008696.2(18),AC016598.1(18),LYPD6B(18),EPHA6(18),AP003049.2(18),RORA(18),LINC01107(18),GRM7(17),OR2L1P(17),SSH2(17),IL1RAPL2(17),OR2L3(16),LINC01250(16),IQCJ-SCHIP1(16),AC021231.1(15),FGF14(15),AC093206.1(15),DLG2(15),URGCP(15),AL596218.1(15),AC007368.1(14),AL445433.2(14),AC073023.1(14),BX664727.3(14),AGBL4(14),NRXN3(14),BCAS3(14),FAM19A1(13),RNU6-1012P(13),KCNIP4(13),MYRIP(13),AL513164.1(13),AC091819.2(13),AL033504.1(13),AL117329.1(13),KLHL2P1(13),AC091905.1(13),CTXN3(13),GOLGA6L10(13),ACSM6(13),KHDRBS2(12),LINC02250(12),AP001972.3(12),LINC01122(12),CDH9(12),NYAP2(12),DLGAP2(12),DANT2(12)","S4",0
"c1_451","c1_451",145,"c1_87","MCHR2(26),RXFP1(23),LINC02296(22),LINC01202(19),CR589904.1(19),AC004817.1(17),LINC00507(16),AL592043.1(16)","S4",0
"c1_456","c1_456",114,"c1_89","EIF2B1(33),SPPL3(22),KDM2B(21),RNF34(17),PUS1(16),MPHOSPH9(16)",NA,0
"c1_459","c1_459",122,"c1_90","AC092447.8(44),LINC01518(38),LINC00624(28),AL356272.1(25),VN1R54P(15)","S4",0
"c1_470","c1_470",111,"c1_94","RNU6ATAC21P(47),HCRTR2(26),C4BPA(24)","S4",0
"c1_473","c1_473",170,"c1_94","TRMT2B-AS1(82),AP001970.1(29),AC063980.1(20),RNU6-929P(17),AC243967.2(16),AC008687.1(15),AC025281.1(14),AL713923.1(14)",NA,0
"c1_475","c1_475",307,"c1_95","LRRC74A(116),AL391095.2(38),TEX41(36),AC012081.1(31),OVOL2(29),CYP2A13(28),PLA2G4D(24),AC092573.2(22),LHFPL5(19),R3HDML(15),DNAJC5G(15),DCAF12L1(15),LINC02520(15),CATSPERD(13),FAM163A(13)",NA,0
"c1_477","c1_477",157,"c1_96","SERPINB10(73),RNU6-276P(48),AC006487.1(46),CNOT4P1(16)","S3",0
"c1_501","c1_501",320,"c1_100","KCNJ15(58),ADGRE3(45),AC099489.1(28),CEACAM3(26),ADGRG3(25),AC239584.1(24),LINC00313(23),SLC5A10(22),KLKP1(21),APOBEC3A(20),HAL(18),LIPN(18),CXCR2(17),IL36RN(17),RHOH(16),KYNU(16),IL18RAP(15),CXCR1(13)",NA,0
"c1_515","c1_515",115,"c1_105","IYD(58),AC002384.1(28),AC087762.1(26),CST2(25),CPN2(16)","S4",0
"c1_518","c1_518",151,"c1_106","GABRR1(60),AC083967.1(30),AGTR2(29),PTGFR(22),MEOX1(18),AC121154.1(14),CDX2(13)",NA,0
"c1_528","c1_528",484,"c1_124","AC084048.1(132),AC005772.1(78),HSPA8P13(44),AC092098.1(37),FAM186A(29),KRT16P4(27),ZSWIM2(26),PTCHD1-AS(26),AADACL2(26),HNRNPCL1(25),AL139390.1(23),PRSS38(19),LINC01169(19),AC007000.3(18),AC006511.5(16),CLNK(16),MYO3B(16),MTND3P21(16),CNR2(14),MTND4P11(14),MUSK(14),FAM71E2(13),ADGB(13)",NA,0
"c1_553","c1_553",105,"c1_151","AC121758.1(25),DCTN2(18),AC024884.2(17),MARS(16),SHMT2(15),AC137834.1(14)",NA,0
"c1_576","c1_576",108,"c1_160","RNU6-1252P(42),AC012414.2(18),SCFD2(17),CLOCK(15),FIP1L1(15),LINC01618(13),AC090093.1(13)",NA,0
"c1_583","c1_583",130,"c1_162","RNF167(31),TSR1(25),CNTROB(23),GLOD4(21),SPAG7(17),NEURL4(15),PRPF8(15)","S3",0
"c1_586","c1_586",308,"c1_163","GABRA6(170),AC005064.1(47),CRTAM(36),CCDC155(35),AC025284.1(33),TMEM266(29),GRM4(25),AC007614.1(24),ZP2(24),SNAP25-AS1(23),STARD4-AS1(15),RELN(14),LMAN1L(14)",NA,0
"c1_597","c1_597",131,"c1_174","NOX3(60),LINC01413(57),RNU6-81P(14)","S4",0
"c1_605","c1_605",101,"c1_175","AL133232.1(48),RNU6-804P(23),AL035541.1(21),DPYS(12)","S3",0
"c1_622","c1_622",155,"c1_179","DPT(57),CLEC2A(32),AC145625.1(23),NCOR1P1(23),ALDH1A2(18),CAPN6(16),SIM1(16),DKK2(16),CLDN19(14)",NA,0
"c1_628","c1_628",271,"c1_180","OR5AN1(157),LELP1(22),LINC02272(22),OR5T2(21),OR51L1(21),IL2(20),OR4F13P(19),OR8K3(19),CABS1(17),OPRPN(13),PSMD12P(13)","S3",0
"c1_675","c1_675",144,"c1_185","AC087379.2(83),AC013565.3(56),AP000781.1(32),AL451065.1(27),AL603756.1(23),AL162399.1(15)","S2",0
"c1_681","c1_681",141,"c1_186","MMS19(34),CUEDC2(22),ACTR1A(21),GBF1(20),HIF1AN(18),SUFU(17),SLF2(17),TNKS2(14),ERLIN1(14)","S3",0
"c1_690","c1_690",150,"c1_188","VTA1(30),SEC63(24),FBXO5(21),ECHDC1(20),LATS1(18),MED23(14),SFT2D1(14)",NA,0
"c1_691","c1_691",208,"c1_188","ATG5(24),ZRANB2(24),RARS2(20),DIS3(19),PNISR(19),ARGLU1(18),IPO5(18),SRSF11(18),UFL1(17),ORC3(15),LUC7L3(15)",NA,0
"c1_704","c1_704",133,"c1_192","AC090592.1(70),AC021698.1(27),BET1L(27),SBF2-AS1(20),RIC8A(17),COPB1(16),PSMA1(14),RNH1(14)","S3",0
"c1_757","c1_757",111,"c1_215","ATXN10(31),TRMU(28),PPP6R2(26),XRCC6(24),BRD1(17)","S3",0
"c1_764","c1_764",116,"c1_217","GAPVD1(65),GPR107(23),ZBTB43(22)","S3",0
"c1_776","c1_776",122,"c1_223","RPS8(41),RPL7A(19),RPS18(19),RPS14(19),RPL23(14),RPS27A(14)",NA,0
"c1_830","c1_830",120,"c1_253","RALGAPB(35),CSE1L(25),CTNNBL1(25),STAU1(17),PIGU(17),ADNP(15),DHX35(15),MANBAL(14)","S3",0
"c1_832","c1_832",115,"c1_254","CSNK2A1(34),PSMF1(29),TBC1D20(27),IDH3B(17),CDK5RAP1(16),NSFL1C(15),PTPRA(14)",NA,0
"c1_964","c1_964",151,"c1_305","SEC24B(39),EIF4E(29),UBE2D3(26),LAMTOR3(16),METTL14(15),GRSF1(14)",NA,0
"c1_1032","c1_1032",117,"c1_338","LINC00927(54),ALG1L5P(26),LINC00349(26),PAEP(23),OBP2A(17),OBP2B(14)",NA,0
"c1_1047","c1_1047",286,"c1_343","AC092639.1(138),RPS29P9(74),RNU6-1097P(49),RPPH1-2P(24),MTCYBP8(20),MTND3P19(17),AL591704.1(15),RNA5SP486(15)","S4",0
"c1_1081","c1_1081",100,"c1_349","LINC00452(49),AL589794.1(24),LINC00454(24),AC134698.4(18),AC007923.1(17),AL022313.1(15),BX072579.2(14),ABCA4(13)","S3",0
"c1_1105","c1_1105",204,"c1_360","AC025470.2(112),AC073257.1(39),AC018866.1(30),AC012363.2(22),AL109913.1(20),AC012363.1(17),SAXO1(17)","S3",0
"c1_1106","c1_1106",179,"c1_360","LINC00351(58),LINC02402(36),AL158209.1(32),AC244097.1(22),DSCR8(21),AC025946.1(19),AL591518.1(16),AL358612.1(14),AL390061.1(14)","S3",0
"c1_1114","c1_1114",304,"c1_362","AC027613.1(47),AC004704.1(46),AC018680.1(35),LINC00393(27),LINC02267(27),LINC02492(26),AC096577.1(26),AL353633.1(24),LINC01499(20),AC093772.1(19),LINC00301(19),NALCN-AS1(19),LINC02233(16),AL929601.1(16),AC079917.1(16),AC106895.1(16),RN7SL140P(16),LINC02436(14),AC093909.2(14)","S4",0
"c1_1118","c1_1118",152,"c1_364","AC117473.1(40),AC079160.1(31),G2E3-AS1(30),LINC01681(28),LINC01643(22),AP003399.1(18),FMO11P(16),LINC00879(14)","S3",0
"c1_1129","c1_1129",121,"c1_367","AC026371.1(67),CSN1S1(38),ANO2(17)","S2",0
"c1_1132","c1_1132",106,"c1_368","AC091114.1(36),AC092100.1(23),AL138720.1(17),AC034114.2(17),LINC02394(15)",NA,0
"c1_1147","c1_1147",105,"c1_372","C5orf17(53),AC113347.4(22),RNU6-284P(18),AP006295.1(18),LINC01685(17)",NA,0
"c1_1177","c1_1177",339,"c1_388","AC068722.1(113),LINC02408(86),BPIFC(61),TECRL(57),LINC02133(25),AC104041.1(25),BANK1(23),LINC02291(21),AC140118.1(21),AL133166.1(19),P2RX3(14),LINC01916(13),AC083795.2(13)","S4",0
"c1_1195","c1_1195",136,"c1_398","MARCOL(67),AC026785.3(33),USP26(31),AL121956.1(26),PSG4(20),FGFBP1(17),INSL4(14)",NA,0
"c1_1211","c1_1211",126,"c1_408","LINC01738(80),RNA5SP482(25),AP000439.2(24),FGF19(14)","S4",0
"c1_1245","c1_1245",132,"c1_440","LINC01222(45),LINC01221(31),AC034195.1(28),LINC02426(25),AF165147.1(15),AC098829.1(15)",NA,0
"c1_1247","c1_1247",108,"c1_440","AL445647.1(58),CSNKA2IP(24),AC115622.1(23),LINC00397(20)","S4",0
"c1_1293","c1_1293",303,"c1_450","AC019211.1(83),LINC00970(34),AC067956.1(30),LINGO2(29),GABRG3(21),KCNB2(18),LINC01107(18),AC008696.2(17),CACNB4(17),LINC01680(16),IQCJ-SCHIP1(16),IL1RAPL2(16),AC016598.1(15),AP003049.2(15),DLG2(15),AC007368.1(14),AL445433.2(14),AGBL4(14),AL591501.1(13),RNU6-1012P(13),CDH12(13),AL117329.1(13)",NA,0
"c1_1297","c1_1297",129,"c1_450","CNTN4(44),CNTN5(18),GALNTL6(18),NEGR1(17),EPHA6(17),NRXN3(14),KCNIP4(13),MYRIP(13)","S4",0
"c1_1353","c1_1353",106,"c1_470","RNU6ATAC21P(47),HCRTR2(26),C4BPA(24),RPL22P10(14)",NA,0
"c1_1359","c1_1359",134,"c1_473","TRMT2B-AS1(82),AP001970.1(29),AC243967.2(16),AC008687.1(15),AC025281.1(14)","S4",0
"c1_1364","c1_1364",234,"c1_475","LRRC74A(116),AL391095.2(38),TEX41(36),AC012081.1(31),CYP2A13(28),PLA2G4D(24),OVOL2(16),R3HDML(15),DCAF12L1(15),LINC02520(15)","S3",0
"c1_1398","c1_1398",217,"c1_501","KCNJ15(57),ADGRE3(42),AC099489.1(28),CEACAM3(26),ADGRG3(25),APOBEC3A(20),HAL(18),LIPN(18),CXCR2(17),RHOH(16),KYNU(16),IL18RAP(15),CXCR1(13)","S4",0
"c1_1417","c1_1417",140,"c1_518","GABRR1(60),AC083967.1(30),AGTR2(29),PTGFR(22),MEOX1(18),CDX2(13)","S4",0
"c1_1421","c1_1421",255,"c1_528","AC084048.1(132),AC005772.1(68),HNRNPCL1(25),ZSWIM2(24),AL139390.1(23),HSPA8P13(23),PRSS38(19),AC006511.5(16),CLNK(16),MYO3B(16),PTCHD1-AS(16),KRT16P4(15)","S4",0
"c1_1513","c1_1513",288,"c1_586","GABRA6(170),AC005064.1(46),CRTAM(36),AC025284.1(33),CCDC155(31),TMEM266(29),AC007614.1(24),SNAP25-AS1(23),GRM4(22),ZP2(21),STARD4-AS1(15),RELN(14)","S4",0
"c1_1590","c1_1590",136,"c1_681","MMS19(34),CUEDC2(22),ACTR1A(21),GBF1(20),HIF1AN(18),SUFU(17),SLF2(17)","S3",0
"c1_1614","c1_1614",123,"c1_691","ZRANB2(24),DIS3(19),ARGLU1(18),IPO5(18),SRSF11(18),PNISR(17),LUC7L3(15),UGGT2(13)",NA,0
"c1_1895","c1_1895",100,"c1_1032","LINC00927(54),ALG1L5P(26),LINC00349(26),PAEP(23),OBP2A(17),OBP2B(14)","S4",0
"c1_1905","c1_1905",254,"c1_1047","AC092639.1(138),RPS29P9(74),RNU6-1097P(37),MTCYBP8(20),RPPH1-2P(18),MTND3P19(17),AL591704.1(15),RNA5SP279(14),RNU6ATAC41P(14),AC021146.6(14)","S4",0
"c1_1954","c1_1954",129,"c1_1114","AC004704.1(39),AC096577.1(26),LINC00393(24),AC093772.1(19),LINC02267(19),AC079917.1(16)",NA,0
"c1_1955","c1_1955",132,"c1_1114","AC027613.1(44),AC018680.1(32),AL353633.1(24),LINC01499(20),LINC02492(18),LINC00301(17),AL929601.1(16),RN7SL140P(16),LINC02436(14)",NA,0
"c1_2024","c1_2024",184,"c1_1177","AC068722.1(111),LINC02408(51),AC104041.1(23),LINC02133(22),P2RX3(14),AL133166.1(14)","S3",0
"c1_2034","c1_2034",102,"c1_1195","MARCOL(66),AC026785.3(32),AL121956.1(24),FGFBP1(17)","S3",0
"c1_2103","c1_2103",185,"c1_1293","AC019211.1(82),LINGO2(29),AC067956.1(27),KCNB2(18),AC008696.2(17),CACNB4(17),LINC01680(16),AC016598.1(15),AC007368.1(13),IQCJ-SCHIP1(13),CDH12(13)","S4",0
"c1_2184","c1_2184",114,"c1_1398","KCNJ15(54),CEACAM3(19),ADGRG3(18),IL18RAP(15),HAL(14),RHOH(14)",NA,0
"c1_2436","c1_2436",159,"c1_2103","AC019211.1(82),AC067956.1(27),LINGO2(22),KCNB2(18),CACNB4(17),LINC01680(16)","S3",0
