"","module.id","module.size","module.parent","module.hub","module.scale","module.pvalue"
"c1_26","c1_26",1409,"c1_2","OR5AN1(165),TDRD15(91),OR6C6(70),CSN3(67),CRISP2(62),DPT(58),FAM187B(53),TMPRSS11B(50),PRODH2(49),OR6C1(47),LRRC34P2(44),OR8G5(42),OR10P1(37),AC020551.1(37),OR5T2(36),OR51L1(36),CLEC2A(35),NPHS1(35),CSN1S2AP(30),LRRC30(29),LELP1(29),DUSP21(29),OR4F13P(27),LCE3B(27),CABS1(26),IL2(26),OPRPN(26),NCOR1P1(24),LINC02272(24),AC145625.1(23),GKN2(23),OR8K3(22),AMTN(22),C2orf69P3(21),HTN1(21),CDK7P1(20),VRTN(20),SMR3B(20),CAPN6(19),PPP1R2C(19),TRIM60(19),ALDH1A2(18),OR8J3(18),AC099786.1(17),OR5H15(17),OR52A5(17),LHX8(16),ACTRT2(16),SIM1(16),AC087399.1(16),ADAD1(16),PSMD12P(16),PDCL2(16),TRIM42(16),DKK2(16),SMR3A(15),OR8K5(15),RAB9AP4(15),LARP1BP1(15),TAAR2(15),SP3P(14),AFG3L2P1(14),CLDN19(14),AL357139.1(14),AC118273.1(14),OR2B3(13),OR5K1(13),DNAJB8(13),CSN2(13),AC114741.1(13)","S4",0
"c1_27","c1_27",223,"c1_2","BSDC1(21),PPP1R8(20),SF3A3(18),EBNA1BP2(17),TMEM222(16),BRIX1(16),BTF3L4(16),MPHOSPH10(14),NOP58(13),WDR75(13),ATP5PB(13),EIF3I(13)","S4",0
"c1_28","c1_28",293,"c1_2","AC087379.2(83),AC013565.3(77),CABP5(59),AP000781.1(56),KRT18P66(39),AL451065.1(31),AL603756.1(23),AP000439.1(19),AP003550.1(19),AC010336.1(17),AC021151.1(16),AL162399.1(15),AC099342.1(14),MIR3681HG(13)","S4",0
"c1_29","c1_29",479,"c1_2","AP3M1(37),MCMBP(36),MMS19(36),PGK1(35),TIAL1(34),BNIP3(26),KIF1BP(24),MRPL51(22),CUEDC2(22),GBF1(22),MLF2(21),ACTR1A(21),COPS7A(20),PDK1(19),ZNF384(19),PPP2R2D(18),HIF1AN(18),ABRAXAS2(18),SUFU(17),SLF2(17),VEGFA(17),ING4(16),C12orf4(16),VPS26A(16),SAR1A(15),TNKS2(14),SMC3(14),ERLIN1(14),PDCD11(14)","S4",0
"c1_30","c1_30",663,"c1_2","ATG5(32),MICU2(30),VTA1(30),KPNA3(28),SEC63(28),MRPS31(27),ZRANB2(24),DIS3(23),MED4(23),UBE4B(22),FBXO5(21),ECHDC1(20),RARS2(20),MTOR(20),ATAD3A(19),PNISR(19),SRSF11(19),WBP4(18),ARGLU1(18),IPO5(18),UBE2J2(18),LATS1(18),DVL1(17),CEP104(17),UFL1(17),PARK7(17),UFM1(16),GTF3A(16),INTS11(16),LZIC(16),ORC3(15),LUC7L3(15),MED23(14),SFT2D1(14),PAN3(14),PEX14(14),UTP14C(13),N4BP2L2(13),MFN2(13),ALG5(13),UGGT2(13),RWDD1(13),ZBTB17(13),DNAJC11(13),XPO4(13)","S4",0
"c1_31","c1_31",259,"c1_2","SLC17A7(33),PACSIN1(32),PNOC(31),GABRA1(29),VSNL1(24),SLC6A17(23),TMPRSS2(22),SYN1(22),TAC1(17),OSTN(17),IL31RA(16),SV2B(16),GABRB2(15),ESR2(14),ACTL6B(13)","S4",0
"c1_32","c1_32",302,"c1_3","AC090592.1(70),AC021698.1(27),BET1L(27),NAT10(27),TSG101(26),AMBRA1(24),NUP98(22),SBF2-AS1(20),SIRT3(20),RIC8A(19),CAPRIN1(19),ARFIP2(19),COPB1(17),ARFGAP2(16),PSMD13(15),ARL14EP(15),PSMA1(14),RNH1(14)",NA,0
"c1_33","c1_33",345,"c1_3","MLXIPL(27),PLA2G7(25),GPNMB(25),MPEG1(25),LPAR5(22),LINC01736(21),LILRB5(20),DHRS9(19),SMIM25(19),APBB1IP(18),MS4A4A(17),MS4A6A(16),SUSD3(16),CD14(15),LAPTM5(15),RHBDF2(14),TYROBP(14),LGMN(14),STAB1(14),FUCA1(14),CD180(14),CTSS(14),MRC1(13),RASAL3(13),SLC7A7(13)",NA,0
"c1_34","c1_34",256,"c1_3","NR4A1(25),MCM3AP(25),ACAT2(22),GART(22),UBE2G2(21),RRP1(19),PIK3R5(18),EGR2(16),NR4A3(16),SLC37A2(16),MSMO1(15),INSIG1(15),KLHL6(15),HMGCS1(14),ABCA1(14),CCT8(14)",NA,0
"c1_35","c1_35",267,"c1_3","TMEM160(48),PTP4A2(26),FTH1(21),MAG(20),LINC01578(20),SENP5(17),TMEM144(16),UBXN7(15),TMEM125(15),CARNS1(13),GFER(13)",NA,0
