"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"SPATA20",14.0822398264607,19.1513703561882,0.598285510582691,1.35996621220742,0.443570808765081,0.56302831153964,"PGBObyQGBO",0.999994476311857
"MPZL3",0.581047725670435,0.790186454459266,0.85568178944259,1.35993382221317,0.443536448028669,0.413168980343628,"PGBObyQGBO",0.999994476311857
"MYH7B",0.936045894382019,1.27279601772012,1.04647519115892,1.35975813297105,0.443350054861449,0.319981404959741,"PGBObyQGBO",0.999994476311857
"XPC",2.33642963538247,3.17671841636528,1.710943997335,1.35964651717203,0.443231626322453,0.119129276637155,"PGBObyQGBO",0.999994476311857
"LINC01979",0.857591981392508,1.16581752219051,0.563758895035595,1.35940814220012,0.442978669001763,0.585361980989606,"PGBObyQGBO",0.999994476311857
"SEL1L",7.55537568078287,10.2688140918779,0.792062871187346,1.35914010444201,0.442694181318951,0.44670793743805,"PGBObyQGBO",0.999994476311857
"KREMEN2",3.13329739957778,4.25629110250111,0.649595159145489,1.35840635589672,0.441915114297482,0.530779801248989,"PGBObyQGBO",0.999994476311857
"RPS26P49",5.54717736771277,7.53496114385289,0.0324735936751285,1.35834148511457,0.441846216658687,0.974804223103417,"PGBObyQGBO",0.999994476311857
"AL360093.1",2.66519059058424,3.62007320523165,-0.137168515608796,1.35827929830643,0.441780166512653,0.894026533893818,"PGBObyQGBO",0.999994476311857
"AC026367.1",3.31929876177012,4.50837156299303,0.10669972537122,1.35823012225293,0.44172793326952,0.917229457631415,"PGBObyQGBO",0.999994476311857
"AC068870.2",4.54209178945798,6.16763485535621,0.267622439576908,1.35788423951956,0.441360494170582,0.794989246776123,"PGBObyQGBO",0.999994476311857
"AC091729.3",6.22398487049808,8.44990672485518,1.01169661805879,1.35763612872969,0.441096862778733,0.339712218507699,"PGBObyQGBO",0.999994476311857
"AC120024.1",0.684585907055586,0.929399409370991,0.345479718945434,1.35760815376459,0.441067134813789,0.737147859098219,"PGBObyQGBO",0.999994476311857
"AL109918.1",11.8767656382557,16.1212897245258,0.99015850881137,1.35738047003287,0.44082516091487,0.346244250172053,"PGBObyQGBO",0.999994476311857
"HAPLN1",2.58198942336067,3.5044238516084,0.806137641138926,1.35725724509247,0.440694185050533,0.442252310911584,"PGBObyQGBO",0.999994476311857
"SPACA9",1.75389148201616,2.37992546603026,0.918892832081957,1.35693997629457,0.44035690512125,0.379809427075237,"PGBObyQGBO",0.999994476311857
"AC009812.1",4.52922101594379,6.14574034571524,0.459394054336852,1.35690890863594,0.440323873689548,0.656058387467121,"PGBObyQGBO",0.999994476311857
"ZNF425",1.79297489082873,2.43280290000131,0.866436452528116,1.35685274369729,0.44026415667026,0.407122862001033,"PGBObyQGBO",0.999994476311857
"LIN7A",0.597223409184611,0.810321616365821,0.846776121314216,1.35681489356245,0.440223911357173,0.417035157683072,"PGBObyQGBO",0.999994476311857
"ARHGAP21",7.80867848694824,10.5905486562116,1.39402032908263,1.35625364444356,0.439627014286033,0.197460759223909,"PGBObyQGBO",0.999994476311857
"IRGQ",0.77502139427344,1.05107211109417,0.428546824911258,1.35618464065694,0.439553610646711,0.681110163232342,"PGBObyQGBO",0.999994476311857
"SERTAD4-AS1",14.0011805929843,18.9812459947993,0.545288440061981,1.35568896270864,0.439026217242412,0.597711913310424,"PGBObyQGBO",0.999994476311857
"AC026691.1",0.668240304217993,0.905691567786261,0.451922263694009,1.35533813520294,0.438652825839649,0.661116634310059,"PGBObyQGBO",0.999994476311857
"LINC01291",2.1650389387042,2.93430612093794,2.279299851034,1.35531332415396,0.438626415378644,0.0458978429173173,"PGBObyQGBO",0.999994476311857
"PLEC",16.6680473908723,22.5859350617094,0.344176958608204,1.3550438471922,0.438339535788194,0.737848399725474,"PGBObyQGBO",0.999994476311857
"AMOTL1",2.36785057812921,3.2084525761278,1.15171151258134,1.35500635291891,0.438299615640493,0.288254491780661,"PGBObyQGBO",0.999994476311857
"MYADM",41.0425677456169,55.6093082634565,1.24283279736423,1.35491786498654,0.438205398170927,0.242418370394568,"PGBObyQGBO",0.999994476311857
"IBA57-AS1",2.55867565953871,3.46675306184106,0.633041636359074,1.3549013330068,0.438187795073866,0.541552559090468,"PGBObyQGBO",0.999994476311857
"RBPMS",1.53134715284526,2.07469505340629,0.864750886084564,1.35481693328093,0.438097923689433,0.40893341658123,"PGBObyQGBO",0.999994476311857
"AL157888.1",1.63643701985856,2.21697324869272,-0.246036699326055,1.35475623063352,0.43803328221042,0.812060941877675,"PGBObyQGBO",0.999994476311857
"EFHC1",1.1191523849529,1.51597031780751,0.692097298592636,1.35457006408588,0.437835017751833,0.505329538483591,"PGBObyQGBO",0.999994476311857
"MSANTD3-TMEFF1",0.549697481594351,0.744516436330527,0.886048447783425,1.35441121936946,0.437665829070975,0.396993935022918,"PGBObyQGBO",0.999994476311857
"SLC7A11",0.926220223616041,1.25447984710676,0.938240099120026,1.35440774787789,0.437662131294389,0.374445336204444,"PGBObyQGBO",0.999994476311857
"SLC8B1",1.2912819410811,1.74881300835703,0.60655150993016,1.35432313634997,0.437572001534741,0.557671606034539,"PGBObyQGBO",0.999994476311857
"MBNL1",2.08893458792131,2.8287752926605,0.831940726101288,1.35417131250404,0.437410261856871,0.433803179026779,"PGBObyQGBO",0.999994476311857
"TBC1D24",0.687833792638815,0.931325162192723,0.599345391200101,1.35399739320712,0.437224961356942,0.56251733175377,"PGBObyQGBO",0.999994476311857
"LUCAT1",0.723487556184423,0.979510944779632,0.444544961830335,1.35387393522764,0.437093409895829,0.666531835551183,"PGBObyQGBO",0.999994476311857
"BMP2",0.936109193873308,1.26673570679553,0.625417926831759,1.35319225052603,0.436366820228815,0.545705389034175,"PGBObyQGBO",0.999994476311857
"SAV1",3.75050598385288,5.07515225515553,0.860663713987424,1.35319134991536,0.436365860049673,0.409636462014566,"PGBObyQGBO",0.999994476311857
"PARD3-AS1",4.31558130368472,5.83889882224851,1.10211244860985,1.35298084113562,0.43614141019817,0.302623331670283,"PGBObyQGBO",0.999994476311857
"TFR2",1.41086520799641,1.90850341355345,0.808959294895759,1.35271846150614,0.435861605423785,0.438142173777874,"PGBObyQGBO",0.999994476311857
"ZNF805",1.90589769965926,2.57781280989136,0.829080738425492,1.35254521286858,0.435676821254337,0.432112729002022,"PGBObyQGBO",0.999994476311857
"SYT14",0.948628259679681,1.28296639947691,1.11365951981867,1.35244379069007,0.435568635029666,0.292574031118777,"PGBObyQGBO",0.999994476311857
"GLB1L3",2.32820019795314,3.14840689400265,0.322842556580813,1.35229216833269,0.435406885545341,0.753692125186828,"PGBObyQGBO",0.999994476311857
"ASNSP1",0.710431227932381,0.960391801659062,0.778160284355972,1.35184344930073,0.434928089493926,0.455081820494604,"PGBObyQGBO",0.999994476311857
"PKD2",3.83359642541589,5.18198070145516,1.09916168168974,1.35172827976878,0.434805174676523,0.297509188611942,"PGBObyQGBO",0.999994476311857
"HID1",1.05886261990773,1.43099522545485,1.08420700964614,1.35144559695529,0.434503436709786,0.303742842311071,"PGBObyQGBO",0.999994476311857
"CEP83-AS1",1.72889865784697,2.33639966761281,0.267146941651432,1.35138034667826,0.434433779060291,0.795201664887362,"PGBObyQGBO",0.999994476311857
"PAQR7",0.882672064994759,1.19250424571116,0.629572814862267,1.35101618483671,0.434044957893648,0.546836297074479,"PGBObyQGBO",0.999994476311857
"PRKAG2-AS1",11.4082072256642,15.4126091513729,0.281598778802515,1.3510106230101,0.4340390186338,0.784064191351729,"PGBObyQGBO",0.999994476311857
"SH3BP5-AS1",1.44961879787943,1.95797194829137,0.397350016113036,1.35068057282065,0.433686526998433,0.699915061332505,"PGBObyQGBO",0.999994476311857
"OVAAL",0.871120396203546,1.17653447897016,0.697987834998323,1.35059916413121,0.433599569760369,0.501196236420454,"PGBObyQGBO",0.999994476311857
"SSH1",9.37700020210185,12.660079840087,0.805107498254055,1.35012046147224,0.433088134250487,0.446194142261406,"PGBObyQGBO",0.999994476311857
"CLIC6",1.39233905609478,1.87964723403193,0.696784066106392,1.34999246469746,0.432951354554669,0.502117598728884,"PGBObyQGBO",0.999994476311857
