"","PGBCbyQGBC","AveExpr","F","P.Value","adj.P.Val"
"POU6F1",-1.29510523220461,3.6889885415897,42.7091626161718,6.41117733008925e-06,0.00197303881386801
"AL133215.3",-1.89364249558075,1.74600265042326,42.6835559993639,6.43427793000998e-06,0.00197303881386801
"CCT5",1.29215482363024,6.73599759130881,42.5441728605474,6.56167257622366e-06,0.00197303881386801
"PPA1",1.16029098247727,3.95797326678394,42.4918632080015,6.61021273844826e-06,0.00197303881386801
"SYNCRIP",1.40678072662435,4.51187810211814,42.4717063175489,6.62902472588519e-06,0.00197303881386801
"POLR3H",1.18868600321714,3.19609568831305,41.7368585887086,7.35773013774929e-06,0.00212279074477653
"SDCBP2",-1.35245782110794,1.36916141403773,41.7047985317356,7.39151328358352e-06,0.00212279074477653
"AF131216.2",-1.32362895333288,1.8328866818698,41.5136077169964,7.59663675752672e-06,0.00214408523656401
"AC010531.1",-1.30274758296037,1.64536134244816,41.3692757943089,7.7557276886243e-06,0.00215188580106406
"NLRP6",-2.20012036736881,1.44458009883965,41.1779792785468,7.97238841326884e-06,0.00217513330542018
"PPIAP13",1.42241033467505,1.31864399080334,41.0090301246604,8.16940842864695e-06,0.00219234780290083
"PDIA3",1.31590550299942,6.42851121707482,40.7647781351191,8.46399291111106e-06,0.00223476716056271
"TFDP1",1.55774994621651,4.02296087604805,40.6262047566443,8.63642019801759e-06,0.00224409839113568
"AL358334.1",-1.50647494204153,0.784671935698521,39.7941755565949,9.75860739288479e-06,0.00249606879721131
"IMPAD1",1.05845984140633,5.52206192333765,39.367699800379,1.03967361368564e-05,0.0025268785342544
"HSD17B10",1.71724872239149,6.60965700886636,39.3116803633572,1.04839900011018e-05,0.0025268785342544
"AC097359.1",-1.10858571065711,1.25047739728062,39.3111099121367,1.04848827392198e-05,0.0025268785342544
"ACAP1",-1.61469825547061,2.07500331892305,39.2635427690259,1.05596253533411e-05,0.0025268785342544
"CYB5B",0.888838901230215,4.28424065087512,39.2059887112879,1.06508624840289e-05,0.0025268785342544
"SEMA4A",-1.38643748720385,1.17983809451505,39.0010126493259,1.09830719305757e-05,0.00256846982147892
"AC025048.2",-1.07706804127966,2.45303700891999,38.8377825887723,1.12559644953559e-05,0.00259521322237994
"GPR35",-1.34268685311504,1.02109930768494,38.4736831085964,1.18925784626668e-05,0.00270390985324799
"SRSF3",1.53359011194993,7.35926930700435,38.2307060151707,1.23399165735436e-05,0.00276718403162889
"UNC13D",-1.81977344870464,2.05421334385759,37.7019696695396,1.33802564657447e-05,0.00289898637044954
"CTPS1",1.63343256884407,4.13460129847255,37.5655238134791,1.36644920756233e-05,0.00289898637044954
"PSMA4",1.51893542515722,6.31726201588198,37.5650355919342,1.36655212220289e-05,0.00289898637044954
"MYO15B",-1.92950877407792,2.57312564322041,37.5268965442496,1.37461863543327e-05,0.00289898637044954
"AC108156.1",-1.35267680342824,0.806642101141345,37.4954357054315,1.38131299263936e-05,0.00289898637044954
"RBX1",0.962247460261259,4.28574238331222,37.3348493102403,1.41605931077316e-05,0.00293428998953882
"PITPNB",0.868067501239683,3.55623131390577,36.832105086421,1.53135673383115e-05,0.00308377481437178
"NDUFA3P4",-1.58061045485744,0.89256930146946,36.8049835540944,1.53787037244169e-05,0.00308377481437178
"UPK3B",-1.10370784879525,0.749834270284414,36.7766305006774,1.54471310188446e-05,0.00308377481437178
"AP2S1",1.19488781323784,5.31467289828077,36.5750692552066,1.59435636106913e-05,0.00314453176273515
"CNTD2",-2.00114151896923,2.06746841516659,36.3036517852562,1.66406319533887e-05,0.00324294220329731
"MCAT",0.876045315426699,3.62212431301673,35.9014300172118,1.77375527269976e-05,0.00341604397812883
"MTCH2",1.02281080863604,4.73587203199489,35.7064037510643,1.82985157147536e-05,0.00344736608877623
"HMGB3P17",-1.66237971448903,1.08121339241056,35.6799714117952,1.83760678816564e-05,0.00344736608877623
"TMEM18",1.35663550795718,3.97525536948191,35.6272150230486,1.8531961870025e-05,0.00344736608877623
