"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"NIPA2",4.71361567927214,4.35874603847684,4.5485928311876,4.40247203784682,4.35442470362696,4.85760581106385,4.51730916933274,4.19256064484024,4.62041834477556,3.63730728777421,3.5158028695379,3.33786385240795,3.34657067724875,3.83447721302271,4.50389318926288
"NIPSNAP3A",4.92339893876302,5.03665966597588,5.68395121934614,5.38581911040306,5.1308914483359,5.35389981911581,4.67181904754327,4.55757211171179,4.7649674664639,3.93455622318594,4.35412086807932,3.82559876538431,3.5517468750039,4.03463442385324,3.58057882494136
"NIPSNAP3B",0.951098067876559,0.903992878055433,2.61464408079568,2.32277139421992,0.826996609044655,1.49804004899484,0.813296746957902,0.651567047620086,0.763399983101143,0.892697252228816,1.52763679655198,0.70123013190069,0.605603525308241,0.601219866502387,0.295503922264931
"NIT2",4.10152378532658,3.62154302606138,4.98636061851579,5.0375665606715,4.55226481769503,4.3299782532717,3.88990429341375,3.49120473267394,3.93880162503314,3.13364402395265,3.13413042844218,3.33067536463544,3.12281805032723,3.34421947736113,3.68686635686866
"NKD2",0.0179103887448728,0.0443244755073795,2.74494604982958,2.51367072858969,0.00945330032796576,2.26210140612393,0.0827294601886655,0.0522746813668147,0.200026241333256,0.0569313282365815,0.200336723932514,0.0716570125773583,0.0833207340752603,0.368864781155632,0.533293501214523
"NKILA",1.15756887993388,0.625262174140988,1.62622406864523,1.78705017482244,0.753462181654896,2.48048634464849,0.846518049352067,0.835229240970342,0.989199382117048,0.55244686832385,0.443332874662577,0.814699108089784,0.229331255654316,1.40211768902442,0.612579443954539
"NKIRAS2",5.39370136925383,4.11398213272175,6.12979844974857,6.22143239888863,4.50078109997224,5.32561404123452,5.45780839906423,4.46002996008268,5.53594170169943,4.90838647552739,3.93031522487316,4.78114019970074,3.97583489074459,5.15233075288286,5.58212895117199
"NKX3-1",2.35912303081941,0.601870462372434,2.64580125684578,2.84431242141928,4.91283834294941,3.96364569619538,2.05229783562068,0.608590708397581,2.96319088818892,1.99157595586949,0.570959735391667,1.94304771918345,0.508707607679423,2.31481215165712,1.82016269368644
"NKX6-1",0,0.0345345748203144,0.650028278803935,0.989237934547953,1.96703187261091,2.1704880888263,0,0.0407535166111412,0,0,0.120022916797693,0,0,0.102144267636415,0.0600780976847642
"NLN",2.56399808222806,2.26979782579059,3.17688114109445,3.26978212190056,1.87076419178495,2.05285379399901,2.38396283484565,2.24048082720078,2.53466278214218,1.94433077398563,2.04925020044693,1.49026872616473,1.78540794053638,2.07424431538245,2.61424228398806
