"","PGBC","QGBC","No_data","No_data","Glioblastoma_cancer_stem_cell"
"ABCA3",3.06115676515627,3.89025352804349,3.39279547031116,3.39279547031116,3.39279547031116
"ABCA5",2.4476020672026,2.78029077256088,2.58067754934591,2.58067754934591,2.58067754934591
"ABCA7",3.02699101509189,3.65240920859606,3.27715829249356,3.27715829249356,3.27715829249356
"ABCA8",1.68142361815051,1.79259243754992,1.72589114591028,1.72589114591028,1.72589114591028
"ABCB1",0.61819952237552,0.766404850496069,0.67748165362374,0.67748165362374,0.67748165362374
"ABCB10",3.19041830440803,2.44402278555249,2.89186009686581,2.89186009686581,2.89186009686581
"ABCB4",0.394856168014888,0.98886211762995,0.632458547860913,0.632458547860913,0.632458547860913
"ABCB7",2.1260473768842,1.8688491256568,2.02316807639324,2.02316807639324,2.02316807639324
"ABCB8",4.79093511391266,4.23847255395165,4.56995008992825,4.56995008992825,4.56995008992825
"ABCB9",2.1648716229561,2.15051464290836,2.159128830937,2.159128830937,2.159128830937
"ABCC1",2.23931688874288,1.60208575379382,1.98442443476326,1.98442443476326,1.98442443476326
"ABCC10",3.53654743796557,3.2200886467935,3.40996392149674,3.40996392149674,3.40996392149674
"ABCC2",1.11544459901893,0.736626292203396,0.963917276292715,0.963917276292715,0.963917276292715
"ABCC3",4.25502958316543,4.4606259537278,4.33726813139038,4.33726813139038,4.33726813139038
"ABCC4",1.59094718923518,0.909002817444923,1.31816944051908,1.31816944051908,1.31816944051908
"ABCC5",3.25343161569386,3.85648303396672,3.494652183003,3.494652183003,3.494652183003
"ABCC6",0.466574407907516,0.0946207427950466,0.317792941862528,0.317792941862528,0.317792941862528
"ABCC6P2",0.412646075375667,0,0.2475876452254,0.2475876452254,0.2475876452254
"ABCC8",1.1338579974921,2.16928136228045,1.54802734340744,1.54802734340744,1.54802734340744
"ABCD1",2.2829147427908,1.62359193662168,2.01918562032315,2.01918562032315,2.01918562032315
"ABCD3",3.64387521159984,3.2682274075024,3.49361608996087,3.49361608996087,3.49361608996087
"ABCD4",4.2981078283004,4.84816354327911,4.51813011429189,4.51813011429189,4.51813011429189
"ABCE1",2.99951954750924,2.24072603164658,2.69600214116418,2.69600214116418,2.69600214116418
"ABCF1",5.29260416052203,4.6891251020373,5.05121253712814,5.05121253712814,5.05121253712814
"ABCF2",5.75792033893844,5.8031980580798,5.77603142659498,5.77603142659498,5.77603142659498
"ABCF3",6.61242434160131,6.56985543108963,6.59539677739664,6.59539677739664,6.59539677739664
"ABCG1",1.18403564636096,1.97685654898287,1.50116400740972,1.50116400740972,1.50116400740972
"ABHD1",1.57465359578718,1.95911292854201,1.72843732888911,1.72843732888911,1.72843732888911
"ABHD10",5.00712998577976,4.68585839627887,4.87862134997941,4.87862134997941,4.87862134997941
"ABHD11",6.44274684690058,6.25034551248185,6.36578631313309,6.36578631313309,6.36578631313309
"ABHD11-AS1",2.38825760426934,2.62983631816423,2.4848890898273,2.4848890898273,2.4848890898273
"ABHD12",3.02602786395476,3.00484624968779,3.01755521824798,3.01755521824798,3.01755521824798
"ABHD13",4.19292159022397,3.48608204681986,3.91018577286233,3.91018577286233,3.91018577286233
"ABHD17A",5.85586607279589,5.91420455519746,5.87920146575652,5.87920146575652,5.87920146575652
"ABHD17B",2.60251021015348,2.41261809590093,2.52655336445246,2.52655336445246,2.52655336445246
"ABHD17C",2.02312396017821,1.69635108302705,1.89241480931775,1.89241480931775,1.89241480931775
"ABHD18",1.95695062145032,1.91143313665894,1.93874362753377,1.93874362753377,1.93874362753377
"ABHD2",4.76973888352103,5.06647391195282,4.88843289489374,4.88843289489374,4.88843289489374
"ABHD3",3.19855262937681,2.8724103710892,3.06809572606177,3.06809572606177,3.06809572606177
"ABHD4",5.81338161604906,5.75425476012098,5.78973087367782,5.78973087367782,5.78973087367782
"ABHD5",3.02970104859254,2.18621422632831,2.69230631968684,2.69230631968684,2.69230631968684
"ABHD6",1.92113084294377,2.19401220085232,2.03028338610719,2.03028338610719,2.03028338610719
"ABHD8",1.54578017300231,1.72855503866957,1.61889011926921,1.61889011926921,1.61889011926921
"ABI1",2.85195716245643,2.53914803065687,2.72683350973661,2.72683350973661,2.72683350973661
"ABI2",1.28142173217514,1.11805939762968,1.21607679835696,1.21607679835696,1.21607679835696
