"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"AL603832.2",0.393391239999323,0.597703830406343,2.09911373978559,0.0517970126242929,0.195959578613283,-4.37581751888623,"QGBCbyPGBC",1.31347727496406
"FZD4",0.642755048506293,1.43019547009768,2.09697865574418,0.0520092586440779,0.196538725250719,-4.37942515908543,"QGBCbyPGBC",1.56130787224663
"PPIEL",0.555487871241765,2.51995381969993,2.09558899947354,0.0521478296948512,0.196877299839648,-4.38177215257171,"QGBCbyPGBC",1.46966554101822
"AC073578.4",0.808761834438508,2.74154791747207,2.09518251402463,0.052188426603761,0.196985137999439,-4.38245850238857,"QGBCbyPGBC",1.75170742776691
"ZNF211",0.464521134153642,4.03924735199849,2.09482922122521,0.0522237344786813,0.197023260813591,-4.38305497607552,"QGBCbyPGBC",1.37985926826275
"HLA-T",0.557768575822398,0.893636049060729,2.09459985173692,0.0522466692236897,0.197023260813591,-4.38344219661282,"QGBCbyPGBC",1.47199071970155
"PLXNA4",1.0368988527458,2.00245324448977,2.09431696004494,0.0522749683592559,0.197041479018386,-4.38391974043957,"QGBCbyPGBC",2.051812433197
"AC103564.1",0.575462597027148,1.3078247083471,2.09391540309778,0.0523151622691191,0.197099932415531,-4.38459753877182,"QGBCbyPGBC",1.49015520155016
"KIAA1324L",0.634254670035793,1.30396457348723,2.09365736492971,0.0523410055541317,0.197106570260211,-4.38503304968291,"QGBCbyPGBC",1.55213567328234
"AL662907.1",1.22454652245573,4.13494856594602,2.09224463278063,0.0524827018558328,0.197231824926534,-4.38741689422798,"QGBCbyPGBC",2.33681985683973
"PDPR",0.409488205635641,1.91614676046538,2.09151854624942,0.0525556643138872,0.197285948242582,-4.38864174227412,"QGBCbyPGBC",1.3282145479664
"LINC01254",0.403606599165279,0.813683034005163,2.08992856168748,0.0527157614623117,0.197757134866829,-4.39132308295411,"QGBCbyPGBC",1.32281068051723
"AC139795.2",0.515973420192303,3.06206660431031,2.08954927880924,0.0527540176260685,0.197842673204752,-4.39196253450419,"QGBCbyPGBC",1.42995864096316
"BX284632.1",1.81459441058792,5.67611647039363,2.08828176223986,0.0528820491513218,0.198186617355114,-4.39409903029337,"QGBCbyPGBC",3.51760724863571
"AC073878.2",0.461627290358631,0.367474719586563,2.08813331465629,0.0528970623639116,0.198197507644137,-4.3943492024193,"QGBCbyPGBC",1.37709423826789
"NKX3-2",0.658149049644265,2.17892056933807,2.08688724504631,0.0530232369642781,0.19839373368388,-4.39644875453491,"QGBCbyPGBC",1.57805670759366
"MIR4689",0.857294955709738,0.531219682926877,2.0866589047877,0.0530463880473027,0.19839373368388,-4.39683341778136,"QGBCbyPGBC",1.81163831349612
"TMEM38A",0.695509330674128,2.37066720596582,2.0861581825673,0.0530971878700389,0.198538365790895,-4.39767685437544,"QGBCbyPGBC",1.61945606676859
"LDHBP1",0.442324428253121,1.16714038727371,2.0846271409976,0.0532527926086117,0.198900700883841,-4.40025509629676,"QGBCbyPGBC",1.35879181058076
"AC006445.1",0.407294324220513,0.390401157180049,2.0825659062748,0.0534629404659577,0.199292634637589,-4.4037244902238,"QGBCbyPGBC",1.32619629001226
"SIX2",0.532179071107359,0.675951172679913,2.08240216972085,0.0534796662299759,0.199292634637589,-4.40400000267904,"QGBCbyPGBC",1.44611177860834
"HPX",0.410110509479767,0.92473474654643,2.08238877832293,0.0534810343787706,0.199292634637589,-4.40402253526848,"QGBCbyPGBC",1.3287875944435
"ANKRD20A17P",0.785694060737344,2.03729272535005,2.08163766511855,0.0535578239829255,0.19944315970657,-4.40528624017581,"QGBCbyPGBC",1.72392147486637
"AC006213.2",0.460470386275117,1.33236928796668,2.07975420563293,0.0537508212564853,0.19993204816375,-4.40845392260792,"QGBCbyPGBC",1.37599038243592
"FRY",0.526755610905619,1.13701484037767,2.07871861569953,0.0538572080264699,0.200236769337568,-4.41019493270702,"QGBCbyPGBC",1.44068567945277
"RNU6ATAC17P",0.699355208058317,0.279742083223327,2.07849707186616,0.0538799922997231,0.200264195732415,-4.41056732358065,"QGBCbyPGBC",1.6237789057236
"RNU7-54P",0.716854131607669,0.286741652643067,2.078409002682,0.0538890520587224,0.200264195732415,-4.41071535199127,"QGBCbyPGBC",1.64359418523205
"AC018638.5",0.718823666063216,6.68692711065135,2.07727255425207,0.0540060843691632,0.200653563577667,-4.4126251990157,"QGBCbyPGBC",1.64583951491777
"DDX17",0.347156050670367,8.67616562071281,2.07674413561255,0.0540605802816193,0.200810460451579,-4.41351302668556,"QGBCbyPGBC",1.2720505920313
"ELMSAN1",0.441037831356002,3.28861514463925,2.07571492990144,0.0541668665410332,0.200952004664052,-4.41524189007931,"QGBCbyPGBC",1.35758057883844
"RNU6-947P",0.898436442338142,0.359374576935257,2.07406716989916,0.0543374280806031,0.201381864994221,-4.41800879386478,"QGBCbyPGBC",1.86404468183755
"MIR331",1.3039435283345,2.51335495225687,2.07362650495966,0.0543831247856731,0.20148124638165,-4.41874854371967,"QGBCbyPGBC",2.46902856627651
"TTC9B",0.518317358766645,1.18920780859869,2.07357122883798,0.0543888593622794,0.20148124638165,-4.41884133016879,"QGBCbyPGBC",1.43228377508443
"GPR62",0.615216841017471,1.39337842724436,2.07248687892869,0.054501465978558,0.201694017575404,-4.42066123569847,"QGBCbyPGBC",1.53178821175816
"ZCCHC6",0.453746069793252,4.04193989110976,2.07232426471489,0.0545183713222254,0.201694017575404,-4.42093411079546,"QGBCbyPGBC",1.36959189550091
"TANGO2",0.527965467901448,1.42193266441747,2.07184044611809,0.0545686973034678,0.20177026251476,-4.4217459117795,"QGBCbyPGBC",1.44189435811363
"AC008610.1",0.827727755933541,3.50387313861036,2.07117948739361,0.0546375175806656,0.201899811014785,-4.42285476318058,"QGBCbyPGBC",1.77488771238211
"KRT8P7",0.643946324741074,0.553746591669137,2.07077369681096,0.0546798084751773,0.201919346884424,-4.4235354346819,"QGBCbyPGBC",1.56259762304611
"RETREG1",0.94982921021557,2.47106174607605,2.07036497000819,0.054722435554277,0.202031184037779,-4.42422095492318,"QGBCbyPGBC",1.93164397155328
"RN7SL567P",0.671847182554802,0.268738873021921,2.06844034009887,0.0549235673332495,0.202636645761842,-4.42744792917475,"QGBCbyPGBC",1.59311143333466
"AC020917.3",0.428520744674513,2.5180112854174,2.06813090435372,0.0549559674721208,0.202710497412938,-4.42796659260809,"QGBCbyPGBC",1.34585291010455
"KLLN",0.464549558414138,2.63420776964945,2.06789603091317,0.0549805720359124,0.202755567521488,-4.42836024835735,"QGBCbyPGBC",1.37988645478836
"ZNF608",0.901270772921876,3.25750228568817,2.06687093973512,0.055088074800774,0.202960829558801,-4.43007803809629,"QGBCbyPGBC",1.86771039907336
"CBWD1",0.343094653439648,1.85520226223298,2.06618406331104,0.0551602156815581,0.202960829558801,-4.43122879580654,"QGBCbyPGBC",1.26847461964885
"AC093278.2",0.488756859684391,0.419641239927233,2.06551209663987,0.0552308739481141,0.203076260224336,-4.43235436399071,"QGBCbyPGBC",1.40323521603843
"CGREF1",0.68590956167927,1.95721029640319,2.06536461134854,0.0552463932757668,0.203076260224336,-4.4326013792524,"QGBCbyPGBC",1.60871589304189
"LINC01703",0.391054074087986,1.10615014950707,2.06472049605097,0.0553142177216498,0.203124557482453,-4.43368005603844,"QGBCbyPGBC",1.31135116444307
"MAPK13",0.452165349998674,1.92032693789741,2.06464832833598,0.0553218216074218,0.203124557482453,-4.43380090079399,"QGBCbyPGBC",1.36809209453162
"PRPF40B",0.397403326476068,1.85462407795309,2.06343608553908,0.0554496909425262,0.203335966075412,-4.43583044048874,"QGBCbyPGBC",1.31713509495157
"RNA5SP41",0.734280474252945,0.293712189701178,2.06320591509382,0.0554740000958708,0.203338419518452,-4.43621571570025,"QGBCbyPGBC",1.66356757938378
"AC099552.4",0.511338039495088,0.472400383043165,2.06248372512392,0.0555503363010918,0.203484408018256,-4.4374244082788,"QGBCbyPGBC",1.42537155543394
"AQP7",2.12282467988566,3.82843361919938,2.06211139217979,0.0555897296480546,0.203484408018256,-4.43804746875698,"QGBCbyPGBC",4.35545874232531
"DIP2C",0.350819745587034,1.35087598836278,2.06179799427092,0.0556229073116787,0.20349058952642,-4.43857185787978,"QGBCbyPGBC",1.27528504399125
"RARG",0.399144036099409,4.16441574793091,2.0600209544086,0.0558113738497698,0.203779603376132,-4.44154440789942,"QGBCbyPGBC",1.31872526709861
"RNA5SP18",1.46264476752416,3.07104665416529,2.05981394380987,0.0558333664449943,0.203788675296445,-4.441890590542,"QGBCbyPGBC",2.75613158455432
"CLMN",0.818839861916112,2.73125663853212,2.05914990161421,0.0559039668940379,0.203909968372416,-4.44300093048655,"QGBCbyPGBC",1.7639869182821
"HIPK1-AS1",0.508710606771553,1.15119425546832,2.05818904210999,0.0560062686790006,0.20415417189635,-4.44460721445782,"QGBCbyPGBC",1.42277803457407
"AC138696.1",0.352073599388894,1.07368227274438,2.05793566454454,0.0560332739358768,0.20415417189635,-4.44503071836589,"QGBCbyPGBC",1.27639388266861
"MTRNR2L9",0.671000628833053,0.268400251533221,2.05460693648435,0.0563891561805841,0.204965737323595,-4.45059169903939,"QGBCbyPGBC",1.59217689154569
"AC010327.5",0.539239416628289,2.2570424786287,2.05460070099987,0.0563898247576557,0.204965737323595,-4.4506021112203,"QGBCbyPGBC",1.4532061905257
"TNFRSF25",1.05308142294037,5.54690083031987,2.05450046371776,0.0564005733248879,0.204965737323595,-4.45076948766654,"QGBCbyPGBC",2.0749569764177
"ANAPC2",0.412889182948319,5.54143458216967,2.05369077860039,0.056487465257303,0.205215225535297,-4.45212133030628,"QGBCbyPGBC",1.33134934500126
"ARHGAP27P2",0.518802276306198,0.546789053357237,2.05210303774485,0.0566582086127576,0.205652965629898,-4.45477132108834,"QGBCbyPGBC",1.43276527411339
"FAM69B",0.964947463743757,3.04442565954526,2.05172857434222,0.0566985462551841,0.205708156515373,-4.45539614137983,"QGBCbyPGBC",1.95199243775496
"PTP4A3",0.962924169588067,2.58905754007959,2.05016135912149,0.0568676522534457,0.206093306926922,-4.45801044782001,"QGBCbyPGBC",1.94925680296342
"FAM185A",0.330740381044667,1.55256366873517,2.04933719909888,0.0569567649448279,0.206233630202794,-4.45938478738202,"QGBCbyPGBC",1.25765863058514
"LINC00634",0.458155656149494,0.90544980266336,2.0486924380597,0.0570265685851861,0.206395075777028,-4.46045974641632,"QGBCbyPGBC",1.37378444663878
"LINC01827",0.427526264908244,0.220109788121326,2.04706063492659,0.0572035800137974,0.206879786318949,-4.46317945406971,"QGBCbyPGBC",1.34492550531426
"AC008752.2",0.507607335942452,1.35497061592623,2.04699192681049,0.0572110441457473,0.206879786318949,-4.46329394176951,"QGBCbyPGBC",1.42169041078034
