"","meanx","meany","FC","logFC","Contrast"
"Nup62",111.055555555556,1660.11111111114,14.9484742371188,3.90192633363348,"PSVZbyQSVZ"
"Dnph1",5.99999999999998,89.4444444444442,14.9074074074074,3.89795747083851,"PSVZbyQSVZ"
"Ttc23",7.05555555555554,104.611111111111,14.8267716535434,3.89013259784207,"PSVZbyQSVZ"
"1700071A11Rik",5.00000000000002,73.9444444444446,14.7888888888889,3.88644175958221,"PSVZbyQSVZ"
"Cand2",18.0555555555555,266.944444444444,14.7846153846154,3.8860248077453,"PSVZbyQSVZ"
"Trmt61a",88.3888888888891,1300.41666666667,14.7124450031427,3.87896511719668,"PSVZbyQSVZ"
"Prmt1",118.055555555555,1736.24999999998,14.7070588235292,3.87843685439862,"PSVZbyQSVZ"
"Pmf1",8.16666666666665,120.055555555555,14.7006802721088,3.87781101202314,"PSVZbyQSVZ"
"4930520O04Rik",5.00000000000002,73.4166666666668,14.6833333333333,3.87610761331189,"PSVZbyQSVZ"
"Armcx4",10.1666666666667,149,14.655737704918,3.87339368362043,"PSVZbyQSVZ"
"Mest",50.2222222222221,734.1111111111,14.617256637168,3.86960066696207,"PSVZbyQSVZ"
"Ska1",5.00000000000002,73.0000000000001,14.6,3.86789646399265,"PSVZbyQSVZ"
"Pafah1b3",16.7222222222222,243.944444444444,14.5880398671096,3.86671414236684,"PSVZbyQSVZ"
"Gsx2",4.66666666666667,67.9999999999999,14.5714285714285,3.86507041991389,"PSVZbyQSVZ"
"Wdr12",16.6666666666667,241.638888888889,14.4983333333334,3.85781515858036,"PSVZbyQSVZ"
"L3mbtl3",53.0277777777777,767.861111111112,14.4803562074385,3.85602518711402,"PSVZbyQSVZ"
"Tamm41",15.2222222222222,220.194444444444,14.4653284671533,3.85452717809631,"PSVZbyQSVZ"
"Bard1",5.66666666666666,81.7777777777779,14.4313725490196,3.85113661408552,"PSVZbyQSVZ"
"Hist1h1e",837.555555555543,12063.0555555556,14.402693022022,3.84826668754553,"PSVZbyQSVZ"
"Gm4132",5.00000000000002,71.9444444444444,14.3888888888888,3.84688328624424,"PSVZbyQSVZ"
"Ezh2",62.1111111111112,889.555555555555,14.3220035778175,3.84016142754434,"PSVZbyQSVZ"
"1600002H07Rik",8.3888888888889,120.055555555555,14.3112582781457,3.83907861753442,"PSVZbyQSVZ"
"Cc2d1a",11.9444444444444,170.777777777778,14.2976744186047,3.83770860010132,"PSVZbyQSVZ"
"5730408K05Rik",6.66666666666666,95,14.25,3.83289001416474,"PSVZbyQSVZ"
"Marcksl1",139.944444444445,1991.33333333337,14.2294561333865,3.83080861629773,"PSVZbyQSVZ"
"AK079263",5.00000000000002,70.8888888888888,14.1777777777777,3.82555951743519,"PSVZbyQSVZ"
"4921517D16Rik",5.00000000000002,70.8888888888889,14.1777777777777,3.82555951743519,"PSVZbyQSVZ"
"Smn1",70.4999999999998,997.305555555563,14.1461780929868,3.82234042419383,"PSVZbyQSVZ"
