"","meanx","meany","FC","logFC","Contrast"
"Jup",10.7222222222222,529.194444444445,49.3549222797928,5.62512207003546,"QSVZbyPSVZ"
"Fjx1",35.3888888888889,1746.33333333336,49.346938775511,5.62488868513394,"QSVZbyPSVZ"
"Phyhip",5.66666666666666,278.805555555555,49.2009803921568,5.62061515827323,"QSVZbyPSVZ"
"Timp4",131.138888888889,6436.22222222234,49.0794323236612,5.6170466570794,"QSVZbyPSVZ"
"Ifit3",8.44444444444446,413.194444444444,48.9309210526314,5.61267453452644,"QSVZbyPSVZ"
"Limch1",9.8888888888889,483.333333333334,48.876404494382,5.61106625465705,"QSVZbyPSVZ"
"4930562F07Rik",5.66666666666666,274.250000000001,48.3970588235296,5.59684746987401,"QSVZbyPSVZ"
"Ppp1r3c",5.99999999999998,290.277777777777,48.3796296296297,5.59632781969214,"QSVZbyPSVZ"
"Slc39a12",122.388888888889,5853.1666666668,47.8243304584668,5.57967286584221,"QSVZbyPSVZ"
"Abhd14b",5.00000000000002,238.027777777777,47.6055555555553,5.57305804036929,"QSVZbyPSVZ"
"Pla2g7",167.333333333333,7865.5555555557,47.0053120849942,5.55475190030789,"QSVZbyPSVZ"
"Cml5",23.6666666666667,1106.75000000001,46.7640845070426,5.54732903931435,"QSVZbyPSVZ"
"Fam134b",7.83333333333333,366.222222222223,46.7517730496455,5.54694917478443,"QSVZbyPSVZ"
"Dlc1",10.7777777777778,503.777777777778,46.7422680412371,5.54665583355366,"QSVZbyPSVZ"
"Baalc",78.2777777777777,3601.44444444454,46.0085166784966,5.523829039373,"QSVZbyPSVZ"
"Appl2",37.8888888888888,1738.47222222222,45.8834310850439,5.51990137255968,"QSVZbyPSVZ"
"Mapk8ip3",8.83333333333334,404.944444444445,45.8427672955975,5.51862222980097,"QSVZbyPSVZ"
"Elmod1",22.9444444444445,1032.77777777778,45.0121065375302,5.4922411783874,"QSVZbyPSVZ"
"Usp30",26.3333333333333,1183.63888888889,44.9483122362871,5.49019503990289,"QSVZbyPSVZ"
"Grin2c",59.8333333333335,2677.38888888892,44.7474466109568,5.48373345621823,"QSVZbyPSVZ"
"Gm11696",5.00000000000002,223.499999999999,44.6999999999998,5.48220292629595,"QSVZbyPSVZ"
