GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1415952_at	153	42	63	115	42	63
1415953_s_at	8	10	8	11	9	7
1415954_at	5	6	6	5	5	6
1415955_x_at	271	514	305	186	254	275
1415956_a_at	666	114	2039	583	1824	176
1415957_a_at	276	166	82	599	473	448
1415958_at	11	10	13	76	15	10
1415959_at	18	18	174	388	32	17
1415960_at	4	5	5	4	4	5
1415961_at	12244	8083	9211	2734	1751	1000
1415962_at	1748	889	1357	4349	4538	2825
1415963_at	926	853	215	1755	1652	1342
1415964_at	1532	2094	1242	173	64	114
1415965_at	516	874	800	23	24	104
1415966_a_at	2629	1028	1590	1151	1940	1505
1415967_at	1772	307	203	710	983	681
1415968_a_at	4	4	4	4	4	4
1415969_s_at	5	5	5	5	5	5
1415970_at	8876	5077	6806	7401	8603	6654
1415971_at	478	336	357	5119	5125	5082
1415972_at	1200	1043	660	7911	8640	9347
1415973_at	751	66	94	5181	5982	4901
1415974_at	156	159	123	117	108	122
1415975_at	549	1345	444	1815	1698	537
1415976_a_at	200	178	456	4123	900	486
1415977_at	5	5	5	5	5	5
1415978_at	163	7	60	2949	4242	1201
1415979_x_at	2144	1706	2500	6831	6955	5120
1415980_at	2173	316	1121	3726	3689	2780
1415981_at	623	812	617	188	312	425
1415982_at	933	559	794	287	1018	341
1415983_at	8	6	6	6	5	14
1415984_at	306	819	176	174	89	68
1415985_at	188	359	1766	2222	1487	411
1415986_at	571	1410	290	536	243	120
1415987_at	127	32	46	492	233	684
1415988_at	921	1366	357	1488	2221	287
1415989_at	1957	1602	1415	465	99	149
1415990_at	3592	4712	3820	1708	2788	700
1415991_a_at	252	330	183	194	443	515
1415992_at	168	20	19	32	19	31
1415993_at	1212	756	1233	614	516	480
1415994_at	4	4	4	4	4	4
1415995_at	14	7	6	34	7	5
1415996_at	10	413	10	1617	453	539
1415997_at	6	37	10	244	1136	1233
1415998_at	772	368	772	1162	828	1160
1415999_at	4664	1338	2605	479	782	278
1416000_a_at	4116	3337	4349	3229	3042	2080
1416001_a_at	11	5	5	204	5	5
1416002_x_at	6	5	6	10	6	5
1416003_at	2775	5162	3148	138	79	701
1416004_at	1758	1320	1982	3273	3131	2941
1416005_at	1480	3463	1020	3012	4742	1591
1416006_at	6413	2355	3668	11230	9936	6062
1416007_at	5	5	5	76	295	5
1416008_at	39	18	36	115	306	173
1416009_at	3577	4001	2941	1923	1600	2130
1416010_a_at	1388	2771	259	11	2601	941
1416011_x_at	285	18	114	17	381	237
1416012_at	15	16	16	58	16	17
1416013_at	883	244	1198	1434	82	95
1416014_at	143	51	180	397	460	379
1416015_s_at	387	365	374	424	754	792
1416016_at	35	35	34	33	25	33
1416017_at	324	566	927	27	134	55
1416018_at	112	269	252	66	355	156
1416019_at	112	23	33	33	91	48
1416020_a_at	953	134	1070	1623	2203	1420
1416021_a_at	9504	10003	8744	8009	7072	8054
