GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1433189_at	4	4	4	4	4	4
1433190_at	5	5	5	5	5	5
1433191_at	6	15	70	8	9	74
1433192_at	5	5	5	5	5	5
1433193_at	5	5	5	5	5	14
1433194_at	5	6	5	5	5	5
1433195_at	4	4	4	4	4	4
1433196_at	4	5	5	5	4	5
1433197_at	4	4	4	4	4	4
1433198_at	4	4	4	4	4	5
1433199_at	5	5	5	5	5	5
1433200_at	19	19	19	19	7	8
1433201_at	5	5	5	5	5	5
1433202_at	5	4	8	4	4	4
1433203_at	12	79	37	5	5	5
1433204_at	7	7	7	7	7	8
1433205_at	5	5	5	9	19	5
1433206_at	4	31	5	4	4	5
1433207_at	4	5	4	15	4	4
1433208_at	5	5	5	6	5	5
1433209_at	5	6	5	9	8	8
1433210_at	4	4	4	4	4	4
1433211_at	5	5	5	5	4	5
1433212_at	5	5	5	5	5	5
1433213_at	6	6	6	6	6	6
1433214_x_at	7	6	6	6	5	6
1433215_at	5	5	5	5	5	5
1433216_at	5	5	5	5	5	5
1433217_at	5	5	5	5	5	5
1433218_at	5	5	5	14	5	5
1433219_at	5	5	5	6	5	6
1433220_at	5	5	5	5	5	6
1433221_at	4	4	4	4	4	4
1433222_at	5	5	5	5	5	5
1433223_at	9	7	107	30	7	6
1433224_at	21	101	69	99	137	22
1433225_at	5	5	5	5	10	8
1433226_at	9	9	9	9	9	10
1433227_at	5	5	5	5	5	5
1433228_at	5	5	5	5	5	5
1433229_at	5	6	6	57	5	6
1433230_at	4	5	5	5	4	5
1433231_at	5	5	5	5	5	5
1433232_at	5	5	5	5	5	5
1433233_at	19	5	49	5	5	5
1433234_at	5	5	5	5	5	5
1433235_at	5	5	5	5	5	5
1433236_at	5	5	5	5	5	5
1433237_at	5	5	5	5	5	5
1433238_at	7	7	7	7	7	7
1433239_at	5	5	5	5	5	5
1433240_at	5	5	45	5	6	74
1433241_at	5	5	5	5	5	5
1433242_at	5	65	5	108	5	5
1433243_at	22	22	154	17	21	18
1433244_at	5	5	5	5	5	5
1433245_at	68	15	5	5	5	5
1433246_at	5	5	5	5	5	5
1433247_at	5	6	6	5	5	6
1433248_at	5	5	5	5	5	5
1433249_at	5	5	5	5	5	5
1433250_at	5	5	5	5	5	5
1433251_at	4	4	4	4	5	6
1433252_at	5	5	5	5	5	5
1433253_at	4	4	4	4	4	4
1433254_at	5	5	5	5	5	5
1433255_at	27	5	5	5	22	5
1433256_at	5	6	5	5	9	6
1433257_at	5	6	5	5	5	6
1433258_at	6	7	6	6	6	7
1433259_at	5	5	5	5	5	5
1433260_at	5	5	5	5	5	5
1433261_at	5	5	5	5	5	5
1433262_at	6	6	8	7	6	6
1433263_at	5	5	5	5	5	5
1433264_at	26	29	26	19	22	23
1433265_at	5	6	5	5	7	5
1433266_at	6	6	8	17	20	6
1433267_at	6	6	6	12	6	6
1433268_at	5	5	5	5	5	5
1433269_at	5	5	5	5	5	5
1433270_at	6	6	6	6	5	7
1433271_at	5	5	5	5	5	5
1433272_at	4	67	5	4	4	5
1433273_at	41	41	41	12	41	38
1433274_at	5	5	5	5	5	5
1433275_at	5	5	5	5	7	5
1433276_at	5	5	5	5	5	5
1433277_at	5	5	336	5	5	5
1433278_at	4	4	4	4	4	4
1433279_at	4	4	4	4	4	4
1433280_at	5	6	6	6	5	6
1433281_at	4	4	51	161	5	5
1433282_at	6	6	6	6	5	6
1433283_s_at	5	5	5	5	5	5
1433284_at	5	5	5	5	5	5
1433285_at	5	5	5	5	5	5
1433286_at	5	5	6	5	5	5
1433287_at	8	9	9	9	9	9
1433288_at	5	6	6	5	5	6
1433289_at	4	4	4	4	4	4
1433290_at	5	5	27	5	5	73
1433291_at	5	5	131	5	5	11
1433292_at	5	5	38	5	5	5
1433293_at	5	284	77	5	5	5
1433294_at	5	5	5	5	5	6
1433295_at	5	5	5	5	5	5
1433296_at	5	5	5	5	5	5
1433297_at	5	5	5	5	5	5
1433298_at	5	5	5	5	5	5
1433299_at	5	5	5	5	5	5
1433300_at	6	6	6	6	5	6
1433301_at	4	5	5	5	4	5
1433302_at	583	902	897	11	43	19
1433303_at	5	5	5	5	5	5
1433304_at	5	5	5	5	5	5
1433305_at	5	6	10	5	5	5
1433306_at	5	5	5	5	5	5
1433307_at	4	4	4	4	4	5
1433308_at	5	5	5	5	5	5
1433309_at	5	5	5	5	5	5
1433310_at	5	5	52	5	5	5
1433311_at	7	5	57	5	5	6
1433312_at	5	5	5	5	5	8
1433313_at	5	5	11	5	26	5
1433314_at	5	5	5	5	5	5
1433315_at	4	5	5	4	4	5
1433316_at	5	5	5	5	5	5
1433317_at	5	6	6	6	6	7
1433318_at	5	5	5	5	5	5
1433319_at	5	5	5	5	5	5
1433320_at	5	5	5	5	5	5
1433321_at	5	5	5	5	5	5
1433322_at	5	5	5	5	5	5
1433323_at	6	6	6	6	6	6
1433324_at	7	5	5	5	5	5
1433325_at	5	5	5	6	5	5
1433326_at	5	5	5	5	5	5
1433327_at	5	5	5	5	5	5
1433328_at	5	5	5	5	5	5
1433329_at	4	4	4	4	4	4
1433330_at	5	5	5	5	5	5
1433331_at	6	18	6	6	5	6
1433332_at	5	6	5	5	5	5
1433333_at	5	5	5	5	4	5
1433334_at	4	4	4	4	4	4
1433335_at	5	6	6	6	5	6
1433336_at	5	5	5	5	5	5
1433337_at	5	5	5	5	5	5
1433338_at	5	5	5	5	5	5
1433339_at	5	5	5	5	5	5
1433340_at	5	5	5	5	5	5
1433341_at	5	5	5	5	5	5
1433342_at	6	8	7	7	7	10
1433343_at	6	6	6	6	6	6
1433344_at	7	7	8	7	7	8
1433345_s_at	5	6	6	5	5	6
1433346_at	7	7	12	7	7	7
1433347_at	5	5	5	5	5	5
1433348_at	5	60	5	5	5	5
1433349_at	5	5	5	6	11	5
1433350_at	5	5	5	5	5	5
1433351_at	4	4	4	4	8	4
1433352_at	4	4	4	4	4	4
1433353_at	5	5	5	5	5	5
1433354_at	5	5	5	5	5	5
1433355_at	5	6	6	5	5	6
1433356_at	5	5	5	5	5	5
1433357_at	5	125	5	14	5	5
1433358_at	5	5	5	5	5	5
1433359_at	5	5	5	5	5	5
1433360_at	4	4	7	4	4	4
1433361_at	6	6	6	6	5	85
1433362_at	5	5	5	19	15	63
1433363_at	11	74	7	5	5	30
1433364_at	22	5	113	5	4	5
1433365_at	5	6	6	5	5	6
1433366_at	5	19	5	30	16	13
1433367_at	5	6	6	6	5	6
1433368_x_at	6	9	7	6	6	7
1433369_at	5	5	5	5	5	5
1433370_at	4	4	4	4	4	4
1433371_at	6	6	6	6	6	6
1433372_at	5	5	9	5	5	5
1433373_at	6	7	6	6	6	6
1433374_at	5	6	17	5	5	6
1433375_at	5	5	5	5	5	5
1433376_at	5	5	5	5	11	5
1433377_at	5	5	5	5	12	7
1433378_at	5	6	6	5	5	6
1433379_at	101	5	5	6	6	5
1433380_at	5	5	5	5	5	5
1433381_at	5	5	5	5	5	5
1433382_at	4	4	4	4	4	4
1433383_at	6	7	7	6	6	7
1433384_at	5	5	5	5	5	5
1433385_at	4	4	4	4	4	4
1433386_at	5	5	5	5	5	5
1433387_at	40	69	216	24	11	12
1433388_at	10	6	6	28	6	6
1433389_at	5	10	5	5	5	5
1433390_at	70	55	5	5	5	5
1433391_at	5	5	5	5	5	5
1433392_at	5	5	5	5	5	5
1433393_at	5	5	37	5	5	5
1433394_at	4	4	4	4	4	4
1433395_at	5	5	183	14	5	5
1433396_at	6	7	20	8	6	7
1433397_at	5	5	5	13	6	38
1433398_at	5	5	5	5	21	12
1433399_at	6	5	5	5	59	5
1433400_at	4	4	4	4	4	4
1433401_at	5	5	5	5	5	5
1433402_at	5	5	5	5	5	5
1433403_at	4	4	4	4	4	4
1433404_at	7	9	8	7	6	10
1433405_at	5	5	5	5	5	5
1433406_at	5	6	5	5	5	5
1433407_at	5	5	5	16	37	5
1433408_a_at	5	5	5	42	155	5
1433409_at	7	7	12	7	10	7
1433410_at	4	4	4	4	4	5
1433411_at	16	26	23	24	26	147
1433412_at	13	13	13	13	13	49
1433413_at	3825	2826	5081	2874	1386	926
1433414_at	5	14	230	12	5	38
1433415_at	5	5	5	5	4	5
1433416_at	4	4	4	4	4	5
1433417_at	45	78	87	77	90	173
1433418_at	5	5	5	5	5	5
1433419_at	6	5	5	5	5	5
1433420_at	5	6	6	6	5	6
1433421_at	12	12	12	12	12	13
1433422_at	5	7	7	7	7	8
1433423_at	6	6	6	6	6	9
1433424_at	6	8	8	8	7	15
1433425_at	5	5	5	5	5	7
1433426_at	5	5	5	5	5	5
1433427_at	5	5	5	5	5	5
1433428_x_at	753	7	6	6	6	7
1433429_at	747	871	1295	102	88	92
1433430_s_at	98	270	165	647	783	290
1433431_at	5	5	5	5	5	5
1433432_x_at	7199	4310	4663	17733	15586	15943
1433433_at	72	7	155	29	218	30
1433434_at	5	5	5	5	5	5
1433435_at	5	5	5	5	5	5
1433436_s_at	18	24	8	88	121	134
1433437_at	5	5	5	5	5	5
1433438_x_at	6	6	6	6	6	6
1433439_at	240	458	569	154	276	11
1433440_x_at	325	220	304	1009	1053	596
1433441_at	169	1296	257	325	197	420
1433442_at	1494	834	3229	1981	1887	1734
1433443_a_at	14711	15234	17502	11005	8973	8635
1433444_at	1210	2648	2666	712	741	632
1433445_x_at	1528	3721	3061	858	988	836
1433446_at	2790	1200	1976	1388	1318	2959
1433447_x_at	2681	2974	3858	2521	4251	2662
1433448_at	1192	923	385	39	34	7
1433449_at	36	37	270	83	29	37
1433450_at	282	20	307	623	804	292
1433451_at	140	12	22	372	310	39
1433452_at	7	8	8	8	11	8
1433453_a_at	720	309	239	16	64	12
1433454_at	63	91	48	12	9	15
1433455_at	84	5	5	5	7	5
1433456_at	5	5	5	6	5	5
1433457_s_at	204	14	232	159	188	204
1433458_at	5	5	5	5	5	6
1433459_x_at	6	6	6	6	6	6
1433460_at	373	82	87	237	442	304
1433461_at	201	126	224	698	658	568
1433462_a_at	248	102	142	256	146	1299
1433463_at	227	124	93	156	128	5
1433464_at	99	53	270	17	31	23
1433465_a_at	5	5	5	5	5	5
1433466_at	5	6	6	5	5	6
1433467_at	5	5	5	5	11	5
1433468_at	34	138	47	66	16	16
1433469_at	90	50	45	6	7	9
1433470_a_at	644	153	36	378	785	659
1433471_at	23	103	8	108	66	10
1433472_x_at	11377	5144	7427	17014	15980	16048
1433473_x_at	635	746	1781	281	236	96
1433474_at	6	166	102	5	5	6
1433475_a_at	1264	818	484	650	830	1000
1433476_at	748	903	1300	1116	872	682
1433477_at	336	185	112	40	43	73
1433478_at	229	17	134	558	288	54
1433479_at	127	66	21	149	407	347
1433480_at	511	176	332	864	1019	1574
1433481_at	111	83	231	199	5	6
1433482_a_at	256	74	325	1837	2777	1573
1433483_s_at	5	5	5	5	5	7
1433484_at	5	5	5	5	5	5
1433485_x_at	3735	4618	3815	2704	3241	3713
1433486_at	948	2527	170	752	375	277
1433487_at	1222	238	263	328	453	177
1433488_x_at	1685	1457	1348	811	232	176
1433489_s_at	3530	2993	3674	497	920	722
1433490_s_at	587	975	942	369	352	437
1433491_at	1025	1115	704	672	674	1244
1433492_at	1182	1286	1209	1182	606	3893
1433493_at	29	8	5	5	5	4
1433494_at	52	7	6	9	6	6
1433495_at	48	215	487	113	540	572
1433496_at	261	8	89	259	530	232
1433497_at	37	142	28	127	59	62
1433498_at	59	7	168	5	92	35
1433499_at	25	65	25	25	25	25
1433500_at	6	11	20	29	24	39
1433501_at	1750	603	2330	68	184	4
1433502_s_at	84	62	11	41	57	22
1433503_at	729	442	166	406	166	182
1433504_at	5196	7312	6362	1699	1096	1319
1433505_a_at	87	116	165	135	557	1169
1433506_at	115	12	7	158	191	90
1433507_a_at	1233	2434	1495	8280	8942	8487
1433508_at	156	74	248	508	992	30
1433509_s_at	81	5	5	82	35	9
1433510_x_at	7243	2857	5655	13185	13477	14027
1433511_at	280	801	288	294	229	166
1433512_at	5	5	5	5	5	5
1433513_x_at	4004	3100	3799	2325	3146	2605
1433514_at	582	314	196	29	198	191
1433515_s_at	252	460	72	583	569	757
1433516_a_at	4433	3261	3472	6089	4735	5266
1433517_at	14	5	5	5	5	5
1433518_at	9	37	11	5	16	5
1433519_at	360	88	396	1418	2723	1813
1433520_at	609	222	90	114	108	58
1433521_at	272	166	282	239	313	123
1433522_at	189	102	15	15	41	10
1433523_at	51	5	5	5	5	5
1433524_at	101	60	42	108	21	61
1433525_at	162	85	61	5	5	6
1433526_at	86	26	27	16	49	41
1433527_at	243	19	315	205	67	33
1433528_at	116	256	288	1504	1255	804
1433529_at	1139	132	121	262	162	7
1433530_at	48	6	7	14	48	6
1433531_at	156	21	10	12	82	51
1433532_a_at	6610	7810	5327	2263	485	1568
1433533_x_at	398	143	249	250	335	311
1433534_a_at	1358	2174	914	2160	3237	3009
1433535_x_at	3345	754	1909	7960	7622	6941
1433536_at	277	10	8	125	352	1157
1433537_at	808	1441	266	672	1019	715
1433538_at	10	471	12	4	4	11
1433539_at	380	631	1126	873	1760	2411
1433540_x_at	4125	3751	3533	2106	5310	4347
1433541_a_at	549	515	500	6959	3619	3602
1433542_at	235	787	596	296	501	349
1433543_at	226	614	47	373	205	858
1433544_at	62	62	41	27	44	90
1433545_s_at	210	236	22	30	12	10
1433546_at	1344	987	1349	513	350	263
1433547_s_at	5	54	5	46	84	132
1433548_at	25	6	7	5	6	6
1433549_x_at	9006	6693	12691	12015	12800	14823
1433550_at	62	6	6	7	99	5
1433551_at	5	5	5	5	5	5
1433552_a_at	447	521	499	580	767	1536
1433553_at	252	6	8	8	16	8
1433554_at	297	200	358	240	630	348
1433555_at	7	7	6	7	14	7
1433556_at	6	5	6	5	6	6
1433557_at	89	9	7	22	7	7
1433558_at	997	295	243	178	246	59
1433559_at	6	6	8	6	12	4
1433560_at	4	4	4	4	4	4
1433561_at	255	447	502	24	37	210
1433562_s_at	2257	3981	665	1425	1963	1583
1433563_s_at	1406	1110	486	177	428	109
1433564_at	19	9	12	9	643	30
1433565_at	56	6	128	2962	1290	263
1433566_at	24	832	13	29	6	6
1433567_at	14	250	18	77	336	1082
1433568_at	14	9	10	25	24	9
1433569_x_at	3362	2559	3528	8825	10037	9950
1433570_s_at	5	6	86	57	25	5
1433571_at	85	621	96	67	26	47
1433572_a_at	4002	5698	3518	3471	5736	6611
1433573_x_at	5	5	5	5	5	5
1433574_at	367	247	34	58	98	127
1433575_at	11	178	97	2586	2699	3421
1433576_at	1859	1429	1171	1191	1270	482
1433577_at	5	6	5	5	5	6
1433578_at	5	5	5	5	5	5
1433579_at	5	5	5	5	5	5
1433580_at	6	60	6	6	79	115
1433581_at	27	251	27	26	50	27
1433582_at	29	29	88	29	29	111
1433583_at	1815	747	12	8	104	640
1433584_at	5	5	5	5	5	5
1433585_at	356	760	193	391	492	427
1433586_at	35	15	25	23	53	12
1433587_at	22	233	24	28	26	22
1433588_at	402	717	1790	385	271	232
1433589_at	816	933	739	411	642	202
1433590_at	187	8	21	33	59	45
1433591_at	37	19	16	18	19	16
1433592_at	2394	1706	629	2212	279	299
1433593_at	1026	291	570	674	259	122
1433594_at	402	90	202	476	1431	590
1433595_at	349	195	68	20	27	11
1433596_at	67	26	50	4	4	41
1433597_at	1852	864	1314	1138	1534	867
1433598_at	938	482	879	286	438	890
1433599_at	5	5	5	215	291	301
1433600_at	468	65	323	14	32	10
1433601_at	482	137	746	9	17	9
1433602_at	5	5	5	5	5	6
1433603_at	2127	238	1867	2233	2123	2345
1433604_x_at	9199	3278	7685	1501	1166	1127
1433605_at	279	120	52	48	53	19
1433606_at	56	10	311	5	60	452
1433607_at	5	5	5	5	5	5
1433608_at	39	325	5	5	11	6
1433609_s_at	16	14	34	53	183	223
1433610_at	6	6	20	6	16	6
1433611_s_at	247	89	309	1067	1137	284
1433612_at	1649	35	479	1218	704	876
1433613_at	56	210	472	37	172	265
1433614_at	102	32	76	13	25	54
1433615_at	29	26	7	49	6	6
1433616_a_at	1791	1791	828	2199	2274	2866
1433617_s_at	294	29	75	46	37	29
1433618_at	684	1394	469	79	442	807
1433619_at	6	6	6	85	31	77
1433620_at	156	8	15	6	34	111
1433621_at	23	15	16	86	63	15
1433622_at	5	5	5	57	7	80
1433623_at	24	171	16	1027	1125	1731
1433624_at	447	1049	216	367	526	282
1433625_at	578	1204	337	897	1848	1261
1433626_at	66	19	38	14	84	40
1433627_at	117	35	28	102	233	246
1433628_at	34	27	27	53	44	7
1433629_s_at	39	86	32	42	311	12
1433630_at	59	8	557	74	7	5
1433631_at	864	1432	358	1436	1363	3027
1433632_at	112	5	132	122	336	76
1433633_at	3111	3892	4527	3437	2960	2217
1433634_at	760	381	381	204	741	898
1433635_at	6	5	32	21	11	6
1433636_at	25	367	24	309	165	111
1433637_at	82	18	256	29	22	7
1433638_s_at	5	6	6	6	5	6
1433639_at	48	49	346	6	26	5
1433640_at	70	361	350	210	480	496
1433641_at	325	227	319	1071	756	1031
1433642_at	24	73	108	24	39	36
1433643_at	6	5	5	14	8	5
1433644_at	1145	393	427	22	69	175
1433645_at	286	1807	242	836	772	1619
1433646_at	229	72	68	47	67	22
1433647_s_at	119	411	176	491	558	280
1433648_at	844	2876	781	545	375	547
1433649_at	5	6	9	9	44	9
1433650_at	42	74	59	42	25	26
1433651_at	47	47	40	40	72	42
1433652_at	390	7	595	4	5	6
1433653_at	1966	1793	480	42	8	5
1433654_at	3459	3545	3073	5140	5696	4942
1433655_at	251	390	579	636	306	97
1433656_a_at	27	28	19	32	246	33
1433657_at	5	7	11	5	6	6
1433658_x_at	558	441	1051	149	669	759
1433659_at	190	492	408	477	1274	1464
1433660_at	137	201	208	867	599	144
1433661_at	33	301	116	15	6	7
1433662_s_at	1895	1915	994	33	164	59
1433663_s_at	213	419	128	130	362	450
1433664_at	35	190	74	348	175	140
1433665_at	5	4	6	7	4	4
1433666_s_at	245	6	18	43	291	191
1433667_at	84	14	58	5	5	5
1433668_at	687	714	800	1714	1003	634
1433669_at	112	86	265	138	122	85
1433670_at	1820	239	442	634	64	367
1433671_at	1090	1305	162	654	33	54
1433672_at	271	241	465	933	206	204
1433673_at	5	5	5	5	5	5
1433674_a_at	150	8	174	1457	1416	410
1433675_at	89	116	567	1280	691	285
1433676_at	1134	2364	825	1660	1512	1775
1433677_at	5	5	5	5	6	5
1433678_at	5	6	6	6	5	6
1433679_at	960	640	618	1131	1226	1105
1433680_x_at	28	43	23	75	101	75
1433681_x_at	5	6	5	5	5	5
1433682_at	776	456	1000	17	8	28
1433683_at	6	6	6	6	6	6
1433684_at	29	4	15	111	9	41
1433685_a_at	886	285	374	2004	1835	946
1433686_at	22	57	16	19	52	18
1433687_at	46	5	24	79	5	5
1433688_x_at	4285	1276	2520	9172	10295	10243
1433689_s_at	1447	768	3064	11089	10720	7134
1433690_at	1413	2313	449	232	981	17
1433691_at	764	708	532	4	17	39
1433692_at	4	5	52	6	81	6
1433693_x_at	184	278	297	184	289	205
1433694_at	5	8	5	147	315	311
1433695_at	426	8	34	91	116	56
1433696_at	9	11	20	392	710	868
1433697_at	108	28	30	53	68	358
1433698_a_at	49	30	6	53	110	19
1433699_at	4	22	6	4	4	4
1433700_at	5	5	5	5	5	5
1433701_at	13	5	7	11	4	5
1433702_at	526	682	260	31	94	37
1433703_s_at	13	11	15	40	82	28
1433704_s_at	4632	4905	3462	1987	2042	2842
1433705_at	25	9	14	85	11	28
1433706_a_at	11801	9395	9530	3549	2875	2113
1433707_at	235	922	240	5	60	6
1433708_at	71	169	45	293	464	900
1433709_at	350	76	353	160	481	636
1433710_at	243	418	25	268	48	110
1433711_s_at	991	919	730	85	65	113
1433712_at	65	43	53	43	13	63
1433713_at	200	20	131	340	887	636
1433714_at	299	235	5	5	5	5
1433715_at	5	5	5	5	5	6
1433716_x_at	41	8	16	6	6	7
1433717_at	451	323	4222	184	232	770
1433718_a_at	428	135	401	1020	1619	1057
1433719_at	198	573	309	7	16	7
1433720_s_at	1822	2773	1707	141	35	174
1433721_x_at	9276	6243	13729	17428	18355	19575
1433722_at	26	13	16	204	86	252
1433723_s_at	273	776	1698	349	1064	1005
1433724_at	88	252	122	153	175	45
1433725_at	202	350	43	632	92	37
1433726_at	421	156	352	171	179	312
1433727_at	19	5	6	27	5	5
1433728_at	4	4	4	4	4	4
1433729_x_at	828	820	817	793	1078	853
1433730_at	83	20	146	18	72	5
1433731_at	5	5	70	5	5	5
1433732_x_at	6	6	53	6	5	5
1433733_a_at	106	172	67	136	86	142
1433734_at	5	5	5	5	5	12
1433735_a_at	55	88	62	53	50	156
1433736_at	64	297	107	155	504	915
1433737_at	205	520	181	713	429	499
1433738_at	519	393	938	419	452	781
1433739_at	11	123	7	26	45	7
1433740_at	230	698	1485	262	126	187
1433741_at	492	481	412	29	12	12
1433742_at	194	77	142	5	5	6
1433743_at	152	119	22	182	400	235
1433744_at	533	12	87	5	5	24
1433745_at	21	43	57	104	134	126
1433746_at	157	399	194	543	342	564
1433747_at	4915	2912	4586	3749	2360	3365
1433748_at	5011	1936	954	242	671	57
1433749_at	5725	3737	3684	3529	2885	2899
1433750_at	294	198	17	184	117	19
1433751_at	823	865	143	501	422	148
1433752_s_at	309	341	1243	71	195	307
1433753_x_at	174	89	261	111	186	5
1433754_at	2874	3361	2060	357	305	392
1433755_at	252	245	121	65	73	288
1433756_at	67	347	23	5	5	5
1433757_a_at	49	11	8	34	106	42
1433758_at	352	132	32	6	16	43
1433759_at	299	1468	117	524	570	138
1433760_a_at	8	9	358	9	8	9
1433761_at	40	24	191	32	29	16
1433762_at	40	61	33	76	105	77
1433763_at	172	261	300	29	77	12
1433764_at	4	4	4	4	4	4
1433765_at	6	6	5	6	10	58
1433766_at	12	18	546	21	78	97
1433767_at	63	116	71	22	204	253
1433768_at	53	160	11	14	12	7
1433769_at	9	166	225	5	5	5
1433770_at	9018	10677	11032	9290	9124	10145
1433771_at	543	589	295	203	70	47
1433772_at	425	666	122	81	156	21
1433773_at	164	407	146	28	65	99
1433774_x_at	188	443	2961	17	97	219
1433775_at	4	5	4	11	4	4
1433776_at	676	469	230	168	158	408
1433777_at	60	36	11	38	73	16
1433778_at	364	329	137	247	455	157
1433779_at	536	687	209	156	235	119
1433780_at	64	8	38	15	42	29
1433781_a_at	5452	4811	2173	3197	1751	981
1433782_at	97	292	78	13	22	9
1433783_at	5	6	6	6	5	6
1433784_at	600	2398	889	350	1096	1183
1433785_at	687	1912	609	351	62	443
1433786_x_at	1600	595	870	1695	1287	1651
1433787_at	5	6	6	6	5	6
1433788_at	58	11	7	7	8	7
1433789_at	14	15	17	15	19	15
1433790_at	9	9	9	18	9	9
1433791_at	5	6	5	5	5	7
1433792_at	11	7	8	7	6	7
1433793_s_at	6	6	6	6	6	6
1433794_at	187	45	45	204	230	432
1433795_at	100	5	5	5	4	5
1433796_at	714	694	1188	64	64	14
1433797_at	8	10	10	10	13	10
1433798_a_at	5	5	5	5	5	5
1433799_at	41	40	12	31	70	161
1433800_a_at	5	5	5	5	5	5
1433801_at	53	5	5	5	5	5
1433802_at	64	65	58	13	10	13
1433803_at	212	20	126	82	87	180
1433804_at	314	744	1087	237	536	1229
1433805_at	781	654	504	531	99	89
1433806_x_at	4396	3716	3812	1531	2154	1845
1433807_at	5	7	7	10	87	272
1433808_at	5	5	5	5	5	5
1433809_at	4	4	4	4	4	4
1433810_x_at	5	5	5	5	5	5
1433811_at	378	28	121	582	145	39
1433812_at	223	257	337	23	68	6
1433813_at	391	1080	320	1693	799	747
1433814_at	5	5	5	5	5	75
1433815_at	136	14	234	13	14	15
1433816_at	436	471	215	388	1216	437
1433817_at	1272	1067	2047	451	143	216
1433818_at	71	617	96	36	26	111
1433819_s_at	537	851	655	307	146	213
1433820_a_at	1123	1118	846	96	405	83
1433821_at	540	202	472	134	111	196
1433822_x_at	728	322	560	1242	1812	967
1433823_at	5	7	31	17	5	6
1433824_x_at	379	934	429	525	1212	1333
1433825_at	16	124	14	8	4	30
1433826_at	8	5	52	5	5	5
1433827_at	1916	587	763	265	167	10
1433828_at	50	418	133	32	7	5
1433829_a_at	551	757	699	485	618	794
1433830_at	1163	2114	2743	1028	1982	1518
1433831_at	20	11	77	128	24	9
1433832_at	3911	6040	2930	3512	3500	1860
1433833_at	112	35	35	16	7	11
1433834_at	660	874	397	383	174	319
1433835_at	15	6	19	33	99	114
1433836_a_at	4	4	4	4	4	4
1433837_at	4	4	4	4	4	4
1433838_at	6	210	81	45	19	22
1433839_at	39	205	5	7	27	5
1433840_a_at	8	5	5	4	5	5
1433841_at	14	7	17	7	7	7
1433842_at	10	8	8	12	62	10
1433843_at	8	5	147	6	10	5
1433844_a_at	5	6	5	5	5	5
1433845_x_at	5	5	5	5	5	5
1433846_s_at	18	22	23	173	49	65
1433847_at	38	8	70	5	8	6
1433848_at	209	634	122	373	557	672
1433849_at	6	71	35	91	104	127
1433850_at	855	29	207	956	1270	616
1433851_at	237	401	755	206	184	111
1433852_at	5906	5801	4719	1407	1532	2920
1433853_at	12	13	12	10	11	11
1433854_at	290	420	332	61	102	48
1433855_at	1891	2484	1218	362	156	150
1433856_at	6	13	5	45	63	13
1433857_at	2855	2301	1094	1580	1870	2091
1433858_at	6	12	21	31	17	10
1433859_at	639	576	117	159	330	265
1433860_at	8	5	5	42	35	69
1433861_at	78	35	21	11	22	10
1433862_at	11	12	12	97	471	1188
1433863_at	21	6	6	6	12	6
1433864_at	6	6	7	7	10	7
1433865_at	6	6	6	6	6	6
1433866_x_at	9801	10222	8317	6957	7501	6544
1433867_at	197	123	176	104	238	86
1433868_at	445	450	249	137	22	41
1433869_at	945	1858	840	647	539	123
1433870_at	5	5	5	5	5	5
1433871_at	1512	30	1060	574	1410	1446
1433872_at	11	8	8	68	35	22
1433873_s_at	29	161	30	133	193	266
1433874_at	5	5	5	5	5	5
1433875_at	608	910	838	390	357	48
1433876_at	5	5	5	5	5	5
1433877_at	6	6	6	6	6	6
1433878_at	69	716	18	147	206	32
1433879_a_at	179	46	73	1511	1066	1379
1433880_at	13	12	6	65	26	34
1433881_at	16	5	5	5	17	5
1433882_at	191	49	203	521	218	219
1433883_at	255	138	960	927	1383	879
1433884_at	384	63	127	7	4	5
1433885_at	5	5	5	7	24	5
1433886_at	100	8	30	150	224	50
1433887_at	150	279	576	8	100	43
1433888_at	2232	87	2542	1284	1045	796
1433889_at	6	7	9	6	6	7
1433890_a_at	366	95	125	395	546	447
1433891_at	2022	3373	1220	150	28	25
1433892_at	5	12	6	10	51	6
1433893_s_at	13	179	11	182	532	161
1433894_at	7	26	9	7	6	7
1433895_at	2130	905	1893	2685	1803	1441
1433896_at	385	55	10	7	10	7
1433897_at	435	501	67	197	486	561
1433898_at	9	6	81	32	29	83
1433899_x_at	95	102	138	83	86	87
1433900_at	447	111	164	54	148	29
1433901_at	53	510	62	1059	1190	1043
1433902_at	31	297	263	91	77	280
1433903_at	21	10	101	179	655	701
1433904_at	6	6	6	6	6	6
1433905_at	139	27	230	135	51	207
1433906_at	167	13	51	55	10	13
1433907_at	122	5	5	25	20	85
1433908_a_at	2125	231	365	364	2747	684
1433909_at	6	24	18	7	7	7
1433910_at	16	64	56	123	366	11
1433911_at	277	52	110	163	215	44
1433912_at	656	271	41	200	366	156
1433913_at	402	958	7	85	282	60
1433914_at	21	5	5	5	5	6
1433915_s_at	237	171	632	587	75	201
1433916_at	1320	1656	1247	978	2312	2113
1433917_x_at	6	6	68	6	6	6
1433918_at	6	6	6	6	6	7
1433919_at	11	5	5	5	5	5
1433920_at	7	6	6	25	95	7
1433921_s_at	187	14	148	310	549	169
1433922_at	301	89	532	101	339	158
1433923_at	4	4	4	4	4	4
1433924_at	2655	441	1302	1336	1805	386
1433925_at	231	186	242	326	458	242
