"","TAPbyQNP","AveExpr","F","P.Value","adj.P.Val"
"Mt-nd4",5.8542772396973,9.78505810960305,7.92214431391328,0.00488333605369761,0.999980049953172
"Mrpl43",-5.81614946529814,5.0060778402612,7.81928955999865,0.00516915114590521,0.999980049953172
"Hspe1",5.80715563605716,4.86847803289017,7.79512546946386,0.00523873725207954,0.999980049953172
"AABR07061378.1",5.78253346328588,6.24857298005469,7.72916338990384,0.00543359201834025,0.999980049953172
"Mt-co2",5.7780166526092,10.530693930282,7.71709340944852,0.00547003927494821,0.999980049953172
"Srsf5",5.75636457336384,6.06529285698394,7.65936493405605,0.0056478381481575,0.999980049953172
"RF00287",5.74606996120507,5.65920635361879,7.63199360167621,0.0057341885291394,0.999980049953172
"Mt-nd2",5.6907379791076,9.65178187244725,7.48571620096727,0.00621903283144635,0.999980049953172
"Mesd",-5.67843188989437,5.15869598910106,7.45337583029303,0.00633175852084437,0.999980049953172
"Uba52",5.65613094374696,7.32344054971689,7.39494739689294,0.00654073376121465,0.999980049953172
"Hmgcs1",5.63625387182594,6.31124561441647,7.34306330053431,0.0067322020532523,0.999980049953172
"Uqcc3",-5.58768121756413,5.64482624838565,7.21704513264221,0.00722144872015554,0.999980049953172
"Naa38",-5.53428007394784,5.36494455532892,7.0797585433198,0.00779595143866632,0.999980049953172
"AC109096.1",-5.53146413338011,3.63264660839494,7.07255576099458,0.00782735247159079,0.999980049953172
"RGD1566359",5.51981735399546,5.83592769351771,7.04280386351976,0.00795843458668227,0.999980049953172
"Ifitm2",-5.51254375974227,4.17749874933378,7.02425515321309,0.00804129129843644,0.999980049953172
"Ppp1ca",-5.51222035652998,5.74627521317588,7.02343099647389,0.00804499319550981,0.999980049953172
"Tpp1",-5.49481838055799,4.99694568467269,6.97915531664313,0.00824645217290312,0.999980049953172
"Cbx5",5.46555438184085,5.08549745658135,6.9050148743411,0.00859543111819192,0.999980049953172
"Ubl5",5.46549160742829,5.34041271264844,6.9048562606917,0.00859619369413565,0.999980049953172
"AABR07059891.1",5.43728915313189,5.27173450907611,6.83378068894034,0.0089449732400846,0.999980049953172
"Eif1",-5.4348445639509,6.18645848808655,6.82763717498296,0.00897579267408612,0.999980049953172
"AABR07006333.1",5.42663819487128,5.41719793233199,6.80703389609375,0.00907994670388322,0.999980049953172
"Gstp1",-5.41600028743493,6.19204151682414,6.78037222518777,0.00921656681837281,0.999980049953172
"Kazald1",-5.40417719265175,4.13653648561373,6.75080151639723,0.00937055802602764,0.999980049953172
"Nptx1",-5.39912506170047,2.81654893712472,6.73818535301379,0.00943705709154873,0.999980049953172
"Trappc1",-5.39779147607406,5.97895944640537,6.73485709620688,0.0094546805899824,0.999980049953172
"Tax1bp3",-5.38216097553573,4.13265485181884,6.69590902909021,0.00966343854743039,0.999980049953172
"AABR07027753.4",5.37826457713231,5.26887471362214,6.68621757411216,0.00971611373909403,0.999980049953172
"Zfp36",-5.36513512039224,3.68599469026409,6.6536125392548,0.00989549930989929,0.999980049953172
"Nr1d1",-5.3616410720954,4.19103386782805,6.64494902085829,0.00994373233717042,0.999980049953172
"Hist1h2bk",5.35741577022183,7.57417213567073,6.63447989321439,0.0100023395223358,0.999980049953172
"Ndufb10",-5.34569207278413,5.47479176246501,6.60547503934196,0.0101665677727912,0.999980049953172
"Fam89b",-5.33149688490672,5.00793193250232,6.57044067418058,0.0103686274533243,0.999980049953172
"AABR07018857.1",5.32916352094948,4.73779069331554,6.56469074132775,0.0104021812800851,0.999980049953172
"Slc25a11",-5.31655261437596,4.74516696035684,6.53365819812493,0.0105852039892071,0.999980049953172
"Rela",-5.31134681542308,4.6076817764085,6.52086936246668,0.010661587424808,0.999980049953172
"Chmp2b",-5.2911366354275,3.98747680999749,6.47133871975704,0.0109627921482483,0.999980049953172
"Mt-nd6",5.28409252214715,8.68372502063503,6.4541195464466,0.0110695383518716,0.999980049953172
"Sat1",5.28157858857247,5.65907865182234,6.44797984766653,0.0111078573838647,0.999980049953172
"Vamp2",-5.2770984045042,4.77719451186229,6.43704528191567,0.0111764395011703,0.999980049953172
"AC106292.2",-5.26217037221624,6.33229826992279,6.4006781355302,0.0114076781664231,0.999980049953172
"Gtf2b",5.25310690507411,4.70408309140718,6.37864829910556,0.0115501364344363,0.999980049953172
"Plekhg2",-5.25182187313465,3.42286412577193,6.37552794980246,0.0115704616443404,0.999980049953172
"Txndc17",-5.21901722693496,5.20146709068378,6.29612931721496,0.0121001901253462,0.999980049953172
"LOC691427",-5.21188954495133,5.51117672295399,6.27894364369781,0.0122180910001167,0.999980049953172
"LOC100911372",5.19370237302144,4.77941582800585,6.23519867188655,0.012523554278826,0.999980049953172
"Pus3",5.1905908941066,4.87695892120782,6.22773005837916,0.0125764852731616,0.999980049953172
"Slc25a10",-5.18690486549188,4.0023561586298,6.21888812077888,0.0126394464623365,0.999980049953172
"Plscr3",-5.18610212232695,4.76561461878789,6.21696335687471,0.0126531950906358,0.999980049953172
"Tmem223",-5.17213535491751,4.55133821258262,6.18352245795078,0.0128945327531483,0.999980049953172
"Grn",-5.16469954040528,6.91747046968804,6.16575553143958,0.01302467334202,0.999980049953172
"Arl4a",5.15798262656773,5.16986919819847,6.14972829987324,0.0131432291405936,0.999980049953172
"LOC108348287",-5.15467754192281,6.04920999089537,6.14184969224975,0.0132019145293057,0.999980049953172
"NEWGENE_1307313",-5.14395804115032,2.66262080231966,6.11633146917862,0.013393848350074,0.999980049953172
"Stub1",-5.14193157124884,4.9020053970067,6.11151334270766,0.013430408424071,0.999980049953172
"Emp3",-5.13346451351646,6.02586344577644,6.09140263882609,0.0135841206220659,0.999980049953172
"Psmc5",-5.13290131563828,4.88804966544329,6.09006612355797,0.0135943999093845,0.999980049953172
"Txn1",5.13073769678363,4.83729280606283,6.08493304034179,0.0136339534466187,0.999980049953172
"RF01164",-5.11498488909212,5.72791965915642,6.04762548922925,0.0139250108760421,0.999980049953172
"Mt-nd3",5.11261378382416,8.48748813408088,6.04201990745706,0.0139692924046558,0.999980049953172
"AABR07058464.1",5.11200425614383,4.88947487195962,6.04057932970042,0.0139806956915891,0.999980049953172
"Aldoc",-5.10600511710237,7.85071571153567,6.02640993157361,0.0140933691372128,0.999980049953172
"Serbp1",5.10185080932573,5.75300941942985,6.01660760022001,0.0141718625810137,0.999980049953172
"AABR07007000.1",-5.07947668297103,4.73284952081394,5.96395174482558,0.0146012786230455,0.999980049953172
"RF00096",-5.07476935700611,4.53259967129556,5.9529028679592,0.014693071104648,0.999980049953172
"Rnasek",-5.0699775172831,4.06893878321863,5.94166614489975,0.0147870336506349,0.999980049953172
"Mrpl17",-5.06688521517948,5.41119656817784,5.93442042301745,0.0148479509537698,0.999980049953172
"Mt-nd5",5.0523095780026,8.695789680999,5.90032707246728,0.0151380734146638,0.999980049953172
"Mir3099",5.04069795726201,2.520348978631,5.87323703419084,0.0153727592943315,0.999980049953172
"Zbtb4",-5.03420417159591,3.94641100254603,5.8581141382135,0.0155053985935231,0.999980049953172
"Sphk2",-5.01222038195278,3.8501949820041,5.80706243149717,0.0159619357088706,0.999980049953172
"Scyl1",-5.01116784326887,4.41755366693981,5.80462378529906,0.0159840872242242,0.999980049953172
"Ppp1r9b",-5.0110758626568,4.62421848566072,5.80441069806457,0.0159860243130785,0.999980049953172
"Zfp770",4.9886680804665,4.3143640420969,5.75261616376397,0.0164641203166299,0.999980049953172
"Rpl34",4.98307730700162,6.61724793368967,5.73972953685986,0.0165853462337372,0.999980049953172
"Aldh1a3",-4.97641358548415,3.56343308908577,5.72438866095787,0.0167308605114483,0.999980049953172
"AY172581.2",4.96112445581665,7.06793375355576,5.68926839898085,0.0170689692382725,0.999980049953172
"AC123095.1",-4.96111001847019,3.75400216047756,5.68923528639913,0.0170692913230421,0.999980049953172
"Bles03",-4.95365855385719,4.05450302477075,5.67215793938076,0.0172362403844701,0.999980049953172
"Fibp",-4.9520621309252,4.34147645321631,5.6685025788833,0.0172721937557157,0.999980049953172
"Rpl35",4.95039007425444,7.30851401467434,5.66467530161034,0.0173099209995846,0.999980049953172
"Eif4a2",4.94827862723505,5.81685338886691,5.65984412230394,0.0173576656159724,0.999980049953172
"Smcr8",-4.93891601824703,4.54522899110977,5.63844646887911,0.0175707695794115,0.999980049953172
"Morf4l2",4.93737414230447,5.41440563590557,5.6349264949095,0.0176060835654892,0.999980049953172
"Ran",4.9264307853639,6.31461498904776,5.60997530748827,0.0178585146501484,0.999980049953172
"AABR07025757.1",4.92638872082214,5.10021405316773,5.60987950586498,0.0178594910417942,0.999980049953172
"Rcn3",-4.91748776716222,3.86782629855037,5.5896260622761,0.0180671527118129,0.999980049953172
"Fzd4",-4.90591362032725,3.30182525898488,5.56334474941293,0.0183403415579607,0.999980049953172
"Samd9",4.90006315833984,5.36403855268403,5.55008372113591,0.0184798030251093,0.999980049953172
"Cavin3",-4.88721339045452,3.91038315598897,5.52101316625543,0.0187893735234842,0.999980049953172
"Zswim1",4.88660040250068,4.94532138865539,5.51962828614012,0.0188042540290918,0.999980049953172
"Acyp1",4.88181885414176,4.51439109966006,5.50883163615559,0.0189206820726946,0.999980049953172
"Ankrd46",4.86769689076058,4.5641563685416,5.47700620435891,0.019268232073599,0.999980049953172
"Fzd2",-4.8652706390383,4.19797595210956,5.47154765414314,0.0193285019166025,0.999980049953172
"Ctsd",-4.85614774485823,5.26456091409895,5.45104743750716,0.0195565979282684,0.999980049953172
"Nubp2",-4.85326304157277,4.02241492623955,5.44457317650425,0.0196292106276302,0.999980049953172
"Taf10",-4.85259546735832,5.02776483137487,5.44307545975009,0.019646048076395,0.999980049953172
"Tnfaip1",-4.8503712451132,4.39328388105243,5.43808685724866,0.0197022381106722,0.999980049953172
"Rras",-4.8464805608781,3.51586032001816,5.42936612560603,0.0198008651261039,0.999980049953172
"Casp4",4.84193854783746,4.14382231760125,5.41919433355302,0.0199165481633066,0.999980049953172
"Eef1a1",4.84164708936414,7.00434011664633,5.41854194089925,0.0199239915841476,0.999980049953172
"AABR07027753.3",4.82990427395075,3.00171859444569,5.39228981033528,0.0202259127173023,0.999980049953172
"AABR07040847.1",4.82884986464361,5.72696529992515,5.3899357015894,0.0202532170869834,0.999980049953172
"Psmc4",-4.82047612503138,4.8150699291635,5.37125846545783,0.020471202762741,0.999980049953172
"Cebpa",-4.8052304376747,3.47955723058066,5.33733690625539,0.0208733372689868,0.999980049953172
"AABR07026311.1",4.80274372710644,5.88445069204976,5.33181418345515,0.0209395780156899,0.999980049953172
"Ube2m",-4.79982171344144,4.95997205843802,5.3253283514291,0.0210176483620734,0.999980049953172
"Mtch2",4.79794113406955,4.1247233865146,5.32115622114837,0.0210680277111373,0.999980049953172
"Rbm3",4.79297772844038,5.9865054632525,5.31015258643821,0.0212014993478136,0.999980049953172
"AC130391.5",4.79277226017364,4.43761356842784,5.30969731853438,0.0212070404652742,0.999980049953172
"Trim8",-4.78817876478315,3.72330369896554,5.29952434103747,0.0213312487242804,0.999980049953172
"Lin37",-4.78641656207401,4.17334068180796,5.29562427041997,0.0213790666205954,0.999980049953172
"Dpf2",-4.78242321830639,4.31785987459526,5.28679159727221,0.0214877727746953,0.999980049953172
"RF00277",-4.78200922699715,5.02665984815831,5.28587633279512,0.0214990698635616,0.999980049953172
"RF00592",4.77932812393699,4.40204015016243,5.27995078741212,0.0215723576786575,0.999980049953172
"Rnd2",-4.7781408650956,4.81598465307666,5.27732787076987,0.0216048807565958,0.999980049953172
"AABR07056845.1",4.77161016266799,4.39378858440763,5.26291175957502,0.0217845432265658,0.999980049953172
"Sdf2",-4.7713982588789,4.13652723612643,5.26244432567236,0.0217903945062546,0.999980049953172
"Rsrc2",4.77027679879699,4.76283604759117,5.25997086721359,0.0218213840580468,0.999980049953172
"RF00087",-4.76644270579618,5.27124582970522,5.25151889946745,0.0219276222667698,0.999980049953172
"Psmd8",-4.75861874596946,4.82378017125303,5.23429265616735,0.0221458118903249,0.999980049953172
"Acsl3",4.75740536111937,5.12598901307263,5.23162364567861,0.0221798185784951,0.999980049953172
"AABR07033023.1",-4.75717493686782,4.73534458705528,5.2311168720583,0.0221862816464145,0.999980049953172
"Atp5md",-4.75501111776329,5.10622635110304,5.22635916754354,0.0222470536015646,0.999980049953172
"Ric8a",-4.73946553778176,4.16216517551917,5.19224190800531,0.0226879302827326,0.999980049953172
"Ppp2r5b",-4.73311291853725,3.42187337826211,5.17833222554837,0.022870265857147,0.999980049953172
"Vgll3",-4.73085195464207,3.72171782414252,5.17338612517251,0.0229354674780032,0.999980049953172
"Rpl37",-4.72150437841607,5.26598413968636,5.15296238488284,0.0232067493290922,0.999980049953172
"Tubg1",-4.71712327379512,4.48752068487075,5.1434039088222,0.0233348521173961,0.999980049953172
"AABR07039234.1",4.71674561208988,4.49392222764351,5.1425803607318,0.0233459235686581,0.999980049953172
"AABR07005618.1",-4.71670064837765,5.22817971101652,5.14248231499418,0.0233472420191271,0.999980049953172
"Tufm",-4.7153845831108,4.84664686349058,5.139612979552,0.0233858610452646,0.999980049953172
"Zfp830",-4.71155106263843,5.16986348896734,5.13125955589406,0.0234986692167394,0.999980049953172
"AABR07055919.2",4.70628134924705,4.04512220459014,5.11978768813051,0.0236545105521602,0.999980049953172
"Ppdpf",4.70255244459759,6.43462497387308,5.11167783005778,0.0237653265825411,0.999980049953172
"Lyar",4.69932576492527,4.56801237486138,5.10466543051228,0.0238615806160657,0.999980049953172
"Eef1d",4.69241052240881,4.98920215933069,5.08965305277394,0.0240690064858177,0.999980049953172
"Arl4d",-4.68940142585473,2.76937113771057,5.08312747416528,0.0241597527866314,0.999980049953172
"Prss23",-4.68441291260569,4.00934452029049,5.07231852047422,0.0243108465290796,0.999980049953172
"Wdr74",-4.67843456557854,4.32419551740371,5.05937998119681,0.0244929990308171,0.999980049953172
"AC126148.1",-4.67249758089001,3.71442587623261,5.04654731158166,0.024675060484115,0.999980049953172
"Set",4.67204530998158,4.3951351840577,5.04557040531874,0.0246889775938451,0.999980049953172
"Hrc",-4.66460766269308,2.62850597818723,5.02951863358888,0.0249188233370246,0.999980049953172
"Eef2",4.66111480917732,7.08455324834786,5.02198925667376,0.0250274009473186,0.999980049953172
"Pold4",-4.66070354387735,3.38961258883699,5.02110308292114,0.0250402123100511,0.999980049953172
"Ehd2",-4.66035989504085,3.57501117356285,5.0203626656846,0.0250509217002127,0.999980049953172
"Ncapd2",4.64919478748523,4.27251480872933,4.99633630474502,0.0254010324486296,0.999980049953172
"Kdelr1",-4.64366776656776,4.02607031732112,4.98446395175233,0.025575907773047,0.999980049953172
"Gmnn",4.64146212176651,3.45263015973508,4.97973004458877,0.0256459847325216,0.999980049953172
"Clec11a",-4.63995281212234,2.97717285181909,4.97649195608722,0.0256940336376005,0.999980049953172
"Furin",-4.63610631898183,3.04313257408464,4.96824441192959,0.0258168390513049,0.999980049953172
"Rogdi",-4.63263690597277,3.58747510259963,4.96081125961284,0.0259280406374513,0.999980049953172
"G6pc3",-4.63069209295336,3.78089666031895,4.95664696812911,0.0259905567217957,0.999980049953172
"Acan",-4.62775510879165,2.61006079767119,4.95036152447519,0.0260852131747338,0.999980049953172
"Smarcd2",-4.61222326243436,3.78620703772166,4.91718810661893,0.0265907614633144,0.999980049953172
"Rhno1",4.60919358220849,4.28042950401274,4.91073021688381,0.0266903553163728,0.999980049953172
"Kars",4.60890718641435,4.27020011699845,4.91011997183297,0.0266997865722537,0.999980049953172
"Ccdc47",-4.60866343790164,4.59024172920319,4.90960062842082,0.0267078156841303,0.999980049953172
"RGD1563270",4.60689359569256,4.24764993887562,4.90583053320767,0.0267661771097454,0.999980049953172
"Znf768",-4.60668887390785,4.00817529157893,4.90539453092279,0.0267729350132229,0.999980049953172
"Ftl1",-4.60272480826905,8.88980427131322,4.89695595819815,0.0269040803219448,0.999980049953172
"Shmt2",4.60116909509232,4.74188823408122,4.89364619202788,0.0269557001589312,0.999980049953172
"Cebpg",-4.60032972349868,4.75826051099306,4.89186090100587,0.0269835866907483,0.999980049953172
"Eny2",4.5958976051537,4.24942445651814,4.88243946233562,0.0271312487385305,0.999980049953172
"Socs2",4.59526356169754,5.06025099704663,4.88109240653959,0.0271524296762602,0.999980049953172
"Mir22",-4.59337625255718,3.88882122788397,4.87708382751264,0.027215561854444,0.999980049953172
"Marcks",4.58425150901043,5.97692831899797,4.85772641589206,0.0275225825258561,0.999980049953172
"LOC100363469",-4.58119748975704,4.85979178040439,4.85125615646045,0.0276260063995146,0.999980049953172
"Rbm8a",4.57852616709154,4.97644711669041,4.84560021508566,0.0277167449632716,0.999980049953172
"RF01225",-4.57523346239663,2.28761673119832,4.83863317249187,0.0278289439574431,0.999980049953172
"AABR07054578.1",4.57243801919269,4.46715874258205,4.83272222078429,0.0279245059017394,0.999980049953172
"Sssca1",-4.55606075874589,4.748700511255,4.79816516006118,0.0284900633695449,0.999980049953172
"Mir99a",-4.55356509393389,4.11920365825541,4.79291003598327,0.0285771069656826,0.999980049953172
"Pgp",-4.55236484592828,4.45819806752605,4.79038369785694,0.0286190506221795,0.999980049953172
"Ndufb8",-4.54990379794219,4.48108094358326,4.78520565179308,0.0287052198102244,0.999980049953172
"Ap2m1",4.54985983180257,5.27470684313042,4.78511317247369,0.0287067612349521,0.999980049953172
"Rabggtb",4.54436214093501,4.72770726435546,4.77355625412147,0.0289000693016353,0.999980049953172
"Ormdl2",4.54341592660273,4.80704305620626,4.77156858810144,0.0289334525763414,0.999980049953172
"Tmem101",-4.5433761214275,3.9933608674843,4.77148498039532,0.0289348576652795,0.999980049953172
"Selenos",-4.53997857858491,3.97678187643662,4.76435140272742,0.0290550047227919,0.999980049953172
"Napa",-4.53223368816142,3.82479774735689,4.74810995796449,0.0293304927658754,0.999980049953172
"Crebzf",-4.53095003198877,4.65428609787757,4.74542074202997,0.029376369227243,0.999980049953172
"Eid2",-4.52069248300137,3.78926173005824,4.72395889119578,0.0297451853382518,0.999980049953172
"Mrpl12",-4.50933244410193,4.98787210249064,4.70024706808962,0.0301582817583575,0.999980049953172
"Lmo1",-4.50856365490279,2.69479867095756,4.69864452882507,0.0301864152575003,0.999980049953172
"Mtmr10",-4.50714450056799,3.39298939725375,4.69568702270716,0.0302384078229101,0.999980049953172
"Sez6",-4.50701608422094,3.17471697719181,4.69541945001941,0.0302431163170372,0.999980049953172
"RGD1565033",-4.50467282332166,3.88107840012713,4.69053829033585,0.0303291446558421,0.999980049953172
"Plekhh3",-4.49163536055863,3.05681509313498,4.66342678797701,0.0308116388864715,0.999980049953172
"Rabac1",-4.48458410900918,3.71441526499091,4.64879639978638,0.0310753290667391,0.999980049953172
"Tmem100",-4.48218503580424,3.45741112913759,4.64382388975865,0.0311654858447119,0.999980049953172
"Prdx5",-4.47744709281914,3.80100747702848,4.63401146843849,0.0313441964926697,0.999980049953172
"Atp5po",-4.46649694067595,4.61943763427682,4.61137308533641,0.0317605926874753,0.999980049953172
"Actr1a",-4.46632613369368,4.13143475327091,4.61102039746016,0.0317671252732619,0.999980049953172
"Ankrd40",-4.46259121459217,4.65620726196464,4.60331178556153,0.031910257138349,0.999980049953172
"RF00281",4.44857804624341,4.50071718742371,4.57444707473091,0.0324522173390652,0.999980049953172
"Rnh1",-4.44802175512464,3.55694388781485,4.57330308438314,0.0324738936779372,0.999980049953172
"Ppp1r14b",-4.44669600374146,5.02918884257772,4.57057730664957,0.0325256026719573,0.999980049953172
"Bax",-4.44584671520119,3.77855126844833,4.56883157533226,0.0325587649780354,0.999980049953172
"Atp6v0c",-4.4397169901381,5.77368499336323,4.55624167885191,0.0327989732380985,0.999980049953172
"Mrps34",-4.43970487938716,4.11833553604002,4.55621682166707,0.0327994493254163,0.999980049953172
"Rpl15",4.436872042608,6.0314161182877,4.55040431783882,0.0329109740336438,0.999980049953172
"Taf1d",4.43538819318397,5.34515656836269,4.5473611893977,0.0329695205022162,0.999980049953172
"Mrps33",4.42595401744845,3.76277495544415,4.52803707280357,0.033343842801607,0.999980049953172
"Emc6",-4.41257517559484,4.63215123017813,4.50070360718169,0.0338809098217112,0.999980049953172
"Ranbp6",-4.41097974639323,4.51314616026075,4.49744960897821,0.0339454460655105,0.999980049953172
"Mrpl52",4.40817731914062,4.24920312441298,4.4917366960662,0.0340590606827282,0.999980049953172
"Atp1b2",-4.4068280206686,3.43802154255334,4.48898736659801,0.0341138791013263,0.999980049953172
"AC096239.2",4.40648618965419,5.34855697819552,4.48829098562533,0.0341277787558221,0.999980049953172
"Nkiras2",-4.39609133816612,3.22987134931725,4.4671403060249,0.0345527756626427,0.999980049953172
"Gfap",-4.39532478820969,2.51345768255525,4.46558256420573,0.0345842945274418,0.999980049953172
"Mir6326",-4.39307515241733,2.19653757620866,4.46101254311493,0.0346769364910184,0.999980049953172
"Cd3eap",-4.38979839943895,4.48335013219456,4.45436017134692,0.0348122552014046,0.999980049953172
"Fahd1",-4.38350978147563,4.39344096545887,4.44160710039816,0.0350732170709704,0.999980049953172
"Ube2t",4.37800268657841,3.34707511058669,4.43045394322903,0.0353031174773499,0.999980049953172
"Pagr1",-4.37634969684119,3.29087197114277,4.42710898760965,0.0353723740037611,0.999980049953172
"Midn",4.36618997091557,4.34433682470137,4.40657771910849,0.0358005946137319,0.999980049953172
"Adm",-4.36596577600952,2.91771816556516,4.40612519325866,0.0358100938093567,0.999980049953172
"AABR07007385.1",4.35393180253937,5.18156681503419,4.38186933688802,0.0363231402640034,0.999980049953172
"Timm10",4.34967396793593,3.64779387132987,4.37330321642755,0.03650615945851,0.999980049953172
"Psmc3ip",-4.3395775059815,4.1059183581218,4.35302415932738,0.0369432899694119,0.999980049953172
"Trim47",-4.33155024774493,2.69201859598783,4.33693479084895,0.0372940069474931,0.999980049953172
"Zfp488",4.32870226422466,2.67842024881141,4.33123361803085,0.0374191167707741,0.999980049953172
"LOC103694328",4.32805314466173,4.72319900211579,4.32993471711312,0.0374476820488554,0.999980049953172
"P4hb",-4.32653372637452,6.7732496320661,4.32689509308174,0.0375146184265837,0.999980049953172
"Ube2d3",4.32619366263153,5.03449413286319,4.3262149355203,0.0375296135139488,0.999980049953172
"Adrb1",-4.31923098452543,2.73951870240765,4.31230071678738,0.03783775546637,0.999980049953172
"Mir497",-4.31490134735575,2.15745067367788,4.30365966948197,0.0380304521035873,0.999980049953172
"Sdhaf1",-4.31176258870847,4.14659008063967,4.29740078435523,0.0381706682603781,0.999980049953172
"Sp110",4.30880195264269,4.39178029782319,4.29150126117663,0.0383033298558048,0.999980049953172
"Ypel3",-4.30584295669021,3.09370669192444,4.2856090550596,0.0384363093975477,0.999980049953172
"Bex3",4.29811179579138,4.53562139074752,4.27023320949372,0.0387856070455303,0.999980049953172
"Ngrn",-4.29636039630094,4.0454696537137,4.26675383954233,0.0388651097419411,0.999980049953172
"Bloc1s3",-4.28656929408367,2.14328464704184,4.24732873708468,0.0393121199840656,0.999980049953172
"C1ql1",-4.28300583679351,3.58282919034421,4.2402699996554,0.0394758886142358,0.999980049953172
"RGD1565784",-4.27317431817405,4.08369240845455,4.22082550301389,0.0399307295077595,0.999980049953172
"Timp2",-4.26699153546219,3.76230121816518,4.20862025896947,0.0402190381650185,0.999980049953172
"Irf2bp1",-4.26285186738385,3.47890623439127,4.20045814306977,0.0404130597415229,0.999980049953172
"Dynll2",-4.26114559888231,3.70948568573689,4.19709622702177,0.0404932612836082,0.999980049953172
"Slc35a4",4.25705013026902,4.41823846573581,4.18903228501786,0.0406863157496954,0.999980049953172
"Cyb5d1",-4.25044537410529,3.37855618528032,4.17604391370324,0.0409992978202607,0.999980049953172
"Hyls1",4.24986891658243,3.86245847054034,4.1749112565463,0.0410267111653601,0.999980049953172
"Fgf11",-4.24749839755678,3.75549758851989,4.17025513814164,0.0411396041129084,0.999980049953172
"Igf2",-4.24438616620644,2.90278919236491,4.16414610988727,0.04128821962965,0.999980049953172
"Nabp2",4.24214080925802,4.69043275283908,4.15974145824717,0.0413957222530417,0.999980049953172
"Ghdc",-4.24114677929368,3.01651991634165,4.15779224279775,0.0414433898111932,0.999980049953172
"Sertad1",-4.228519236534,3.08176130240596,4.13307037317785,0.0420529858361259,0.999980049953172
"Llph",4.22671447226489,3.95162161079638,4.12954307414546,0.0421407277012626,0.999980049953172
"RF00289",-4.22232576736708,4.560274527526,4.12097190754828,0.0423547390190832,0.999980049953172
