"","HCN_cells_in_iQNP_electroporated_with_empty_vector","HCN_cells_in_TAP_electroporated_with_empty_vector"
"AABR07006160.1",5.22477360825798,1.22958963986045
"AABR07006258.2",5.27702860261599,1.59893065970045
"AABR07006310.1",0.851644078174683,0.50708361802469
"AABR07006451.1",1.11224106581469,0.66810857076258
"AABR07006458.1",4.09689017837203,3.20168844783181
"AABR07006480.1",2.12844701324006,1.24809605050397
"AABR07006627.2",2.05000251799977,0
"AABR07006860.1",3.90229949880383,1.86188122414289
"AABR07006860.2",5.80635945713743,2.07809220783355
"AABR07006873.1",2.54419595159299,0.974215988345467
"AABR07006894.1",2.37387550277488,0.374524067034134
"AABR07006957.1",2.42681634354188,1.23228136168655
"AABR07007000.1",7.27258786229946,2.19311117932843
"AABR07007032.1",2.52770313515364,0.743697888825998
"AABR07007055.1",3.64798327056447,0.684429939873565
"AABR07007068.1",3.17410177346089,0.454858272061936
"AABR07007121.1",5.74345223884345,2.42616948397142
"AABR07007130.2",1.55026856652377,0.89214113794392
"AABR07007592.1",1.70629288604683,0.64480717896523
"AABR07008293.4",2.06677958510221,1.22712574436663
"AABR07010370.1",2.18122069941128,0.766907768900705
"AABR07011700.1",2.48395623057575,1.7096523091169
"AABR07011951.1",4.51186331205553,2.77827156645472
"AABR07013255.1",1.38334305108632,0.94458642854207
"AABR07013425.1",3.22357761175502,1.58898803320352
"AABR07013654.1",1.79690940785663,1.17871297558509
"AABR07014756.1",3.21158298704146,0.768605933875745
"AABR07017716.1",1.15130540872345,0.82910090558232
"AABR07018556.1",5.33481196361577,2.75087168408955
"AABR07021823.1",7.06257569092101,5.22550357002568
"AABR07024593.2",3.72832767639773,3.19794475639682
"AABR07024795.1",1.21548862536599,0.720607488100435
"AABR07025900.1",2.83953631061874,1.21603752613682
"AABR07026361.2",1.39472175144693,0.80817224912247
"AABR07026424.1",3.87030254264904,3.40915346698328
"AABR07028997.1",2.77629086264594,0.208906567069629
"AABR07029002.2",1.97085204916958,1.31168084816763
"AABR07029198.1",10.0654016047023,9.35744680250211
"AABR07029269.1",1.89798318148138,0.366692717546232
"AABR07029275.1",8.62719266651012,6.56203460359261
"AABR07029467.2",1.67338225962609,0.69080455360923
"AABR07029605.1",5.0312388067535,2.96075364763654
"AABR07029613.1",2.50885467671917,1.00377657960885
"AABR07029661.1",4.07794122459473,2.37113655156195
"AABR07029742.1",6.19541067464425,3.89972510750302
"AABR07029933.1",1.81227612425716,0.134417895741568
"AABR07030019.1",5.15125355850259,2.0043309354419
"AABR07030039.1",2.16210178142804,0.528614381250565
"AABR07030156.2",1.37517778893438,0.792820282597965
"AABR07030335.1",1.32292870377073,0.82455943185264
"AABR07030363.1",1.92833261656331,0.409408031118542
"AABR07030375.1",2.25128282243066,0.253630695026855
"AABR07030383.1",2.41508151933672,0.935182290811385
"AABR07030521.1",2.68543122586661,1.27479673805028
"AABR07030544.1",3.39895924895791,0.874281209225875
"AABR07030603.2",5.36526950590503,2.12140171365299
"AABR07030630.1",3.1653516120619,0.892792977911815
"AABR07030642.1",0.946602434852095,0.548282858810775
"AABR07030919.1",2.90699937965467,0.730937421246095
"AABR07032751.1",2.49271530488326,1.92057614404735
"AABR07033020.1",1.88151374084995,1.1844591601213
"AABR07033023.1",7.11393205548919,2.35675711862137
"AABR07033287.1",3.15019293872655,1.10209796629136
"AABR07033564.1",3.56773465585067,0.82931729421651
"AABR07033570.2",2.50161827685431,0.281943260594596
"AABR07033887.1",4.44413222620738,1.08358445129142
"AABR07034111.1",1.6568169790054,0.72470131077307
"AABR07034639.1",2.19826611991797,1.22280754095583
"AABR07035218.1",5.59583683872848,3.02619402183517
"AABR07035273.1",1.79748751207589,1.07581359776154
"AABR07035412.2",1.25571813666348,0.82066433385983
"AABR07035539.1",5.59102654571659,3.40444848516895
"AABR07035541.2",1.50084631650534,1.15454859698657
"AABR07035780.6",1.97848064039812,0.776761673697695
"AABR07035835.1",0.999564672982387,0.55653256115429
"AABR07037112.1",1.0999633103177,0.76395561623711
"AABR07038926.1",1.82297494036799,1.25122068689377
"AABR07039210.2",2.00672145182231,1.60954658291825
