"","M"
"Tpi1",8.20407785686638
"Npdc1",7.81596346673623
"Cstf2t",8.22145119853267
"Tnfrsf19",9.34666328179038
"Marcksl1",8.73059662402467
"Ndn",8.64541132236971
"Tnp1",3.07838665579667
"Nup62",7.82891168980348
"Actc1",3.10650967021199
"Map1lc3b",11.5638098916843
"Igf2",5.41025210250438
"Atp9a",5.76617169064048
"Cox5a",11.7166473508812
"Cops8",7.55799694154079
"Smoc2",2.58496250072116
"Bcar3",7.5950837806855
"Pdcd6ip",6.10430284299454
"Spink3",2.65909330783331
"Fmod",2.8073549220576
"Zfand2a",6.93653906322978
"Gm5621",10.8034969864126
"Sdc1",5.87123376128874
"Mcm5",6.10783131746846
"Pigq",6.00202352633898
"Creg1",7.50494924014262
"Cpe",13.1141604682123
"Pebp1",12.5577853685761
"Fkbp10",6.65886609522341
"Mark2",6.17802392663041
"Try4",2.69615871138938
"Prm1",8.16317222056519
"Cdk16",9.13611119010494
"Rrp1",8.14405534069792
"Slc2a4",4.09766862471768
"Mpo",2.45344529780426
"Itm2c",12.000469008437
"Eif3h",11.0999716727791
"Hnrnph2",9.8712882597944
"Scd1",8.71032396716845
"Ndufv1",10.6077016701962
"Kap",2.32192809488736
"Cox6c",12.8044637383096
"Marcks",10.4310887182332
"Map2k2",7.0325398189503
"Carhsp1",9.82474733968463
"Isyna1",2.58496250072116
"Tubb3",8.32792957826972
"Rpl7",11.793873805845
"Atp5g2",10.7777704976848
"Herpud2",8.80069312197192
"Lcp1",3.03957467699772
"Acadm",7.59085549424325
"Sf3b3",9.52349376440832
"Clcn4-2",8.63799269448682
"Hdlbp",7.31541943658272
"Vcam1",9.13854219103074
"Vdac2",11.2775503823852
"Klhdc3",8.22021936859681
"Pigo",5.10963244359237
"Sqle",9.5500014336138
"Cyp2e1",2.32192809488736
"Casp6",3.37244462769876
"Txnip",7.34531575870464
"Vdac1",9.62728910476577
"Hey1",10.1071053930904
"Gm21399",11.6935762532258
"Cotl1",3.57001872836632
"Cldn11",9.72188613110099
"Ywhah",11.1424514403464
"Psmc1",11.1217817930716
"Mdk",12.4838322457175
"Satb1",4.115463085694
"Tspan3",11.3381831402311
"Ehd1",9.13087914413198
"Pld3",8.57983356582693
"Abce1",7.74640607856404
"Tap1",5.06078037332527
"Dr1",7.44506682769957
"Atp5g1",9.88288587379946
"Fabp5",13.044042355889
"Fabp3",3.2073950049494
"Cct3",10.9681240339235
"Fgg",2.58496250072116
"LOC102635048",10.5798071642577
"Pdcd6",8.68937879280483
"Hn1",8.67387691345397
"Klf10",6.05287580625424
"Mcm7",6.0147917567638
"Tmem109",8.47834993044803
"Cd24a",6.8066268571233
"Hif1a",6.78380173482694
"Fkbp1a",11.0530525457736
"Cct2",10.6987171029576
"Snd1",8.86235980239606
"Cyr61",7.77652901376066
"Lipf",2.32192809488736
"Sgk1",5.00778811185116
"Nasp",8.64002449977533
"Flii",7.35894244386295
"Smarcb1",10.1255806016156
"Fuca2",4.85781446321487
"Phc2",8.85230301503515
"Gldc",9.34129874560036
"Scarb1",3.57810636393175
"C2",2.58496250072116
"Prps1",5.67750114941334
"Lrrn1",10.5796254856342
"Rps5",11.5737516701124
"Amy2a1",2.839462435048
"Ndufb11",12.9815492008737
"Atp5c1",11.9253222885109
"Sec23b",8.88125993183313
"Tbc1d15",7.63489488461654
"Ceacam11",2.58496250072116
"Hspa5",12.3943043212912
"Ankrd10",7.48467989718388
"Cd9",9.23296064056907
"Ifrd1",10.7575423621815
"Kars",5.7765981867526
"Pfkp",8.07872691765116
"Ddx18",10.5192710083821
"Cd34",2.69120082082371
"Nup85",6.36482710610154
"Gm10051",13.0832812873556
"Sav1",5.26779074443881
"Ccnb1",5.70882692357565
"Adm",2.65909330783331
"Raf1",7.5368430610051
"Arpc1a",8.44101102820402
"Adam15",4.47003201124994
"Smad1",3.48823080686897
"Rab1",12.2772646707904
"Zfand5",9.79685569181424
"Tpst2",7.15525660348543
"Ap1s1",6.57424552527056
"Rps15",12.9293278738639
"Pdhb",11.0626876088618
"Map4",9.61215514495415
"Mrpl20",8.61534328530765
"Adam9",6.00948476123844
"Sarnp",8.05968009500002
"Vipas39",6.18647186652675
"Lrrc4",5.83574997382676
"Syngr3",3.42006346837152
"Rpl27",11.8403247384959
"Eif3d",9.5844028660794
"Hist1h1c",10.2272730383547
"Ywhaz",11.8899289868829
"Mpdu1",7.77229570784625
"Nnt",6.53621017165174
"Kti12",4.98202445878686
"Nsg2",7.23404122937922
"Tmed3",8.17959779502958
"Fuca1",8.91206724622777
"Slc35a4",7.8850299832424
"Cd83",2.58496250072116
"Cox8a",8.81057605079372
"Fkbp8",7.72952826545857
"Sparcl1",12.1361753885634
"Orc3",9.29350934085798
"Trim59",10.4658668234256
"Txn1",10.6563889468216
"Rrm2",6.2945863485092
"Lox",2.5343497689993
"Ccnd2",8.78933512993259
"Fkbp5",4.41825597040908
"Polr1b",3.88254421902719
"Dnpep",6.39698156115269
"Gm6682",3.42759507068777
"Errfi1",3.5640290910253
"Prnp",10.5459415293797
"Efr3a",4.31936848199344
"Aplp1",8.6000962077394
"Apex1",7.98897073611069
"Mmp2",2.64038353853785
"Anxa7",3.40314837750833
"Reg2",2.58496250072116
"Dhx30",5.27700433254065
"Rps6",12.4682447255676
"Atp5j",11.8052451373851
"Dhx15",9.97942154362865
"Hspa4",11.5765691225385
"Laptm4b",9.01920963194513
"Olig1",9.26713845782422
"Srsf3",11.3450509980161
"Srp54a",8.88076757963885
"Hmgb3",9.62081180631107
"Vcl",9.02789839422514
"Nr2f2",5.68000402083706
"Rad21",7.82844952210646
"Cops4",10.0433435079228
"Fbln5",3.19120082082371
"Rab31",9.30749985571617
"Prdx4",10.2712072122463
"Serpinf1",3.07439004055583
"Tpbpb",2.58496250072116
"Trap1",8.89356439024482
"Kansl2",9.66275810287716
"Pes1",6.12553932273912
"Rbbp9",7.3138254471478
"Vdac3",10.451942664611
"Gm21596",9.58386515716358
"Rbmxl1",9.8060814423378
"Plekhb1",9.1123762019297
"Rdx",10.9491386585195
"Mesdc2",10.7673948776698
"Apba3",3.59865721093324
"Ldhb",12.5392644583916
"Hmga1",8.63250573294088
"Adh5",11.9639251329501
"Pnrc2",11.0768681053409
"Gm2a",8.89473545077323
"Sec61a1",13.6576591981177
"Napa",3.69557727559304
"Car1",2.45344529780426
"Cyp4b1",2.58496250072116
"Inpp5k",3.01594471655693
"Rpsa",3.61642545134333
"Snrpc",8.48060292376928
"Nelfcd",7.02848275652534
"Kifc3",4.21577906206701
"Il33",6.86740625453255
"Crk",7.98094006674479
"Phb2",10.7116664894613
"Aqp1",2.62202790427723
"Gpd1",6.45200875070313
"Glb1",4.97526042308113
"Sipa1",3.74301483380844
"Taz",5.94330298935841
"Usp14",8.4945321915638
"Glud1",11.71991258464
"Imp3",7.85055345879015
"Ptn",13.5853641458262
"Magoh",9.45169039267269
"Surf4",9.50659732779613
"Mcm4",8.13445648988675
"Gosr1",7.68340199988794
"Reps1",7.39952416620432
"Rpl37a",12.7121334590219
"Rpl19",12.6015177429744
"Spcs1",10.4007288351395
"Fstl1",6.62913254982202
"Nsdhl",8.6212965976908
"Sh3bp5l",3.80822682998554
"Zbtb17",5.63821541218354
"Adh1",2.58496250072116
"Arpc1b",4.34421027764204
"Pin1",6.90207030963309
"Vac14",5.66481303391599
"Olig2",7.78188720558034
"Eif3i",10.4343448773706
"Lrrc59",9.27947334720757
"Mpzl2",2.77028951850153
"Tie1",2.58496250072116
"Ass1",5.6173328900663
"Psmb7",11.4614957997936
"Sec13",9.33900788549044
"Klhl13",6.19745507972574
"Rpl35",12.8923691627423
"Cnbp",13.3063410780234
"Aurkaip1",8.3619976801241
"Coro1a",2.87896896793148
"Dctn3",8.72979654455654
"Nadk",7.93388285917531
"Btg2",7.72211773666101
"Mcm6",6.29845310550724
"Stk38",7.60016680551967
"Cdkn2d",4.84964583230092
"Vps16",8.15164905094013
"Gja4",2.58496250072116
"Tubb5",10.2093842960249
"Capn2",10.3561940901401
"Tk1",5.66487258187441
"Pex12",3.99256119687052
"Snx1",8.71642851107486
"Tmem19",7.55781622497165
"Abcb9",5.61677575149406
"Capn10",3.33049977988829
"Pdyn",2.94677180001045
"Scoc",8.25388909452537
"Ets2",3.57355783222811
"Atp5j2",11.3790963480517
"Polr2g",9.93734082840171
"Perp",3.33557558934224
"Lamtor3",8.44446474517949
"Tnfaip2",3.58322031336671
"Ctns",6.83114713564801
"Slc26a6",5.80943156979322
"Rps4x",12.6867514278082
"Gm13777",12.5460364623881
"Atp5o",11.6218588275063
"Ap1b1",4.77681122956654
"Uba2",8.66069151829127
"Wdr45b",8.05698914571058
"Psmc3",9.0899600324736
"Gart",8.5234955151593
"Mrpl28",8.45308811904955
"Ndufc1",9.66807829895488
"Rgs4",4.81215759771808
"Dnaja1",11.4827928781473
"Plod1",7.60012248375784
"Psmc4",10.8591011930664
"Prdx3",7.32272650839178
"Nfib",11.1844246577874
"Scamp3",7.15421137290959
"Il2rg",2.87645220669321
"Reg3b",2.32192809488736
"Mmp9",2.58496250072116
"Shcbp1",5.14494774832022
"Slc25a3",11.1283194431798
"Ebf1",3.8699314074706
"Litaf",7.09095808416804
"Sh3bp4",2.96355995225411
"Clca3",2.58496250072116
"Ap1m1",6.8867128253807
"Ugdh",7.8583825075762
"Nusap1",7.87445741902264
"Tuba3a",5.9072168446631
"Rars",8.1893163802186
"Mllt11",4.61780185491806
"Abhd4",8.57173912477627
"Slc27a2",2.58496250072116
"Stambp",2.92133778481386
"Serpinb1a",4.91327104717338
"Adk",8.77058496648426
"Sec22a",2.839462435048
"Prelp",7.03562863159665
"Kctd20",6.05255017778194
"Crisp1",2.58496250072116
"Crip1",6.15945090822745
"Ufc1",8.89103221784175
"Atp6v0e",9.70861410021301
"Cyfip1",9.09731484074203
"Cd81",13.0742185906569
"Nfe2l1",7.01167626416405
"Cirbp",8.75425416483593
"Dok2",2.58496250072116
"Wwox",3.6183923513923
"Mif",11.0466446297335
"Gm14277",10.895793338777
"Uqcrb",10.1318579876161
"Sh3gl1",6.27871125354565
"Prkcsh",8.74605862951503
"Man2b1",4.66811922997765
"Polr2c",7.46221446661499
"Tnc",6.24678088705923
"Lamp2",9.78218575318208
"Timm8a1",10.2034463883781
"Men1",7.12525576578351
"Mrpl34",7.12139771354737
"Klf16",3.70140256164088
"Map2k1",7.56075977865462
"Tecr",11.9664745457688
"Nr1h2",6.03558733111622
"Rbmx",11.6123155118167
"Gmpr2",7.16287750004888
"Mcam",3.05570057329058
"Mfsd10",2.839462435048
"Snx18",8.94446302481461
"Dync1i1",2.8073549220576
"Fkbp4",9.54161521657325
"Hsp90ab1",13.0356830078564
"LOC102641347",12.1674547783209
"1110001J03Rik",8.7223894386542
"Gsta4",8.13968701514595
"Hiatl1",7.66826770731657
"Zscan21",8.69252423030237
"Apod",9.8365352038695
"Ptdss1",9.05130439299452
"Nfs1",4.30628874301335
"Ap3m1",7.99672759301397
"Tmem97",8.0187564288451
"Pdcd7",5.88959846739402
"Pnkp",2.82668962025349
"Panx1",4.27592350225051
"Mov10",2.84371828373252
"Prdx5",10.1810303258128
"Ctsc",3.45347275493843
"Pcx",7.87010036566371
"Cope",8.84828986392394
"M6pr",8.13373452156259
"Pip4k2c",7.09965124664082
"Rcbtb2",6.31646604578839
"Ptcd1",9.09787104981254
"Atp6v0c",10.3687227680388
"Emg1",9.95251623240325
"Bag1",10.0529951178524
"Guk1",8.44883731816259
"Snx4",2.58496250072116
"Mesdc1",3.47597515311468
"Hmox2",9.20943213362918
"Pycrl",7.58774401018462
"Cd82",3.4563281789054
"Abcb10",5.94243294829283
"LOC100862433",12.3623320261017
"Bgn",7.97649375776094
"Pea15a",10.8308954317199
"Acox1",9.28150908443437
"Pafah1b3",5.90365455201306
"Gstm2",3.03503578707801
"Nsmaf",5.52507236668181
"Ctsj",2.58496250072116
"Emilin1",2.58496250072116
"Gm8203",11.8859548993971
"Gstm1",12.4150234803851
"Ndufb7",13.1368143949692
"Gabarapl1",9.7085344672652
"Gm5451",11.1373685308192
"Ssb",11.7053551656904
"Plin3",5.2328135406204
"Pex19",6.11505120395382
"Rab5a",9.09631836746336
"Ccni",8.91104108624438
"Thap11",7.43743107835924
"Cat",10.735766909725
"Tubb6",4.30750610686498
"Pfkfb3",5.60304139172301
"Rpa2",7.51781698034491
"Bcl2l10",2.58496250072116
"Ltbr",4.96229659710256
"Uqcc1",5.34204396373877
"Mapk8ip3",5.93264240249972
"Puf60",10.5563289342159
"Dctpp1",9.01824809155183
"Cd164",9.7933077970193
"Cpq",6.03675603965666
"Ier2",5.30613537424577
"Sae1",8.18981326710005
"Elovl2",10.7352653893744
"Fam98a",7.15524375510066
"Tmem30a",9.18793903312188
"Itpa",4.17061374182504
"Stxbp2",2.58496250072116
"Taf8",3.14437476851853
"Oat",10.0471491431654
"Gm21571",10.90832127071
"Acta2",6.50710979117884
"Cryab",7.24008623555494
"Chia1",2.32192809488736
"Ddah2",7.8782862377034
"Arf2",8.1592642695589
"Miox",2.58496250072116
"Caprin1",9.9841803885018
"Slc4a1",2.8073549220576
"Vapa",11.2704611720808
"Ddx3x",12.0243684626363
"Aldh1a1",5.16871028800217
"Luzp1",4.73214116974871
"Rpn1",10.0404031093805
"Cept1",6.74358906243024
"Syap1",6.29474787082416
"Igdcc4",11.1239140009585
"Ube2d2a",9.66986744128925
"Mdh2",10.3239467382091
"Tmem14c",9.04394944602805
"Higd1a",10.7492659174187
"Ttc3",8.67463225227466
"Timm23",10.3749004690437
"Aimp1",7.81484631089076
"Yap1",4.30076684090922
"Ccng2",6.72709138285612
"Pi4k2b",3.99550437039099
"Tmed6",2.62202790427723
"Numbl",3.38852244330676
"Ccne1",5.76343630224655
"Ddost",9.17804713981102
"Ndufs5",9.72220780946262
"BC002163",11.1418215045462
"Mrfap1",12.5823765067327
"Pdia4",9.35160898683296
"Ppic",6.31964118503417
"Dctn6",10.3351164077344
"Sacm1l",7.88002733453828
"Preb",6.62377704226763
"Lxn",9.4036213624733
"Ulk1",3.95435585974842
"Nr4a1",2.86352537614426
"Psma6",11.8475381871443
"Cnpy2",3.21711144504351
"Med28",9.06137631057581
"Tm9sf3",11.1885245503269
"Mrpl4",6.70199175423711
"Cdc42ep4",9.12035657767466
"Nubp2",6.96425972834406
"Lamb2",8.63326425265868
"Fscn1",10.8985285508741
"Pnpla6",7.19190462126574
"H1foo",2.8073549220576
"Gm4604",13.3693251276506
"Sepw1",12.5873851464291
"Grcc10",10.5775839963468
"Rnase1",2.36576716252633
"Spop",8.08822801145894
"Park7",10.6966347665414
"Rab32",3.08631688333744
"Sh3bgrl3",10.0140818975831
"Emp1",3.66876336871301
"Pnp",6.58499260557236
"Gsto1",5.07335720422701
"Trrap",7.87180718262596
"Egln2",8.98853009645638
"Dpf2",7.95474566490263
"Mcrs1",5.35940078001863
"Mum1",5.71568645756501
"Creld1",5.80961769778374
"Siae",5.03399454084139
"Hgs",4.28680419131321
"Clpb",6.78923406920241
"Phf1",3.67833951073663
"Nfe2l2",8.64645392228671
"Ezh2",7.07426669424189
"Zdhhc7",6.61160088412264
"Rpl6",12.263545903668
"Ndufb3",11.0581179482652
"Slc35b4",4.14909497628038
"Atp2a2",10.2858078363671
"Dppa5a",2.58496250072116
"Stra13",6.67769660059859
"Pdlim1",4.23876138210194
"Ei24",10.4333288589542
"Tspan31",11.2730811373461
"Eftud2",8.12817726607658
"Melk",5.70225071538442
"Rrp8",6.85517656035298
"Slc13a3",4.26746840360058
"Gad1",3.86817058538414
"Ctps",6.7317530822918
"Sox7",2.4028325660824
"Cox6b1",12.5810446971837
"Strap",8.83422823516162
"Atp5e",12.0131282025897
"Acin1",6.83664484313147
"Actl6a",6.87408542886399
"Gfm1",6.74377311746932
"Traf4",4.43335090194753
"Mmp14",8.17655513096708
"Pofut2",5.18833935567648
"Tox4",7.71480754355534
"Cdc45",2.93339625885131
"Socs3",3.29884391127135
"Gm9840",12.4763099267477
"Epcam",3.45092973221219
"Stub1",9.81353880521429
"Wdr5",7.76320001352603
"Bad",7.64457330031807
"Man2b2",6.50234582059071
"Ruvbl1",6.66042147509391
"Zfp239",5.46873299878675
"Xrcc1",7.04868687409369
"Ptprn",3.44475934871473
"Sparc",10.7633941399874
"Rab34",6.71193176854576
"Glrx",7.04901817095957
"Sfrp1",6.21061813522621
"Mrps22",7.9734137535367
"Slc44a4",2.58496250072116
"Hdgfrp2",7.14492872411851
"Glis2",7.38234725593199
"Rcan1",7.33102082981798
"Rad52",9.25095045438607
"Rpl22",11.6374570452236
"Cyc1",10.0055061946337
"Nhp2",6.4885002361105
"4931406C07Rik",7.6849072432849
"BC004004",11.8056832970572
"Clcn3",9.01235403221724
"Scamp2",7.12517193050765
"Cyp1b1",2.32192809488736
"Eid1",9.72548202160379
"Clpp",6.52461943331133
"Acss1",8.67956308578713
"Ppox",4.61044063183395
"4632428N05Rik",3.35605171397315
"Smarcal1",5.0145064008309
"Llgl1",8.82244907214656
"Wbscr16",3.79708911178233
"Thbs3",4.49941225171394
"Kxd1",13.5795610051302
"Serping1",3.28436098202831
"Pla2g1b",2.58496250072116
"Spint1",2.58496250072116
"Tmem223",9.77004990776014
"Slc1a5",2.90474850588871
"Id3",9.94285803234128
"Ap4b1",3.01098682599126
"Me1",6.94560972954266
"Fam96a",10.113081591895
"Smpdl3a",9.6182987594374
"Rheb",9.72874857879848
"Slc4a2",6.58133553397189
"Sall2",9.58022859517971
"Slc2a5",2.58496250072116
"Kcne1l",7.4941234303238
"Lig1",6.35294080589608
"Tpt1",13.2009062490897
"Sema3b",2.58496250072116
"Afp",2.65909330783331
"Bckdha",5.10821319457364
"Dync1h1",10.9972412797258
"Ambp",2.58496250072116
"Rfpl4",2.58496250072116
"Znhit2",4.96483933259383
"Aspn",3.49161065775299
"Stxbp3a",9.59129676997239
"Slc31a2",5.14575651752642
"C1galt1c1",8.11520373447047
"Clic1",8.85716134273251
"Akt1",6.56826191199626
"Frzb",2.58496250072116
"Eif3a",10.526622254557
"Sardh",5.49156003754764
"Ndufa9",9.38947024528912
"Cdc20",5.07832739616133
"Coq7",8.17860823796624
"Serpine2",11.6604107715067
"Ebp",4.61234089868612
"Emc2",8.0910142864802
"Naca",12.2141252424997
"Setdb1",6.9964208829335
"Mcoln1",5.21180199700417
"Bace2",2.94809635951929
"Ptpru",2.58496250072116
"Plcd1",5.45840363982059
"Kng1",2.8073549220576
"Apoh",2.32192809488736
"Cops3",9.53252461797357
"Abcd3",10.6441996904966
"Ube3a",11.4063331728123
"Plxnb2",8.09370040342173
"Fbl",8.34848589582072
"Plod2",4.0815145788824
"Snap91",3.32873181323859
"Tuft1",2.32192809488736
"Gtpbp2",5.5496067466151
"Coil",2.66395103210989
"Foxc2",2.58496250072116
"Gk2",2.77028951850153
"Tspo",4.40807262796297
"D17Wsu104e",8.05172209732216
"Dpp4",2.8073549220576
"Cks1b",8.71590464750674
"1110008F13Rik",7.54116792629142
"Rnd3",9.05961417231119
"Serpini1",3.51469681933697
"Mapk14",5.92024567244542
"Rpe",6.15958044891297
"Pmf1",5.00932792559917
"Gramd1a",8.02120541734112
"Ngrn",6.23761034045409
"Tmem35",4.22134640962036
"Tbr1",2.9036774610288
"Pepd",5.39887359484558
"Tppp3",7.00951375183006
"Irf8",2.58496250072116
"Gjb3",2.69545666950823
"Efs",8.31674664065755
"Crisp2",2.8073549220576
"Bcan",9.59585444278438
"Rps10",11.219217106936
"Srsf6",7.89642921712252
"Hmg20a",6.73592788151637
"Tcf4",11.9164629891411
"Ube2s",10.1372340669538
"Cyb5a",9.15637905304778
"Csnk2b",10.0583734522146
"Plg",2.58496250072116
"Rcl1",3.3264706510702
"Top2b",8.68546392950925
"Mkln1",8.37273634880157
"Asah1",10.5762956074669
"Casc3",6.92594459733379
"Gys1",6.4133635946286
"Brap",7.00220400536299
"Col5a1",2.58496250072116
"Cfdp1",9.69288705786686
"Uap1",7.4455001461453
"LOC102642017",3.16340095878526
"H2afx",10.0586734094435
"Mfsd5",6.39255333465471
"Mre11a",5.73832176483682
"Htra1",11.1086830422609
"Sigmar1",4.11771505913844
"Ddx20",3.95665500065611
"Ldb3",2.8073549220576
"Prkar1b",4.06753548288671
"Dnajb1",11.2080247936875
"Zwilch",5.02949361713038
"Arhgap27",2.93970160443893
"Mical1",7.19922986313574
"Galnt16",4.96024181969071
"Hsd11b2",2.58496250072116
"S100a10",5.501994537584
"Cdc123",9.54995329612542
"Fis1",9.620578144456
"Pam16",10.7659066911118
"Marc2",10.3033327287984
"Smim14",12.0617360229784
"Atp6v0b",8.0459710581575
"Stk25",5.896486723463
"Trappc3",5.76421709144832
"Cpt2",5.86400502144134
"Wee1",6.14102525400836
"Atp5sl",3.12148099477833
"Crym",10.6375503788467
"Ceacam12",2.58496250072116
"Sdpr",2.7057779610321
"Pfkm",9.60092465653976
"Praf2",8.45895390114403
"Tac1",4.61303367160803
"Pgk2",2.8073549220576
"Kcnip1",2.58496250072116
"Acvr1",7.33579784383213
"Idh3g",10.9784541123623
"Gm5806",9.88579231335904
"Nxf1",8.82281992585708
"Ppm1g",8.36435937897625
"Atl2",8.54944276059592
"Cryl1",2.86227952271724
"Nck2",6.35886979418164
"Nme4",6.9422894729411
"Trpm7",4.83492832108936
"Cdca5",6.10717221750301
"Fkbp7",6.25909247772351
"Ehbp1l1",2.98520728803402
"Fam198b",2.69120082082371
